Geography,Service occupations—Civilian employed population 16 years and over—Estimate,MoE
"Lincoln County, West Virginia",22.30%,± 4.3%
"Lincoln County, Wisconsin",15.20%,± 1.7%
"Lincoln County, Wyoming",15.40%,± 3.3%
"Lincoln Parish, Louisiana",21.40%,± 2.8%
"Linn County, Iowa",14.60%,± 0.9%
"Linn County, Kansas",16.60%,± 3.1%
"Linn County, Missouri",15.90%,± 3.1%
"Linn County, Oregon",17.20%,± 1.3%
"Lipscomb County, Texas",16%,± 3.9%
"Little River County, Arkansas",14.70%,± 3.7%
"Live Oak County, Texas",13.40%,± 3.5%
"Livingston County, Illinois",19%,± 1.7%
"Livingston County, Kentucky",16.30%,± 4.5%
"Livingston County, Michigan",13.90%,± 0.8%
"Livingston County, Missouri",15.80%,± 2.6%
"Livingston County, New York",17.90%,± 1.6%
"Livingston Parish, Louisiana",14.70%,± 1.7%
"Llano County, Texas",15.30%,± 3.4%
"Logan County, Arkansas",16.70%,± 2.7%
"Logan County, Colorado",22.20%,± 3.6%
"Logan County, Illinois",18.80%,± 1.9%
"Logan County, Kansas",16.90%,± 4.2%
"Logan County, Kentucky",13.30%,± 2.5%
"Logan County, Nebraska",9.90%,± 3.5%
"Logan County, North Dakota",12.60%,± 4.2%
"Logan County, Ohio",16%,± 1.8%
"Logan County, Oklahoma",17.80%,± 1.7%
"Logan County, West Virginia",21.70%,± 3.5%
"Loíza Municipio, Puerto Rico",34.70%,± 3.3%
"Long County, Georgia",22.40%,± 4.3%
"Lonoke County, Arkansas",13.30%,± 1.3%
"Lorain County, Ohio",16.70%,± 0.8%
"Los Alamos County, New Mexico",9%,± 2.4%
"Los Angeles County, California",18.20%,± 0.2%
"Loudon County, Tennessee",15.10%,± 2%
"Loudoun County, Virginia",11.90%,± 0.6%
"Louisa County, Iowa",15.90%,± 3%
"Louisa County, Virginia",16.80%,± 2.1%
"Loup County, Nebraska",16%,± 5.4%
"Love County, Oklahoma",22.30%,± 3%
"Loving County, Texas",0%,± 58.9%
"Lower Connecticut River Valley Planning Region, Connecticut",14.90%,± 0.9%
"Lowndes County, Alabama",13%,± 3.9%
"Lowndes County, Georgia",17.60%,± 1.6%
"Lowndes County, Mississippi",15.70%,± 2.2%
"Lubbock County, Texas",17.40%,± 1%
"Lucas County, Iowa",14.20%,± 2.8%
"Lucas County, Ohio",17.70%,± 0.6%
"Luce County, Michigan",22.50%,± 5%
"Lumpkin County, Georgia",18.70%,± 3%
"Luna County, New Mexico",21.50%,± 4%
"Lunenburg County, Virginia",17%,± 3.3%
"Luquillo Municipio, Puerto Rico",28.30%,± 4.8%
"Luzerne County, Pennsylvania",17.20%,± 0.7%
"Lycoming County, Pennsylvania",17.90%,± 1.3%
"Lyman County, South Dakota",18.10%,± 3.4%
"Lynchburg city, Virginia",20.60%,± 2.2%
"Lynn County, Texas",18.10%,± 2.9%
"Lyon County, Iowa",13.60%,± 2.4%
"Lyon County, Kansas",19.40%,± 2.8%
"Lyon County, Kentucky",22.60%,± 5.2%
"Lyon County, Minnesota",17.10%,± 2.2%
"Lyon County, Nevada",19.60%,± 2%
"Mackinac County, Michigan",23.30%,± 3.5%
"Macomb County, Michigan",16.30%,± 0.5%
"Macon County, Alabama",25%,± 3.7%
"Macon County, Georgia",23.50%,± 4.9%
"Macon County, Illinois",16.70%,± 1.3%
"Macon County, Missouri",13.80%,± 2.3%
"Macon County, North Carolina",22.50%,± 3.1%
"Macon County, Tennessee",17.20%,± 3%
"Macoupin County, Illinois",18.10%,± 1.8%
"Madera County, California",17.90%,± 1.5%
"Madison County, Alabama",13.60%,± 0.8%
"Madison County, Arkansas",17%,± 3.6%
"Madison County, Florida",20.10%,± 3.7%
"Madison County, Georgia",17.40%,± 2.8%
"Madison County, Idaho",26.90%,± 4.3%
"Madison County, Illinois",17.20%,± 1%
"Madison County, Indiana",19.30%,± 1.3%
"Madison County, Iowa",11.70%,± 2.1%
"Madison County, Kentucky",19%,± 1.4%
"Madison County, Mississippi",13%,± 1.2%
"Madison County, Missouri",21.70%,± 3.9%
"Madison County, Montana",17.30%,± 3.4%
"Madison County, Nebraska",15.90%,± 1.9%
"Madison County, New York",18.70%,± 1.4%
"Madison County, North Carolina",19.20%,± 3.1%
"Madison County, Ohio",15.40%,± 1.9%
"Madison County, Tennessee",18.20%,± 1.3%
"Madison County, Texas",16.30%,± 4.8%
"Madison County, Virginia",21%,± 4.5%
"Madison Parish, Louisiana",28.60%,± 5.6%
"Magoffin County, Kentucky",23.40%,± 6.4%
"Mahaska County, Iowa",15.30%,± 1.9%
"Mahnomen County, Minnesota",23.80%,± 2.4%
"Mahoning County, Ohio",20.20%,± 1%
"Major County, Oklahoma",12.70%,± 2.6%
"Malheur County, Oregon",17.80%,± 2.2%
"Manassas city, Virginia",17%,± 1.9%
"Manassas Park city, Virginia",20.10%,± 4.2%
"Manatee County, Florida",19%,± 1.2%
"Manatí Municipio, Puerto Rico",21.90%,± 3.2%
"Manistee County, Michigan",22.30%,± 1.8%
"Manitowoc County, Wisconsin",15.10%,± 1%
"Marathon County, Wisconsin",14.60%,± 1%
"Marengo County, Alabama",18.70%,± 4.3%
"Maricao Municipio, Puerto Rico",17.20%,± 7.3%
"Maricopa County, Arizona",16.20%,± 0.2%
"Maries County, Missouri",15.50%,± 4.3%
"Marin County, California",13.30%,± 0.8%
"Marinette County, Wisconsin",14.30%,± 1.4%
"Marion County, Alabama",14.70%,± 2.9%
"Marion County, Arkansas",13.90%,± 3.1%
"Marion County, Florida",21%,± 1.2%
"Marion County, Georgia",13.60%,± 4.9%
"Marion County, Illinois",18.90%,± 1.8%
"Marion County, Indiana",15.30%,± 0.6%
"Marion County, Iowa",14.70%,± 1.8%
"Marion County, Kansas",15%,± 1.9%
"Marion County, Kentucky",11.90%,± 2.2%
"Marion County, Mississippi",14.20%,± 2.9%
"Marion County, Missouri",16.80%,± 2.3%
"Marion County, Ohio",22%,± 2%
"Marion County, Oregon",18.90%,± 0.9%
"Marion County, South Carolina",16.70%,± 2.8%
"Marion County, Tennessee",18.60%,± 2.8%
"Marion County, Texas",18.70%,± 4.7%
"Marion County, West Virginia",16.10%,± 1.7%
"Mariposa County, California",27.10%,± 3.9%
"Marlboro County, South Carolina",17.60%,± 3.3%
"Marquette County, Michigan",22.90%,± 2%
"Marquette County, Wisconsin",18.80%,± 1.9%
"Marshall County, Alabama",16.10%,± 1.5%
"Marshall County, Illinois",18.30%,± 2.5%
"Marshall County, Indiana",11.70%,± 1.3%
"Marshall County, Iowa",15.90%,± 1.9%
"Marshall County, Kansas",12.30%,± 2.3%
"Marshall County, Kentucky",13.40%,± 2.7%
"Marshall County, Minnesota",12%,± 1.8%
"Marshall County, Mississippi",14.40%,± 2.3%
"Marshall County, Oklahoma",20.50%,± 3%
"Marshall County, South Dakota",14.90%,± 4.4%
"Marshall County, Tennessee",15.30%,± 2.4%
"Marshall County, West Virginia",19.30%,± 3.1%
"Martin County, Florida",19.60%,± 1.4%
"Martin County, Indiana",11.90%,± 2.6%
"Martin County, Kentucky",17.90%,± 7%
"Martin County, Minnesota",16.80%,± 2.2%
"Martin County, North Carolina",24.60%,± 3.6%
"Martin County, Texas",9.70%,± 4.3%
"Martinsville city, Virginia",17.30%,± 4.5%
"Mason County, Illinois",19.70%,± 2.8%
"Mason County, Kentucky",17.70%,± 4.1%
"Mason County, Michigan",16.30%,± 1.8%
"Mason County, Texas",12.30%,± 5.8%
"Mason County, Washington",17.70%,± 2.2%
"Mason County, West Virginia",18%,± 3.7%
"Massac County, Illinois",20%,± 3.9%
"Matagorda County, Texas",17.10%,± 2.7%
"Matanuska-Susitna Borough, Alaska",17.50%,± 1%
"Mathews County, Virginia",11.20%,± 4.3%
"Maui County, Hawaii",26.60%,± 1.3%
"Maunabo Municipio, Puerto Rico",28.60%,± 7.7%
"Maury County, Tennessee",14.30%,± 1.6%
"Maverick County, Texas",28.70%,± 3%
"Mayagüez Municipio, Puerto Rico",25.30%,± 3%
"Mayes County, Oklahoma",18.10%,± 1.7%
"McClain County, Oklahoma",14.90%,± 1.9%
"McCone County, Montana",8.40%,± 3.1%
"McCook County, South Dakota",13.80%,± 2.8%
"McCormick County, South Carolina",20.40%,± 5.4%
"McCracken County, Kentucky",19.30%,± 2%
"McCreary County, Kentucky",20.80%,± 4.9%
"McCulloch County, Texas",22.70%,± 5.2%
"McCurtain County, Oklahoma",19.70%,± 1.9%
"McDonald County, Missouri",17.80%,± 2.9%
"McDonough County, Illinois",20%,± 2.4%
"McDowell County, North Carolina",15.60%,± 2.1%
"McDowell County, West Virginia",22.80%,± 5.9%
"McDuffie County, Georgia",15.70%,± 3.2%
"McHenry County, Illinois",14%,± 0.7%
"McHenry County, North Dakota",14.60%,± 3.1%
"McIntosh County, Georgia",22.50%,± 6.6%
"McIntosh County, North Dakota",16.40%,± 3.4%
"McIntosh County, Oklahoma",18.60%,± 3%
"McKean County, Pennsylvania",19.10%,± 1.8%
"McKenzie County, North Dakota",13.80%,± 3.3%
"McKinley County, New Mexico",25.40%,± 2%
"McLean County, Illinois",16.20%,± 1%
"McLean County, Kentucky",11.30%,± 3%
"McLean County, North Dakota",14.90%,± 1.9%
"McLennan County, Texas",16.60%,± 1%
"McLeod County, Minnesota",14.20%,± 1.8%
"McMinn County, Tennessee",14.70%,± 1.6%
"McMullen County, Texas",28.30%,± 12.6%
"McNairy County, Tennessee",14.20%,± 2.5%
"McPherson County, Kansas",17.10%,± 2%
"McPherson County, Nebraska",26.60%,± 13%
"McPherson County, South Dakota",13.80%,± 5%
"Meade County, Kansas",15.40%,± 4.5%
"Meade County, Kentucky",14.90%,± 3%
"Meade County, South Dakota",21.50%,± 3.4%
"Meagher County, Montana",14.70%,± 5.8%
"Mecklenburg County, North Carolina",13.50%,± 0.4%
"Mecklenburg County, Virginia",19.10%,± 2.5%
"Mecosta County, Michigan",18.90%,± 1.8%
"Medina County, Ohio",14.70%,± 0.8%
"Medina County, Texas",15.50%,± 2.2%
"Meeker County, Minnesota",14.30%,± 1.4%
"Meigs County, Ohio",21.70%,± 3.2%
"Meigs County, Tennessee",14.70%,± 3.4%
"Mellette County, South Dakota",28.30%,± 10%
"Menard County, Illinois",14.90%,± 2.3%
"Menard County, Texas",16.30%,± 10.6%
"Mendocino County, California",22.30%,± 2.2%
"Menifee County, Kentucky",9%,± 4%
"Menominee County, Michigan",17.60%,± 1.9%
"Menominee County, Wisconsin",27.30%,± 7.1%
"Merced County, California",17.30%,± 1.1%
"Mercer County, Illinois",16.30%,± 2.9%
"Mercer County, Kentucky",14.60%,± 2.5%
"Mercer County, Missouri",10.60%,± 3.7%
"Mercer County, New Jersey",16.30%,± 0.9%
"Mercer County, North Dakota",18.30%,± 4.2%
"Mercer County, Ohio",12.60%,± 1.4%
"Mercer County, Pennsylvania",20.30%,± 1.3%
"Mercer County, West Virginia",18.80%,± 2.1%
"Meriwether County, Georgia",18.30%,± 3.6%
"Merrick County, Nebraska",13.50%,± 2.3%
"Merrimack County, New Hampshire",16.20%,± 1%
"Mesa County, Colorado",17.50%,± 1.3%
"Metcalfe County, Kentucky",17.40%,± 3.6%
"Miami County, Indiana",16.30%,± 2.3%
"Miami County, Kansas",18.10%,± 2.7%
"Miami County, Ohio",14.70%,± 1.3%
"Miami-Dade County, Florida",19.20%,± 0.4%
"Middlesex County, Massachusetts",12.30%,± 0.3%
"Middlesex County, New Jersey",11.90%,± 0.4%
"Middlesex County, Virginia",17.40%,± 3.8%
"Midland County, Michigan",17.10%,± 1.5%
"Midland County, Texas",12.60%,± 1.3%
"Mifflin County, Pennsylvania",18.50%,± 1.9%
"Milam County, Texas",14.70%,± 3.5%
"Millard County, Utah",18.30%,± 2.6%
"Mille Lacs County, Minnesota",20.80%,± 1.8%
"Miller County, Arkansas",15%,± 2.4%
"Miller County, Georgia",15.20%,± 4.7%
"Miller County, Missouri",18.60%,± 3.1%
"Mills County, Iowa",14.80%,± 2.3%
"Mills County, Texas",19%,± 6.1%
"Milwaukee County, Wisconsin",18.30%,± 0.4%
"Miner County, South Dakota",12.60%,± 3.6%
"Mineral County, Colorado",14.30%,± 7.5%
"Mineral County, Montana",16%,± 2.7%
"Mineral County, Nevada",9.30%,± 6%
"Mineral County, West Virginia",21.20%,± 2.8%
"Mingo County, West Virginia",23.80%,± 4.5%
"Minidoka County, Idaho",15.30%,± 2.8%
"Minnehaha County, South Dakota",15.80%,± 0.9%
"Missaukee County, Michigan",16.50%,± 1.6%
"Mississippi County, Arkansas",15.10%,± 2.2%
"Mississippi County, Missouri",20.40%,± 4.4%
"Missoula County, Montana",20.60%,± 1.5%
"Mitchell County, Georgia",21%,± 3.4%
"Mitchell County, Iowa",14.10%,± 2.7%
"Mitchell County, Kansas",17.20%,± 4.5%
"Mitchell County, North Carolina",19.90%,± 4.5%
"Mitchell County, Texas",33.60%,± 9%
"Mobile County, Alabama",17.40%,± 0.8%
"Moca Municipio, Puerto Rico",20.80%,± 3%
"Modoc County, California",22.10%,± 5.8%
"Moffat County, Colorado",18.40%,± 4.3%
"Mohave County, Arizona",23.60%,± 1.5%
"Moniteau County, Missouri",13.70%,± 2.8%
"Monmouth County, New Jersey",14%,± 0.5%
"Mono County, California",25.30%,± 5.1%
"Monona County, Iowa",17.20%,± 3.5%
"Monongalia County, West Virginia",18%,± 1.5%
"Monroe County, Alabama",18%,± 3.3%
"Monroe County, Arkansas",18.20%,± 4.1%
"Monroe County, Florida",23.60%,± 1.5%
"Monroe County, Georgia",19.40%,± 3%
"Monroe County, Illinois",13.90%,± 1.9%
"Monroe County, Indiana",18.50%,± 1.4%
"Monroe County, Iowa",11.60%,± 3%
"Monroe County, Kentucky",10.60%,± 2.7%
"Monroe County, Michigan",16.10%,± 1.1%
"Monroe County, Mississippi",15.30%,± 2.4%
"Monroe County, Missouri",14.50%,± 2.8%
"Monroe County, New York",16.20%,± 0.5%
"Monroe County, Ohio",15.10%,± 2.9%
"Monroe County, Pennsylvania",18.60%,± 1.5%
"Monroe County, Tennessee",16.70%,± 3%
"Monroe County, West Virginia",19.80%,± 4.7%
"Monroe County, Wisconsin",16.10%,± 1.4%
"Montague County, Texas",18.70%,± 3%
"Montcalm County, Michigan",16.60%,± 1.4%
"Monterey County, California",19.40%,± 0.7%
"Montezuma County, Colorado",19.40%,± 3.3%
"Montgomery County, Alabama",16.80%,± 1.1%
"Montgomery County, Arkansas",13.60%,± 3.1%
"Montgomery County, Georgia",16.50%,± 3.6%
"Montgomery County, Illinois",18.60%,± 2.5%
"Montgomery County, Indiana",18%,± 1.9%
"Montgomery County, Iowa",15.40%,± 2.8%
"Montgomery County, Kansas",18%,± 2.1%
"Montgomery County, Kentucky",13.90%,± 3%
"Montgomery County, Maryland",14.30%,± 0.4%
"Montgomery County, Mississippi",21.80%,± 5.2%
"Montgomery County, Missouri",14.80%,± 2.3%
"Montgomery County, New York",18.30%,± 1.5%
"Montgomery County, North Carolina",19.80%,± 3.8%
"Montgomery County, Ohio",17.20%,± 0.7%
"Montgomery County, Pennsylvania",12.40%,± 0.4%
"Montgomery County, Tennessee",18.80%,± 1.4%
"Montgomery County, Texas",14.10%,± 0.8%
"Montgomery County, Virginia",17.10%,± 1.6%
"Montmorency County, Michigan",16.90%,± 3.2%
"Montour County, Pennsylvania",15.40%,± 2.1%
"Montrose County, Colorado",17%,± 2.3%
"Moody County, South Dakota",20.70%,± 3.5%
"Moore County, North Carolina",21%,± 1.6%
"Moore County, Tennessee",12.30%,± 4.3%
"Moore County, Texas",13.80%,± 3.2%
"Mora County, New Mexico",31.30%,± 9.9%
"Morehouse Parish, Louisiana",23%,± 3.5%
"Morgan County, Alabama",14.50%,± 1.5%
"Morgan County, Colorado",12.70%,± 2.1%
"Morgan County, Georgia",13.20%,± 2.7%
"Morgan County, Illinois",19.50%,± 2.4%
"Morgan County, Indiana",14.40%,± 1.6%
"Morgan County, Kentucky",12.70%,± 2.8%
"Morgan County, Missouri",17.30%,± 2.9%
"Morgan County, Ohio",16.50%,± 2.7%
"Morgan County, Tennessee",17.90%,± 4%
"Morgan County, Utah",12.70%,± 2.3%
"Morgan County, West Virginia",23%,± 4.4%
"Morovis Municipio, Puerto Rico",17.60%,± 3.4%
"Morrill County, Nebraska",15.30%,± 4.1%
"Morris County, Kansas",14.20%,± 3.1%
"Morris County, New Jersey",11.30%,± 0.5%
"Morris County, Texas",20.40%,± 4.9%
"Morrison County, Minnesota",18.40%,± 2.2%
"Morrow County, Ohio",15.40%,± 2.1%
"Morrow County, Oregon",19.10%,± 3.6%
"Morton County, Kansas",14.70%,± 6.2%
"Morton County, North Dakota",19.40%,± 3.2%
"Motley County, Texas",15.60%,± 6.3%
"Moultrie County, Illinois",14.20%,± 2.3%
"Mountrail County, North Dakota",16.30%,± 2.4%
"Mower County, Minnesota",16.10%,± 1.4%
"Muhlenberg County, Kentucky",16.10%,± 2.5%
"Multnomah County, Oregon",15.60%,± 0.5%
"Murray County, Georgia",14.10%,± 2.7%
"Murray County, Minnesota",14.90%,± 1.6%
"Murray County, Oklahoma",17.90%,± 3.1%
"Muscatine County, Iowa",16.30%,± 1.7%
"Muscogee County, Georgia",18.70%,± 1.2%
"Muskegon County, Michigan",18.60%,± 1.1%
"Muskingum County, Ohio",16.90%,± 1.4%
"Muskogee County, Oklahoma",17.70%,± 1.6%
"Musselshell County, Montana",16.20%,± 4.8%
"Nacogdoches County, Texas",18.80%,± 1.8%
"Naguabo Municipio, Puerto Rico",28%,± 5.3%
"Nance County, Nebraska",15.50%,± 3.4%
"Nantucket County, Massachusetts",17.20%,± 3.4%
"Napa County, California",19.80%,± 1.1%
"Naranjito Municipio, Puerto Rico",24%,± 5.8%
"Nash County, North Carolina",17.20%,± 1.6%
"Nassau County, Florida",16%,± 1.7%
"Nassau County, New York",15.70%,± 0.4%
"Natchitoches Parish, Louisiana",17%,± 2.6%
"Natrona County, Wyoming",18%,± 1.7%
"Naugatuck Valley Planning Region, Connecticut",17%,± 0.6%
"Navajo County, Arizona",20.70%,± 1.7%
"Navarro County, Texas",17.50%,± 2.1%
"Nelson County, Kentucky",14.40%,± 1.7%
"Nelson County, North Dakota",16.70%,± 3.7%
"Nelson County, Virginia",19.40%,± 3.4%
"Nemaha County, Kansas",15.10%,± 2.5%
"Nemaha County, Nebraska",20.20%,± 4.5%
"Neosho County, Kansas",15.30%,± 2.8%
"Neshoba County, Mississippi",21.60%,± 2.7%
"Ness County, Kansas",16.90%,± 4.1%
"Nevada County, Arkansas",27.90%,± 6.3%
"Nevada County, California",18.20%,± 1.6%
"New Castle County, Delaware",16.30%,± 0.6%
"New Hanover County, North Carolina",18.10%,± 1.3%
"New Kent County, Virginia",11.60%,± 2.5%
"New Madrid County, Missouri",21.70%,± 3.2%
"New York County, New York",13.40%,± 0.4%
"Newaygo County, Michigan",16.30%,± 1.4%
"Newberry County, South Carolina",18.70%,± 2.3%
"Newport County, Rhode Island",17.60%,± 1.6%
"Newport News city, Virginia",19.40%,± 1.2%
"Newton County, Arkansas",17.40%,± 6%
"Newton County, Georgia",15.50%,± 1.7%
"Newton County, Indiana",14.40%,± 2.8%
"Newton County, Mississippi",8.90%,± 2%
"Newton County, Missouri",15.50%,± 1.6%
"Newton County, Texas",19.20%,± 4.2%
"Nez Perce County, Idaho",16.60%,± 2%
"Niagara County, New York",16.60%,± 0.9%
"Nicholas County, Kentucky",19%,± 6.1%
"Nicholas County, West Virginia",23.60%,± 4.3%
"Nicollet County, Minnesota",17%,± 1.8%
"Niobrara County, Wyoming",26.50%,± 7.9%
"Noble County, Indiana",13%,± 1.5%
"Noble County, Ohio",19.90%,± 4.2%
"Noble County, Oklahoma",14.70%,± 2.7%
"Nobles County, Minnesota",16.30%,± 2.1%
"Nodaway County, Missouri",16.10%,± 1.8%
"Nolan County, Texas",23.10%,± 4.1%
"Nome Census Area, Alaska",18.50%,± 3.2%
"Norfolk city, Virginia",19.60%,± 1.2%
"Norfolk County, Massachusetts",13%,± 0.4%
"Norman County, Minnesota",11.80%,± 1.6%
"North Slope Borough, Alaska",13.10%,± 3.2%
"Northampton County, North Carolina",19.50%,± 3.2%
"Northampton County, Pennsylvania",16.60%,± 0.9%
"Northampton County, Virginia",18%,± 3.8%
"Northeastern Connecticut Planning Region, Connecticut",16.10%,± 1.5%
"Northumberland County, Pennsylvania",18.50%,± 1.6%
"Northumberland County, Virginia",14.30%,± 4%
"Northwest Arctic Borough, Alaska",12%,± 1.9%
"Northwest Hills Planning Region, Connecticut",17.20%,± 1.1%
"Norton city, Virginia",17.40%,± 8.1%
"Norton County, Kansas",22.50%,± 5.9%
"Nottoway County, Virginia",24.80%,± 4.6%
"Nowata County, Oklahoma",15.20%,± 2.3%
"Noxubee County, Mississippi",22.90%,± 5.2%
"Nuckolls County, Nebraska",15.90%,± 3.2%
"Nueces County, Texas",20.30%,± 0.9%
"Nye County, Nevada",21.50%,± 3.2%
"O'Brien County, Iowa",15.50%,± 2.6%
"Oakland County, Michigan",12.90%,± 0.4%
"Obion County, Tennessee",17.80%,± 2.1%
"Ocean County, New Jersey",16.70%,± 0.6%
"Oceana County, Michigan",16.50%,± 2.2%
"Ochiltree County, Texas",13.30%,± 3.4%
"Oconee County, Georgia",11.50%,± 1.6%
"Oconee County, South Carolina",17.90%,± 2%
"Oconto County, Wisconsin",14.90%,± 1.2%
"Ogemaw County, Michigan",20.40%,± 2%
"Oglala Lakota County, South Dakota",27.70%,± 5.2%
"Ogle County, Illinois",16.50%,± 1.6%
"Oglethorpe County, Georgia",16.60%,± 3.5%
"Ohio County, Indiana",17.80%,± 4.5%
"Ohio County, Kentucky",17.10%,± 3.3%
"Ohio County, West Virginia",18.10%,± 2.1%
"Okaloosa County, Florida",20%,± 1.1%
"Okanogan County, Washington",16.60%,± 1.9%
"Okeechobee County, Florida",24.20%,± 2.9%
"Okfuskee County, Oklahoma",21.20%,± 3%
"Oklahoma County, Oklahoma",17.40%,± 0.6%
"Okmulgee County, Oklahoma",20.70%,± 1.9%
"Oktibbeha County, Mississippi",16.70%,± 2.4%
"Oldham County, Kentucky",12.40%,± 1.2%
"Oldham County, Texas",17.70%,± 4.8%
"Oliver County, North Dakota",16.30%,± 5.9%
"Olmsted County, Minnesota",15%,± 1.1%
"Oneida County, Idaho",16.70%,± 3.7%
"Oneida County, New York",20%,± 1%
"Oneida County, Wisconsin",16.20%,± 1.8%
"Onondaga County, New York",16.40%,± 0.6%
"Onslow County, North Carolina",19%,± 1.4%
"Ontario County, New York",16.30%,± 0.9%
"Ontonagon County, Michigan",22.80%,± 3.4%
"Orange County, California",16.40%,± 0.2%
"Orange County, Florida",18.80%,± 0.5%
"Orange County, Indiana",19%,± 2.9%
"Orange County, New York",18.60%,± 0.7%
"Orange County, North Carolina",15%,± 1.2%
"Orange County, Texas",13.70%,± 1.5%
"Orange County, Vermont",15.10%,± 1.9%
"Orange County, Virginia",18.40%,± 2.4%
"Orangeburg County, South Carolina",19.90%,± 1.9%
"Oregon County, Missouri",15.50%,± 3.3%
"Orleans County, New York",17.60%,± 1.8%
"Orleans County, Vermont",17.20%,± 1.7%
"Orleans Parish, Louisiana",20.90%,± 0.8%
"Orocovis Municipio, Puerto Rico",20.70%,± 5.4%
"Osage County, Kansas",16.30%,± 2.3%
"Osage County, Missouri",11.10%,± 2.2%
"Osage County, Oklahoma",16.40%,± 1.7%
"Osborne County, Kansas",16.20%,± 4.1%
"Osceola County, Florida",20.10%,± 1.2%
"Osceola County, Iowa",12.30%,± 2.7%
"Osceola County, Michigan",17.90%,± 1.7%
"Oscoda County, Michigan",22.30%,± 4.5%
"Oswego County, New York",16.60%,± 1%
"Otero County, Colorado",15.50%,± 3.5%
"Otero County, New Mexico",19.10%,± 2.3%
"Otoe County, Nebraska",18.90%,± 3.1%
"Otsego County, Michigan",20.40%,± 2.8%
"Otsego County, New York",20.40%,± 1.4%
"Ottawa County, Kansas",12.90%,± 2.4%
"Ottawa County, Michigan",14.90%,± 0.7%
"Ottawa County, Ohio",16%,± 1.7%
"Ottawa County, Oklahoma",21.70%,± 1.2%
"Otter Tail County, Minnesota",16.20%,± 1.2%
"Ouachita County, Arkansas",17.30%,± 4%
"Ouachita Parish, Louisiana",19.70%,± 1.7%
"Ouray County, Colorado",10.30%,± 3.3%
"Outagamie County, Wisconsin",13.80%,± 0.9%
"Overton County, Tennessee",14.90%,± 2.7%
"Owen County, Indiana",17%,± 2.5%
"Owen County, Kentucky",15.80%,± 4.3%
"Owsley County, Kentucky",25.60%,± 8.3%
"Owyhee County, Idaho",14.90%,± 2.4%
"Oxford County, Maine",19.20%,± 1.8%
"Ozark County, Missouri",18.50%,± 4.2%
"Ozaukee County, Wisconsin",13%,± 1.1%
"Pacific County, Washington",20.10%,± 2.7%
"Page County, Iowa",14.80%,± 2.5%
"Page County, Virginia",22.10%,± 2.8%
"Palm Beach County, Florida",20.80%,± 0.5%
"Palo Alto County, Iowa",11.90%,± 2.5%
"Palo Pinto County, Texas",16.50%,± 2.8%
"Pamlico County, North Carolina",17.10%,± 2.8%
"Panola County, Mississippi",17.50%,± 3.3%
"Panola County, Texas",18.50%,± 3.8%
"Park County, Colorado",15.50%,± 2.8%
"Park County, Montana",20.90%,± 2.7%
"Park County, Wyoming",18.30%,± 2.2%
"Parke County, Indiana",17.30%,± 2.9%
"Parker County, Texas",15.90%,± 1.4%
"Parmer County, Texas",16.20%,± 3.3%
"Pasco County, Florida",17%,± 0.6%
"Pasquotank County, North Carolina",17.30%,± 2%
"Passaic County, New Jersey",17%,± 0.6%
"Patillas Municipio, Puerto Rico",23.90%,± 6.3%
"Patrick County, Virginia",15.70%,± 3.2%
"Paulding County, Georgia",14.70%,± 1.3%
"Paulding County, Ohio",13.80%,± 2.3%
"Pawnee County, Kansas",27.10%,± 6.9%
"Pawnee County, Nebraska",15%,± 4.1%
"Pawnee County, Oklahoma",15%,± 1.8%
"Payette County, Idaho",16%,± 3%
"Payne County, Oklahoma",17.90%,± 1.8%
"Peach County, Georgia",15.50%,± 3.1%
"Pearl River County, Mississippi",16.90%,± 2%
"Pecos County, Texas",20.10%,± 4.3%
"Pembina County, North Dakota",14.60%,± 2.5%
"Pemiscot County, Missouri",25.10%,± 3.1%
"Pend Oreille County, Washington",18.10%,± 3.5%
"Pender County, North Carolina",17.30%,± 1.7%
"Pendleton County, Kentucky",15.10%,± 3.2%
"Pendleton County, West Virginia",20%,± 4.4%
"Pennington County, Minnesota",15.10%,± 2.4%
"Pennington County, South Dakota",17.20%,± 1.2%
"Penobscot County, Maine",19.10%,± 1.1%
"Peñuelas Municipio, Puerto Rico",21.80%,± 4.8%
"Peoria County, Illinois",19%,± 1%
"Pepin County, Wisconsin",15.60%,± 2.6%
"Perkins County, Nebraska",17%,± 5%
"Perkins County, South Dakota",13.90%,± 3.9%
"Perquimans County, North Carolina",19%,± 4.9%
"Perry County, Alabama",17.10%,± 5.9%
"Perry County, Arkansas",12.30%,± 3%
"Perry County, Illinois",21.60%,± 3.8%
"Perry County, Indiana",15.30%,± 2.8%
"Perry County, Kentucky",21.80%,± 3.6%
"Perry County, Mississippi",25%,± 5.3%
"Perry County, Missouri",13.80%,± 1.8%
"Perry County, Ohio",16.70%,± 2.4%
"Perry County, Pennsylvania",13.80%,± 1.5%
"Perry County, Tennessee",14.80%,± 4.1%
"Pershing County, Nevada",20.20%,± 6.1%
"Person County, North Carolina",16.90%,± 2.4%
"Petersburg Borough, Alaska",20.80%,± 5.3%
"Petersburg city, Virginia",22.30%,± 3%
"Petroleum County, Montana",6.30%,± 5%
"Pettis County, Missouri",18.30%,± 2.1%
"Phelps County, Missouri",17.90%,± 2.5%
"Phelps County, Nebraska",17.30%,± 2.8%
"Philadelphia County, Pennsylvania",21.90%,± 0.5%
