Geography,Total—Total households—SELECTED HOUSEHOLDS BY TYPE—Householder living alone—65 years and over—Estimate,MoE
"Lincoln County, Oregon",19.40%,± 1.7%
"Lincoln County, South Dakota",7.60%,± 1.4%
"Lincoln County, Tennessee",14.20%,± 1.8%
"Lincoln County, Washington",15.10%,± 2.4%
"Lincoln County, West Virginia",11.50%,± 2.6%
"Lincoln County, Wisconsin",13.90%,± 1.5%
"Lincoln County, Wyoming",11.50%,± 2.8%
"Lincoln Parish, Louisiana",13.10%,± 1.8%
"Linn County, Iowa",11.50%,± 0.7%
"Linn County, Kansas",14.50%,± 3.5%
"Linn County, Missouri",15.30%,± 2.8%
"Linn County, Oregon",11.40%,± 1.1%
"Lipscomb County, Texas",10.70%,± 4.1%
"Little River County, Arkansas",14.40%,± 3%
"Live Oak County, Texas",12.50%,± 4.4%
"Livingston County, Illinois",13.30%,± 1.4%
"Livingston County, Kentucky",13.70%,± 3.2%
"Livingston County, Michigan",10.30%,± 0.6%
"Livingston County, Missouri",14.20%,± 2.6%
"Livingston County, New York",13.40%,± 1.3%
"Livingston Parish, Louisiana",9.30%,± 1.1%
"Llano County, Texas",20.70%,± 3.1%
"Logan County, Arkansas",13.10%,± 1.9%
"Logan County, Colorado",13.80%,± 2.2%
"Logan County, Illinois",15%,± 1.9%
"Logan County, Kansas",7.20%,± 3.5%
"Logan County, Kentucky",12.30%,± 2.2%
"Logan County, Nebraska",11.40%,± 5.5%
"Logan County, North Dakota",16.50%,± 3.9%
"Logan County, Ohio",10.90%,± 1.4%
"Logan County, Oklahoma",11%,± 1.9%
"Logan County, West Virginia",14.50%,± 2.3%
"Loíza Municipio, Puerto Rico",13.10%,± 1.9%
"Long County, Georgia",6.60%,± 2.8%
"Lonoke County, Arkansas",9.30%,± 0.9%
"Lorain County, Ohio",14.40%,± 0.7%
"Los Alamos County, New Mexico",9.10%,± 2.3%
"Los Angeles County, California",9%,± 0.1%
"Loudon County, Tennessee",13.80%,± 2%
"Loudoun County, Virginia",5.70%,± 0.4%
"Louisa County, Iowa",12.40%,± 1.9%
"Louisa County, Virginia",12%,± 1.6%
"Loup County, Nebraska",14%,± 6%
"Love County, Oklahoma",14.30%,± 2.6%
"Loving County, Texas",47.50%,± 29%
"Lower Connecticut River Valley Planning Region, Connecticut",13%,± 0.9%
"Lowndes County, Alabama",19.40%,± 3.2%
"Lowndes County, Georgia",10.50%,± 1.1%
"Lowndes County, Mississippi",15.50%,± 1.8%
"Lubbock County, Texas",9%,± 0.6%
"Lucas County, Iowa",14.10%,± 2.7%
"Lucas County, Ohio",12.70%,± 0.6%
"Luce County, Michigan",14.30%,± 3%
"Lumpkin County, Georgia",11.20%,± 2.4%
"Luna County, New Mexico",21.10%,± 3.2%
"Lunenburg County, Virginia",17.50%,± 2.6%
"Luquillo Municipio, Puerto Rico",15%,± 2.9%
"Luzerne County, Pennsylvania",14.90%,± 0.6%
"Lycoming County, Pennsylvania",13.90%,± 1.1%
"Lyman County, South Dakota",10%,± 3.8%
"Lynchburg city, Virginia",11.80%,± 1.2%
"Lynn County, Texas",15.20%,± 3.1%
"Lyon County, Iowa",13.70%,± 2.1%
"Lyon County, Kansas",8.80%,± 1.8%
"Lyon County, Kentucky",21.10%,± 5.1%
"Lyon County, Minnesota",12.40%,± 1.7%
"Lyon County, Nevada",14.40%,± 1.8%
"Mackinac County, Michigan",13.50%,± 1.9%
"Macomb County, Michigan",13.20%,± 0.4%
"Macon County, Alabama",14.80%,± 2.2%
"Macon County, Georgia",15.50%,± 4%
"Macon County, Illinois",14.40%,± 1%
"Macon County, Missouri",15.90%,± 1.9%
"Macon County, North Carolina",17.40%,± 2.2%
"Macon County, Tennessee",10.80%,± 2.8%
"Macoupin County, Illinois",13.80%,± 1.5%
"Madera County, California",9.20%,± 1.1%
"Madison County, Alabama",10.10%,± 0.5%
"Madison County, Arkansas",10.80%,± 2.8%
"Madison County, Florida",15%,± 2.8%
"Madison County, Georgia",8.90%,± 2%
"Madison County, Idaho",3.50%,± 1.1%
"Madison County, Illinois",12.90%,± 0.6%
"Madison County, Indiana",14.40%,± 1.2%
"Madison County, Iowa",16.20%,± 3.4%
"Madison County, Kentucky",10%,± 1.1%
"Madison County, Mississippi",9.60%,± 1.4%
"Madison County, Missouri",14%,± 2.6%
"Madison County, Montana",20%,± 4%
"Madison County, Nebraska",11.10%,± 1.6%
"Madison County, New York",14.60%,± 1.3%
"Madison County, North Carolina",16.70%,± 2.7%
"Madison County, Ohio",10.50%,± 1.4%
"Madison County, Tennessee",12.30%,± 1.2%
"Madison County, Texas",12.10%,± 3.1%
"Madison County, Virginia",9.30%,± 3.4%
"Madison Parish, Louisiana",15.60%,± 3.4%
"Magoffin County, Kentucky",13.80%,± 2.9%
"Mahaska County, Iowa",11.70%,± 1.5%
"Mahnomen County, Minnesota",14.70%,± 1.6%
"Mahoning County, Ohio",15.50%,± 0.8%
"Major County, Oklahoma",13%,± 2.3%
"Malheur County, Oregon",15.60%,± 2.3%
"Manassas city, Virginia",8.20%,± 1.3%
"Manassas Park city, Virginia",7%,± 2.9%
"Manatee County, Florida",16.40%,± 0.8%
"Manatí Municipio, Puerto Rico",16.60%,± 2.2%
"Manistee County, Michigan",16.40%,± 2%
"Manitowoc County, Wisconsin",13.60%,± 1.2%
"Marathon County, Wisconsin",12.40%,± 0.7%
"Marengo County, Alabama",15.60%,± 2.7%
"Maricao Municipio, Puerto Rico",9%,± 3.6%
"Maricopa County, Arizona",10%,± 0.2%
"Maries County, Missouri",14.60%,± 2.9%
"Marin County, California",16.20%,± 0.8%
"Marinette County, Wisconsin",14.70%,± 1.4%
"Marion County, Alabama",15.30%,± 2.4%
"Marion County, Arkansas",17.30%,± 2.8%
"Marion County, Florida",17%,± 0.9%
"Marion County, Georgia",12.50%,± 4%
"Marion County, Illinois",16.50%,± 1.6%
"Marion County, Indiana",10.40%,± 0.3%
"Marion County, Iowa",12.10%,± 1.6%
"Marion County, Kansas",18.30%,± 2.5%
"Marion County, Kentucky",14.90%,± 2.2%
"Marion County, Mississippi",15%,± 2.6%
"Marion County, Missouri",14%,± 2%
"Marion County, Ohio",15.30%,± 1.4%
"Marion County, Oregon",12.50%,± 0.7%
"Marion County, South Carolina",15.60%,± 2.6%
"Marion County, Tennessee",10.40%,± 1.8%
"Marion County, Texas",20.80%,± 3.2%
"Marion County, West Virginia",14.60%,± 1.3%
"Mariposa County, California",17.50%,± 2.6%
"Marlboro County, South Carolina",17.50%,± 2.3%
"Marquette County, Michigan",13.40%,± 1.3%
"Marquette County, Wisconsin",16.90%,± 1.9%
"Marshall County, Alabama",11.90%,± 1.2%
"Marshall County, Illinois",16%,± 2.1%
"Marshall County, Indiana",13.30%,± 1.5%
"Marshall County, Iowa",11.70%,± 1.5%
"Marshall County, Kansas",17.60%,± 2.8%
"Marshall County, Kentucky",12%,± 2.3%
"Marshall County, Minnesota",15.20%,± 1.5%
"Marshall County, Mississippi",11.80%,± 2.2%
"Marshall County, Oklahoma",14.40%,± 2.6%
"Marshall County, South Dakota",21.40%,± 4.1%
"Marshall County, Tennessee",11%,± 2.1%
"Marshall County, West Virginia",15.30%,± 2.4%
"Martin County, Florida",19.20%,± 1.2%
"Martin County, Indiana",15.80%,± 3.4%
"Martin County, Kentucky",13.20%,± 3.5%
"Martin County, Minnesota",16.40%,± 2.3%
"Martin County, North Carolina",18.90%,± 3.1%
"Martin County, Texas",7.10%,± 2.6%
"Martinsville city, Virginia",13.50%,± 2.5%
"Mason County, Illinois",18.10%,± 2.6%
"Mason County, Kentucky",13.70%,± 2.4%
"Mason County, Michigan",17.70%,± 1.8%
"Mason County, Texas",15.10%,± 5.5%
"Mason County, Washington",12%,± 1.5%
"Mason County, West Virginia",16.30%,± 2.7%
"Massac County, Illinois",12.30%,± 2.2%
"Matagorda County, Texas",11.10%,± 2%
"Matanuska-Susitna Borough, Alaska",8.40%,± 0.7%
"Mathews County, Virginia",23.20%,± 6.8%
"Maui County, Hawaii",10.20%,± 0.8%
"Maunabo Municipio, Puerto Rico",13.20%,± 4.7%
"Maury County, Tennessee",10.60%,± 1.1%
"Maverick County, Texas",9.30%,± 1.7%
"Mayagüez Municipio, Puerto Rico",18.50%,± 1.5%
"Mayes County, Oklahoma",13.30%,± 1.3%
"McClain County, Oklahoma",11.80%,± 2.1%
"McCone County, Montana",20.20%,± 7.3%
"McCook County, South Dakota",10.20%,± 2.3%
"McCormick County, South Carolina",17.10%,± 4.5%
"McCracken County, Kentucky",15.10%,± 1.6%
"McCreary County, Kentucky",13.10%,± 3.5%
"McCulloch County, Texas",16.40%,± 4.9%
"McCurtain County, Oklahoma",14.30%,± 1.6%
"McDonald County, Missouri",8.50%,± 1.9%
"McDonough County, Illinois",15.30%,± 1.6%
"McDowell County, North Carolina",11.70%,± 1.6%
"McDowell County, West Virginia",19.70%,± 3.7%
"McDuffie County, Georgia",8.80%,± 2.2%
"McHenry County, Illinois",10.40%,± 0.7%
"McHenry County, North Dakota",17.40%,± 2.9%
"McIntosh County, Georgia",13.90%,± 3.9%
"McIntosh County, North Dakota",22.20%,± 4%
"McIntosh County, Oklahoma",15.60%,± 2.1%
"McKean County, Pennsylvania",14.80%,± 1.2%
"McKenzie County, North Dakota",7.70%,± 1.8%
"McKinley County, New Mexico",8.20%,± 1.1%
"McLean County, Illinois",10.20%,± 0.8%
"McLean County, Kentucky",11.50%,± 2.8%
"McLean County, North Dakota",12.10%,± 2.2%
"McLennan County, Texas",10%,± 0.7%
"McLeod County, Minnesota",13.90%,± 1.8%
"McMinn County, Tennessee",11.90%,± 1.6%
"McMullen County, Texas",15.80%,± 9.9%
"McNairy County, Tennessee",17.80%,± 2.4%
"McPherson County, Kansas",11.70%,± 2%
"McPherson County, Nebraska",17.10%,± 9.9%
"McPherson County, South Dakota",17.10%,± 4.1%
"Meade County, Kansas",15.70%,± 3.6%
"Meade County, Kentucky",9.80%,± 2.1%
"Meade County, South Dakota",10.70%,± 2.3%
"Meagher County, Montana",13.20%,± 7.9%
"Mecklenburg County, North Carolina",7.80%,± 0.3%
"Mecklenburg County, Virginia",19%,± 2%
"Mecosta County, Michigan",13.20%,± 1.6%
"Medina County, Ohio",11.20%,± 0.8%
"Medina County, Texas",12.40%,± 1.8%
"Meeker County, Minnesota",13.50%,± 1.4%
"Meigs County, Ohio",14.20%,± 2.1%
"Meigs County, Tennessee",14%,± 3.1%
"Mellette County, South Dakota",12.70%,± 4.8%
"Menard County, Illinois",12.20%,± 2%
"Menard County, Texas",24.20%,± 8.2%
"Mendocino County, California",18.90%,± 1.6%
"Menifee County, Kentucky",15.30%,± 4.2%
"Menominee County, Michigan",16.30%,± 1.7%
"Menominee County, Wisconsin",7.80%,± 2.5%
"Merced County, California",8.10%,± 0.6%
"Mercer County, Illinois",13.60%,± 1.6%
"Mercer County, Kentucky",14.80%,± 2.2%
"Mercer County, Missouri",16.40%,± 4.1%
"Mercer County, New Jersey",12.50%,± 0.8%
"Mercer County, North Dakota",12.70%,± 2.8%
"Mercer County, Ohio",13.30%,± 1.9%
"Mercer County, Pennsylvania",16.10%,± 0.9%
"Mercer County, West Virginia",14.20%,± 1.7%
"Meriwether County, Georgia",11.80%,± 2.9%
"Merrick County, Nebraska",16%,± 3.1%
"Merrimack County, New Hampshire",11.90%,± 0.8%
"Mesa County, Colorado",15.20%,± 1.2%
"Metcalfe County, Kentucky",11.90%,± 2.7%
"Miami County, Indiana",12.80%,± 1.6%
"Miami County, Kansas",10.20%,± 2.2%
"Miami County, Ohio",12.70%,± 1.2%
"Miami-Dade County, Florida",10.10%,± 0.3%
"Middlesex County, Massachusetts",11.10%,± 0.3%
"Middlesex County, New Jersey",10.20%,± 0.4%
"Middlesex County, Virginia",22%,± 5%
"Midland County, Michigan",13.10%,± 1.3%
"Midland County, Texas",8.30%,± 0.9%
"Mifflin County, Pennsylvania",12.70%,± 1.2%
"Milam County, Texas",12.80%,± 2.3%
"Millard County, Utah",10.50%,± 2.7%
"Mille Lacs County, Minnesota",13.10%,± 1.3%
"Miller County, Arkansas",12.30%,± 1.7%
"Miller County, Georgia",18.30%,± 4.7%
"Miller County, Missouri",13.50%,± 2.3%
"Mills County, Iowa",14.20%,± 2.3%
"Mills County, Texas",18.30%,± 4.2%
"Milwaukee County, Wisconsin",12.30%,± 0.4%
"Miner County, South Dakota",16.90%,± 3.9%
"Mineral County, Colorado",13.40%,± 7.8%
"Mineral County, Montana",19.50%,± 4.5%
"Mineral County, Nevada",23.10%,± 6.5%
"Mineral County, West Virginia",16.20%,± 2.7%
"Mingo County, West Virginia",13.80%,± 2.6%
"Minidoka County, Idaho",11.80%,± 2.4%
"Minnehaha County, South Dakota",10.50%,± 0.7%
"Missaukee County, Michigan",12.70%,± 2%
"Mississippi County, Arkansas",12.30%,± 1.8%
"Mississippi County, Missouri",17.30%,± 3.3%
"Missoula County, Montana",10.90%,± 1%
"Mitchell County, Georgia",11.90%,± 2.6%
"Mitchell County, Iowa",13.20%,± 2.4%
"Mitchell County, Kansas",10.80%,± 3.4%
"Mitchell County, North Carolina",20.70%,± 3.4%
"Mitchell County, Texas",14%,± 4.8%
"Mobile County, Alabama",11.50%,± 0.6%
"Moca Municipio, Puerto Rico",9.40%,± 2.1%
"Modoc County, California",15.10%,± 3.9%
"Moffat County, Colorado",10.50%,± 3%
"Mohave County, Arizona",17.90%,± 1.1%
"Moniteau County, Missouri",18.50%,± 2.6%
"Monmouth County, New Jersey",13.30%,± 0.5%
"Mono County, California",5.40%,± 2.3%
"Monona County, Iowa",20.60%,± 2.6%
"Monongalia County, West Virginia",8.60%,± 1%
"Monroe County, Alabama",16.70%,± 3.5%
"Monroe County, Arkansas",23.40%,± 3.8%
"Monroe County, Florida",13.40%,± 1.3%
"Monroe County, Georgia",13.20%,± 2.7%
"Monroe County, Illinois",11.30%,± 1.7%
"Monroe County, Indiana",9.30%,± 1%
"Monroe County, Iowa",14.60%,± 3.3%
"Monroe County, Kentucky",19.10%,± 3.1%
"Monroe County, Michigan",13.10%,± 0.8%
"Monroe County, Mississippi",13.30%,± 1.9%
"Monroe County, Missouri",18.10%,± 3.5%
"Monroe County, New York",13.20%,± 0.5%
"Monroe County, Ohio",13.90%,± 2.1%
"Monroe County, Pennsylvania",10.60%,± 1.2%
"Monroe County, Tennessee",13.20%,± 2.1%
"Monroe County, West Virginia",15.30%,± 4%
"Monroe County, Wisconsin",12.70%,± 1.2%
"Montague County, Texas",14.20%,± 2.5%
"Montcalm County, Michigan",11.10%,± 1.3%
"Monterey County, California",10.10%,± 0.5%
"Montezuma County, Colorado",12.50%,± 2.1%
"Montgomery County, Alabama",12.80%,± 0.8%
"Montgomery County, Arkansas",15.50%,± 3.4%
"Montgomery County, Georgia",14.80%,± 3.3%
"Montgomery County, Illinois",17%,± 1.9%
"Montgomery County, Indiana",13.70%,± 2%
"Montgomery County, Iowa",16.70%,± 2.7%
"Montgomery County, Kansas",16.10%,± 2.1%
"Montgomery County, Kentucky",12.10%,± 2.2%
"Montgomery County, Maryland",10.40%,± 0.3%
"Montgomery County, Mississippi",21%,± 3.6%
"Montgomery County, Missouri",14.80%,± 2.5%
"Montgomery County, New York",17.30%,± 1.4%
"Montgomery County, North Carolina",14.70%,± 2.6%
"Montgomery County, Ohio",14.50%,± 0.5%
"Montgomery County, Pennsylvania",12.50%,± 0.4%
"Montgomery County, Tennessee",7%,± 0.7%
"Montgomery County, Texas",7.50%,± 0.4%
"Montgomery County, Virginia",9.80%,± 1.2%
"Montmorency County, Michigan",15.50%,± 2.1%
"Montour County, Pennsylvania",13.90%,± 2.3%
"Montrose County, Colorado",14.80%,± 1.7%
"Moody County, South Dakota",13.40%,± 2.9%
"Moore County, North Carolina",14.20%,± 1.3%
"Moore County, Tennessee",12.20%,± 3.5%
"Moore County, Texas",10.30%,± 2.5%
"Mora County, New Mexico",12%,± 4.6%
"Morehouse Parish, Louisiana",14.80%,± 2.1%
"Morgan County, Alabama",14.40%,± 1.3%
"Morgan County, Colorado",13.30%,± 1.8%
"Morgan County, Georgia",10.40%,± 2.4%
"Morgan County, Illinois",16.40%,± 1.7%
"Morgan County, Indiana",11%,± 1.5%
"Morgan County, Kentucky",14.40%,± 2.9%
"Morgan County, Missouri",18.40%,± 3.1%
"Morgan County, Ohio",13.80%,± 2.1%
"Morgan County, Tennessee",15%,± 2.8%
"Morgan County, Utah",4.90%,± 2.3%
"Morgan County, West Virginia",16.70%,± 3.4%
"Morovis Municipio, Puerto Rico",12.50%,± 2%
"Morrill County, Nebraska",19.20%,± 3.5%
"Morris County, Kansas",18.80%,± 3.4%
"Morris County, New Jersey",11.20%,± 0.5%
"Morris County, Texas",14.40%,± 2.8%
"Morrison County, Minnesota",13.60%,± 1.3%
"Morrow County, Ohio",9%,± 2%
"Morrow County, Oregon",7.50%,± 2.5%
"Morton County, Kansas",18%,± 4.2%
"Morton County, North Dakota",11.90%,± 2.1%
"Motley County, Texas",14.80%,± 5.4%
"Moultrie County, Illinois",13.10%,± 2.2%
"Mountrail County, North Dakota",7.80%,± 1.9%
"Mower County, Minnesota",11.20%,± 1.4%
"Muhlenberg County, Kentucky",13.20%,± 1.9%
"Multnomah County, Oregon",10.50%,± 0.4%
"Murray County, Georgia",11.10%,± 1.8%
"Murray County, Minnesota",17.20%,± 1.8%
"Murray County, Oklahoma",12%,± 3%
"Muscatine County, Iowa",13.10%,± 1.6%
"Muscogee County, Georgia",12.60%,± 1%
"Muskegon County, Michigan",12.40%,± 0.9%
"Muskingum County, Ohio",12.90%,± 1.2%
"Muskogee County, Oklahoma",14%,± 1.4%
"Musselshell County, Montana",16.80%,± 4.7%
"Nacogdoches County, Texas",10.30%,± 1.3%
"Naguabo Municipio, Puerto Rico",13.20%,± 2.7%
"Nance County, Nebraska",13.30%,± 3.1%
"Nantucket County, Massachusetts",10.40%,± 2.7%
"Napa County, California",13.70%,± 1%
"Naranjito Municipio, Puerto Rico",16.40%,± 3.7%
"Nash County, North Carolina",15.20%,± 1.5%
"Nassau County, Florida",11%,± 1.3%
"Nassau County, New York",11.30%,± 0.3%
"Natchitoches Parish, Louisiana",14.90%,± 2%
"Natrona County, Wyoming",12.60%,± 1.2%
"Naugatuck Valley Planning Region, Connecticut",12.30%,± 0.5%
"Navajo County, Arizona",11.30%,± 1.2%
"Navarro County, Texas",11.20%,± 1.6%
"Nelson County, Kentucky",10.40%,± 1.6%
"Nelson County, North Dakota",20.70%,± 3.9%
"Nelson County, Virginia",13.80%,± 3.7%
"Nemaha County, Kansas",11.70%,± 2.6%
"Nemaha County, Nebraska",15.30%,± 2.9%
"Neosho County, Kansas",16%,± 2.6%
"Neshoba County, Mississippi",10.70%,± 2.2%
"Ness County, Kansas",12.50%,± 3.1%
"Nevada County, Arkansas",11.40%,± 3.5%
"Nevada County, California",15.80%,± 1.5%
"New Castle County, Delaware",11.60%,± 0.5%
"New Hanover County, North Carolina",13.10%,± 0.9%
"New Kent County, Virginia",8.70%,± 2.6%
"New Madrid County, Missouri",16.80%,± 2.4%
"New York County, New York",15%,± 0.4%
"Newaygo County, Michigan",12.50%,± 1.1%
"Newberry County, South Carolina",13.10%,± 2.3%
"Newport County, Rhode Island",15.90%,± 1.5%
"Newport News city, Virginia",10.80%,± 0.7%
"Newton County, Arkansas",15%,± 3.8%
"Newton County, Georgia",7.80%,± 1.1%
"Newton County, Indiana",10.90%,± 2%
"Newton County, Mississippi",15.90%,± 2.7%
"Newton County, Missouri",12.50%,± 1.3%
"Newton County, Texas",14.10%,± 3.2%
"Nez Perce County, Idaho",14.60%,± 2%
"Niagara County, New York",14.70%,± 0.7%
"Nicholas County, Kentucky",11.40%,± 3.1%
"Nicholas County, West Virginia",15.40%,± 2.1%
"Nicollet County, Minnesota",14.10%,± 1.6%
"Niobrara County, Wyoming",17.20%,± 6.5%
"Noble County, Indiana",11.20%,± 1.5%
"Noble County, Ohio",23.50%,± 4.2%
"Noble County, Oklahoma",13.40%,± 3.1%
"Nobles County, Minnesota",13.20%,± 2.3%
"Nodaway County, Missouri",14%,± 2.2%
"Nolan County, Texas",15.40%,± 3.1%
"Nome Census Area, Alaska",4.40%,± 1%
"Norfolk city, Virginia",10.70%,± 0.5%
"Norfolk County, Massachusetts",12.30%,± 0.5%
"Norman County, Minnesota",14.80%,± 1.9%
"North Slope Borough, Alaska",7.90%,± 3.3%
"Northampton County, North Carolina",21.10%,± 2.8%
"Northampton County, Pennsylvania",13.10%,± 0.7%
"Northampton County, Virginia",16.90%,± 3.1%
"Northeastern Connecticut Planning Region, Connecticut",10.60%,± 1.1%
"Northumberland County, Pennsylvania",16.40%,± 1.2%
"Northumberland County, Virginia",20.40%,± 4.7%
"Northwest Arctic Borough, Alaska",3.90%,± 1.3%
"Northwest Hills Planning Region, Connecticut",13.90%,± 1.1%
"Norton city, Virginia",26.90%,± 9.6%
"Norton County, Kansas",17.70%,± 4.6%
"Nottoway County, Virginia",13.90%,± 2.4%
"Nowata County, Oklahoma",12.30%,± 2.1%
"Noxubee County, Mississippi",14.70%,± 4.2%
"Nuckolls County, Nebraska",17.30%,± 3.3%
"Nueces County, Texas",9.80%,± 0.7%
"Nye County, Nevada",14.20%,± 2.2%
"O'Brien County, Iowa",16.10%,± 2.6%
"Oakland County, Michigan",12.60%,± 0.4%
"Obion County, Tennessee",15.50%,± 1.5%
"Ocean County, New Jersey",17.70%,± 0.6%
"Oceana County, Michigan",12.40%,± 1.3%
"Ochiltree County, Texas",8.20%,± 2.7%
"Oconee County, Georgia",9.10%,± 2%
"Oconee County, South Carolina",12.40%,± 1.4%
"Oconto County, Wisconsin",11.70%,± 1.2%
"Ogemaw County, Michigan",12.90%,± 1.5%
"Oglala Lakota County, South Dakota",2.10%,± 2.3%
"Ogle County, Illinois",14.70%,± 1.7%
"Oglethorpe County, Georgia",12.90%,± 2.9%
"Ohio County, Indiana",14.50%,± 3.6%
"Ohio County, Kentucky",11.30%,± 2.2%
"Ohio County, West Virginia",20%,± 1.8%
"Okaloosa County, Florida",10.20%,± 0.7%
"Okanogan County, Washington",14.20%,± 1.8%
"Okeechobee County, Florida",13.50%,± 1.9%
"Okfuskee County, Oklahoma",11.20%,± 2%
"Oklahoma County, Oklahoma",10.80%,± 0.4%
"Okmulgee County, Oklahoma",14.10%,± 1.4%
"Oktibbeha County, Mississippi",7.60%,± 1.3%
"Oldham County, Kentucky",6.30%,± 1%
"Oldham County, Texas",10.60%,± 4.1%
"Oliver County, North Dakota",9.50%,± 3.7%
"Olmsted County, Minnesota",9.90%,± 0.7%
"Oneida County, Idaho",18.30%,± 5%
"Oneida County, New York",14.30%,± 0.8%
"Oneida County, Wisconsin",16.50%,± 1.4%
"Onondaga County, New York",13.90%,± 0.5%
"Onslow County, North Carolina",7.40%,± 0.7%
"Ontario County, New York",13.90%,± 1.1%
"Ontonagon County, Michigan",17.50%,± 1.9%
"Orange County, California",9.30%,± 0.2%
"Orange County, Florida",6.90%,± 0.3%
"Orange County, Indiana",14.90%,± 2.2%
"Orange County, New York",11.40%,± 0.6%
"Orange County, North Carolina",10.40%,± 1.1%
"Orange County, Texas",9.40%,± 1.1%
"Orange County, Vermont",14.20%,± 1.4%
"Orange County, Virginia",10.40%,± 2.2%
"Orangeburg County, South Carolina",16%,± 1.4%
"Oregon County, Missouri",14.90%,± 3.4%
"Orleans County, New York",13.70%,± 1.6%
"Orleans County, Vermont",15.70%,± 1.8%
"Orleans Parish, Louisiana",13.70%,± 0.6%
"Orocovis Municipio, Puerto Rico",12.60%,± 2.1%
"Osage County, Kansas",14.90%,± 2.2%
"Osage County, Missouri",12%,± 2.1%
"Osage County, Oklahoma",14.90%,± 1.7%
"Osborne County, Kansas",18.50%,± 3.4%
"Osceola County, Florida",7%,± 0.7%
"Osceola County, Iowa",15.60%,± 3.3%
"Osceola County, Michigan",11.60%,± 1%
"Oscoda County, Michigan",17%,± 2.5%
"Oswego County, New York",12.70%,± 1%
"Otero County, Colorado",17.90%,± 2.4%
"Otero County, New Mexico",12.70%,± 1.7%
"Otoe County, Nebraska",13.80%,± 2.4%
"Otsego County, Michigan",13.10%,± 2.1%
"Otsego County, New York",14.30%,± 1.1%
"Ottawa County, Kansas",12.60%,± 2.4%
"Ottawa County, Michigan",10%,± 0.7%
"Ottawa County, Ohio",16%,± 1.8%
"Ottawa County, Oklahoma",15.20%,± 1.2%
"Otter Tail County, Minnesota",14.60%,± 1.1%
"Ouachita County, Arkansas",14%,± 2.7%
"Ouachita Parish, Louisiana",11.70%,± 1%
"Ouray County, Colorado",13.30%,± 4.5%
"Outagamie County, Wisconsin",11.60%,± 0.8%
"Overton County, Tennessee",15.50%,± 2.2%
"Owen County, Indiana",14.50%,± 2.1%
"Owen County, Kentucky",16.60%,± 3.4%
"Owsley County, Kentucky",19.40%,± 7.5%
"Owyhee County, Idaho",12.10%,± 2.6%
"Oxford County, Maine",14.60%,± 1.5%
"Ozark County, Missouri",16.40%,± 3.3%
"Ozaukee County, Wisconsin",15.10%,± 1.2%
"Pacific County, Washington",22%,± 3.1%
"Page County, Iowa",16.20%,± 2%
"Page County, Virginia",15.20%,± 3.4%
"Palm Beach County, Florida",17%,± 0.4%
"Palo Alto County, Iowa",20.10%,± 2.7%
"Palo Pinto County, Texas",11.60%,± 1.5%
"Pamlico County, North Carolina",17.10%,± 2.7%
"Panola County, Mississippi",12.50%,± 2.8%
"Panola County, Texas",16.20%,± 2.5%
"Park County, Colorado",6.90%,± 2.3%
"Park County, Montana",12.20%,± 2.3%
"Park County, Wyoming",17.60%,± 3.1%
"Parke County, Indiana",14.80%,± 2.7%
"Parker County, Texas",8.90%,± 0.9%
"Parmer County, Texas",7.50%,± 2.6%
"Pasco County, Florida",14.40%,± 0.6%
"Pasquotank County, North Carolina",12.30%,± 1.9%
"Passaic County, New Jersey",10.50%,± 0.5%
"Patillas Municipio, Puerto Rico",14.80%,± 3.2%
"Patrick County, Virginia",16.50%,± 2.6%
"Paulding County, Georgia",6.70%,± 1%
"Paulding County, Ohio",13.60%,± 1.9%
"Pawnee County, Kansas",19.70%,± 4.9%
"Pawnee County, Nebraska",19.20%,± 3.7%
"Pawnee County, Oklahoma",12.10%,± 1.9%
"Payette County, Idaho",12.70%,± 2.7%
"Payne County, Oklahoma",8.70%,± 1.1%
"Peach County, Georgia",15.40%,± 3%
"Pearl River County, Mississippi",13.30%,± 1.8%
"Pecos County, Texas",13.30%,± 4.2%
"Pembina County, North Dakota",19.60%,± 3.1%
"Pemiscot County, Missouri",13.50%,± 2%
"Pend Oreille County, Washington",12.80%,± 2.2%
"Pender County, North Carolina",12.50%,± 1.6%
"Pendleton County, Kentucky",11.90%,± 2.6%
"Pendleton County, West Virginia",14.10%,± 4%
"Pennington County, Minnesota",13.20%,± 1.8%
"Pennington County, South Dakota",13.10%,± 1.1%
"Penobscot County, Maine",13.80%,± 1.2%
"Peñuelas Municipio, Puerto Rico",9.80%,± 2.7%
"Peoria County, Illinois",14%,± 0.9%
"Pepin County, Wisconsin",14.90%,± 2.3%
"Perkins County, Nebraska",15.90%,± 4%
"Perkins County, South Dakota",17.50%,± 4.2%
"Perquimans County, North Carolina",15.60%,± 3.2%
"Perry County, Alabama",14.40%,± 4.7%
"Perry County, Arkansas",12.80%,± 3.2%
"Perry County, Illinois",13.30%,± 2.5%
"Perry County, Indiana",14.40%,± 2%
"Perry County, Kentucky",10%,± 2.2%
"Perry County, Mississippi",10.90%,± 3.2%
"Perry County, Missouri",13.10%,± 2.1%
"Perry County, Ohio",9.70%,± 1.5%
"Perry County, Pennsylvania",13.40%,± 1.3%
"Perry County, Tennessee",13%,± 4.3%
"Pershing County, Nevada",11.90%,± 4.8%
"Person County, North Carolina",15.20%,± 2.2%
