Geography,Percent—Total population—SELECTED AGE CATEGORIES—65 years and over—Estimate,MoE
"Lincoln County, Wyoming",18.20%,± 0.2%
"Lincoln Parish, Louisiana",13.80%,± 0.1%
"Linn County, Iowa",16.60%,± 0.1%
"Linn County, Kansas",22.10%,± 0.3%
"Linn County, Missouri",21.40%,± 0.3%
"Linn County, Oregon",19%,± 0.1%
"Lipscomb County, Texas",16.70%,± 2.7%
"Little River County, Arkansas",21.10%,± 0.5%
"Live Oak County, Texas",21.30%,± 0.9%
"Livingston County, Illinois",19.80%,± 0.3%
"Livingston County, Kentucky",21.70%,± 0.4%
"Livingston County, Michigan",18.30%,± 0.1%
"Livingston County, Missouri",19.80%,± 0.2%
"Livingston County, New York",18.90%,± 0.2%
"Livingston Parish, Louisiana",13.50%,± 0.1%
"Llano County, Texas",37.10%,± 0.4%
"Logan County, Arkansas",20%,± 0.3%
"Logan County, Colorado",18.40%,± 0.3%
"Logan County, Illinois",18.90%,± 0.2%
"Logan County, Kansas",20.90%,± 0.9%
"Logan County, Kentucky",18.60%,± 0.5%
"Logan County, Nebraska",18.10%,± 5.2%
"Logan County, North Dakota",27%,± 3.1%
"Logan County, Ohio",18.70%,± 0.2%
"Logan County, Oklahoma",16.60%,± 0.2%
"Logan County, West Virginia",21.60%,± 0.1%
"Loíza Municipio, Puerto Rico",20.60%,*****
"Long County, Georgia",9.20%,± 0.6%
"Lonoke County, Arkansas",14%,± 0.1%
"Lorain County, Ohio",19%,± 0.1%
"Los Alamos County, New Mexico",17.80%,± 0.8%
"Los Angeles County, California",14.20%,*****
"Loudon County, Tennessee",26.90%,± 0.3%
"Loudoun County, Virginia",10%,± 0.1%
"Louisa County, Iowa",19.50%,± 0.3%
"Louisa County, Virginia",20.20%,± 0.1%
"Loup County, Nebraska",25.60%,± 6.2%
"Love County, Oklahoma",18.20%,± 0.3%
"Loving County, Texas",35.40%,± 31.6%
"Lower Connecticut River Valley Planning Region, Connecticut",20.90%,± 0.1%
"Lowndes County, Alabama",19.40%,*****
"Lowndes County, Georgia",12.70%,± 0.1%
"Lowndes County, Mississippi",16.60%,± 0.2%
"Lubbock County, Texas",12.70%,± 0.1%
"Lucas County, Iowa",21.50%,± 0.3%
"Lucas County, Ohio",16.70%,± 0.1%
"Luce County, Michigan",25.80%,± 0.5%
"Lumpkin County, Georgia",18%,± 0.3%
"Luna County, New Mexico",20.50%,± 0.4%
"Lunenburg County, Virginia",22.30%,± 0.1%
"Luquillo Municipio, Puerto Rico",23.10%,*****
"Luzerne County, Pennsylvania",19.80%,± 0.1%
"Lycoming County, Pennsylvania",20%,± 0.1%
"Lyman County, South Dakota",17.10%,*****
"Lynchburg city, Virginia",14.30%,± 0.1%
"Lynn County, Texas",15.80%,± 0.3%
"Lyon County, Iowa",19%,± 0.2%
"Lyon County, Kansas",15.20%,± 0.1%
"Lyon County, Kentucky",25.10%,± 0.9%
"Lyon County, Minnesota",16.80%,± 0.3%
"Lyon County, Nevada",21.20%,± 0.2%
"Mackinac County, Michigan",28.80%,± 0.3%
"Macomb County, Michigan",17.50%,± 0.1%
"Macon County, Alabama",20.20%,± 0.2%
"Macon County, Georgia",17.90%,± 0.1%
"Macon County, Illinois",20.30%,± 0.1%
"Macon County, Missouri",22%,± 0.4%
"Macon County, North Carolina",28.80%,± 0.4%
"Macon County, Tennessee",15.60%,± 0.2%
"Macoupin County, Illinois",20.70%,± 0.1%
"Madera County, California",14.20%,± 0.1%
"Madison County, Alabama",15.40%,± 0.1%
"Madison County, Arkansas",19.50%,± 0.4%
"Madison County, Florida",22.40%,± 0.4%
"Madison County, Georgia",17.70%,± 0.3%
"Madison County, Idaho",5.50%,± 0.1%
"Madison County, Illinois",17.70%,± 0.1%
"Madison County, Indiana",18.50%,± 0.1%
"Madison County, Iowa",18.10%,± 1%
"Madison County, Kentucky",14.30%,± 0.1%
"Madison County, Mississippi",14.50%,± 0.1%
"Madison County, Missouri",19%,± 0.2%
"Madison County, Montana",30.20%,± 0.6%
"Madison County, Nebraska",16.30%,± 0.2%
"Madison County, New York",19.10%,± 0.1%
"Madison County, North Carolina",22.90%,± 0.2%
"Madison County, Ohio",15.80%,± 0.2%
"Madison County, Tennessee",17.30%,± 0.1%
"Madison County, Texas",15.20%,± 0.9%
"Madison County, Virginia",23.30%,± 0.8%
"Madison Parish, Louisiana",16.30%,± 0.1%
"Magoffin County, Kentucky",18.20%,± 0.3%
"Mahaska County, Iowa",19%,± 0.4%
"Mahnomen County, Minnesota",17.20%,± 0.1%
"Mahoning County, Ohio",21.60%,± 0.1%
"Major County, Oklahoma",20.90%,± 0.5%
"Malheur County, Oregon",16.70%,± 0.2%
"Manassas city, Virginia",10.70%,± 0.5%
"Manassas Park city, Virginia",9.80%,± 1.1%
"Manatee County, Florida",28.20%,± 0.1%
"Manatí Municipio, Puerto Rico",23.60%,*****
"Manistee County, Michigan",26.60%,± 0.2%
"Manitowoc County, Wisconsin",21.20%,± 0.1%
"Marathon County, Wisconsin",18.30%,± 0.1%
"Marengo County, Alabama",19.90%,± 0.1%
"Maricao Municipio, Puerto Rico",23.80%,± 1.5%
"Maricopa County, Arizona",15.60%,*****
"Maries County, Missouri",22.10%,± 0.5%
"Marin County, California",23.20%,± 0.1%
"Marinette County, Wisconsin",24.30%,± 0.1%
"Marion County, Alabama",20.90%,± 0.2%
"Marion County, Arkansas",28.80%,± 0.5%
"Marion County, Florida",28.90%,*****
"Marion County, Georgia",21.20%,± 0.8%
"Marion County, Illinois",19.70%,± 0.2%
"Marion County, Indiana",12.80%,± 0.1%
"Marion County, Iowa",18.70%,± 0.2%
"Marion County, Kansas",23.10%,± 0.2%
"Marion County, Kentucky",16.80%,± 0.5%
"Marion County, Mississippi",18.50%,± 0.2%
"Marion County, Missouri",18.20%,± 0.3%
"Marion County, Ohio",18.20%,± 0.2%
"Marion County, Oregon",16.20%,± 0.1%
"Marion County, South Carolina",20.30%,± 0.3%
"Marion County, Tennessee",20%,± 0.3%
"Marion County, Texas",27.10%,± 0.9%
"Marion County, West Virginia",19.70%,± 0.1%
"Mariposa County, California",29.30%,± 0.7%
"Marlboro County, South Carolina",18.10%,± 0.3%
"Marquette County, Michigan",19.70%,± 0.1%
"Marquette County, Wisconsin",25.30%,± 0.2%
"Marshall County, Alabama",17.20%,± 0.1%
"Marshall County, Illinois",23.50%,± 0.2%
"Marshall County, Indiana",18.10%,± 0.2%
"Marshall County, Iowa",17.70%,± 0.4%
"Marshall County, Kansas",22.10%,± 0.7%
"Marshall County, Kentucky",21.80%,± 0.1%
"Marshall County, Minnesota",22.20%,± 0.2%
"Marshall County, Mississippi",18.30%,± 0.2%
"Marshall County, Oklahoma",21.60%,± 0.4%
"Marshall County, South Dakota",22.70%,± 1.2%
"Marshall County, Tennessee",16.40%,± 0.3%
"Marshall County, West Virginia",22.80%,± 0.2%
"Martin County, Florida",31.80%,± 0.1%
"Martin County, Indiana",20.10%,± 0.2%
"Martin County, Kentucky",17.20%,*****
"Martin County, Minnesota",23.60%,± 0.2%
"Martin County, North Carolina",24.30%,± 0.4%
"Martin County, Texas",10.50%,± 2.5%
"Martinsville city, Virginia",17.70%,± 0.3%
"Mason County, Illinois",22.90%,± 0.5%
"Mason County, Kentucky",19%,± 1.2%
"Mason County, Michigan",24.90%,± 0.2%
"Mason County, Texas",31.20%,± 3.6%
"Mason County, Washington",23.40%,± 0.1%
"Mason County, West Virginia",21.70%,± 0.5%
"Massac County, Illinois",20.70%,± 0.4%
"Matagorda County, Texas",17.40%,± 0.4%
"Matanuska-Susitna Borough, Alaska",12.90%,± 0.1%
"Mathews County, Virginia",30.70%,± 2.2%
"Maui County, Hawaii",19.30%,± 0.1%
"Maunabo Municipio, Puerto Rico",24.80%,*****
"Maury County, Tennessee",16.60%,± 0.2%
"Maverick County, Texas",11.80%,± 0.1%
"Mayagüez Municipio, Puerto Rico",25.30%,*****
"Mayes County, Oklahoma",18.50%,± 0.1%
"McClain County, Oklahoma",15.40%,± 0.1%
"McCone County, Montana",29.30%,± 4.3%
"McCook County, South Dakota",18%,± 0.1%
"McCormick County, South Carolina",36.30%,*****
"McCracken County, Kentucky",20.10%,± 0.1%
"McCreary County, Kentucky",16.10%,± 0.3%
"McCulloch County, Texas",22.60%,± 1%
"McCurtain County, Oklahoma",17.90%,± 0.1%
"McDonald County, Missouri",15.20%,± 0.5%
"McDonough County, Illinois",18.80%,± 0.4%
"McDowell County, North Carolina",20.60%,± 0.3%
"McDowell County, West Virginia",23.10%,*****
"McDuffie County, Georgia",17.90%,± 0.4%
"McHenry County, Illinois",15.50%,± 0.1%
"McHenry County, North Dakota",21.60%,± 0.6%
"McIntosh County, Georgia",28.90%,± 1.2%
"McIntosh County, North Dakota",30.80%,± 0.8%
"McIntosh County, Oklahoma",25.40%,± 0.3%
"McKean County, Pennsylvania",20%,± 0.2%
"McKenzie County, North Dakota",8.90%,± 0.2%
"McKinley County, New Mexico",12.70%,± 0.1%
"McLean County, Illinois",13.90%,± 0.1%
"McLean County, Kentucky",19.70%,± 0.4%
"McLean County, North Dakota",24.60%,± 0.2%
"McLennan County, Texas",14.80%,± 0.1%
"McLeod County, Minnesota",19.40%,± 0.2%
"McMinn County, Tennessee",19.80%,± 0.2%
"McMullen County, Texas",19.10%,± 8.3%
"McNairy County, Tennessee",20.70%,± 0.2%
"McPherson County, Kansas",19.70%,± 0.2%
"McPherson County, Nebraska",29.40%,± 7.4%
"McPherson County, South Dakota",31.10%,± 2.1%
"Meade County, Kansas",16.20%,± 2%
"Meade County, Kentucky",14.70%,± 0.2%
"Meade County, South Dakota",15.90%,± 0.3%
"Meagher County, Montana",32.80%,± 3.6%
"Mecklenburg County, North Carolina",11.60%,± 0.1%
"Mecklenburg County, Virginia",26.20%,± 0.2%
"Mecosta County, Michigan",19.70%,± 0.1%
"Medina County, Ohio",18.80%,± 0.1%
"Medina County, Texas",17%,± 0.5%
"Meeker County, Minnesota",20.10%,± 0.1%
"Meigs County, Ohio",20.20%,± 0.3%
"Meigs County, Tennessee",21.10%,± 0.4%
"Mellette County, South Dakota",15.70%,± 2.1%
"Menard County, Illinois",20%,± 0.3%
"Menard County, Texas",35.50%,± 6.5%
"Mendocino County, California",23.30%,± 0.1%
"Menifee County, Kentucky",20.70%,± 2.7%
"Menominee County, Michigan",25.50%,± 0.2%
"Menominee County, Wisconsin",14.20%,± 1.4%
"Merced County, California",11.40%,± 0.1%
"Mercer County, Illinois",21.50%,± 0.1%
"Mercer County, Kentucky",18.80%,± 0.5%
"Mercer County, Missouri",21.90%,± 0.4%
"Mercer County, New Jersey",15.70%,± 0.1%
"Mercer County, North Dakota",21.20%,± 0.6%
"Mercer County, Ohio",18.50%,± 0.2%
"Mercer County, Pennsylvania",22.40%,± 0.1%
"Mercer County, West Virginia",22.30%,± 0.2%
"Meriwether County, Georgia",20.80%,± 0.8%
"Merrick County, Nebraska",21.50%,± 0.7%
"Merrimack County, New Hampshire",18.90%,± 0.1%
"Mesa County, Colorado",20%,± 0.1%
"Metcalfe County, Kentucky",18.60%,± 0.3%
"Miami County, Indiana",17.70%,± 0.2%
"Miami County, Kansas",17.30%,± 0.2%
"Miami County, Ohio",19%,± 0.1%
"Miami-Dade County, Florida",16.60%,± 0.1%
"Middlesex County, Massachusetts",15.70%,± 0.1%
"Middlesex County, New Jersey",15.40%,± 0.1%
"Middlesex County, Virginia",33.60%,± 0.8%
"Midland County, Michigan",19.50%,± 0.2%
"Midland County, Texas",10.30%,± 0.1%
"Mifflin County, Pennsylvania",21.60%,± 0.1%
"Milam County, Texas",20.70%,± 0.1%
"Millard County, Utah",17.30%,± 0.4%
"Mille Lacs County, Minnesota",18.20%,± 0.1%
"Miller County, Arkansas",16.60%,± 0.1%
"Miller County, Georgia",21.40%,± 1.5%
"Miller County, Missouri",19.20%,± 0.1%
"Mills County, Iowa",19.60%,± 0.7%
"Mills County, Texas",28.10%,± 3.3%
"Milwaukee County, Wisconsin",14.10%,± 0.1%
"Miner County, South Dakota",24.20%,± 2.6%
"Mineral County, Colorado",27.10%,± 7.6%
"Mineral County, Montana",27.90%,± 0.5%
"Mineral County, Nevada",28.80%,± 5.5%
"Mineral County, West Virginia",22.20%,± 0.2%
"Mingo County, West Virginia",20.70%,± 0.5%
"Minidoka County, Idaho",15.80%,± 0.2%
"Minnehaha County, South Dakota",13.50%,± 0.1%
"Missaukee County, Michigan",20.90%,± 0.2%
"Mississippi County, Arkansas",15%,± 0.1%
"Mississippi County, Missouri",18.40%,± 0.6%
"Missoula County, Montana",16.40%,± 0.1%
"Mitchell County, Georgia",17.70%,± 0.4%
"Mitchell County, Iowa",21.30%,± 0.1%
"Mitchell County, Kansas",22.70%,± 0.4%
"Mitchell County, North Carolina",25.10%,± 0.4%
"Mitchell County, Texas",14.30%,± 1.2%
"Mobile County, Alabama",16.70%,± 0.1%
"Moca Municipio, Puerto Rico",19.40%,*****
"Modoc County, California",29.70%,± 1.3%
"Moffat County, Colorado",15.20%,± 0.6%
"Mohave County, Arizona",31.30%,± 0.1%
"Moniteau County, Missouri",16.20%,± 0.3%
"Monmouth County, New Jersey",18.30%,± 0.1%
"Mono County, California",15.70%,± 0.7%
"Monona County, Iowa",24.10%,± 0.3%
"Monongalia County, West Virginia",12.90%,± 0.1%
"Monroe County, Alabama",21%,± 0.3%
"Monroe County, Arkansas",23.50%,± 0.1%
"Monroe County, Florida",23.50%,± 0.1%
"Monroe County, Georgia",18.70%,± 0.2%
"Monroe County, Illinois",18.40%,± 0.2%
"Monroe County, Indiana",13.80%,± 0.1%
"Monroe County, Iowa",19.50%,± 0.1%
"Monroe County, Kentucky",18.50%,± 0.1%
"Monroe County, Michigan",18.90%,± 0.1%
"Monroe County, Mississippi",19.60%,± 0.1%
"Monroe County, Missouri",24.30%,± 0.6%
"Monroe County, New York",17.90%,± 0.1%
"Monroe County, Ohio",23.20%,± 0.2%
"Monroe County, Pennsylvania",18.30%,± 0.1%
"Monroe County, Tennessee",21.50%,± 0.3%
"Monroe County, West Virginia",24.60%,± 0.5%
"Monroe County, Wisconsin",17.30%,± 0.1%
"Montague County, Texas",21.60%,± 0.3%
"Montcalm County, Michigan",17.40%,± 0.2%
"Monterey County, California",14.30%,± 0.1%
"Montezuma County, Colorado",23.60%,± 0.4%
"Montgomery County, Alabama",15.60%,± 0.1%
"Montgomery County, Arkansas",27%,± 0.4%
"Montgomery County, Georgia",17.10%,± 0.3%
"Montgomery County, Illinois",20.90%,± 0.3%
"Montgomery County, Indiana",18.30%,± 0.1%
"Montgomery County, Iowa",21.80%,± 0.1%
"Montgomery County, Kansas",19.40%,± 0.2%
"Montgomery County, Kentucky",16.80%,± 0.5%
"Montgomery County, Maryland",16.20%,± 0.1%
"Montgomery County, Mississippi",22.10%,*****
"Montgomery County, Missouri",20.30%,± 0.4%
"Montgomery County, New York",18.80%,± 0.1%
"Montgomery County, North Carolina",21.20%,± 0.3%
"Montgomery County, Ohio",18.20%,± 0.1%
"Montgomery County, Pennsylvania",18.20%,± 0.1%
"Montgomery County, Tennessee",9.50%,± 0.1%
"Montgomery County, Texas",13.40%,± 0.1%
"Montgomery County, Virginia",13.20%,± 0.2%
"Montmorency County, Michigan",31.90%,± 0.2%
"Montour County, Pennsylvania",21%,± 0.4%
"Montrose County, Colorado",24.90%,± 0.2%
"Moody County, South Dakota",19.50%,± 0.5%
"Moore County, North Carolina",24.10%,± 0.1%
"Moore County, Tennessee",21.20%,± 0.7%
"Moore County, Texas",11.20%,± 0.4%
"Mora County, New Mexico",33.20%,± 5.3%
"Morehouse Parish, Louisiana",19%,± 0.2%
"Morgan County, Alabama",17.90%,± 0.1%
"Morgan County, Colorado",15.70%,± 0.1%
"Morgan County, Georgia",20.20%,± 0.2%
"Morgan County, Illinois",20.60%,± 0.2%
"Morgan County, Indiana",17.30%,± 0.1%
"Morgan County, Kentucky",17.10%,± 0.4%
"Morgan County, Missouri",23.30%,± 0.2%
"Morgan County, Ohio",21.80%,± 0.6%
"Morgan County, Tennessee",18.30%,± 0.1%
"Morgan County, Utah",12%,± 0.4%
"Morgan County, West Virginia",24.10%,± 0.3%
"Morovis Municipio, Puerto Rico",17.90%,*****
"Morrill County, Nebraska",20.80%,± 0.5%
"Morris County, Kansas",25.30%,± 1.1%
"Morris County, New Jersey",17.60%,± 0.1%
"Morris County, Texas",21.70%,± 0.4%
"Morrison County, Minnesota",20.10%,± 0.1%
"Morrow County, Ohio",18.30%,± 0.3%
"Morrow County, Oregon",16.10%,± 1%
"Morton County, Kansas",20%,± 1.8%
"Morton County, North Dakota",16.50%,± 0.2%
"Motley County, Texas",31.30%,± 6.5%
"Moultrie County, Illinois",18.80%,± 0.3%
"Mountrail County, North Dakota",12.40%,± 0.4%
"Mower County, Minnesota",18.50%,± 0.2%
"Muhlenberg County, Kentucky",19.80%,± 0.2%
"Multnomah County, Oregon",14.10%,± 0.1%
"Murray County, Georgia",14.90%,± 0.3%
"Murray County, Minnesota",25.90%,± 0.2%
"Murray County, Oklahoma",19.80%,± 0.1%
"Muscatine County, Iowa",17.10%,± 0.2%
"Muscogee County, Georgia",14.10%,± 0.1%
"Muskegon County, Michigan",17.60%,± 0.1%
"Muskingum County, Ohio",17.90%,± 0.1%
"Muskogee County, Oklahoma",16.90%,± 0.1%
"Musselshell County, Montana",28.80%,± 1.5%
"Nacogdoches County, Texas",15.30%,± 0.1%
"Naguabo Municipio, Puerto Rico",19.30%,*****
"Nance County, Nebraska",21%,± 1%
"Nantucket County, Massachusetts",15.90%,± 1.2%
"Napa County, California",20.20%,± 0.1%
"Naranjito Municipio, Puerto Rico",21.40%,*****
"Nash County, North Carolina",18.80%,± 0.2%
"Nassau County, Florida",23%,± 0.1%
"Nassau County, New York",18%,± 0.1%
"Natchitoches Parish, Louisiana",16.60%,± 0.2%
"Natrona County, Wyoming",16%,± 0.1%
"Naugatuck Valley Planning Region, Connecticut",17.80%,*****
"Navajo County, Arizona",19%,± 0.1%
"Navarro County, Texas",16.60%,± 0.1%
"Nelson County, Kentucky",16.60%,± 0.2%
"Nelson County, North Dakota",27.40%,± 0.6%
"Nelson County, Virginia",28.50%,± 0.5%
"Nemaha County, Kansas",19.50%,± 0.3%
"Nemaha County, Nebraska",20.30%,± 0.4%
"Neosho County, Kansas",20.10%,± 0.5%
"Neshoba County, Mississippi",16.50%,± 0.3%
"Ness County, Kansas",23.30%,± 2.6%
"Nevada County, Arkansas",21%,*****
"Nevada County, California",28.40%,± 0.1%
"New Castle County, Delaware",16.20%,± 0.1%
"New Hanover County, North Carolina",18.50%,± 0.1%
"New Kent County, Virginia",18%,± 0.7%
"New Madrid County, Missouri",19.30%,± 0.1%
"New York County, New York",17.30%,± 0.1%
"Newaygo County, Michigan",19.80%,± 0.1%
"Newberry County, South Carolina",20%,± 0.1%
"Newport County, Rhode Island",23.90%,± 0.2%
"Newport News city, Virginia",13.40%,± 0.1%
"Newton County, Arkansas",26.70%,± 0.9%
"Newton County, Georgia",13.20%,± 0.2%
"Newton County, Indiana",19.50%,± 0.3%
"Newton County, Mississippi",17.30%,± 0.8%
"Newton County, Missouri",18.60%,± 0.1%
"Newton County, Texas",22.20%,± 0.2%
"Nez Perce County, Idaho",20.30%,± 0.2%
"Niagara County, New York",19.70%,*****
"Nicholas County, Kentucky",16.90%,± 0.3%
"Nicholas County, West Virginia",22.80%,± 0.2%
"Nicollet County, Minnesota",16.90%,± 0.1%
"Niobrara County, Wyoming",24.10%,± 5%
"Noble County, Indiana",16.40%,± 0.3%
"Noble County, Ohio",28.40%,*****
"Noble County, Oklahoma",20.70%,± 0.5%
"Nobles County, Minnesota",17.20%,± 0.5%
"Nodaway County, Missouri",16.80%,± 0.1%
"Nolan County, Texas",19.20%,± 0.8%
"Nome Census Area, Alaska",7.50%,± 0.9%
"Norfolk city, Virginia",12.30%,± 0.1%
"Norfolk County, Massachusetts",17.20%,± 0.1%
"Norman County, Minnesota",21.30%,± 0.4%
"North Slope Borough, Alaska",7.60%,± 1.4%
"Northampton County, North Carolina",27.60%,± 0.3%
"Northampton County, Pennsylvania",19.50%,± 0.1%
"Northampton County, Virginia",27.60%,± 0.2%
"Northeastern Connecticut Planning Region, Connecticut",17.10%,± 0.3%
"Northumberland County, Pennsylvania",21.60%,± 0.1%
"Northumberland County, Virginia",36.80%,± 0.3%
"Northwest Arctic Borough, Alaska",7.90%,± 0.2%
"Northwest Hills Planning Region, Connecticut",20.40%,± 0.2%
"Norton city, Virginia",21.50%,± 5%
"Norton County, Kansas",20.40%,± 0.5%
"Nottoway County, Virginia",18.30%,± 0.4%
"Nowata County, Oklahoma",19.80%,± 0.7%
"Noxubee County, Mississippi",17.10%,*****
"Nuckolls County, Nebraska",27.50%,± 0.5%
"Nueces County, Texas",15%,± 0.1%
"Nye County, Nevada",30.60%,± 0.4%
"O'Brien County, Iowa",21.50%,± 0.1%
"Oakland County, Michigan",17.50%,± 0.1%
"Obion County, Tennessee",20.40%,± 0.3%
"Ocean County, New Jersey",22.50%,± 0.1%
"Oceana County, Michigan",21.30%,± 0.1%
"Ochiltree County, Texas",10.70%,± 1%
"Oconee County, Georgia",15.50%,± 0.4%
"Oconee County, South Carolina",23.70%,± 0.1%
"Oconto County, Wisconsin",21.80%,± 0.2%
"Ogemaw County, Michigan",26.50%,± 0.3%
"Oglala Lakota County, South Dakota",7.50%,± 1.1%
"Ogle County, Illinois",19.30%,± 0.3%
"Oglethorpe County, Georgia",18.70%,± 0.7%
"Ohio County, Indiana",22.30%,± 0.2%
"Ohio County, Kentucky",18.20%,± 0.2%
"Ohio County, West Virginia",22.30%,± 0.2%
"Okaloosa County, Florida",16.30%,± 0.1%
"Okanogan County, Washington",22.40%,± 0.3%
"Okeechobee County, Florida",19.30%,± 0.3%
"Okfuskee County, Oklahoma",18%,± 0.2%
"Oklahoma County, Oklahoma",14.10%,± 0.1%
"Okmulgee County, Oklahoma",18.40%,± 0.1%
"Oktibbeha County, Mississippi",11.70%,± 0.1%
"Oldham County, Kentucky",13.80%,± 0.1%
"Oldham County, Texas",12.60%,± 2.7%
"Oliver County, North Dakota",25%,± 2.8%
"Olmsted County, Minnesota",16%,± 0.1%
"Oneida County, Idaho",19.80%,± 0.1%
"Oneida County, New York",19.20%,± 0.1%
"Oneida County, Wisconsin",26.90%,± 0.2%
"Onondaga County, New York",17.80%,± 0.1%
"Onslow County, North Carolina",9.60%,± 0.1%
"Ontario County, New York",21%,± 0.1%
"Ontonagon County, Michigan",37.10%,± 0.4%
"Orange County, California",15.40%,*****
"Orange County, Florida",12.40%,± 0.1%
"Orange County, Indiana",19.90%,± 0.3%
"Orange County, New York",14.10%,± 0.1%
"Orange County, North Carolina",15.40%,± 0.1%
"Orange County, Texas",15.70%,± 0.1%
"Orange County, Vermont",22.20%,± 0.1%
"Orange County, Virginia",19.90%,± 0.2%
"Orangeburg County, South Carolina",20.30%,± 0.1%
"Oregon County, Missouri",22.70%,± 0.3%
"Orleans County, New York",18.30%,± 0.2%
"Orleans County, Vermont",23.20%,± 0.1%
"Orleans Parish, Louisiana",15.90%,± 0.1%
"Orocovis Municipio, Puerto Rico",18.60%,*****
"Osage County, Kansas",19.90%,± 0.3%
"Osage County, Missouri",17.50%,± 0.1%
"Osage County, Oklahoma",20.50%,± 0.1%
"Osborne County, Kansas",25.80%,± 0.8%
"Osceola County, Florida",13.20%,± 0.1%
"Osceola County, Iowa",21.90%,± 0.1%
"Osceola County, Michigan",21.30%,± 0.2%
"Oscoda County, Michigan",28.30%,± 0.3%
"Oswego County, New York",17.10%,± 0.1%
"Otero County, Colorado",21.10%,± 0.5%
"Otero County, New Mexico",17%,± 0.2%
"Otoe County, Nebraska",20.30%,± 0.5%
"Otsego County, Michigan",21.70%,± 0.2%
"Otsego County, New York",21.20%,± 0.1%
"Ottawa County, Kansas",20.20%,± 0.5%
"Ottawa County, Michigan",15.70%,± 0.1%
"Ottawa County, Ohio",26.10%,± 0.2%
"Ottawa County, Oklahoma",18.10%,± 0.1%
"Otter Tail County, Minnesota",24.40%,± 0.1%
"Ouachita County, Arkansas",20.60%,± 0.2%
"Ouachita Parish, Louisiana",15.30%,± 0.1%
"Ouray County, Colorado",36.10%,± 3.6%
"Outagamie County, Wisconsin",15.70%,± 0.1%
"Overton County, Tennessee",20.10%,± 0.3%
"Owen County, Indiana",20.50%,± 0.4%
"Owen County, Kentucky",19.60%,± 0.5%
"Owsley County, Kentucky",22%,± 4.1%
"Owyhee County, Idaho",18.40%,± 0.4%
"Oxford County, Maine",22.80%,± 0.1%
"Ozark County, Missouri",28.80%,± 0.7%
"Ozaukee County, Wisconsin",20.60%,± 0.1%
"Pacific County, Washington",32.50%,± 0.7%
"Page County, Iowa",23.50%,± 0.6%
"Page County, Virginia",21.30%,± 0.3%
"Palm Beach County, Florida",24.40%,± 0.1%
"Palo Alto County, Iowa",22%,± 0.4%
"Palo Pinto County, Texas",19.80%,± 0.2%
"Pamlico County, North Carolina",30.30%,± 0.4%
"Panola County, Mississippi",16.80%,± 0.1%
"Panola County, Texas",20.20%,± 0.3%
"Park County, Colorado",22%,± 0.6%
"Park County, Montana",23.70%,± 0.3%
"Park County, Wyoming",24.10%,± 0.3%
"Parke County, Indiana",20.10%,± 0.2%
"Parker County, Texas",15.70%,± 0.1%
"Parmer County, Texas",15.30%,± 0.7%
"Pasco County, Florida",22.20%,± 0.1%
"Pasquotank County, North Carolina",17.60%,± 0.2%
"Passaic County, New Jersey",15.10%,± 0.1%
"Patillas Municipio, Puerto Rico",24.20%,*****
"Patrick County, Virginia",26.90%,± 0.5%
"Paulding County, Georgia",11.20%,± 0.1%
"Paulding County, Ohio",19%,± 0.2%
"Pawnee County, Kansas",21.90%,± 1.4%
"Pawnee County, Nebraska",28.40%,± 0.1%
"Pawnee County, Oklahoma",19.20%,± 0.1%
"Payette County, Idaho",19.10%,± 0.4%
"Payne County, Oklahoma",12.90%,± 0.1%
"Peach County, Georgia",16.40%,± 0.3%
"Pearl River County, Mississippi",19.10%,± 0.2%
"Pecos County, Texas",13.60%,± 0.6%
"Pembina County, North Dakota",24.80%,± 0.3%
"Pemiscot County, Missouri",17.50%,± 0.1%
"Pend Oreille County, Washington",26.80%,± 0.6%
"Pender County, North Carolina",18%,± 0.2%
"Pendleton County, Kentucky",16.50%,± 0.2%
"Pendleton County, West Virginia",28.30%,± 1.1%
"Pennington County, Minnesota",18.40%,± 0.3%
"Pennington County, South Dakota",19.10%,± 0.1%
"Penobscot County, Maine",19.40%,± 0.1%
"Peñuelas Municipio, Puerto Rico",18.40%,*****
"Peoria County, Illinois",17.70%,± 0.1%
"Pepin County, Wisconsin",23%,± 0.1%
"Perkins County, Nebraska",23.80%,± 0.8%
"Perkins County, South Dakota",25.80%,± 1.6%
"Perquimans County, North Carolina",28.10%,± 0.4%
"Perry County, Alabama",20.50%,*****
"Perry County, Arkansas",20.30%,± 0.7%
"Perry County, Illinois",19.50%,± 0.2%
"Perry County, Indiana",18.70%,± 0.1%
"Perry County, Kentucky",17%,± 0.1%
"Perry County, Mississippi",18.60%,*****
"Perry County, Missouri",19%,± 0.3%
"Perry County, Ohio",17.30%,± 0.2%
"Perry County, Pennsylvania",19.40%,± 0.1%
"Perry County, Tennessee",21.70%,± 1.4%
"Pershing County, Nevada",16.40%,± 1%
"Person County, North Carolina",20.30%,± 0.2%
"Petersburg Borough, Alaska",25%,± 3.5%
"Petersburg city, Virginia",16.90%,± 0.2%
"Petroleum County, Montana",21.90%,± 8.7%
"Pettis County, Missouri",17%,± 0.2%
"Phelps County, Missouri",16.50%,± 0.2%
"Phelps County, Nebraska",20.70%,± 0.3%
"Philadelphia County, Pennsylvania",14%,± 0.1%
"Phillips County, Arkansas",19.60%,± 0.1%
