Geography,Percent—Total population—AGE—Under 5 years—Estimate,MoE
"Lincoln Parish, Louisiana",5.30%,± 0.3%
"Linn County, Iowa",6%,± 0.1%
"Linn County, Kansas",5.20%,± 0.2%
"Linn County, Missouri",6%,± 0.3%
"Linn County, Oregon",5.70%,± 0.1%
"Lipscomb County, Texas",7.10%,± 1.3%
"Little River County, Arkansas",5.60%,± 1%
"Live Oak County, Texas",5.60%,± 0.8%
"Livingston County, Illinois",5.60%,± 0.2%
"Livingston County, Kentucky",5.10%,± 0.5%
"Livingston County, Michigan",4.90%,± 0.1%
"Livingston County, Missouri",5.40%,± 0.1%
"Livingston County, New York",4.20%,± 0.1%
"Livingston Parish, Louisiana",6.40%,± 0.1%
"Llano County, Texas",3.50%,± 0.4%
"Logan County, Arkansas",5.90%,± 0.3%
"Logan County, Colorado",5.50%,± 1.1%
"Logan County, Illinois",5%,± 0.2%
"Logan County, Kansas",7.50%,± 0.9%
"Logan County, Kentucky",6.50%,± 0.2%
"Logan County, Nebraska",3.70%,± 1.3%
"Logan County, North Dakota",6.30%,± 1.4%
"Logan County, Ohio",5.70%,± 0.1%
"Logan County, Oklahoma",5.40%,± 0.1%
"Logan County, West Virginia",5%,± 0.2%
"Loíza Municipio, Puerto Rico",3.30%,*****
"Long County, Georgia",5.90%,± 0.7%
"Lonoke County, Arkansas",6.10%,± 0.1%
"Lorain County, Ohio",5.40%,*****
"Los Alamos County, New Mexico",4.80%,± 0.7%
"Los Angeles County, California",5.40%,*****
"Loudon County, Tennessee",4.60%,± 0.1%
"Loudoun County, Virginia",6.50%,± 0.1%
"Louisa County, Iowa",5.80%,± 0.2%
"Louisa County, Virginia",5.30%,± 0.3%
"Loup County, Nebraska",6.40%,± 3.3%
"Love County, Oklahoma",6.20%,± 0.2%
"Loving County, Texas",24%,± 20.8%
"Lower Connecticut River Valley Planning Region, Connecticut",4.10%,± 0.1%
"Lowndes County, Alabama",5.80%,± 0.5%
"Lowndes County, Georgia",6.70%,± 0.1%
"Lowndes County, Mississippi",6.50%,± 0.1%
"Lubbock County, Texas",6.30%,± 0.1%
"Lucas County, Iowa",6%,± 0.1%
"Lucas County, Ohio",6.10%,± 0.1%
"Luce County, Michigan",4.90%,± 0.1%
"Lumpkin County, Georgia",4.10%,± 0.3%
"Luna County, New Mexico",7.90%,± 0.5%
"Lunenburg County, Virginia",4.80%,± 0.5%
"Luquillo Municipio, Puerto Rico",3.30%,*****
"Luzerne County, Pennsylvania",5.20%,± 0.1%
"Lycoming County, Pennsylvania",5.30%,± 0.1%
"Lyman County, South Dakota",8.30%,*****
"Lynchburg city, Virginia",5.90%,± 0.1%
"Lynn County, Texas",6.50%,± 0.3%
"Lyon County, Iowa",7.10%,± 0.3%
"Lyon County, Kansas",5.80%,± 0.2%
"Lyon County, Kentucky",3.30%,± 0.4%
"Lyon County, Minnesota",7%,± 0.3%
"Lyon County, Nevada",5.20%,± 0.2%
"Mackinac County, Michigan",3.90%,± 0.2%
"Macomb County, Michigan",5.30%,± 0.1%
"Macon County, Alabama",4.70%,± 0.3%
"Macon County, Georgia",5%,± 0.4%
"Macon County, Illinois",6.10%,± 0.1%
"Macon County, Missouri",5.50%,± 0.3%
"Macon County, North Carolina",4.40%,± 0.1%
"Macon County, Tennessee",6.20%,± 0.8%
"Macoupin County, Illinois",5%,± 0.1%
"Madera County, California",6.90%,± 0.1%
"Madison County, Alabama",5.70%,± 0.1%
"Madison County, Arkansas",6.30%,± 0.5%
"Madison County, Florida",4.70%,± 0.3%
"Madison County, Georgia",6.20%,± 0.3%
"Madison County, Idaho",6.90%,± 0.1%
"Madison County, Illinois",5.40%,± 0.1%
"Madison County, Indiana",5.40%,± 0.1%
"Madison County, Iowa",5.30%,± 0.2%
"Madison County, Kentucky",5.40%,± 0.1%
"Madison County, Mississippi",6.10%,± 0.1%
"Madison County, Missouri",5.10%,± 0.1%
"Madison County, Montana",3.60%,± 0.1%
"Madison County, Nebraska",7.10%,± 0.2%
"Madison County, New York",4.70%,± 0.1%
"Madison County, North Carolina",4.40%,± 0.3%
"Madison County, Ohio",4.80%,± 0.2%
"Madison County, Tennessee",6%,± 0.1%
"Madison County, Texas",5.90%,± 0.7%
"Madison County, Virginia",5.30%,± 0.4%
"Madison Parish, Louisiana",7.30%,± 0.4%
"Magoffin County, Kentucky",6%,± 0.3%
"Mahaska County, Iowa",6.30%,± 0.3%
"Mahnomen County, Minnesota",8.20%,± 0.1%
"Mahoning County, Ohio",5.30%,± 0.1%
"Major County, Oklahoma",5.90%,± 0.4%
"Malheur County, Oregon",6.40%,± 0.2%
"Manassas city, Virginia",7.70%,± 0.2%
"Manassas Park city, Virginia",6.90%,± 1.3%
"Manatee County, Florida",4.40%,± 0.1%
"Manatí Municipio, Puerto Rico",3.70%,*****
"Manistee County, Michigan",3.90%,± 0.2%
"Manitowoc County, Wisconsin",5%,± 0.1%
"Marathon County, Wisconsin",5.70%,*****
"Marengo County, Alabama",6.40%,± 0.5%
"Maricao Municipio, Puerto Rico",3.80%,± 0.5%
"Maricopa County, Arizona",5.90%,*****
"Maries County, Missouri",4.60%,± 0.2%
"Marin County, California",4.40%,± 0.1%
"Marinette County, Wisconsin",4.60%,± 0.1%
"Marion County, Alabama",4.90%,± 0.2%
"Marion County, Arkansas",4.30%,± 0.2%
"Marion County, Florida",4.70%,± 0.1%
"Marion County, Georgia",4.60%,± 0.6%
"Marion County, Illinois",6.30%,± 0.2%
"Marion County, Indiana",7%,± 0.1%
"Marion County, Iowa",5.50%,± 0.3%
"Marion County, Kansas",4.80%,± 0.2%
"Marion County, Kentucky",5.90%,± 0.7%
"Marion County, Mississippi",5.90%,± 0.3%
"Marion County, Missouri",6.10%,± 0.1%
"Marion County, Ohio",5.60%,± 0.1%
"Marion County, Oregon",6.20%,*****
"Marion County, South Carolina",5.30%,± 0.1%
"Marion County, Tennessee",5.40%,± 0.3%
"Marion County, Texas",3.50%,± 0.7%
"Marion County, West Virginia",5.30%,± 0.1%
"Mariposa County, California",3.50%,± 0.4%
"Marlboro County, South Carolina",5.10%,± 0.4%
"Marquette County, Michigan",4.50%,± 0.1%
"Marquette County, Wisconsin",4.50%,± 0.2%
"Marshall County, Alabama",7%,± 0.1%
"Marshall County, Illinois",5.40%,± 0.4%
"Marshall County, Indiana",6.20%,± 0.1%
"Marshall County, Iowa",6.10%,± 0.3%
"Marshall County, Kansas",6.50%,± 0.4%
"Marshall County, Kentucky",4.90%,± 0.2%
"Marshall County, Minnesota",5.80%,± 0.2%
"Marshall County, Mississippi",6%,± 0.4%
"Marshall County, Oklahoma",6.30%,± 0.4%
"Marshall County, South Dakota",6.80%,± 0.4%
"Marshall County, Tennessee",5.60%,± 0.5%
"Marshall County, West Virginia",4.60%,± 0.2%
"Martin County, Florida",4%,± 0.1%
"Martin County, Indiana",5.90%,± 0.4%
"Martin County, Kentucky",4.70%,*****
"Martin County, Minnesota",5.60%,± 0.1%
"Martin County, North Carolina",5.10%,± 0.3%
"Martin County, Texas",6.40%,± 0.9%
"Martinsville city, Virginia",7%,± 1.2%
"Mason County, Illinois",4.90%,± 0.1%
"Mason County, Kentucky",5.90%,± 0.2%
"Mason County, Michigan",4.80%,± 0.2%
"Mason County, Texas",8.60%,± 2.3%
"Mason County, Washington",5%,± 0.2%
"Mason County, West Virginia",5.30%,± 0.3%
"Massac County, Illinois",5.20%,± 0.5%
"Matagorda County, Texas",7.40%,± 0.6%
"Matanuska-Susitna Borough, Alaska",6.50%,± 0.1%
"Mathews County, Virginia",3.10%,± 1.2%
"Maui County, Hawaii",5.50%,± 0.1%
"Maunabo Municipio, Puerto Rico",3.10%,*****
"Maury County, Tennessee",6.30%,± 0.1%
"Maverick County, Texas",8.80%,± 0.2%
"Mayagüez Municipio, Puerto Rico",3.20%,*****
"Mayes County, Oklahoma",5.70%,± 0.1%
"McClain County, Oklahoma",5.40%,± 0.1%
"McCone County, Montana",5%,± 1.6%
"McCook County, South Dakota",8.10%,± 0.3%
"McCormick County, South Carolina",2.50%,± 0.4%
"McCracken County, Kentucky",5.80%,± 0.1%
"McCreary County, Kentucky",5.40%,± 0.1%
"McCulloch County, Texas",5.40%,± 2.5%
"McCurtain County, Oklahoma",7%,± 0.1%
"McDonald County, Missouri",6.60%,± 0.1%
"McDonough County, Illinois",4.50%,± 0.3%
"McDowell County, North Carolina",4.60%,± 0.3%
"McDowell County, West Virginia",4.70%,± 0.8%
"McDuffie County, Georgia",6.30%,± 0.2%
"McHenry County, Illinois",5.30%,± 0.1%
"McHenry County, North Dakota",5.50%,± 0.1%
"McIntosh County, Georgia",2.60%,± 0.4%
"McIntosh County, North Dakota",4.70%,± 0.4%
"McIntosh County, Oklahoma",5.10%,± 0.4%
"McKean County, Pennsylvania",4.70%,± 0.1%
"McKenzie County, North Dakota",10.60%,± 0.8%
"McKinley County, New Mexico",6.30%,± 0.1%
"McLean County, Illinois",5.50%,± 0.1%
"McLean County, Kentucky",5.40%,± 0.2%
"McLean County, North Dakota",5.30%,± 0.2%
"McLennan County, Texas",6.50%,± 0.1%
"McLeod County, Minnesota",5.40%,± 0.1%
"McMinn County, Tennessee",5.60%,± 0.1%
"McMullen County, Texas",7.50%,± 4.7%
"McNairy County, Tennessee",5.40%,± 0.3%
"McPherson County, Kansas",5%,± 0.1%
"McPherson County, Nebraska",3.70%,± 2%
"McPherson County, South Dakota",5.80%,± 1.2%
"Meade County, Kansas",7.30%,± 1.1%
"Meade County, Kentucky",5.20%,± 0.2%
"Meade County, South Dakota",4.90%,± 0.2%
"Meagher County, Montana",3%,± 2.8%
"Mecklenburg County, North Carolina",6.40%,± 0.1%
"Mecklenburg County, Virginia",4.90%,± 0.2%
"Mecosta County, Michigan",5.20%,± 0.1%
"Medina County, Ohio",5%,± 0.1%
"Medina County, Texas",5.60%,± 0.1%
"Meeker County, Minnesota",5.80%,± 0.1%
"Meigs County, Ohio",4.90%,± 0.1%
"Meigs County, Tennessee",4.90%,± 0.3%
"Mellette County, South Dakota",6.40%,± 1.9%
"Menard County, Illinois",5%,± 0.3%
"Menard County, Texas",3.90%,± 3.3%
"Mendocino County, California",5.40%,± 0.1%
"Menifee County, Kentucky",7.70%,± 1.5%
"Menominee County, Michigan",4.30%,± 0.2%
"Menominee County, Wisconsin",8.30%,± 1%
"Merced County, California",7.30%,± 0.1%
"Mercer County, Illinois",4.90%,± 0.2%
"Mercer County, Kentucky",5.60%,± 0.2%
"Mercer County, Missouri",7.30%,± 0.9%
"Mercer County, New Jersey",5.50%,± 0.1%
"Mercer County, North Dakota",5.70%,± 0.6%
"Mercer County, Ohio",7.50%,± 0.4%
"Mercer County, Pennsylvania",4.80%,± 0.1%
"Mercer County, West Virginia",5.30%,± 0.1%
"Meriwether County, Georgia",5.70%,± 0.2%
"Merrick County, Nebraska",5.70%,± 0.3%
"Merrimack County, New Hampshire",4.50%,± 0.1%
"Mesa County, Colorado",5.30%,± 0.1%
"Metcalfe County, Kentucky",5.70%,± 0.3%
"Miami County, Indiana",5.20%,± 0.3%
"Miami County, Kansas",5.40%,± 0.2%
"Miami County, Ohio",5.70%,± 0.1%
"Miami-Dade County, Florida",5.50%,± 0.1%
"Middlesex County, Massachusetts",5.10%,± 0.1%
"Middlesex County, New Jersey",5.50%,± 0.1%
"Middlesex County, Virginia",3.50%,± 0.4%
"Midland County, Michigan",5.30%,± 0.1%
"Midland County, Texas",8.40%,± 0.1%
"Mifflin County, Pennsylvania",6.40%,± 0.2%
"Milam County, Texas",5.60%,± 0.1%
"Millard County, Utah",7.30%,± 0.2%
"Mille Lacs County, Minnesota",5.90%,± 0.2%
"Miller County, Arkansas",6%,± 0.2%
"Miller County, Georgia",6.20%,± 1.1%
"Miller County, Missouri",6%,± 0.2%
"Mills County, Iowa",5.30%,± 0.5%
"Mills County, Texas",2.10%,± 1.1%
"Milwaukee County, Wisconsin",6.60%,± 0.1%
"Miner County, South Dakota",4.80%,± 1.6%
"Mineral County, Colorado",3.90%,± 4.7%
"Mineral County, Montana",6.60%,± 0.9%
"Mineral County, Nevada",6.30%,± 2.4%
"Mineral County, West Virginia",4.60%,± 0.2%
"Mingo County, West Virginia",5.70%,± 0.2%
"Minidoka County, Idaho",7.40%,± 0.2%
"Minnehaha County, South Dakota",7.30%,*****
"Missaukee County, Michigan",5.70%,± 0.1%
"Mississippi County, Arkansas",6.90%,± 0.3%
"Mississippi County, Missouri",4.80%,± 0.7%
"Missoula County, Montana",4.70%,± 0.1%
"Mitchell County, Georgia",5.70%,± 0.1%
"Mitchell County, Iowa",6%,± 0.4%
"Mitchell County, Kansas",5.60%,± 0.1%
"Mitchell County, North Carolina",4.50%,± 0.4%
"Mitchell County, Texas",6.20%,± 1.1%
"Mobile County, Alabama",6.40%,± 0.1%
"Moca Municipio, Puerto Rico",3.60%,*****
"Modoc County, California",4.80%,± 0.5%
"Moffat County, Colorado",6.10%,± 0.2%
"Mohave County, Arizona",4.10%,± 0.1%
"Moniteau County, Missouri",6.40%,± 0.2%
"Monmouth County, New Jersey",4.90%,± 0.1%
"Mono County, California",4%,± 1%
"Monona County, Iowa",5.30%,± 0.1%
"Monongalia County, West Virginia",4.50%,± 0.1%
"Monroe County, Alabama",3.10%,± 0.5%
"Monroe County, Arkansas",6.70%,± 1.1%
"Monroe County, Florida",4.50%,± 0.1%
"Monroe County, Georgia",4.80%,± 0.2%
"Monroe County, Illinois",5.50%,± 0.1%
"Monroe County, Indiana",4.20%,± 0.1%
"Monroe County, Iowa",6%,± 1.1%
"Monroe County, Kentucky",6.30%,± 0.4%
"Monroe County, Michigan",5.10%,± 0.1%
"Monroe County, Mississippi",5.70%,± 0.2%
"Monroe County, Missouri",5.30%,± 0.4%
"Monroe County, New York",5.30%,± 0.1%
"Monroe County, Ohio",4.90%,± 0.2%
"Monroe County, Pennsylvania",4.60%,± 0.1%
"Monroe County, Tennessee",5.10%,± 0.1%
"Monroe County, West Virginia",4.80%,± 0.3%
"Monroe County, Wisconsin",6.30%,± 0.2%
"Montague County, Texas",5.20%,± 0.1%
"Montcalm County, Michigan",5.30%,± 0.1%
"Monterey County, California",6.70%,± 0.1%
"Montezuma County, Colorado",4.70%,± 0.6%
"Montgomery County, Alabama",6.70%,± 0.1%
"Montgomery County, Arkansas",4.60%,± 0.3%
"Montgomery County, Georgia",5.30%,± 0.4%
"Montgomery County, Illinois",5.20%,± 0.1%
"Montgomery County, Indiana",5.80%,± 0.2%
"Montgomery County, Iowa",5.90%,± 0.7%
"Montgomery County, Kansas",5.70%,± 0.2%
"Montgomery County, Kentucky",5.80%,± 0.3%
"Montgomery County, Maryland",5.90%,± 0.1%
"Montgomery County, Mississippi",4%,± 0.5%
"Montgomery County, Missouri",5.80%,± 0.3%
"Montgomery County, New York",6.20%,± 0.1%
"Montgomery County, North Carolina",5.10%,± 0.2%
"Montgomery County, Ohio",6%,± 0.1%
"Montgomery County, Pennsylvania",5.30%,± 0.1%
"Montgomery County, Tennessee",8%,± 0.1%
"Montgomery County, Texas",6.40%,± 0.1%
"Montgomery County, Virginia",3.80%,± 0.1%
"Montmorency County, Michigan",3.70%,± 0.2%
"Montour County, Pennsylvania",5.80%,± 0.4%
"Montrose County, Colorado",4.80%,± 0.1%
"Moody County, South Dakota",7.50%,± 0.3%
"Moore County, North Carolina",5.80%,± 0.1%
"Moore County, Tennessee",4.30%,± 0.1%
"Moore County, Texas",9%,± 0.6%
"Mora County, New Mexico",2.90%,± 1.6%
"Morehouse Parish, Louisiana",6.20%,± 0.1%
"Morgan County, Alabama",6%,± 0.1%
"Morgan County, Colorado",7.10%,± 0.3%
"Morgan County, Georgia",4.80%,± 0.5%
"Morgan County, Illinois",5.20%,± 0.3%
"Morgan County, Indiana",5.10%,± 0.1%
"Morgan County, Kentucky",4.70%,± 0.3%
"Morgan County, Missouri",6.60%,± 0.3%
"Morgan County, Ohio",4.70%,± 0.4%
"Morgan County, Tennessee",4.70%,± 0.1%
"Morgan County, Utah",6.80%,± 0.5%
"Morgan County, West Virginia",3.90%,± 0.1%
"Morovis Municipio, Puerto Rico",3.80%,*****
"Morrill County, Nebraska",6.40%,± 0.5%
"Morris County, Kansas",4.80%,± 0.2%
"Morris County, New Jersey",4.90%,± 0.1%
"Morris County, Texas",4.60%,± 0.3%
"Morrison County, Minnesota",5.60%,± 0.2%
"Morrow County, Ohio",5.40%,± 0.2%
"Morrow County, Oregon",7.10%,± 0.2%
"Morton County, Kansas",4.60%,± 1.3%
"Morton County, North Dakota",5.90%,± 0.7%
"Motley County, Texas",6.20%,± 3.5%
"Moultrie County, Illinois",5.90%,± 0.2%
"Mountrail County, North Dakota",8.50%,± 0.8%
"Mower County, Minnesota",6.60%,± 0.1%
"Muhlenberg County, Kentucky",5.70%,± 0.4%
"Multnomah County, Oregon",4.80%,*****
"Murray County, Georgia",6%,± 0.1%
"Murray County, Minnesota",5.20%,± 0.2%
"Murray County, Oklahoma",6.10%,± 0.5%
"Muscatine County, Iowa",6.10%,± 0.1%
"Muscogee County, Georgia",6.90%,± 0.1%
"Muskegon County, Michigan",5.80%,*****
"Muskingum County, Ohio",6%,± 0.1%
"Muskogee County, Oklahoma",6.40%,± 0.1%
"Musselshell County, Montana",3.70%,± 0.8%
"Nacogdoches County, Texas",6.10%,± 0.1%
"Naguabo Municipio, Puerto Rico",3.80%,*****
"Nance County, Nebraska",5.20%,± 0.1%
"Nantucket County, Massachusetts",5.30%,± 1.4%
"Napa County, California",4.60%,± 0.1%
"Naranjito Municipio, Puerto Rico",1.70%,± 0.8%
"Nash County, North Carolina",5.60%,± 0.1%
"Nassau County, Florida",4.80%,± 0.2%
"Nassau County, New York",5.30%,± 0.1%
"Natchitoches Parish, Louisiana",6.10%,± 0.1%
"Natrona County, Wyoming",6.20%,± 0.2%
"Naugatuck Valley Planning Region, Connecticut",5.20%,± 0.1%
"Navajo County, Arizona",6.30%,± 0.1%
"Navarro County, Texas",6.50%,± 0.1%
"Nelson County, Kentucky",6.10%,± 0.2%
"Nelson County, North Dakota",5%,± 0.5%
"Nelson County, Virginia",4.70%,± 0.5%
"Nemaha County, Kansas",7.10%,± 0.3%
"Nemaha County, Nebraska",5.80%,± 0.3%
"Neosho County, Kansas",6.30%,± 0.7%
"Neshoba County, Mississippi",7.20%,± 0.1%
"Ness County, Kansas",5%,± 1.3%
"Nevada County, Arkansas",5.60%,*****
"Nevada County, California",4.10%,± 0.1%
"New Castle County, Delaware",5.50%,± 0.1%
"New Hanover County, North Carolina",4.60%,± 0.1%
"New Kent County, Virginia",4.10%,± 0.3%
"New Madrid County, Missouri",6.40%,± 0.2%
"New York County, New York",4.50%,± 0.1%
"Newaygo County, Michigan",5.50%,± 0.1%
"Newberry County, South Carolina",5.50%,± 0.1%
"Newport County, Rhode Island",4%,± 0.1%
"Newport News city, Virginia",7.10%,± 0.1%
"Newton County, Arkansas",4.40%,± 0.3%
"Newton County, Georgia",6.10%,± 0.1%
"Newton County, Indiana",5.40%,± 0.3%
"Newton County, Mississippi",6.40%,± 0.4%
"Newton County, Missouri",6%,± 0.3%
"Newton County, Texas",4.70%,± 0.6%
"Nez Perce County, Idaho",5.40%,± 0.3%
"Niagara County, New York",5.10%,*****
"Nicholas County, Kentucky",5.80%,± 0.1%
"Nicholas County, West Virginia",4.60%,± 0.1%
"Nicollet County, Minnesota",5.50%,± 0.2%
"Niobrara County, Wyoming",3.50%,± 1.5%
"Noble County, Indiana",6.40%,± 0.1%
"Noble County, Ohio",5%,*****
"Noble County, Oklahoma",5.90%,± 0.4%
"Nobles County, Minnesota",8.10%,± 0.3%
"Nodaway County, Missouri",4.90%,± 0.2%
"Nolan County, Texas",7%,± 0.6%
"Nome Census Area, Alaska",9%,± 0.2%
"Norfolk city, Virginia",6.50%,± 0.1%
"Norfolk County, Massachusetts",5.20%,± 0.1%
"Norman County, Minnesota",5.70%,± 0.4%
"North Slope Borough, Alaska",5.60%,± 0.2%
"Northampton County, North Carolina",5%,± 0.4%
"Northampton County, Pennsylvania",4.70%,± 0.1%
"Northampton County, Virginia",4.50%,± 0.5%
"Northeastern Connecticut Planning Region, Connecticut",4.80%,± 0.1%
"Northumberland County, Pennsylvania",5%,± 0.1%
"Northumberland County, Virginia",3.10%,± 0.6%
"Northwest Arctic Borough, Alaska",10.40%,± 0.4%
"Northwest Hills Planning Region, Connecticut",4.50%,± 0.1%
"Norton city, Virginia",3.30%,± 2.6%
"Norton County, Kansas",5.90%,± 0.5%
"Nottoway County, Virginia",5%,± 0.4%
"Nowata County, Oklahoma",6.50%,± 0.3%
"Noxubee County, Mississippi",7.40%,*****
"Nuckolls County, Nebraska",4.60%,± 0.6%
"Nueces County, Texas",6.30%,± 0.1%
"Nye County, Nevada",4.10%,± 0.3%
"O'Brien County, Iowa",6.30%,± 0.1%
"Oakland County, Michigan",5.20%,± 0.1%
"Obion County, Tennessee",5.50%,± 0.3%
"Ocean County, New Jersey",7.20%,± 0.1%
"Oceana County, Michigan",5.10%,± 0.1%
"Ochiltree County, Texas",7.60%,± 0.1%
"Oconee County, Georgia",4.80%,± 0.2%
"Oconee County, South Carolina",4.60%,± 0.1%
"Oconto County, Wisconsin",4.70%,± 0.1%
"Ogemaw County, Michigan",4.40%,± 0.2%
"Oglala Lakota County, South Dakota",9.10%,± 0.6%
"Ogle County, Illinois",5.30%,± 0.1%
"Oglethorpe County, Georgia",5.10%,± 0.7%
"Ohio County, Indiana",6.30%,± 0.8%
"Ohio County, Kentucky",5.40%,± 0.1%
"Ohio County, West Virginia",5.10%,± 0.1%
"Okaloosa County, Florida",6.30%,± 0.1%
"Okanogan County, Washington",5.70%,± 0.1%
"Okeechobee County, Florida",6%,± 0.2%
"Okfuskee County, Oklahoma",5.40%,± 0.2%
"Oklahoma County, Oklahoma",7%,± 0.1%
"Okmulgee County, Oklahoma",5.70%,± 0.1%
"Oktibbeha County, Mississippi",4.90%,± 0.2%
"Oldham County, Kentucky",4.90%,± 0.1%
"Oldham County, Texas",5.80%,± 1.2%
"Oliver County, North Dakota",7%,± 1.7%
"Olmsted County, Minnesota",6.40%,± 0.1%
"Oneida County, Idaho",6.80%,± 0.6%
"Oneida County, New York",5.50%,± 0.1%
"Oneida County, Wisconsin",4.30%,± 0.2%
"Onondaga County, New York",5.50%,± 0.1%
"Onslow County, North Carolina",8.20%,± 0.1%
"Ontario County, New York",4.70%,± 0.1%
"Ontonagon County, Michigan",2.60%,± 0.2%
"Orange County, California",5.50%,*****
"Orange County, Florida",5.70%,± 0.1%
"Orange County, Indiana",6.10%,± 0.2%
"Orange County, New York",6.60%,± 0.1%
"Orange County, North Carolina",4.20%,± 0.1%
"Orange County, Texas",6.50%,± 0.1%
"Orange County, Vermont",4.30%,± 0.1%
"Orange County, Virginia",5.60%,± 0.4%
"Orangeburg County, South Carolina",5.20%,± 0.2%
"Oregon County, Missouri",6%,± 0.4%
"Orleans County, New York",4.90%,± 0.4%
"Orleans County, Vermont",4.70%,± 0.2%
"Orleans Parish, Louisiana",5.60%,± 0.1%
"Orocovis Municipio, Puerto Rico",4.20%,*****
"Osage County, Kansas",5.40%,± 0.2%
"Osage County, Missouri",5.30%,± 0.1%
"Osage County, Oklahoma",5%,± 0.3%
"Osborne County, Kansas",6%,± 0.5%
"Osceola County, Florida",6%,± 0.1%
"Osceola County, Iowa",4.90%,± 0.6%
"Osceola County, Michigan",5.40%,± 0.2%
"Oscoda County, Michigan",5.20%,± 0.2%
"Oswego County, New York",5.30%,± 0.1%
"Otero County, Colorado",5.70%,± 0.2%
"Otero County, New Mexico",6.10%,± 0.1%
"Otoe County, Nebraska",5.70%,± 0.4%
"Otsego County, Michigan",5.10%,± 0.2%
"Otsego County, New York",3.90%,± 0.1%
"Ottawa County, Kansas",5.30%,± 0.3%
"Ottawa County, Michigan",5.70%,± 0.1%
"Ottawa County, Ohio",3.80%,± 0.2%
"Ottawa County, Oklahoma",6.50%,± 0.1%
"Otter Tail County, Minnesota",5.50%,± 0.1%
"Ouachita County, Arkansas",5.50%,± 0.2%
"Ouachita Parish, Louisiana",6.50%,± 0.1%
"Ouray County, Colorado",2.90%,± 1.5%
"Outagamie County, Wisconsin",5.90%,± 0.1%
"Overton County, Tennessee",5%,± 0.1%
"Owen County, Indiana",5.10%,± 0.2%
"Owen County, Kentucky",5.50%,± 0.5%
"Owsley County, Kentucky",5.60%,± 2.7%
"Owyhee County, Idaho",6.30%,± 0.2%
"Oxford County, Maine",4.20%,± 0.1%
"Ozark County, Missouri",4%,± 0.1%
"Ozaukee County, Wisconsin",5.10%,± 0.1%
"Pacific County, Washington",3.50%,± 0.2%
"Page County, Iowa",4.80%,± 0.5%
"Page County, Virginia",5.10%,± 0.3%
"Palm Beach County, Florida",4.90%,± 0.1%
"Palo Alto County, Iowa",6.30%,± 0.4%
"Palo Pinto County, Texas",5.90%,± 0.1%
"Pamlico County, North Carolina",2.70%,± 0.3%
"Panola County, Mississippi",6.80%,± 0.1%
"Panola County, Texas",5.70%,*****
"Park County, Colorado",3.40%,± 0.5%
"Park County, Montana",4.30%,± 0.4%
"Park County, Wyoming",4.90%,± 0.2%
"Parke County, Indiana",5.80%,± 0.3%
"Parker County, Texas",6%,± 0.1%
"Parmer County, Texas",7.40%,± 0.4%
"Pasco County, Florida",4.90%,± 0.1%
"Pasquotank County, North Carolina",5.80%,± 0.4%
"Passaic County, New Jersey",6.40%,± 0.1%
"Patillas Municipio, Puerto Rico",3%,*****
"Patrick County, Virginia",4.40%,± 0.3%
"Paulding County, Georgia",6.10%,± 0.1%
"Paulding County, Ohio",5.50%,± 0.2%
"Pawnee County, Kansas",3.30%,± 0.1%
"Pawnee County, Nebraska",7%,± 0.6%
"Pawnee County, Oklahoma",6%,± 0.3%
"Payette County, Idaho",6.50%,± 0.3%
"Payne County, Oklahoma",4.60%,± 0.1%
"Peach County, Georgia",5.70%,± 0.4%
"Pearl River County, Mississippi",5.60%,± 0.1%
"Pecos County, Texas",6.70%,± 1.1%
"Pembina County, North Dakota",5.30%,± 0.2%
"Pemiscot County, Missouri",7.10%,± 0.2%
"Pend Oreille County, Washington",4.40%,± 0.2%
"Pender County, North Carolina",5.40%,± 0.1%
"Pendleton County, Kentucky",5.90%,± 0.3%
"Pendleton County, West Virginia",4.60%,± 0.1%
"Pennington County, Minnesota",5.90%,± 0.4%
"Pennington County, South Dakota",6.10%,± 0.1%
"Penobscot County, Maine",4.50%,± 0.1%
"Peñuelas Municipio, Puerto Rico",4.30%,*****
"Peoria County, Illinois",6.70%,± 0.1%
"Pepin County, Wisconsin",5.50%,± 0.3%
"Perkins County, Nebraska",5.60%,± 0.1%
"Perkins County, South Dakota",6.50%,± 0.8%
"Perquimans County, North Carolina",4.30%,± 0.1%
"Perry County, Alabama",6.10%,± 1.4%
"Perry County, Arkansas",4.80%,± 0.1%
"Perry County, Illinois",4.80%,± 0.4%
"Perry County, Indiana",5.60%,± 0.2%
"Perry County, Kentucky",6.10%,± 0.2%
"Perry County, Mississippi",5%,± 0.4%
"Perry County, Missouri",5.50%,± 0.2%
"Perry County, Ohio",5.90%,± 0.2%
"Perry County, Pennsylvania",5.40%,± 0.1%
"Perry County, Tennessee",5.90%,± 0.3%
"Pershing County, Nevada",5%,± 0.5%
"Person County, North Carolina",5.30%,± 0.2%
"Petersburg Borough, Alaska",4.40%,± 1.3%
"Petersburg city, Virginia",7.40%,± 0.2%
"Petroleum County, Montana",8.90%,± 5.9%
"Pettis County, Missouri",6.80%,± 0.1%
"Phelps County, Missouri",5.30%,± 0.3%
"Phelps County, Nebraska",6.30%,± 0.3%
"Philadelphia County, Pennsylvania",6.20%,± 0.1%
"Phillips County, Arkansas",7%,± 0.1%
"Phillips County, Colorado",7.50%,± 2.8%
"Phillips County, Kansas",6%,± 0.4%
