Geography,Percent occupied housing units—Occupied housing units—VEHICLES AVAILABLE—No vehicle available—Estimate,MoE
"Lincoln County, Washington",2.80%,± 1%
"Lincoln County, West Virginia",9%,± 3.1%
"Lincoln County, Wisconsin",5.30%,± 1.4%
"Lincoln County, Wyoming",3.10%,± 1.7%
"Lincoln Parish, Louisiana",8.60%,± 2.2%
"Linn County, Iowa",5.10%,± 0.5%
"Linn County, Kansas",4.10%,± 1.8%
"Linn County, Missouri",5.40%,± 1.7%
"Linn County, Oregon",4.40%,± 0.6%
"Lipscomb County, Texas",4.30%,± 2.5%
"Little River County, Arkansas",4.90%,± 1.6%
"Live Oak County, Texas",6.90%,± 3.1%
"Livingston County, Illinois",5.20%,± 1.3%
"Livingston County, Kentucky",2.90%,± 1.8%
"Livingston County, Michigan",3%,± 0.4%
"Livingston County, Missouri",6.20%,± 2.1%
"Livingston County, New York",6%,± 0.9%
"Livingston Parish, Louisiana",4.10%,± 0.8%
"Llano County, Texas",3.30%,± 1.2%
"Logan County, Arkansas",5.20%,± 1.5%
"Logan County, Colorado",5.80%,± 1.9%
"Logan County, Illinois",7%,± 1.4%
"Logan County, Kansas",3.50%,± 2.7%
"Logan County, Kentucky",6.10%,± 1.6%
"Logan County, Nebraska",0%,± 7.8%
"Logan County, North Dakota",1.30%,± 1.1%
"Logan County, Ohio",5.40%,± 1.3%
"Logan County, Oklahoma",3.20%,± 0.9%
"Logan County, West Virginia",9.80%,± 2.1%
"Loíza Municipio, Puerto Rico",19.40%,± 2.8%
"Long County, Georgia",7.90%,± 3.6%
"Lonoke County, Arkansas",4.90%,± 1.2%
"Lorain County, Ohio",5.70%,± 0.5%
"Los Alamos County, New Mexico",1.20%,± 0.7%
"Los Angeles County, California",8.70%,± 0.1%
"Loudon County, Tennessee",3.10%,± 1%
"Loudoun County, Virginia",3.10%,± 0.4%
"Louisa County, Iowa",4.50%,± 1.2%
"Louisa County, Virginia",3.50%,± 1.3%
"Loup County, Nebraska",1.80%,± 1.9%
"Love County, Oklahoma",3.60%,± 1.3%
"Loving County, Texas",12.50%,± 14.9%
"Lower Connecticut River Valley Planning Region, Connecticut",4.80%,± 0.7%
"Lowndes County, Alabama",11.10%,± 2.5%
"Lowndes County, Georgia",7.50%,± 1.2%
"Lowndes County, Mississippi",6.80%,± 1.5%
"Lubbock County, Texas",5.60%,± 0.6%
"Lucas County, Iowa",7.70%,± 2.4%
"Lucas County, Ohio",8.60%,± 0.5%
"Luce County, Michigan",5.60%,± 2.7%
"Lumpkin County, Georgia",2.60%,± 1.6%
"Luna County, New Mexico",8.10%,± 2.4%
"Lunenburg County, Virginia",7.70%,± 3%
"Luquillo Municipio, Puerto Rico",14.90%,± 3.3%
"Luzerne County, Pennsylvania",10.70%,± 0.6%
"Lycoming County, Pennsylvania",9.40%,± 1.3%
"Lyman County, South Dakota",10.10%,± 2.5%
"Lynchburg city, Virginia",10.60%,± 1.2%
"Lynn County, Texas",4.20%,± 2.4%
"Lyon County, Iowa",3.90%,± 1.5%
"Lyon County, Kansas",6.50%,± 1.9%
"Lyon County, Kentucky",2.70%,± 1.9%
"Lyon County, Minnesota",7.30%,± 1.4%
"Lyon County, Nevada",2.70%,± 0.9%
"Mackinac County, Michigan",12.10%,± 2.2%
"Macomb County, Michigan",5.80%,± 0.4%
"Macon County, Alabama",10.80%,± 1.9%
"Macon County, Georgia",13.60%,± 4%
"Macon County, Illinois",9.60%,± 1.1%
"Macon County, Missouri",5.60%,± 1.5%
"Macon County, North Carolina",6.40%,± 1.5%
"Macon County, Tennessee",3.30%,± 1.2%
"Macoupin County, Illinois",4.60%,± 1.1%
"Madera County, California",4.30%,± 0.8%
"Madison County, Alabama",4.10%,± 0.4%
"Madison County, Arkansas",3.20%,± 1.3%
"Madison County, Florida",9.50%,± 2.4%
"Madison County, Georgia",4%,± 1.4%
"Madison County, Idaho",2.80%,± 1.3%
"Madison County, Illinois",5.60%,± 0.5%
"Madison County, Indiana",6.60%,± 0.9%
"Madison County, Iowa",4.20%,± 1.6%
"Madison County, Kentucky",4.50%,± 1.1%
"Madison County, Mississippi",3.70%,± 1%
"Madison County, Missouri",4.90%,± 1.6%
"Madison County, Montana",1.70%,± 1.2%
"Madison County, Nebraska",4.70%,± 1%
"Madison County, New York",6.10%,± 0.8%
"Madison County, North Carolina",4.50%,± 1.6%
"Madison County, Ohio",3%,± 0.9%
"Madison County, Tennessee",7.70%,± 1.1%
"Madison County, Texas",8.70%,± 3.8%
"Madison County, Virginia",2.90%,± 1.7%
"Madison Parish, Louisiana",13.30%,± 3.6%
"Magoffin County, Kentucky",8.50%,± 2.7%
"Mahaska County, Iowa",4.70%,± 1.3%
"Mahnomen County, Minnesota",8.20%,± 1.5%
"Mahoning County, Ohio",8.10%,± 0.6%
"Major County, Oklahoma",3.50%,± 1.5%
"Malheur County, Oregon",5.80%,± 1.5%
"Manassas city, Virginia",3.70%,± 1.1%
"Manassas Park city, Virginia",4.80%,± 2.5%
"Manatee County, Florida",4%,± 0.4%
"Manatí Municipio, Puerto Rico",18%,± 2.5%
"Manistee County, Michigan",5%,± 1%
"Manitowoc County, Wisconsin",5.90%,± 0.9%
"Marathon County, Wisconsin",4.70%,± 0.7%
"Marengo County, Alabama",8.60%,± 2.4%
"Maricao Municipio, Puerto Rico",11.90%,± 3.7%
"Maricopa County, Arizona",5.20%,± 0.2%
"Maries County, Missouri",5.90%,± 2.5%
"Marin County, California",4.60%,± 0.6%
"Marinette County, Wisconsin",4.20%,± 0.8%
"Marion County, Alabama",5%,± 1.3%
"Marion County, Arkansas",4.20%,± 1.4%
"Marion County, Florida",4.90%,± 0.6%
"Marion County, Georgia",6.30%,± 2.5%
"Marion County, Illinois",6.90%,± 1.2%
"Marion County, Indiana",8.20%,± 0.5%
"Marion County, Iowa",3.70%,± 1%
"Marion County, Kansas",3.30%,± 0.8%
"Marion County, Kentucky",5.70%,± 2.1%
"Marion County, Mississippi",5.80%,± 2.3%
"Marion County, Missouri",7.80%,± 1.7%
"Marion County, Ohio",7.60%,± 1.3%
"Marion County, Oregon",6.20%,± 0.6%
"Marion County, South Carolina",12.30%,± 3.1%
"Marion County, Tennessee",4.50%,± 1.5%
"Marion County, Texas",4.90%,± 1.9%
"Marion County, West Virginia",8%,± 1.2%
"Mariposa County, California",5.20%,± 2%
"Marlboro County, South Carolina",13.30%,± 2.8%
"Marquette County, Michigan",6%,± 0.8%
"Marquette County, Wisconsin",4.50%,± 1.1%
"Marshall County, Alabama",4.80%,± 0.7%
"Marshall County, Illinois",3.70%,± 1.3%
"Marshall County, Indiana",6.10%,± 0.9%
"Marshall County, Iowa",7.10%,± 1.5%
"Marshall County, Kansas",4%,± 1.6%
"Marshall County, Kentucky",4.40%,± 1.4%
"Marshall County, Minnesota",3.90%,± 1.3%
"Marshall County, Mississippi",3.80%,± 1.3%
"Marshall County, Oklahoma",4.10%,± 1.4%
"Marshall County, South Dakota",1.90%,± 1.5%
"Marshall County, Tennessee",2.10%,± 1.1%
"Marshall County, West Virginia",6.60%,± 1.7%
"Martin County, Florida",4.90%,± 0.7%
"Martin County, Indiana",3.70%,± 2.3%
"Martin County, Kentucky",8.30%,± 3.1%
"Martin County, Minnesota",6.10%,± 1.6%
"Martin County, North Carolina",9.30%,± 2.2%
"Martin County, Texas",0%,± 2.6%
"Martinsville city, Virginia",13.20%,± 3.8%
"Mason County, Illinois",5.30%,± 1.3%
"Mason County, Kentucky",10.50%,± 2.9%
"Mason County, Michigan",6.80%,± 1.7%
"Mason County, Texas",3.40%,± 2.6%
"Mason County, Washington",3.90%,± 0.9%
"Mason County, West Virginia",7.10%,± 1.7%
"Massac County, Illinois",4.30%,± 1.6%
"Matagorda County, Texas",6.60%,± 2.2%
"Matanuska-Susitna Borough, Alaska",3.70%,± 0.5%
"Mathews County, Virginia",0.60%,± 0.9%
"Maui County, Hawaii",4.40%,± 0.7%
"Maunabo Municipio, Puerto Rico",15%,± 5%
"Maury County, Tennessee",2.60%,± 0.6%
"Maverick County, Texas",7.80%,± 1.7%
"Mayagüez Municipio, Puerto Rico",19.80%,± 1.5%
"Mayes County, Oklahoma",4.40%,± 0.8%
"McClain County, Oklahoma",1.30%,± 0.5%
"McCone County, Montana",0%,± 3.5%
"McCook County, South Dakota",2.20%,± 1.2%
"McCormick County, South Carolina",5.10%,± 2.3%
"McCracken County, Kentucky",8.20%,± 1.5%
"McCreary County, Kentucky",10.80%,± 5%
"McCulloch County, Texas",4.80%,± 3%
"McCurtain County, Oklahoma",7.80%,± 1.4%
"McDonald County, Missouri",5.60%,± 1.5%
"McDonough County, Illinois",9.70%,± 2%
"McDowell County, North Carolina",6.40%,± 1.6%
"McDowell County, West Virginia",9.90%,± 2.5%
"McDuffie County, Georgia",4.80%,± 2.6%
"McHenry County, Illinois",3.80%,± 0.4%
"McHenry County, North Dakota",5%,± 1.6%
"McIntosh County, Georgia",6.60%,± 2.8%
"McIntosh County, North Dakota",7.10%,± 2.6%
"McIntosh County, Oklahoma",5.20%,± 1.2%
"McKean County, Pennsylvania",7.40%,± 1.2%
"McKenzie County, North Dakota",2.50%,± 1.4%
"McKinley County, New Mexico",11.80%,± 1.3%
"McLean County, Illinois",5.90%,± 0.6%
"McLean County, Kentucky",5.80%,± 2.3%
"McLean County, North Dakota",3.30%,± 1.3%
"McLennan County, Texas",5.20%,± 0.6%
"McLeod County, Minnesota",4%,± 1.1%
"McMinn County, Tennessee",3.50%,± 0.9%
"McMullen County, Texas",3%,± 4.7%
"McNairy County, Tennessee",4.80%,± 1.6%
"McPherson County, Kansas",3.70%,± 1.3%
"McPherson County, Nebraska",1%,± 1.4%
"McPherson County, South Dakota",4.20%,± 3.3%
"Meade County, Kansas",2.90%,± 1.9%
"Meade County, Kentucky",4.20%,± 1.4%
"Meade County, South Dakota",2.50%,± 1.4%
"Meagher County, Montana",0.40%,± 0.6%
"Mecklenburg County, North Carolina",5.60%,± 0.3%
"Mecklenburg County, Virginia",7.50%,± 1.8%
"Mecosta County, Michigan",6.20%,± 1%
"Medina County, Ohio",3.50%,± 0.5%
"Medina County, Texas",4.70%,± 1.3%
"Meeker County, Minnesota",4.60%,± 0.9%
"Meigs County, Ohio",6.60%,± 1.5%
"Meigs County, Tennessee",4.30%,± 1.9%
"Mellette County, South Dakota",6.60%,± 3.1%
"Menard County, Illinois",4%,± 1.4%
"Menard County, Texas",4.10%,± 3.7%
"Mendocino County, California",8%,± 1.2%
"Menifee County, Kentucky",6.90%,± 3.1%
"Menominee County, Michigan",6.80%,± 1.7%
"Menominee County, Wisconsin",5.20%,± 2%
"Merced County, California",7.20%,± 0.7%
"Mercer County, Illinois",5%,± 1.6%
"Mercer County, Kentucky",4.90%,± 1.9%
"Mercer County, Missouri",5.30%,± 2%
"Mercer County, New Jersey",11.60%,± 0.8%
"Mercer County, North Dakota",2.30%,± 1.7%
"Mercer County, Ohio",4.40%,± 1.2%
"Mercer County, Pennsylvania",9.90%,± 0.9%
"Mercer County, West Virginia",8.30%,± 1.6%
"Meriwether County, Georgia",7.30%,± 2.7%
"Merrick County, Nebraska",2.70%,± 1.6%
"Merrimack County, New Hampshire",5.10%,± 0.7%
"Mesa County, Colorado",5.30%,± 0.8%
"Metcalfe County, Kentucky",6.30%,± 2.9%
"Miami County, Indiana",5.60%,± 1.6%
"Miami County, Kansas",2.70%,± 1%
"Miami County, Ohio",4.70%,± 0.8%
"Miami-Dade County, Florida",9.70%,± 0.3%
"Middlesex County, Massachusetts",10.50%,± 0.3%
"Middlesex County, New Jersey",8.10%,± 0.5%
"Middlesex County, Virginia",2.80%,± 1.6%
"Midland County, Michigan",5.80%,± 0.9%
"Midland County, Texas",4.70%,± 1.1%
"Mifflin County, Pennsylvania",9.90%,± 1.3%
"Milam County, Texas",4%,± 1.3%
"Millard County, Utah",3.70%,± 1.8%
"Mille Lacs County, Minnesota",6.70%,± 1.2%
"Miller County, Arkansas",8.90%,± 1.5%
"Miller County, Georgia",11.40%,± 4.1%
"Miller County, Missouri",4%,± 1.3%
"Mills County, Iowa",5.50%,± 1.9%
"Mills County, Texas",1.60%,± 1%
"Milwaukee County, Wisconsin",12.60%,± 0.3%
"Miner County, South Dakota",4%,± 2.7%
"Mineral County, Colorado",2.90%,± 3.1%
"Mineral County, Montana",1.90%,± 1.4%
"Mineral County, Nevada",1.40%,± 1.2%
"Mineral County, West Virginia",6%,± 1.9%
"Mingo County, West Virginia",11.80%,± 2.3%
"Minidoka County, Idaho",4.40%,± 1.8%
"Minnehaha County, South Dakota",5.10%,± 0.6%
"Missaukee County, Michigan",3.90%,± 0.9%
"Mississippi County, Arkansas",10.40%,± 1.6%
"Mississippi County, Missouri",17%,± 4.8%
"Missoula County, Montana",5.50%,± 1.1%
"Mitchell County, Georgia",13.30%,± 4.3%
"Mitchell County, Iowa",5.10%,± 1.7%
"Mitchell County, Kansas",5.70%,± 2.6%
"Mitchell County, North Carolina",8.40%,± 2.6%
"Mitchell County, Texas",1.90%,± 1.4%
"Mobile County, Alabama",6.70%,± 0.5%
"Moca Municipio, Puerto Rico",9.10%,± 2.5%
"Modoc County, California",5.70%,± 3.1%
"Moffat County, Colorado",6.20%,± 2.3%
"Mohave County, Arizona",4.40%,± 0.6%
"Moniteau County, Missouri",6.60%,± 1.6%
"Monmouth County, New Jersey",6.90%,± 0.4%
"Mono County, California",2.40%,± 1.3%
"Monona County, Iowa",2.50%,± 1%
"Monongalia County, West Virginia",7.10%,± 1.1%
"Monroe County, Alabama",6.30%,± 2%
"Monroe County, Arkansas",15.60%,± 3.8%
"Monroe County, Florida",6.70%,± 1%
"Monroe County, Georgia",2%,± 1.2%
"Monroe County, Illinois",3.50%,± 1.2%
"Monroe County, Indiana",7.50%,± 0.8%
"Monroe County, Iowa",6.10%,± 2.9%
"Monroe County, Kentucky",7.50%,± 2.1%
"Monroe County, Michigan",5.20%,± 0.7%
"Monroe County, Mississippi",5.10%,± 1.3%
"Monroe County, Missouri",7.40%,± 2.7%
"Monroe County, New York",10.90%,± 0.5%
"Monroe County, Ohio",9%,± 2.2%
"Monroe County, Pennsylvania",5.10%,± 0.8%
"Monroe County, Tennessee",4.90%,± 1.4%
"Monroe County, West Virginia",6.50%,± 2.7%
"Monroe County, Wisconsin",7.10%,± 1.2%
"Montague County, Texas",4.60%,± 1.7%
"Montcalm County, Michigan",6%,± 1.1%
"Monterey County, California",4.80%,± 0.4%
"Montezuma County, Colorado",4.50%,± 2.2%
"Montgomery County, Alabama",6.90%,± 0.7%
"Montgomery County, Arkansas",4.60%,± 2%
"Montgomery County, Georgia",4.30%,± 1.6%
"Montgomery County, Illinois",6.80%,± 1.4%
"Montgomery County, Indiana",5.80%,± 1.3%
"Montgomery County, Iowa",4.50%,± 1.6%
"Montgomery County, Kansas",8.20%,± 1.6%
"Montgomery County, Kentucky",6.20%,± 2.4%
"Montgomery County, Maryland",7.90%,± 0.4%
"Montgomery County, Mississippi",8.60%,± 3.2%
"Montgomery County, Missouri",3.80%,± 1.7%
"Montgomery County, New York",12.80%,± 1.6%
"Montgomery County, North Carolina",4.40%,± 1.5%
"Montgomery County, Ohio",9%,± 0.5%
"Montgomery County, Pennsylvania",5.20%,± 0.3%
"Montgomery County, Tennessee",3.60%,± 0.6%
"Montgomery County, Texas",3.30%,± 0.5%
"Montgomery County, Virginia",5.50%,± 1%
"Montmorency County, Michigan",7.40%,± 1.8%
"Montour County, Pennsylvania",10.30%,± 1.9%
"Montrose County, Colorado",2.80%,± 0.9%
"Moody County, South Dakota",3.80%,± 1.6%
"Moore County, North Carolina",4.20%,± 0.9%
"Moore County, Tennessee",2.90%,± 2%
"Moore County, Texas",7.70%,± 3.1%
"Mora County, New Mexico",7.20%,± 6.5%
"Morehouse Parish, Louisiana",10.30%,± 2.9%
"Morgan County, Alabama",5.10%,± 0.8%
"Morgan County, Colorado",5.40%,± 2%
"Morgan County, Georgia",4%,± 2%
"Morgan County, Illinois",7.40%,± 1.6%
"Morgan County, Indiana",3%,± 0.7%
"Morgan County, Kentucky",6.70%,± 1.9%
"Morgan County, Missouri",11.10%,± 3.3%
"Morgan County, Ohio",5.70%,± 1.7%
"Morgan County, Tennessee",4.40%,± 1.5%
"Morgan County, Utah",0.80%,± 0.6%
"Morgan County, West Virginia",4.30%,± 2.1%
"Morovis Municipio, Puerto Rico",14.10%,± 2.7%
"Morrill County, Nebraska",3.90%,± 2.1%
"Morris County, Kansas",3.90%,± 1.8%
"Morris County, New Jersey",5.10%,± 0.5%
"Morris County, Texas",5.70%,± 2.1%
"Morrison County, Minnesota",5.20%,± 1.3%
"Morrow County, Ohio",4.50%,± 1.4%
"Morrow County, Oregon",1.50%,± 1%
"Morton County, Kansas",2.60%,± 1.8%
"Morton County, North Dakota",2.50%,± 1.4%
"Motley County, Texas",2.40%,± 2.3%
"Moultrie County, Illinois",11.90%,± 2.4%
"Mountrail County, North Dakota",4.80%,± 1.7%
"Mower County, Minnesota",5.90%,± 1.4%
"Muhlenberg County, Kentucky",4.60%,± 1.3%
"Multnomah County, Oregon",12.50%,± 0.5%
"Murray County, Georgia",4.60%,± 1.4%
"Murray County, Minnesota",4.10%,± 1.7%
"Murray County, Oklahoma",3.40%,± 1.6%
"Muscatine County, Iowa",5.20%,± 1.2%
"Muscogee County, Georgia",10.30%,± 1%
"Muskegon County, Michigan",7.10%,± 0.8%
"Muskingum County, Ohio",6.90%,± 0.9%
"Muskogee County, Oklahoma",7.80%,± 1%
"Musselshell County, Montana",3.30%,± 2%
"Nacogdoches County, Texas",6%,± 1.2%
"Naguabo Municipio, Puerto Rico",10.40%,± 3.1%
"Nance County, Nebraska",1.50%,± 1.2%
"Nantucket County, Massachusetts",4%,± 2.3%
"Napa County, California",4.90%,± 0.7%
"Naranjito Municipio, Puerto Rico",16%,± 3.5%
"Nash County, North Carolina",6.90%,± 1.3%
"Nassau County, Florida",3%,± 0.8%
"Nassau County, New York",6.60%,± 0.3%
"Natchitoches Parish, Louisiana",8%,± 1.4%
"Natrona County, Wyoming",4.20%,± 1%
"Naugatuck Valley Planning Region, Connecticut",9.50%,± 0.6%
"Navajo County, Arizona",8.50%,± 0.8%
"Navarro County, Texas",5.10%,± 1.2%
"Nelson County, Kentucky",3%,± 0.8%
"Nelson County, North Dakota",2.40%,± 1.1%
"Nelson County, Virginia",5.80%,± 2.4%
"Nemaha County, Kansas",4%,± 1.7%
"Nemaha County, Nebraska",6%,± 2.2%
"Neosho County, Kansas",5.70%,± 1.7%
"Neshoba County, Mississippi",8.30%,± 2.2%
"Ness County, Kansas",2.40%,± 1.5%
"Nevada County, Arkansas",4.60%,± 3.2%
"Nevada County, California",4.10%,± 0.9%
"New Castle County, Delaware",7%,± 0.6%
"New Hanover County, North Carolina",6.30%,± 0.9%
"New Kent County, Virginia",1.50%,± 1%
"New Madrid County, Missouri",8%,± 1.6%
"New York County, New York",77.90%,± 0.5%
"Newaygo County, Michigan",4.40%,± 0.8%
"Newberry County, South Carolina",6%,± 1.6%
"Newport County, Rhode Island",7.40%,± 1%
"Newport News city, Virginia",9.70%,± 0.9%
"Newton County, Arkansas",2.20%,± 1.2%
"Newton County, Georgia",4.20%,± 1%
"Newton County, Indiana",3.10%,± 1.2%
"Newton County, Mississippi",5.50%,± 1.9%
"Newton County, Missouri",5%,± 1%
"Newton County, Texas",7.60%,± 3%
"Nez Perce County, Idaho",6.90%,± 1.6%
"Niagara County, New York",10.70%,± 0.8%
"Nicholas County, Kentucky",8.90%,± 3.5%
"Nicholas County, West Virginia",6.60%,± 2%
"Nicollet County, Minnesota",5.30%,± 1.1%
"Niobrara County, Wyoming",3%,± 2.8%
"Noble County, Indiana",9.30%,± 1.9%
"Noble County, Ohio",10.20%,± 3.9%
"Noble County, Oklahoma",1.60%,± 0.8%
"Nobles County, Minnesota",7.10%,± 1.8%
"Nodaway County, Missouri",7%,± 1.8%
"Nolan County, Texas",6.80%,± 2.4%
"Nome Census Area, Alaska",57.20%,± 2.5%
"Norfolk city, Virginia",11.80%,± 0.7%
"Norfolk County, Massachusetts",9.10%,± 0.4%
"Norman County, Minnesota",5.10%,± 1.8%
"North Slope Borough, Alaska",36.50%,± 5.9%
"Northampton County, North Carolina",8.10%,± 1.7%
"Northampton County, Pennsylvania",7%,± 0.6%
"Northampton County, Virginia",10.30%,± 2.5%
"Northeastern Connecticut Planning Region, Connecticut",5%,± 0.9%
"Northumberland County, Pennsylvania",9.80%,± 1.1%
"Northumberland County, Virginia",4.30%,± 1.9%
"Northwest Arctic Borough, Alaska",65.30%,± 3.5%
"Northwest Hills Planning Region, Connecticut",6.10%,± 1%
"Norton city, Virginia",8.10%,± 5.2%
"Norton County, Kansas",2.10%,± 1.6%
"Nottoway County, Virginia",7.20%,± 2.5%
"Nowata County, Oklahoma",5.60%,± 2%
"Noxubee County, Mississippi",7.10%,± 2.8%
"Nuckolls County, Nebraska",2.40%,± 1.3%
"Nueces County, Texas",7%,± 0.6%
"Nye County, Nevada",4.50%,± 1.2%
"O'Brien County, Iowa",7.90%,± 2.6%
"Oakland County, Michigan",5.50%,± 0.2%
"Obion County, Tennessee",7.30%,± 1.3%
"Ocean County, New Jersey",5.90%,± 0.6%
"Oceana County, Michigan",4.80%,± 0.9%
"Ochiltree County, Texas",3.30%,± 2.7%
"Oconee County, Georgia",1.10%,± 0.5%
"Oconee County, South Carolina",5.50%,± 1.3%
"Oconto County, Wisconsin",3.30%,± 0.7%
"Ogemaw County, Michigan",5.70%,± 1.3%
"Oglala Lakota County, South Dakota",22.10%,± 5.5%
"Ogle County, Illinois",6.80%,± 1.2%
"Oglethorpe County, Georgia",3.20%,± 1.4%
"Ohio County, Indiana",4.90%,± 2.4%
"Ohio County, Kentucky",3.70%,± 1.3%
"Ohio County, West Virginia",12%,± 1.6%
"Okaloosa County, Florida",3.70%,± 0.5%
"Okanogan County, Washington",4.10%,± 1%
"Okeechobee County, Florida",3.20%,± 0.9%
"Okfuskee County, Oklahoma",6.90%,± 1.6%
"Oklahoma County, Oklahoma",6.20%,± 0.4%
"Okmulgee County, Oklahoma",6.50%,± 1.4%
"Oktibbeha County, Mississippi",4.90%,± 1.6%
"Oldham County, Kentucky",1.20%,± 0.4%
"Oldham County, Texas",1.60%,± 1.3%
"Oliver County, North Dakota",4.20%,± 2.5%
"Olmsted County, Minnesota",6.70%,± 0.8%
"Oneida County, Idaho",1.60%,± 1.5%
"Oneida County, New York",10.60%,± 0.7%
"Oneida County, Wisconsin",3.70%,± 0.9%
"Onondaga County, New York",12.20%,± 0.5%
"Onslow County, North Carolina",3.80%,± 0.7%
"Ontario County, New York",6.50%,± 0.7%
"Ontonagon County, Michigan",4.90%,± 1.3%
"Orange County, California",4.60%,± 0.2%
"Orange County, Florida",5.20%,± 0.3%
"Orange County, Indiana",6%,± 1.8%
"Orange County, New York",8.60%,± 0.7%
"Orange County, North Carolina",4.70%,± 0.7%
"Orange County, Texas",5.30%,± 1.1%
"Orange County, Vermont",4.20%,± 0.9%
"Orange County, Virginia",3.90%,± 1.4%
"Orangeburg County, South Carolina",8.50%,± 1.2%
"Oregon County, Missouri",3.90%,± 2.2%
"Orleans County, New York",7.60%,± 1.6%
"Orleans County, Vermont",6.30%,± 1.4%
"Orleans Parish, Louisiana",17.40%,± 0.7%
"Orocovis Municipio, Puerto Rico",15.80%,± 2.6%
"Osage County, Kansas",2.30%,± 0.7%
"Osage County, Missouri",4.70%,± 1.3%
"Osage County, Oklahoma",4.10%,± 0.9%
"Osborne County, Kansas",3.70%,± 1.9%
"Osceola County, Florida",4.50%,± 0.6%
"Osceola County, Iowa",3%,± 1.5%
"Osceola County, Michigan",6.90%,± 0.9%
"Oscoda County, Michigan",7.20%,± 1.7%
"Oswego County, New York",8.50%,± 0.9%
"Otero County, Colorado",8.60%,± 2%
"Otero County, New Mexico",4.90%,± 1.1%
"Otoe County, Nebraska",3.80%,± 1.2%
"Otsego County, Michigan",5.90%,± 1.8%
"Otsego County, New York",7%,± 1.2%
"Ottawa County, Kansas",3.50%,± 1.7%
"Ottawa County, Michigan",3.90%,± 0.5%
"Ottawa County, Ohio",3.90%,± 0.9%
"Ottawa County, Oklahoma",5.60%,± 0.7%
"Otter Tail County, Minnesota",5.60%,± 1%
"Ouachita County, Arkansas",12.40%,± 2.8%
"Ouachita Parish, Louisiana",8.80%,± 0.9%
"Ouray County, Colorado",1.80%,± 1.7%
"Outagamie County, Wisconsin",4.20%,± 0.6%
"Overton County, Tennessee",4.60%,± 1.5%
"Owen County, Indiana",2.80%,± 1%
"Owen County, Kentucky",2.80%,± 1.5%
"Owsley County, Kentucky",10.40%,± 4.8%
"Owyhee County, Idaho",2.70%,± 1.2%
"Oxford County, Maine",5.60%,± 1%
"Ozark County, Missouri",6.40%,± 2.3%
"Ozaukee County, Wisconsin",3.60%,± 0.7%
"Pacific County, Washington",7.50%,± 1.7%
"Page County, Iowa",6.30%,± 2.1%
"Page County, Virginia",7%,± 2.3%
"Palm Beach County, Florida",6%,± 0.3%
"Palo Alto County, Iowa",3.80%,± 1.5%
"Palo Pinto County, Texas",4%,± 1.1%
"Pamlico County, North Carolina",4.80%,± 1.5%
"Panola County, Mississippi",5.30%,± 1.8%
"Panola County, Texas",3.10%,± 1.4%
"Park County, Colorado",1.40%,± 1%
"Park County, Montana",4.40%,± 1.7%
"Park County, Wyoming",2.50%,± 1.1%
"Parke County, Indiana",8.20%,± 2.4%
"Parker County, Texas",2.80%,± 0.6%
"Parmer County, Texas",1.90%,± 1.4%
"Pasco County, Florida",4.80%,± 0.4%
"Pasquotank County, North Carolina",6.20%,± 1.1%
"Passaic County, New Jersey",14.70%,± 0.7%
"Patillas Municipio, Puerto Rico",15.40%,± 3.5%
"Patrick County, Virginia",4.20%,± 1.5%
"Paulding County, Georgia",2.20%,± 0.6%
"Paulding County, Ohio",4.30%,± 1.3%
"Pawnee County, Kansas",8.70%,± 3.6%
"Pawnee County, Nebraska",7.30%,± 4%
"Pawnee County, Oklahoma",3.30%,± 0.6%
"Payette County, Idaho",3.30%,± 1.3%
"Payne County, Oklahoma",5.60%,± 0.9%
"Peach County, Georgia",6.20%,± 1.9%
"Pearl River County, Mississippi",2.90%,± 1%
"Pecos County, Texas",8.50%,± 3.6%
"Pembina County, North Dakota",2.30%,± 1.1%
"Pemiscot County, Missouri",9.40%,± 2.5%
"Pend Oreille County, Washington",3.10%,± 1.2%
"Pender County, North Carolina",3.10%,± 0.8%
"Pendleton County, Kentucky",4.30%,± 1.9%
"Pendleton County, West Virginia",4.40%,± 2.3%
"Pennington County, Minnesota",4.70%,± 1.6%
"Pennington County, South Dakota",5.60%,± 1%
"Penobscot County, Maine",8.20%,± 0.8%
"Peñuelas Municipio, Puerto Rico",11.60%,± 2.8%
"Peoria County, Illinois",8.60%,± 0.8%
"Pepin County, Wisconsin",3.90%,± 0.9%
"Perkins County, Nebraska",3.80%,± 1.7%
"Perkins County, South Dakota",3.40%,± 1.8%
"Perquimans County, North Carolina",4%,± 1.5%
"Perry County, Alabama",10.40%,± 4.6%
"Perry County, Arkansas",6.10%,± 2.1%
"Perry County, Illinois",7.10%,± 1.8%
"Perry County, Indiana",5.90%,± 1.7%
"Perry County, Kentucky",7.80%,± 2%
"Perry County, Mississippi",4.50%,± 2.1%
"Perry County, Missouri",5.40%,± 1.6%
"Perry County, Ohio",7.30%,± 1.5%
"Perry County, Pennsylvania",5.60%,± 1.2%
"Perry County, Tennessee",3.60%,± 2.2%
"Pershing County, Nevada",5.40%,± 2.8%
"Person County, North Carolina",5.20%,± 1.8%
"Petersburg Borough, Alaska",12.60%,± 3.4%
"Petersburg city, Virginia",16.50%,± 2.6%
"Petroleum County, Montana",0%,± 13.5%
"Pettis County, Missouri",7%,± 1.3%
