Geography,Total—AGE OF OWN CHILDREN—Households with own children of the householder under 18 years—Under 6 years and 6 to 17 years—Estimate,MoE
"Lincoln County, Tennessee",15.30%,± 4.9%
"Lincoln County, Washington",27.50%,± 6.9%
"Lincoln County, West Virginia",14.10%,± 5.8%
"Lincoln County, Wisconsin",20.80%,± 4.1%
"Lincoln County, Wyoming",25.60%,± 6.6%
"Lincoln Parish, Louisiana",18.70%,± 4.9%
"Linn County, Iowa",19.20%,± 1.6%
"Linn County, Kansas",35.40%,± 9%
"Linn County, Missouri",23.80%,± 6.5%
"Linn County, Oregon",18%,± 2.9%
"Lipscomb County, Texas",32.30%,± 9.8%
"Little River County, Arkansas",17.10%,± 7.5%
"Live Oak County, Texas",21%,± 12.1%
"Livingston County, Illinois",19.90%,± 3.1%
"Livingston County, Kentucky",14.60%,± 8.2%
"Livingston County, Michigan",17.50%,± 1.4%
"Livingston County, Missouri",22.90%,± 5.8%
"Livingston County, New York",20%,± 3.1%
"Livingston Parish, Louisiana",17.60%,± 2.9%
"Llano County, Texas",15.90%,± 8.3%
"Logan County, Arkansas",16.90%,± 6.2%
"Logan County, Colorado",20.70%,± 8.4%
"Logan County, Illinois",27.90%,± 5%
"Logan County, Kansas",27.80%,± 10.9%
"Logan County, Kentucky",18.40%,± 4.7%
"Logan County, Nebraska",15.50%,± 13.1%
"Logan County, North Dakota",30.20%,± 10.4%
"Logan County, Ohio",23.50%,± 5.2%
"Logan County, Oklahoma",19.30%,± 3.9%
"Logan County, West Virginia",16.30%,± 7.1%
"Loíza Municipio, Puerto Rico",15.60%,± 5.2%
"Long County, Georgia",22.70%,± 7.3%
"Lonoke County, Arkansas",20.90%,± 3.6%
"Lorain County, Ohio",20.90%,± 2%
"Los Alamos County, New Mexico",19.50%,± 6.9%
"Los Angeles County, California",18.40%,± 0.3%
"Loudon County, Tennessee",25.40%,± 5.9%
"Loudoun County, Virginia",19.60%,± 1.3%
"Louisa County, Iowa",19%,± 4.9%
"Louisa County, Virginia",18.20%,± 4.7%
"Loup County, Nebraska",23.10%,± 19.2%
"Love County, Oklahoma",21.10%,± 4.9%
"Loving County, Texas",0%,± 100%
"Lower Connecticut River Valley Planning Region, Connecticut",15.90%,± 2.3%
"Lowndes County, Alabama",19.30%,± 9.4%
"Lowndes County, Georgia",20.90%,± 3.1%
"Lowndes County, Mississippi",18.50%,± 3.9%
"Lubbock County, Texas",22%,± 1.7%
"Lucas County, Iowa",14.30%,± 4.1%
"Lucas County, Ohio",22.40%,± 1.8%
"Luce County, Michigan",24.50%,± 12%
"Lumpkin County, Georgia",16.20%,± 5.3%
"Luna County, New Mexico",24.60%,± 6.1%
"Lunenburg County, Virginia",19%,± 13.9%
"Luquillo Municipio, Puerto Rico",13.40%,± 5.5%
"Luzerne County, Pennsylvania",19.60%,± 1.8%
"Lycoming County, Pennsylvania",19.90%,± 3.1%
"Lyman County, South Dakota",17.90%,± 6.9%
"Lynchburg city, Virginia",20.40%,± 4.6%
"Lynn County, Texas",27.40%,± 8.4%
"Lyon County, Iowa",19.70%,± 5.3%
"Lyon County, Kansas",20.20%,± 5.2%
"Lyon County, Kentucky",14.50%,± 8.4%
"Lyon County, Minnesota",17.30%,± 3.3%
"Lyon County, Nevada",25.80%,± 5.6%
"Mackinac County, Michigan",15.30%,± 4.5%
"Macomb County, Michigan",17.70%,± 1%
"Macon County, Alabama",14.30%,± 5.3%
"Macon County, Georgia",18.70%,± 9.7%
"Macon County, Illinois",17%,± 2.8%
"Macon County, Missouri",17.70%,± 5%
"Macon County, North Carolina",10.50%,± 3.7%
"Macon County, Tennessee",20%,± 6.5%
"Macoupin County, Illinois",18.40%,± 3.9%
"Madera County, California",30.10%,± 3.3%
"Madison County, Alabama",19.40%,± 1.7%
"Madison County, Arkansas",20.40%,± 7.3%
"Madison County, Florida",24.10%,± 9.2%
"Madison County, Georgia",24.10%,± 6.5%
"Madison County, Idaho",26.50%,± 4.8%
"Madison County, Illinois",18.80%,± 1.7%
"Madison County, Indiana",18.40%,± 2.4%
"Madison County, Iowa",27.70%,± 6%
"Madison County, Kentucky",17.10%,± 2.7%
"Madison County, Mississippi",17.40%,± 2.6%
"Madison County, Missouri",25.50%,± 10%
"Madison County, Montana",30.60%,± 9.4%
"Madison County, Nebraska",21.60%,± 3.2%
"Madison County, New York",14.90%,± 2.6%
"Madison County, North Carolina",15.40%,± 5.7%
"Madison County, Ohio",21.60%,± 4.7%
"Madison County, Tennessee",19.30%,± 2.9%
"Madison County, Texas",17%,± 6.4%
"Madison County, Virginia",24.10%,± 9.6%
"Madison Parish, Louisiana",21.70%,± 10%
"Magoffin County, Kentucky",23.60%,± 8.6%
"Mahaska County, Iowa",22.60%,± 4.1%
"Mahnomen County, Minnesota",27.60%,± 4.6%
"Mahoning County, Ohio",18.60%,± 1.9%
"Major County, Oklahoma",19.20%,± 5.9%
"Malheur County, Oregon",30.30%,± 6.3%
"Manassas city, Virginia",27.90%,± 5.8%
"Manassas Park city, Virginia",38.50%,± 12.2%
"Manatee County, Florida",16.80%,± 1.9%
"Manatí Municipio, Puerto Rico",19.90%,± 5.8%
"Manistee County, Michigan",21.70%,± 4.1%
"Manitowoc County, Wisconsin",19.20%,± 2.6%
"Marathon County, Wisconsin",21.20%,± 2.2%
"Marengo County, Alabama",21.50%,± 8.9%
"Maricao Municipio, Puerto Rico",23.40%,± 15.5%
"Maricopa County, Arizona",21.10%,± 0.5%
"Maries County, Missouri",44.40%,± 12.4%
"Marin County, California",13.80%,± 1.9%
"Marinette County, Wisconsin",21.80%,± 4.1%
"Marion County, Alabama",17.50%,± 4.9%
"Marion County, Arkansas",13.90%,± 4.8%
"Marion County, Florida",20.40%,± 2.4%
"Marion County, Georgia",22.30%,± 11.4%
"Marion County, Illinois",20.90%,± 3.7%
"Marion County, Indiana",21.20%,± 1.2%
"Marion County, Iowa",19.90%,± 4.2%
"Marion County, Kansas",29%,± 5.6%
"Marion County, Kentucky",20.90%,± 8%
"Marion County, Mississippi",15.80%,± 7.5%
"Marion County, Missouri",22.60%,± 5.9%
"Marion County, Ohio",26%,± 5.2%
"Marion County, Oregon",22.10%,± 2%
"Marion County, South Carolina",17%,± 6.6%
"Marion County, Tennessee",18.30%,± 5.6%
"Marion County, Texas",17.20%,± 9.7%
"Marion County, West Virginia",17%,± 2.9%
"Mariposa County, California",8.40%,± 4.7%
"Marlboro County, South Carolina",20.20%,± 6.6%
"Marquette County, Michigan",19.60%,± 3.2%
"Marquette County, Wisconsin",17.80%,± 3.7%
"Marshall County, Alabama",20.30%,± 2.8%
"Marshall County, Illinois",19.10%,± 5.2%
"Marshall County, Indiana",22%,± 3.6%
"Marshall County, Iowa",21.80%,± 4.6%
"Marshall County, Kansas",27.10%,± 7.3%
"Marshall County, Kentucky",26.40%,± 6.7%
"Marshall County, Minnesota",22.20%,± 4.5%
"Marshall County, Mississippi",26.90%,± 9%
"Marshall County, Oklahoma",19.80%,± 5.1%
"Marshall County, South Dakota",26.60%,± 10.8%
"Marshall County, Tennessee",22.70%,± 7%
"Marshall County, West Virginia",19.20%,± 6.9%
"Martin County, Florida",22.20%,± 3.6%
"Martin County, Indiana",30%,± 9.6%
"Martin County, Kentucky",8.60%,± 5%
"Martin County, Minnesota",30.20%,± 6.3%
"Martin County, North Carolina",25.30%,± 7.2%
"Martin County, Texas",20.90%,± 6.8%
"Martinsville city, Virginia",20.70%,± 11.3%
"Mason County, Illinois",18.90%,± 4.9%
"Mason County, Kentucky",12.20%,± 5.3%
"Mason County, Michigan",25.50%,± 4.4%
"Mason County, Texas",44.20%,± 18.7%
"Mason County, Washington",25.70%,± 5.2%
"Mason County, West Virginia",22.60%,± 7.2%
"Massac County, Illinois",15.60%,± 6.5%
"Matagorda County, Texas",27.80%,± 6.7%
"Matanuska-Susitna Borough, Alaska",23%,± 1.9%
"Mathews County, Virginia",26.50%,± 17.4%
"Maui County, Hawaii",19.80%,± 2.8%
"Maunabo Municipio, Puerto Rico",17.70%,± 10.5%
"Maury County, Tennessee",18.70%,± 4.2%
"Maverick County, Texas",24.40%,± 5.1%
"Mayagüez Municipio, Puerto Rico",10.60%,± 3.3%
"Mayes County, Oklahoma",28.20%,± 3.3%
"McClain County, Oklahoma",21.50%,± 3.4%
"McCone County, Montana",22.80%,± 11%
"McCook County, South Dakota",22.60%,± 5.7%
"McCormick County, South Carolina",34.30%,± 18.8%
"McCracken County, Kentucky",17.30%,± 4.1%
"McCreary County, Kentucky",15.20%,± 8.4%
"McCulloch County, Texas",14.60%,± 13.1%
"McCurtain County, Oklahoma",24.80%,± 4%
"McDonald County, Missouri",23.80%,± 5.6%
"McDonough County, Illinois",16.40%,± 4.5%
"McDowell County, North Carolina",17.70%,± 4.6%
"McDowell County, West Virginia",21.30%,± 10.4%
"McDuffie County, Georgia",22.90%,± 8.9%
"McHenry County, Illinois",20.20%,± 2%
"McHenry County, North Dakota",19.30%,± 6.1%
"McIntosh County, Georgia",10.90%,± 5.8%
"McIntosh County, North Dakota",12.60%,± 7.9%
"McIntosh County, Oklahoma",19.40%,± 4.8%
"McKean County, Pennsylvania",21%,± 2.4%
"McKenzie County, North Dakota",33.70%,± 9.2%
"McKinley County, New Mexico",30.50%,± 4.5%
"McLean County, Illinois",19.10%,± 2.2%
"McLean County, Kentucky",17.20%,± 6.7%
"McLean County, North Dakota",17.70%,± 3.8%
"McLennan County, Texas",23.50%,± 2.1%
"McLeod County, Minnesota",19.50%,± 3.3%
"McMinn County, Tennessee",23.60%,± 4.4%
"McMullen County, Texas",11.50%,± 13.7%
"McNairy County, Tennessee",15.50%,± 4.7%
"McPherson County, Kansas",16.40%,± 3.4%
"McPherson County, Nebraska",18.80%,± 18.5%
"McPherson County, South Dakota",16.60%,± 9.8%
"Meade County, Kansas",26.40%,± 10.1%
"Meade County, Kentucky",28.70%,± 6.6%
"Meade County, South Dakota",25.90%,± 6.1%
"Meagher County, Montana",1%,± 3.7%
"Mecklenburg County, North Carolina",18.80%,± 0.9%
"Mecklenburg County, Virginia",18.60%,± 4.7%
"Mecosta County, Michigan",17.80%,± 3%
"Medina County, Ohio",18.90%,± 2%
"Medina County, Texas",22.40%,± 5.2%
"Meeker County, Minnesota",21.80%,± 3.5%
"Meigs County, Ohio",19.50%,± 6.1%
"Meigs County, Tennessee",22.50%,± 7%
"Mellette County, South Dakota",18.50%,± 8.7%
"Menard County, Illinois",24.20%,± 6.6%
"Menard County, Texas",24.10%,± 24.9%
"Mendocino County, California",23.70%,± 3.9%
"Menifee County, Kentucky",30%,± 13.6%
"Menominee County, Michigan",16%,± 3.9%
"Menominee County, Wisconsin",28.60%,± 9.1%
"Merced County, California",26.70%,± 2.1%
"Mercer County, Illinois",21.70%,± 6.3%
"Mercer County, Kentucky",26.50%,± 7.2%
"Mercer County, Missouri",24.50%,± 11.8%
"Mercer County, New Jersey",17.10%,± 1.5%
"Mercer County, North Dakota",19.70%,± 8.5%
"Mercer County, Ohio",21.50%,± 3.4%
"Mercer County, Pennsylvania",16.80%,± 2.7%
"Mercer County, West Virginia",22.80%,± 6.2%
"Meriwether County, Georgia",34.20%,± 8.2%
"Merrick County, Nebraska",14.60%,± 5.6%
"Merrimack County, New Hampshire",14.20%,± 1.8%
"Mesa County, Colorado",19.90%,± 2.8%
"Metcalfe County, Kentucky",21.30%,± 8.1%
"Miami County, Indiana",22.80%,± 4.8%
"Miami County, Kansas",19.70%,± 4.2%
"Miami County, Ohio",18.70%,± 2.9%
"Miami-Dade County, Florida",16.40%,± 0.7%
"Middlesex County, Massachusetts",15%,± 0.7%
"Middlesex County, New Jersey",17.90%,± 1%
"Middlesex County, Virginia",10.80%,± 9.6%
"Midland County, Michigan",18.90%,± 3%
"Midland County, Texas",22.20%,± 3.8%
"Mifflin County, Pennsylvania",21.50%,± 4.3%
"Milam County, Texas",30.20%,± 8%
"Millard County, Utah",30.60%,± 6.3%
"Mille Lacs County, Minnesota",24.60%,± 5%
"Miller County, Arkansas",16.70%,± 4.3%
"Miller County, Georgia",13.90%,± 8.1%
"Miller County, Missouri",28.20%,± 6.9%
"Mills County, Iowa",15.90%,± 4.6%
"Mills County, Texas",8.20%,± 5.9%
"Milwaukee County, Wisconsin",22.80%,± 1%
"Miner County, South Dakota",19.90%,± 10.1%
"Mineral County, Colorado",13.20%,± 12.6%
"Mineral County, Montana",10.90%,± 6.4%
"Mineral County, Nevada",26.20%,± 14.9%
"Mineral County, West Virginia",16.30%,± 5.5%
"Mingo County, West Virginia",16.50%,± 6.4%
"Minidoka County, Idaho",21.60%,± 6%
"Minnehaha County, South Dakota",23.30%,± 2.2%
"Missaukee County, Michigan",18.90%,± 3.7%
"Mississippi County, Arkansas",15.60%,± 3.9%
"Mississippi County, Missouri",18.60%,± 7.7%
"Missoula County, Montana",15%,± 2.1%
"Mitchell County, Georgia",25.40%,± 9.3%
"Mitchell County, Iowa",22.40%,± 7.3%
"Mitchell County, Kansas",32%,± 10.9%
"Mitchell County, North Carolina",20%,± 6.3%
"Mitchell County, Texas",32.20%,± 15.7%
"Mobile County, Alabama",20.30%,± 1.8%
"Moca Municipio, Puerto Rico",18%,± 6.3%
"Modoc County, California",24.80%,± 10%
"Moffat County, Colorado",20.80%,± 7.4%
"Mohave County, Arizona",21.40%,± 3%
"Moniteau County, Missouri",23.50%,± 4.8%
"Monmouth County, New Jersey",15.80%,± 1%
"Mono County, California",21.10%,± 10.7%
"Monona County, Iowa",18.10%,± 6.9%
"Monongalia County, West Virginia",17.60%,± 3.1%
"Monroe County, Alabama",24.90%,± 9%
"Monroe County, Arkansas",50%,± 13%
"Monroe County, Florida",15.20%,± 3.4%
"Monroe County, Georgia",14.60%,± 4.8%
"Monroe County, Illinois",16.80%,± 4%
"Monroe County, Indiana",19.50%,± 3.5%
"Monroe County, Iowa",12.10%,± 8%
"Monroe County, Kentucky",14.90%,± 5.6%
"Monroe County, Michigan",16.90%,± 2.4%
"Monroe County, Mississippi",15%,± 4.4%
"Monroe County, Missouri",29.40%,± 9.7%
"Monroe County, New York",17.30%,± 1%
"Monroe County, Ohio",16.40%,± 5.7%
"Monroe County, Pennsylvania",22.40%,± 3.3%
"Monroe County, Tennessee",17.50%,± 4.6%
"Monroe County, West Virginia",20.50%,± 9.8%
"Monroe County, Wisconsin",21.40%,± 2.8%
"Montague County, Texas",26.70%,± 6.4%
"Montcalm County, Michigan",22.60%,± 3.2%
"Monterey County, California",24.50%,± 1.7%
"Montezuma County, Colorado",16.70%,± 5.1%
"Montgomery County, Alabama",24.20%,± 3%
"Montgomery County, Arkansas",17.40%,± 9.6%
"Montgomery County, Georgia",35.80%,± 10.5%
"Montgomery County, Illinois",25.50%,± 6%
"Montgomery County, Indiana",23.80%,± 4.2%
"Montgomery County, Iowa",28.80%,± 10.1%
"Montgomery County, Kansas",20.40%,± 3.8%
"Montgomery County, Kentucky",19.40%,± 5.7%
"Montgomery County, Maryland",17.50%,± 0.9%
"Montgomery County, Mississippi",17.80%,± 9.2%
"Montgomery County, Missouri",22.60%,± 6.2%
"Montgomery County, New York",18.10%,± 3.5%
"Montgomery County, North Carolina",27.50%,± 9%
"Montgomery County, Ohio",20.90%,± 1.6%
"Montgomery County, Pennsylvania",16.70%,± 1%
"Montgomery County, Tennessee",22.10%,± 2.4%
"Montgomery County, Texas",20.40%,± 1.8%
"Montgomery County, Virginia",16.70%,± 4.5%
"Montmorency County, Michigan",14.30%,± 5.8%
"Montour County, Pennsylvania",22%,± 6%
"Montrose County, Colorado",26.90%,± 7.1%
"Moody County, South Dakota",18.60%,± 5.9%
"Moore County, North Carolina",24.50%,± 4.1%
"Moore County, Tennessee",24%,± 10.9%
"Moore County, Texas",20.50%,± 5.8%
"Mora County, New Mexico",41.70%,± 23.9%
"Morehouse Parish, Louisiana",20.10%,± 6.2%
"Morgan County, Alabama",22.40%,± 3.3%
"Morgan County, Colorado",24.50%,± 4.9%
"Morgan County, Georgia",22%,± 10%
"Morgan County, Illinois",19.60%,± 5.3%
"Morgan County, Indiana",19.50%,± 3.2%
"Morgan County, Kentucky",15.30%,± 5.8%
"Morgan County, Missouri",30.10%,± 6.3%
"Morgan County, Ohio",19.10%,± 6.8%
"Morgan County, Tennessee",12.50%,± 5.1%
"Morgan County, Utah",27.60%,± 5.4%
"Morgan County, West Virginia",24.60%,± 8.3%
"Morovis Municipio, Puerto Rico",17.50%,± 5.8%
"Morrill County, Nebraska",27.10%,± 12.2%
"Morris County, Kansas",30.50%,± 10.9%
"Morris County, New Jersey",15.40%,± 1.3%
"Morris County, Texas",17.40%,± 8.2%
"Morrison County, Minnesota",24.40%,± 3.9%
"Morrow County, Ohio",18.70%,± 5.4%
"Morrow County, Oregon",30.30%,± 7.1%
"Morton County, Kansas",17.50%,± 13.1%
"Morton County, North Dakota",12.90%,± 3.4%
"Motley County, Texas",38.80%,± 21.7%
"Moultrie County, Illinois",24.70%,± 6.9%
"Mountrail County, North Dakota",34.50%,± 8.1%
"Mower County, Minnesota",23.30%,± 3.9%
"Muhlenberg County, Kentucky",15.70%,± 4.5%
"Multnomah County, Oregon",17.50%,± 1.2%
"Murray County, Georgia",21.40%,± 5.1%
"Murray County, Minnesota",18.80%,± 5.1%
"Murray County, Oklahoma",23.30%,± 7.2%
"Muscatine County, Iowa",29.70%,± 4.5%
"Muscogee County, Georgia",18.20%,± 2.3%
"Muskegon County, Michigan",20.10%,± 2.4%
"Muskingum County, Ohio",21.30%,± 3.5%
"Muskogee County, Oklahoma",20.70%,± 2.7%
"Musselshell County, Montana",18.10%,± 13.1%
"Nacogdoches County, Texas",19.80%,± 3.8%
"Naguabo Municipio, Puerto Rico",14.50%,± 7.7%
"Nance County, Nebraska",17.80%,± 6.2%
"Nantucket County, Massachusetts",23.10%,± 10.9%
"Napa County, California",16.80%,± 2.6%
"Naranjito Municipio, Puerto Rico",5.10%,± 4.9%
"Nash County, North Carolina",21.40%,± 3.6%
"Nassau County, Florida",22%,± 5%
"Nassau County, New York",18.30%,± 1%
"Natchitoches Parish, Louisiana",14.70%,± 5%
"Natrona County, Wyoming",22.10%,± 3.4%
"Naugatuck Valley Planning Region, Connecticut",19.90%,± 1.5%
"Navajo County, Arizona",28%,± 3.8%
"Navarro County, Texas",28.70%,± 5.3%
"Nelson County, Kentucky",24.10%,± 5.6%
"Nelson County, North Dakota",30.20%,± 9.6%
"Nelson County, Virginia",24.50%,± 10.6%
"Nemaha County, Kansas",23.20%,± 5.5%
"Nemaha County, Nebraska",10.40%,± 4.8%
"Neosho County, Kansas",20.70%,± 6.9%
"Neshoba County, Mississippi",21.90%,± 5.5%
"Ness County, Kansas",15.70%,± 7.9%
"Nevada County, Arkansas",21.80%,± 11.5%
"Nevada County, California",18.30%,± 4.1%
"New Castle County, Delaware",19.20%,± 1.5%
"New Hanover County, North Carolina",14.30%,± 2.1%
"New Kent County, Virginia",15.80%,± 5.7%
"New Madrid County, Missouri",21.80%,± 6.5%
"New York County, New York",15.20%,± 1.3%
"Newaygo County, Michigan",18.60%,± 3.4%
"Newberry County, South Carolina",16.80%,± 4.9%
"Newport County, Rhode Island",14%,± 2.9%
"Newport News city, Virginia",21.10%,± 2.2%
"Newton County, Arkansas",15.10%,± 10.7%
"Newton County, Georgia",25%,± 4.2%
"Newton County, Indiana",21.10%,± 9.3%
"Newton County, Mississippi",22.80%,± 5.7%
"Newton County, Missouri",26.80%,± 4.3%
"Newton County, Texas",22.70%,± 8.7%
"Nez Perce County, Idaho",21.90%,± 5.1%
"Niagara County, New York",17.40%,± 1.7%
"Nicholas County, Kentucky",8%,± 7.9%
"Nicholas County, West Virginia",20.70%,± 6.7%
"Nicollet County, Minnesota",21.90%,± 4.5%
"Niobrara County, Wyoming",21.20%,± 14.8%
"Noble County, Indiana",19.70%,± 4%
"Noble County, Ohio",18.10%,± 8%
"Noble County, Oklahoma",26.80%,± 7.5%
"Nobles County, Minnesota",24.20%,± 5.4%
"Nodaway County, Missouri",22.30%,± 5%
"Nolan County, Texas",30.60%,± 8.5%
"Nome Census Area, Alaska",29.30%,± 4.1%
"Norfolk city, Virginia",22.40%,± 2.5%
"Norfolk County, Massachusetts",15.50%,± 1.1%
"Norman County, Minnesota",20.50%,± 4.8%
"North Slope Borough, Alaska",24.70%,± 7.8%
"Northampton County, North Carolina",32.70%,± 7.8%
"Northampton County, Pennsylvania",17.70%,± 2%
"Northampton County, Virginia",24.40%,± 10.3%
"Northeastern Connecticut Planning Region, Connecticut",18%,± 3.5%
"Northumberland County, Pennsylvania",21.60%,± 3.2%
"Northumberland County, Virginia",11.80%,± 10%
"Northwest Arctic Borough, Alaska",26.60%,± 4.2%
"Northwest Hills Planning Region, Connecticut",18.70%,± 3.1%
"Norton city, Virginia",11.90%,± 14.4%
"Norton County, Kansas",32%,± 13.5%
"Nottoway County, Virginia",15.70%,± 9.4%
"Nowata County, Oklahoma",18.10%,± 5.1%
"Noxubee County, Mississippi",17.80%,± 8.8%
"Nuckolls County, Nebraska",18.80%,± 6.9%
"Nueces County, Texas",21.70%,± 1.8%
"Nye County, Nevada",11.80%,± 4.5%
"O'Brien County, Iowa",19.20%,± 6.2%
"Oakland County, Michigan",16.30%,± 0.8%
"Obion County, Tennessee",13.20%,± 3.3%
"Ocean County, New Jersey",25.40%,± 1.3%
"Oceana County, Michigan",23.50%,± 3.9%
"Ochiltree County, Texas",31%,± 9.2%
"Oconee County, Georgia",11.20%,± 2.9%
"Oconee County, South Carolina",16%,± 3.8%
"Oconto County, Wisconsin",17.80%,± 3.7%
"Ogemaw County, Michigan",16.30%,± 3.4%
"Oglala Lakota County, South Dakota",21.60%,± 9.2%
"Ogle County, Illinois",20.80%,± 3.9%
"Oglethorpe County, Georgia",14.20%,± 6.1%
"Ohio County, Indiana",16.90%,± 7.2%
"Ohio County, Kentucky",17.70%,± 5.5%
"Ohio County, West Virginia",15.30%,± 3.6%
"Okaloosa County, Florida",24.40%,± 3%
"Okanogan County, Washington",30.10%,± 5.7%
"Okeechobee County, Florida",18.70%,± 4.4%
"Okfuskee County, Oklahoma",24.70%,± 5.9%
"Oklahoma County, Oklahoma",22.20%,± 1.1%
"Okmulgee County, Oklahoma",21.50%,± 3.5%
"Oktibbeha County, Mississippi",18.10%,± 4.5%
"Oldham County, Kentucky",15.50%,± 2.7%
"Oldham County, Texas",36.60%,± 14%
"Oliver County, North Dakota",33.60%,± 11%
"Olmsted County, Minnesota",15.30%,± 1.7%
"Oneida County, Idaho",27.30%,± 9%
"Oneida County, New York",19.30%,± 2.2%
"Oneida County, Wisconsin",18.60%,± 4.3%
"Onondaga County, New York",18.90%,± 1.3%
"Onslow County, North Carolina",19.20%,± 2.6%
"Ontario County, New York",18.30%,± 2.4%
"Ontonagon County, Michigan",19.80%,± 6.2%
"Orange County, California",17%,± 0.5%
"Orange County, Florida",19.50%,± 1.3%
"Orange County, Indiana",18.30%,± 5.3%
"Orange County, New York",23.10%,± 1.4%
"Orange County, North Carolina",14.70%,± 2%
"Orange County, Texas",23.10%,± 4%
"Orange County, Vermont",21.40%,± 4.5%
"Orange County, Virginia",25%,± 8.7%
"Orangeburg County, South Carolina",28.60%,± 4.9%
"Oregon County, Missouri",25.50%,± 8.9%
"Orleans County, New York",24%,± 4.2%
"Orleans County, Vermont",17.10%,± 3.3%
"Orleans Parish, Louisiana",19.80%,± 2.1%
"Orocovis Municipio, Puerto Rico",15.60%,± 7.6%
"Osage County, Kansas",23.10%,± 5.9%
"Osage County, Missouri",21.40%,± 5.4%
"Osage County, Oklahoma",22.30%,± 3.5%
"Osborne County, Kansas",21%,± 6.6%
"Osceola County, Florida",19.90%,± 2.2%
"Osceola County, Iowa",21.70%,± 7.1%
"Osceola County, Michigan",25.10%,± 3.9%
"Oscoda County, Michigan",23.20%,± 6.7%
"Oswego County, New York",18.10%,± 2.2%
"Otero County, Colorado",29.10%,± 10.2%
"Otero County, New Mexico",20.50%,± 5.1%
"Otoe County, Nebraska",24.20%,± 6.2%
"Otsego County, Michigan",15.50%,± 3.7%
"Otsego County, New York",14.90%,± 2.9%
"Ottawa County, Kansas",19.80%,± 6.3%
"Ottawa County, Michigan",21.10%,± 1.7%
"Ottawa County, Ohio",18.60%,± 4.3%
"Ottawa County, Oklahoma",25.20%,± 2.2%
"Otter Tail County, Minnesota",23.90%,± 2.9%
"Ouachita County, Arkansas",21.80%,± 7.2%
"Ouachita Parish, Louisiana",21.10%,± 2.7%
"Ouray County, Colorado",21.40%,± 11.9%
"Outagamie County, Wisconsin",21.60%,± 1.8%
"Overton County, Tennessee",18%,± 6.3%
"Owen County, Indiana",20.30%,± 6.2%
"Owen County, Kentucky",14.90%,± 5.4%
"Owsley County, Kentucky",11.80%,± 11.1%
"Owyhee County, Idaho",20.30%,± 7.5%
"Oxford County, Maine",15.80%,± 3.4%
"Ozark County, Missouri",9.60%,± 5.8%
"Ozaukee County, Wisconsin",21.60%,± 3.1%
"Pacific County, Washington",22.50%,± 5.7%
"Page County, Iowa",24.30%,± 7%
"Page County, Virginia",21.90%,± 7.3%
"Palm Beach County, Florida",18.80%,± 1%
"Palo Alto County, Iowa",33%,± 7.5%
"Palo Pinto County, Texas",23.60%,± 7.4%
"Pamlico County, North Carolina",9.60%,± 7%
"Panola County, Mississippi",21.90%,± 7.1%
"Panola County, Texas",24.20%,± 7.9%
"Park County, Colorado",7.10%,± 4.5%
"Park County, Montana",14.60%,± 5.7%
"Park County, Wyoming",23.90%,± 7.5%
"Parke County, Indiana",26.30%,± 7.6%
"Parker County, Texas",17.90%,± 2.9%
"Parmer County, Texas",28.60%,± 8.6%
"Pasco County, Florida",18.30%,± 1.4%
"Pasquotank County, North Carolina",17.20%,± 5.1%
"Passaic County, New Jersey",19.90%,± 1.5%
"Patillas Municipio, Puerto Rico",16.60%,± 8.9%
"Patrick County, Virginia",16.50%,± 7.1%
"Paulding County, Georgia",19.60%,± 2.9%
"Paulding County, Ohio",19.50%,± 5.7%
"Pawnee County, Kansas",32.30%,± 15.9%
"Pawnee County, Nebraska",29.80%,± 9.7%
"Pawnee County, Oklahoma",19.70%,± 4.4%
"Payette County, Idaho",30.50%,± 6.4%
"Payne County, Oklahoma",22%,± 3.1%
"Peach County, Georgia",13.80%,± 7.2%
"Pearl River County, Mississippi",23.20%,± 4.4%
"Pecos County, Texas",21.10%,± 8.6%
"Pembina County, North Dakota",26.90%,± 5.7%
"Pemiscot County, Missouri",26.90%,± 7.3%
"Pend Oreille County, Washington",16.90%,± 6.1%
"Pender County, North Carolina",16.70%,± 3.5%
"Pendleton County, Kentucky",17.40%,± 7.2%
"Pendleton County, West Virginia",23.70%,± 9.7%
"Pennington County, Minnesota",29.90%,± 6.3%
"Pennington County, South Dakota",24%,± 3.3%
"Penobscot County, Maine",20.50%,± 2.8%
"Peñuelas Municipio, Puerto Rico",22.20%,± 6.3%
"Peoria County, Illinois",21.80%,± 2.4%
"Pepin County, Wisconsin",19.30%,± 4.2%
"Perkins County, Nebraska",35.90%,± 10.2%
"Perkins County, South Dakota",23.40%,± 9.1%
"Perquimans County, North Carolina",23.90%,± 9.2%
"Perry County, Alabama",20.80%,± 16.4%
"Perry County, Arkansas",18.90%,± 7.2%
"Perry County, Illinois",19.40%,± 5.1%
"Perry County, Indiana",25.50%,± 6.2%
"Perry County, Kentucky",17%,± 6.3%
"Perry County, Mississippi",14%,± 9.2%
"Perry County, Missouri",19.50%,± 5.9%
"Perry County, Ohio",20.30%,± 5%
"Perry County, Pennsylvania",24.50%,± 3.2%
"Perry County, Tennessee",49.20%,± 18.3%
"Pershing County, Nevada",43.90%,± 13.4%
"Person County, North Carolina",18%,± 5.2%
"Petersburg Borough, Alaska",17.90%,± 8.7%
"Petersburg city, Virginia",24.20%,± 8%
