Geography,"Natural resources, construction, and maintenance occupations—Civilian employed population 16 years and over—Estimate",MoE
"Lincoln County, Tennessee",13.60%,± 2.2%
"Lincoln County, Washington",13.40%,± 2.2%
"Lincoln County, West Virginia",11.60%,± 3.3%
"Lincoln County, Wisconsin",9.60%,± 1.2%
"Lincoln County, Wyoming",21.60%,± 2.8%
"Lincoln Parish, Louisiana",8.50%,± 1.3%
"Linn County, Iowa",7.70%,± 0.6%
"Linn County, Kansas",18.30%,± 3.1%
"Linn County, Missouri",12.60%,± 2.6%
"Linn County, Oregon",10.80%,± 1%
"Lipscomb County, Texas",15.20%,± 3.8%
"Little River County, Arkansas",14.20%,± 4.3%
"Live Oak County, Texas",20.80%,± 4.9%
"Livingston County, Illinois",10.10%,± 1.5%
"Livingston County, Kentucky",16.40%,± 3.7%
"Livingston County, Michigan",9.70%,± 0.8%
"Livingston County, Missouri",8.50%,± 2%
"Livingston County, New York",12.90%,± 1.4%
"Livingston Parish, Louisiana",15.40%,± 1.5%
"Llano County, Texas",11.20%,± 2.2%
"Logan County, Arkansas",11.60%,± 2.5%
"Logan County, Colorado",10.90%,± 2.2%
"Logan County, Illinois",10.40%,± 1.7%
"Logan County, Kansas",12.60%,± 4.1%
"Logan County, Kentucky",12.90%,± 2.3%
"Logan County, Nebraska",15.10%,± 5.3%
"Logan County, North Dakota",19%,± 3.9%
"Logan County, Ohio",10.30%,± 1.5%
"Logan County, Oklahoma",11.60%,± 2%
"Logan County, West Virginia",13.10%,± 2.9%
"Loíza Municipio, Puerto Rico",8.10%,± 2.1%
"Long County, Georgia",13.60%,± 4.3%
"Lonoke County, Arkansas",13.70%,± 1.3%
"Lorain County, Ohio",8.20%,± 0.5%
"Los Alamos County, New Mexico",4.20%,± 1.4%
"Los Angeles County, California",7.60%,± 0.1%
"Loudon County, Tennessee",9.90%,± 2.2%
"Loudoun County, Virginia",3.90%,± 0.3%
"Louisa County, Iowa",15.20%,± 2.3%
"Louisa County, Virginia",10.80%,± 1.9%
"Loup County, Nebraska",17.80%,± 7.1%
"Love County, Oklahoma",13.70%,± 2%
"Loving County, Texas",0%,± 58.9%
"Lower Connecticut River Valley Planning Region, Connecticut",7.20%,± 0.6%
"Lowndes County, Alabama",10.30%,± 3.1%
"Lowndes County, Georgia",8.70%,± 1.1%
"Lowndes County, Mississippi",10.40%,± 1.7%
"Lubbock County, Texas",8.70%,± 0.6%
"Lucas County, Iowa",12.40%,± 2.6%
"Lucas County, Ohio",7.10%,± 0.5%
"Luce County, Michigan",7.60%,± 3.7%
"Lumpkin County, Georgia",9.20%,± 2.3%
"Luna County, New Mexico",14.10%,± 3.6%
"Lunenburg County, Virginia",16.40%,± 4.3%
"Luquillo Municipio, Puerto Rico",10.40%,± 3.2%
"Luzerne County, Pennsylvania",8.20%,± 0.4%
"Lycoming County, Pennsylvania",8.90%,± 0.7%
"Lyman County, South Dakota",13.70%,± 3.5%
"Lynchburg city, Virginia",5.70%,± 1.1%
"Lynn County, Texas",15.40%,± 3.2%
"Lyon County, Iowa",10.70%,± 1.8%
"Lyon County, Kansas",8.20%,± 1.5%
"Lyon County, Kentucky",10.60%,± 3.6%
"Lyon County, Minnesota",9.60%,± 1.4%
"Lyon County, Nevada",12.80%,± 1.8%
"Mackinac County, Michigan",10.80%,± 2.1%
"Macomb County, Michigan",7.60%,± 0.3%
"Macon County, Alabama",5.60%,± 1.6%
"Macon County, Georgia",11.20%,± 4.4%
"Macon County, Illinois",8.10%,± 1.1%
"Macon County, Missouri",11.50%,± 1.7%
"Macon County, North Carolina",12.70%,± 2%
"Macon County, Tennessee",14.70%,± 3.1%
"Macoupin County, Illinois",12.90%,± 1.7%
"Madera County, California",21.70%,± 1.8%
"Madison County, Alabama",6.20%,± 0.6%
"Madison County, Arkansas",18.10%,± 4.1%
"Madison County, Florida",11.80%,± 3.4%
"Madison County, Georgia",14.20%,± 2.7%
"Madison County, Idaho",6.50%,± 1.3%
"Madison County, Illinois",8.80%,± 0.7%
"Madison County, Indiana",10.70%,± 0.9%
"Madison County, Iowa",14.10%,± 2.3%
"Madison County, Kentucky",7.10%,± 1%
"Madison County, Mississippi",6.20%,± 1.1%
"Madison County, Missouri",12.20%,± 3%
"Madison County, Montana",21.20%,± 4%
"Madison County, Nebraska",12%,± 1.7%
"Madison County, New York",9.50%,± 1.1%
"Madison County, North Carolina",15.70%,± 2.7%
"Madison County, Ohio",12.30%,± 1.4%
"Madison County, Tennessee",6.80%,± 1%
"Madison County, Texas",19.20%,± 5.5%
"Madison County, Virginia",8.80%,± 2.6%
"Madison Parish, Louisiana",11%,± 3.2%
"Magoffin County, Kentucky",14.50%,± 5.3%
"Mahaska County, Iowa",11.60%,± 1.8%
"Mahnomen County, Minnesota",14.30%,± 1.6%
"Mahoning County, Ohio",7.60%,± 0.6%
"Major County, Oklahoma",17.20%,± 2.9%
"Malheur County, Oregon",18.30%,± 3.2%
"Manassas city, Virginia",13.40%,± 1.7%
"Manassas Park city, Virginia",14.30%,± 3.1%
"Manatee County, Florida",9.30%,± 0.6%
"Manatí Municipio, Puerto Rico",9.10%,± 2.5%
"Manistee County, Michigan",12.50%,± 1.8%
"Manitowoc County, Wisconsin",11.20%,± 0.9%
"Marathon County, Wisconsin",9.30%,± 0.7%
"Marengo County, Alabama",11.40%,± 3.2%
"Maricao Municipio, Puerto Rico",19.90%,± 8.3%
"Maricopa County, Arizona",8.30%,± 0.2%
"Maries County, Missouri",13.30%,± 3.2%
"Marin County, California",5.50%,± 0.6%
"Marinette County, Wisconsin",11.30%,± 1.3%
"Marion County, Alabama",13.50%,± 3.2%
"Marion County, Arkansas",11.40%,± 2.8%
"Marion County, Florida",10.50%,± 1%
"Marion County, Georgia",16.10%,± 4.9%
"Marion County, Illinois",8.50%,± 1.2%
"Marion County, Indiana",7.10%,± 0.4%
"Marion County, Iowa",8.40%,± 1.2%
"Marion County, Kansas",12.70%,± 2.3%
"Marion County, Kentucky",9.80%,± 2.4%
"Marion County, Mississippi",19.60%,± 3.3%
"Marion County, Missouri",9.80%,± 1.5%
"Marion County, Ohio",7.50%,± 1.2%
"Marion County, Oregon",13%,± 0.8%
"Marion County, South Carolina",11.10%,± 3.2%
"Marion County, Tennessee",14.50%,± 2.8%
"Marion County, Texas",10.70%,± 2.9%
"Marion County, West Virginia",12.30%,± 1.5%
"Mariposa County, California",10.80%,± 3.2%
"Marlboro County, South Carolina",9.90%,± 2.6%
"Marquette County, Michigan",10.10%,± 0.9%
"Marquette County, Wisconsin",15.40%,± 1.3%
"Marshall County, Alabama",10.90%,± 1.3%
"Marshall County, Illinois",13.30%,± 1.9%
"Marshall County, Indiana",11.70%,± 1.7%
"Marshall County, Iowa",11.50%,± 1.8%
"Marshall County, Kansas",9.80%,± 1.8%
"Marshall County, Kentucky",11.20%,± 1.7%
"Marshall County, Minnesota",13.50%,± 1.7%
"Marshall County, Mississippi",13.30%,± 2.5%
"Marshall County, Oklahoma",9.10%,± 1.9%
"Marshall County, South Dakota",15.10%,± 4.5%
"Marshall County, Tennessee",11.50%,± 2%
"Marshall County, West Virginia",12.70%,± 2.4%
"Martin County, Florida",10.60%,± 1.2%
"Martin County, Indiana",15%,± 3.8%
"Martin County, Kentucky",14.30%,± 4.4%
"Martin County, Minnesota",11.30%,± 1.8%
"Martin County, North Carolina",10.90%,± 2.7%
"Martin County, Texas",16%,± 5.4%
"Martinsville city, Virginia",7.80%,± 2.1%
"Mason County, Illinois",13.10%,± 2.5%
"Mason County, Kentucky",11%,± 2.4%
"Mason County, Michigan",11.30%,± 1.6%
"Mason County, Texas",9.60%,± 4.4%
"Mason County, Washington",15.60%,± 1.9%
"Mason County, West Virginia",13.90%,± 3.1%
"Massac County, Illinois",10.60%,± 2.7%
"Matagorda County, Texas",21.60%,± 2.8%
"Matanuska-Susitna Borough, Alaska",17%,± 1%
"Mathews County, Virginia",18.40%,± 6.5%
"Maui County, Hawaii",9.80%,± 0.8%
"Maunabo Municipio, Puerto Rico",16%,± 6.2%
"Maury County, Tennessee",9.50%,± 1.3%
"Maverick County, Texas",12.90%,± 2.5%
"Mayagüez Municipio, Puerto Rico",6%,± 1.4%
"Mayes County, Oklahoma",13.40%,± 1.5%
"McClain County, Oklahoma",13.80%,± 1.5%
"McCone County, Montana",17.70%,± 5.1%
"McCook County, South Dakota",15.40%,± 2.6%
"McCormick County, South Carolina",8.80%,± 3.2%
"McCracken County, Kentucky",7%,± 1.2%
"McCreary County, Kentucky",11%,± 3.4%
"McCulloch County, Texas",13%,± 4%
"McCurtain County, Oklahoma",14.70%,± 1.5%
"McDonald County, Missouri",12.60%,± 2.7%
"McDonough County, Illinois",8.50%,± 1.8%
"McDowell County, North Carolina",11.50%,± 1.8%
"McDowell County, West Virginia",10%,± 3.5%
"McDuffie County, Georgia",11.60%,± 2.7%
"McHenry County, Illinois",9.60%,± 0.6%
"McHenry County, North Dakota",13.40%,± 2.3%
"McIntosh County, Georgia",11.80%,± 4.1%
"McIntosh County, North Dakota",17.50%,± 4.1%
"McIntosh County, Oklahoma",16%,± 2.8%
"McKean County, Pennsylvania",10.50%,± 1.2%
"McKenzie County, North Dakota",21.70%,± 4.1%
"McKinley County, New Mexico",8.90%,± 1.2%
"McLean County, Illinois",6.30%,± 0.7%
"McLean County, Kentucky",16%,± 3%
"McLean County, North Dakota",19.30%,± 1.9%
"McLennan County, Texas",10.30%,± 0.7%
"McLeod County, Minnesota",12.40%,± 1.4%
"McMinn County, Tennessee",9.90%,± 1.7%
"McMullen County, Texas",17%,± 7.7%
"McNairy County, Tennessee",13.20%,± 2.4%
"McPherson County, Kansas",8.80%,± 1.4%
"McPherson County, Nebraska",10.70%,± 5.8%
"McPherson County, South Dakota",21.50%,± 7.7%
"Meade County, Kansas",14.40%,± 3.4%
"Meade County, Kentucky",14.50%,± 2.7%
"Meade County, South Dakota",14.50%,± 2.4%
"Meagher County, Montana",14.40%,± 6.6%
"Mecklenburg County, North Carolina",6.70%,± 0.3%
"Mecklenburg County, Virginia",9.60%,± 1.6%
"Mecosta County, Michigan",11.60%,± 1.4%
"Medina County, Ohio",8.50%,± 0.7%
"Medina County, Texas",14.10%,± 2.3%
"Meeker County, Minnesota",13.30%,± 1.4%
"Meigs County, Ohio",13.80%,± 3%
"Meigs County, Tennessee",15.40%,± 3.2%
"Mellette County, South Dakota",10.70%,± 4.9%
"Menard County, Illinois",8.30%,± 1.5%
"Menard County, Texas",12.70%,± 6.9%
"Mendocino County, California",12.90%,± 1.4%
"Menifee County, Kentucky",14.60%,± 6%
"Menominee County, Michigan",11.70%,± 1.6%
"Menominee County, Wisconsin",12.70%,± 4.4%
"Merced County, California",19.70%,± 1.2%
"Mercer County, Illinois",15.40%,± 2.1%
"Mercer County, Kentucky",10.10%,± 2.3%
"Mercer County, Missouri",13.40%,± 4.6%
"Mercer County, New Jersey",6.20%,± 0.6%
"Mercer County, North Dakota",22.70%,± 3.6%
"Mercer County, Ohio",9.10%,± 1.3%
"Mercer County, Pennsylvania",8.60%,± 0.8%
"Mercer County, West Virginia",10.70%,± 1.9%
"Meriwether County, Georgia",14%,± 2.4%
"Merrick County, Nebraska",12.60%,± 2.3%
"Merrimack County, New Hampshire",9.20%,± 0.6%
"Mesa County, Colorado",12%,± 1%
"Metcalfe County, Kentucky",17.50%,± 4.1%
"Miami County, Indiana",13%,± 1.8%
"Miami County, Kansas",11.70%,± 1.9%
"Miami County, Ohio",7.80%,± 1.1%
"Miami-Dade County, Florida",10%,± 0.3%
"Middlesex County, Massachusetts",5.30%,± 0.2%
"Middlesex County, New Jersey",5.80%,± 0.3%
"Middlesex County, Virginia",12.70%,± 3%
"Midland County, Michigan",7.70%,± 0.7%
"Midland County, Texas",14.20%,± 1.4%
"Mifflin County, Pennsylvania",12.20%,± 1.5%
"Milam County, Texas",19%,± 2.6%
"Millard County, Utah",15.80%,± 2.3%
"Mille Lacs County, Minnesota",13.70%,± 1.6%
"Miller County, Arkansas",10.10%,± 2.3%
"Miller County, Georgia",12%,± 3.9%
"Miller County, Missouri",13.10%,± 1.9%
"Mills County, Iowa",9.40%,± 2.1%
"Mills County, Texas",18.80%,± 5%
"Milwaukee County, Wisconsin",6%,± 0.3%
"Miner County, South Dakota",10.60%,± 3.8%
"Mineral County, Colorado",13.10%,± 7.9%
"Mineral County, Montana",14%,± 4.2%
"Mineral County, Nevada",17%,± 6.7%
"Mineral County, West Virginia",12.30%,± 2.6%
"Mingo County, West Virginia",21%,± 4%
"Minidoka County, Idaho",18.60%,± 3%
"Minnehaha County, South Dakota",9.40%,± 0.8%
"Missaukee County, Michigan",17.50%,± 1.8%
"Mississippi County, Arkansas",11.80%,± 2.3%
"Mississippi County, Missouri",14.30%,± 3.8%
"Missoula County, Montana",8.90%,± 1%
"Mitchell County, Georgia",14.20%,± 3.7%
"Mitchell County, Iowa",13.50%,± 2%
"Mitchell County, Kansas",10.40%,± 3.3%
"Mitchell County, North Carolina",11.90%,± 3%
"Mitchell County, Texas",16.80%,± 6.7%
"Mobile County, Alabama",10.70%,± 0.7%
"Moca Municipio, Puerto Rico",11.40%,± 3.5%
"Modoc County, California",12.40%,± 4.3%
"Moffat County, Colorado",19.50%,± 3.5%
"Mohave County, Arizona",9.10%,± 1.1%
"Moniteau County, Missouri",14.10%,± 2.2%
"Monmouth County, New Jersey",6.80%,± 0.4%
"Mono County, California",11.90%,± 4%
"Monona County, Iowa",14.90%,± 2.6%
"Monongalia County, West Virginia",6%,± 1%
"Monroe County, Alabama",12.70%,± 2.8%
"Monroe County, Arkansas",8.50%,± 3.1%
"Monroe County, Florida",14.10%,± 1.4%
"Monroe County, Georgia",7.40%,± 2.2%
"Monroe County, Illinois",8.40%,± 1.2%
"Monroe County, Indiana",5.70%,± 0.7%
"Monroe County, Iowa",12%,± 3.1%
"Monroe County, Kentucky",14.70%,± 3.1%
"Monroe County, Michigan",11.20%,± 1.2%
"Monroe County, Mississippi",10.50%,± 2.1%
"Monroe County, Missouri",13.50%,± 3.7%
"Monroe County, New York",5.30%,± 0.3%
"Monroe County, Ohio",17.30%,± 2.7%
"Monroe County, Pennsylvania",9.20%,± 0.9%
"Monroe County, Tennessee",13.30%,± 2.3%
"Monroe County, West Virginia",16.10%,± 4.6%
"Monroe County, Wisconsin",14.90%,± 1.7%
"Montague County, Texas",17.90%,± 3.3%
"Montcalm County, Michigan",14.40%,± 1.7%
"Monterey County, California",18.60%,± 0.8%
"Montezuma County, Colorado",14.60%,± 3.2%
"Montgomery County, Alabama",5.80%,± 0.8%
"Montgomery County, Arkansas",12.10%,± 3%
"Montgomery County, Georgia",15.60%,± 4.1%
"Montgomery County, Illinois",12.60%,± 2.1%
"Montgomery County, Indiana",11.40%,± 1.5%
"Montgomery County, Iowa",11.60%,± 2.7%
"Montgomery County, Kansas",11.60%,± 1.8%
"Montgomery County, Kentucky",7.40%,± 1.8%
"Montgomery County, Maryland",6%,± 0.3%
"Montgomery County, Mississippi",11.30%,± 4%
"Montgomery County, Missouri",15.40%,± 2.9%
"Montgomery County, New York",10.10%,± 1.1%
"Montgomery County, North Carolina",14%,± 2.4%
"Montgomery County, Ohio",6.60%,± 0.4%
"Montgomery County, Pennsylvania",5.80%,± 0.3%
"Montgomery County, Tennessee",9.50%,± 1.1%
"Montgomery County, Texas",10.20%,± 0.5%
"Montgomery County, Virginia",6%,± 1%
"Montmorency County, Michigan",14.10%,± 3.1%
"Montour County, Pennsylvania",8.40%,± 1.6%
"Montrose County, Colorado",15.10%,± 2.4%
"Moody County, South Dakota",14.20%,± 2.7%
"Moore County, North Carolina",8.70%,± 1.2%
"Moore County, Tennessee",12.90%,± 3.8%
"Moore County, Texas",15.80%,± 2.7%
"Mora County, New Mexico",2%,± 1.9%
"Morehouse Parish, Louisiana",14.20%,± 2.8%
"Morgan County, Alabama",11.50%,± 1.2%
"Morgan County, Colorado",16.30%,± 3%
"Morgan County, Georgia",10.80%,± 2.4%
"Morgan County, Illinois",9%,± 1.7%
"Morgan County, Indiana",13.50%,± 1.3%
"Morgan County, Kentucky",14%,± 3.3%
"Morgan County, Missouri",13.10%,± 2.7%
"Morgan County, Ohio",13.10%,± 2.6%
"Morgan County, Tennessee",16.50%,± 3.9%
"Morgan County, Utah",10.90%,± 2.5%
"Morgan County, West Virginia",18.10%,± 3.6%
"Morovis Municipio, Puerto Rico",13.50%,± 3.1%
"Morrill County, Nebraska",17.50%,± 3.9%
"Morris County, Kansas",12.40%,± 3%
"Morris County, New Jersey",5.50%,± 0.3%
"Morris County, Texas",8.30%,± 3.1%
"Morrison County, Minnesota",13.70%,± 1.5%
"Morrow County, Ohio",12.70%,± 2.2%
"Morrow County, Oregon",21.30%,± 4.5%
"Morton County, Kansas",19.20%,± 7.5%
"Morton County, North Dakota",10%,± 1.9%
"Motley County, Texas",23.90%,± 7.6%
"Moultrie County, Illinois",12%,± 2.5%
"Mountrail County, North Dakota",13.30%,± 2.7%
"Mower County, Minnesota",11.10%,± 1.6%
"Muhlenberg County, Kentucky",9.60%,± 1.8%
"Multnomah County, Oregon",5.70%,± 0.3%
"Murray County, Georgia",9.50%,± 1.6%
"Murray County, Minnesota",13.40%,± 1.5%
"Murray County, Oklahoma",15.10%,± 2.6%
"Muscatine County, Iowa",8.90%,± 1.4%
"Muscogee County, Georgia",7.20%,± 0.9%
"Muskegon County, Michigan",8.30%,± 0.7%
"Muskingum County, Ohio",11.30%,± 1.3%
"Muskogee County, Oklahoma",10.50%,± 1.1%
"Musselshell County, Montana",22.50%,± 7.1%
"Nacogdoches County, Texas",12.80%,± 1.6%
"Naguabo Municipio, Puerto Rico",16.70%,± 4.9%
"Nance County, Nebraska",17.60%,± 4.1%
"Nantucket County, Massachusetts",15.80%,± 4.5%
"Napa County, California",10.30%,± 0.8%
"Naranjito Municipio, Puerto Rico",13.10%,± 4.6%
"Nash County, North Carolina",10.20%,± 1.3%
"Nassau County, Florida",12%,± 1.5%
"Nassau County, New York",6.40%,± 0.3%
"Natchitoches Parish, Louisiana",8.70%,± 1.6%
"Natrona County, Wyoming",11.70%,± 1.3%
"Naugatuck Valley Planning Region, Connecticut",8.10%,± 0.5%
"Navajo County, Arizona",12.60%,± 1.4%
"Navarro County, Texas",12.90%,± 1.7%
"Nelson County, Kentucky",10.40%,± 1.4%
"Nelson County, North Dakota",12.80%,± 2.7%
"Nelson County, Virginia",15.90%,± 3.6%
"Nemaha County, Kansas",8.80%,± 2%
"Nemaha County, Nebraska",11.20%,± 2.3%
"Neosho County, Kansas",11.60%,± 2.6%
"Neshoba County, Mississippi",10.30%,± 2.2%
"Ness County, Kansas",18.20%,± 3.7%
"Nevada County, Arkansas",10.80%,± 3.7%
"Nevada County, California",10.20%,± 1.1%
"New Castle County, Delaware",7.70%,± 0.5%
"New Hanover County, North Carolina",8.10%,± 0.7%
"New Kent County, Virginia",13.10%,± 2.3%
"New Madrid County, Missouri",11.20%,± 2%
"New York County, New York",1.90%,± 0.2%
"Newaygo County, Michigan",13.10%,± 1.1%
"Newberry County, South Carolina",9.70%,± 1.6%
"Newport County, Rhode Island",7.80%,± 1%
"Newport News city, Virginia",9.10%,± 1%
"Newton County, Arkansas",15.10%,± 4.4%
"Newton County, Georgia",10.60%,± 1.6%
"Newton County, Indiana",16.10%,± 3.1%
"Newton County, Mississippi",10.90%,± 2.6%
"Newton County, Missouri",11.20%,± 1.4%
"Newton County, Texas",17.50%,± 3.9%
"Nez Perce County, Idaho",10.40%,± 1.8%
"Niagara County, New York",9.40%,± 0.7%
"Nicholas County, Kentucky",12.30%,± 4.4%
"Nicholas County, West Virginia",15.70%,± 3.3%
"Nicollet County, Minnesota",8.10%,± 1.3%
"Niobrara County, Wyoming",23.80%,± 7.8%
"Noble County, Indiana",9.20%,± 1.4%
"Noble County, Ohio",8.70%,± 3.2%
"Noble County, Oklahoma",12.30%,± 2.2%
"Nobles County, Minnesota",10.70%,± 1.6%
"Nodaway County, Missouri",9.80%,± 2%
"Nolan County, Texas",15.20%,± 2.9%
"Nome Census Area, Alaska",9.10%,± 3.2%
"Norfolk city, Virginia",8.90%,± 0.7%
"Norfolk County, Massachusetts",5.20%,± 0.3%
"Norman County, Minnesota",15.70%,± 1.5%
"North Slope Borough, Alaska",23.20%,± 4.4%
"Northampton County, North Carolina",11.50%,± 2.6%
"Northampton County, Pennsylvania",8%,± 0.5%
"Northampton County, Virginia",17.10%,± 3.9%
"Northeastern Connecticut Planning Region, Connecticut",10.30%,± 1.3%
"Northumberland County, Pennsylvania",9.90%,± 1.1%
"Northumberland County, Virginia",13.20%,± 5.4%
"Northwest Arctic Borough, Alaska",18.80%,± 6.5%
"Northwest Hills Planning Region, Connecticut",9.40%,± 1%
"Norton city, Virginia",11.40%,± 6.6%
"Norton County, Kansas",12.40%,± 4.5%
"Nottoway County, Virginia",11.90%,± 3.2%
"Nowata County, Oklahoma",13.80%,± 2.3%
"Noxubee County, Mississippi",11.70%,± 4.3%
"Nuckolls County, Nebraska",11%,± 3.2%
"Nueces County, Texas",13.50%,± 0.9%
"Nye County, Nevada",17.30%,± 2.4%
"O'Brien County, Iowa",13.30%,± 2.6%
"Oakland County, Michigan",5.20%,± 0.2%
"Obion County, Tennessee",9.50%,± 1.7%
"Ocean County, New Jersey",9%,± 0.4%
"Oceana County, Michigan",15.20%,± 1.6%
"Ochiltree County, Texas",28.20%,± 5.2%
"Oconee County, Georgia",6.50%,± 1.5%
"Oconee County, South Carolina",11.10%,± 1.5%
"Oconto County, Wisconsin",13.90%,± 1.2%
"Ogemaw County, Michigan",10.70%,± 1.3%
"Oglala Lakota County, South Dakota",14%,± 4.3%
"Ogle County, Illinois",10.50%,± 1.3%
"Oglethorpe County, Georgia",10.40%,± 2.3%
"Ohio County, Indiana",12.60%,± 3.4%
"Ohio County, Kentucky",14.10%,± 2.8%
"Ohio County, West Virginia",7.50%,± 1.3%
"Okaloosa County, Florida",9.10%,± 0.8%
"Okanogan County, Washington",22.40%,± 2.3%
"Okeechobee County, Florida",17%,± 2.7%
"Okfuskee County, Oklahoma",12.80%,± 1.9%
"Oklahoma County, Oklahoma",9.70%,± 0.4%
"Okmulgee County, Oklahoma",10.60%,± 1.4%
"Oktibbeha County, Mississippi",6.70%,± 1.6%
"Oldham County, Kentucky",6.30%,± 1.1%
"Oldham County, Texas",16.20%,± 6.7%
"Oliver County, North Dakota",14%,± 3.5%
"Olmsted County, Minnesota",5.90%,± 0.7%
"Oneida County, Idaho",9.90%,± 4.1%
"Oneida County, New York",7.40%,± 0.7%
"Oneida County, Wisconsin",11.30%,± 1.6%
"Onondaga County, New York",6.20%,± 0.4%
"Onslow County, North Carolina",12.10%,± 1.5%
"Ontario County, New York",8.60%,± 0.9%
"Ontonagon County, Michigan",12.50%,± 2.4%
"Orange County, California",6.10%,± 0.1%
"Orange County, Florida",7.50%,± 0.3%
"Orange County, Indiana",11.80%,± 2.6%
"Orange County, New York",9.10%,± 0.6%
"Orange County, North Carolina",5.30%,± 0.8%
"Orange County, Texas",15.50%,± 1.8%
"Orange County, Vermont",13.50%,± 1.4%
"Orange County, Virginia",15.20%,± 2.6%
"Orangeburg County, South Carolina",10.10%,± 1%
"Oregon County, Missouri",10.10%,± 2.6%
"Orleans County, New York",15.40%,± 2%
"Orleans County, Vermont",12.30%,± 1.4%
"Orleans Parish, Louisiana",5.80%,± 0.5%
"Orocovis Municipio, Puerto Rico",18.20%,± 4.1%
"Osage County, Kansas",14.30%,± 1.9%
"Osage County, Missouri",12.20%,± 2.3%
"Osage County, Oklahoma",11.50%,± 1.1%
"Osborne County, Kansas",11.80%,± 3.3%
"Osceola County, Florida",10.10%,± 1%
"Osceola County, Iowa",17.30%,± 2.9%
"Osceola County, Michigan",13.40%,± 1.8%
"Oscoda County, Michigan",13.20%,± 2.6%
"Oswego County, New York",11.70%,± 1%
"Otero County, Colorado",14.80%,± 3.2%
"Otero County, New Mexico",15.20%,± 2.4%
"Otoe County, Nebraska",10.50%,± 1.6%
"Otsego County, Michigan",8.90%,± 1.5%
"Otsego County, New York",11%,± 1.4%
"Ottawa County, Kansas",10.20%,± 3%
"Ottawa County, Michigan",7.80%,± 0.5%
"Ottawa County, Ohio",10.90%,± 1.5%
"Ottawa County, Oklahoma",12.30%,± 0.9%
"Otter Tail County, Minnesota",12.60%,± 0.9%
"Ouachita County, Arkansas",10%,± 2.4%
"Ouachita Parish, Louisiana",8.40%,± 1%
"Ouray County, Colorado",14.40%,± 4.7%
"Outagamie County, Wisconsin",9.40%,± 0.6%
"Overton County, Tennessee",14.90%,± 2.3%
"Owen County, Indiana",15.70%,± 2.3%
"Owen County, Kentucky",13.30%,± 3%
"Owsley County, Kentucky",15.80%,± 8.5%
"Owyhee County, Idaho",22.90%,± 4%
"Oxford County, Maine",13.70%,± 1.5%
"Ozark County, Missouri",15.70%,± 3.7%
"Ozaukee County, Wisconsin",6%,± 0.9%
"Pacific County, Washington",14.20%,± 2.4%
"Page County, Iowa",8.30%,± 1.6%
"Page County, Virginia",15.60%,± 3%
"Palm Beach County, Florida",9%,± 0.3%
"Palo Alto County, Iowa",14.20%,± 2.8%
"Palo Pinto County, Texas",14.10%,± 2.1%
"Pamlico County, North Carolina",18.70%,± 3.7%
"Panola County, Mississippi",12.70%,± 2.5%
"Panola County, Texas",14.40%,± 2.1%
"Park County, Colorado",13.30%,± 3.2%
"Park County, Montana",16.70%,± 2.7%
"Park County, Wyoming",13.30%,± 2.3%
"Parke County, Indiana",13.80%,± 2.7%
"Parker County, Texas",10.70%,± 0.9%
"Parmer County, Texas",22.50%,± 4.9%
"Pasco County, Florida",9.50%,± 0.6%
"Pasquotank County, North Carolina",10.80%,± 1.9%
"Passaic County, New Jersey",8.10%,± 0.5%
"Patillas Municipio, Puerto Rico",14.70%,± 4.6%
"Patrick County, Virginia",13.20%,± 2.7%
"Paulding County, Georgia",11.50%,± 1.1%
"Paulding County, Ohio",9.40%,± 1.7%
"Pawnee County, Kansas",11.40%,± 4.1%
"Pawnee County, Nebraska",16.10%,± 3.9%
"Pawnee County, Oklahoma",15.20%,± 1.5%
"Payette County, Idaho",15.60%,± 3.6%
"Payne County, Oklahoma",8.60%,± 1.2%
"Peach County, Georgia",11%,± 2.5%
"Pearl River County, Mississippi",12.60%,± 2.4%
"Pecos County, Texas",22.10%,± 5.4%
"Pembina County, North Dakota",13.20%,± 2.2%
"Pemiscot County, Missouri",13%,± 2.6%
"Pend Oreille County, Washington",17.30%,± 3.9%
"Pender County, North Carolina",13.20%,± 2.1%
"Pendleton County, Kentucky",14.60%,± 3.1%
"Pendleton County, West Virginia",19.10%,± 3.6%
"Pennington County, Minnesota",7.20%,± 1.4%
"Pennington County, South Dakota",10%,± 1%
"Penobscot County, Maine",10.50%,± 0.8%
"Peñuelas Municipio, Puerto Rico",15%,± 3.6%
"Peoria County, Illinois",6.50%,± 0.6%
"Pepin County, Wisconsin",13.30%,± 1.9%
"Perkins County, Nebraska",18%,± 4.9%
"Perkins County, South Dakota",16%,± 5.1%
"Perquimans County, North Carolina",13.80%,± 4.5%
"Perry County, Alabama",8%,± 3.4%
"Perry County, Arkansas",20.40%,± 4.2%
"Perry County, Illinois",11%,± 2.4%
"Perry County, Indiana",12.40%,± 2.3%
"Perry County, Kentucky",12.10%,± 3%
"Perry County, Mississippi",13.20%,± 4.6%
"Perry County, Missouri",10.40%,± 1.9%
"Perry County, Ohio",13.50%,± 2.1%
"Perry County, Pennsylvania",15%,± 1.3%
"Perry County, Tennessee",13.80%,± 5.3%
"Pershing County, Nevada",26%,± 7.9%
"Person County, North Carolina",12.70%,± 1.9%
"Petersburg Borough, Alaska",13.50%,± 3.5%
"Petersburg city, Virginia",4.90%,± 1.3%
"Petroleum County, Montana",33.80%,± 11.1%
