Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Education, legal, community service, arts, and media occupations:—Educational instruction, and library occupations—Estimate",MoE,Total—Civilian employed population 16 years and over—Estimate
"Laurel County, Kentucky","1,256",± 286,"25,949"
"Laurens County, Georgia","1,233",± 249,"19,467"
"Laurens County, South Carolina","1,386",± 309,"29,264"
"Lavaca County, Texas",576,± 122,"9,376"
"Lawrence County, Alabama","1,032",± 322,"13,836"
"Lawrence County, Arkansas",530,± 142,"6,492"
"Lawrence County, Illinois",211,± 85,"6,021"
"Lawrence County, Indiana",981,± 269,"21,419"
"Lawrence County, Kentucky",459,± 188,"4,586"
"Lawrence County, Mississippi",275,± 146,"4,066"
"Lawrence County, Missouri",717,± 237,"16,708"
"Lawrence County, Ohio","1,447",± 333,"23,771"
"Lawrence County, Pennsylvania","1,945",± 256,"38,886"
"Lawrence County, South Dakota",777,± 198,"14,306"
"Lawrence County, Tennessee","1,340",± 271,"18,492"
"Le Flore County, Oklahoma","1,272",± 161,"18,665"
"Le Sueur County, Minnesota",861,± 141,"15,425"
"Lea County, New Mexico","1,795",± 398,"30,803"
"Leake County, Mississippi",368,± 138,"8,056"
"Leavenworth County, Kansas","2,237",± 350,"34,624"
"Lebanon County, Pennsylvania","3,322",± 425,"68,515"
"Lee County, Alabama","8,990",± 859,"81,409"
"Lee County, Arkansas",71,± 52,"2,532"
"Lee County, Florida","16,415","± 1,244","332,507"
"Lee County, Georgia","1,301",± 372,"15,880"
"Lee County, Illinois",830,± 160,"15,303"
"Lee County, Iowa",774,± 163,"15,022"
"Lee County, Kentucky",151,± 82,"2,286"
"Lee County, Mississippi","2,540",± 408,"38,514"
"Lee County, North Carolina","1,597",± 370,"28,570"
"Lee County, South Carolina",223,± 85,"5,624"
"Lee County, Texas",439,± 163,"8,058"
"Lee County, Virginia",591,± 203,"7,196"
"Leelanau County, Michigan",525,± 101,"9,720"
"Leflore County, Mississippi",665,± 229,"10,310"
"Lehigh County, Pennsylvania","10,262",± 750,"183,365"
"Lemhi County, Idaho",137,± 63,"3,427"
"Lenawee County, Michigan","2,275",± 274,"44,046"
"Lenoir County, North Carolina","1,306",± 339,"22,701"
"Leon County, Florida","14,032","± 1,184","150,497"
"Leon County, Texas",195,± 92,"6,234"
"Leslie County, Kentucky",176,± 122,"3,344"
"Letcher County, Kentucky",498,± 149,"6,989"
"Levy County, Florida",589,± 172,"17,222"
"Lewis and Clark County, Montana","2,171",± 380,"36,116"
"Lewis County, Idaho",87,± 29,"1,330"
"Lewis County, Kentucky",213,± 106,"4,136"
"Lewis County, Missouri",198,± 60,"4,348"
"Lewis County, New York",799,± 137,"11,871"
"Lewis County, Tennessee",241,± 114,"5,243"
"Lewis County, Washington","2,061",± 367,"34,489"
"Lewis County, West Virginia",216,± 96,"6,608"
"Lexington city, Virginia",457,± 180,"2,808"
"Lexington County, South Carolina","9,833",± 773,"144,281"
"Liberty County, Florida",184,± 73,"2,545"
"Liberty County, Georgia","1,904",± 358,"23,685"
"Liberty County, Montana",28,± 20,812
"Liberty County, Texas","1,458",± 369,"33,708"
"Licking County, Ohio","4,542",± 687,"86,878"
"Limestone County, Alabama","3,068",± 479,"48,090"
"Limestone County, Texas",305,± 101,"8,153"
"Lincoln County, Arkansas",168,± 70,"3,591"
"Lincoln County, Colorado",151,± 50,"2,169"
"Lincoln County, Georgia",229,± 76,"3,203"
"Lincoln County, Idaho",169,± 47,"2,544"
"Lincoln County, Kansas",83,± 30,"1,435"
"Lincoln County, Kentucky",831,± 247,"9,865"
"Lincoln County, Maine","1,333",± 267,"16,776"
"Lincoln County, Minnesota",154,± 33,"2,810"
"Lincoln County, Mississippi","1,193",± 430,"13,738"
"Lincoln County, Missouri","1,256",± 310,"28,728"
"Lincoln County, Montana",272,± 107,"7,499"
"Lincoln County, Nebraska","1,178",± 245,"16,860"
"Lincoln County, Nevada",108,± 66,"1,651"
"Lincoln County, New Mexico",495,± 144,"8,406"
"Lincoln County, North Carolina","2,172",± 432,"42,710"
"Lincoln County, Oklahoma",867,± 137,"14,402"
"Lincoln County, Oregon",933,± 204,"20,107"
"Lincoln County, South Dakota","1,795",± 306,"37,131"
"Lincoln County, Tennessee",894,± 251,"16,035"
"Lincoln County, Washington",391,± 84,"4,565"
"Lincoln County, West Virginia",290,± 162,"6,626"
"Lincoln County, Wisconsin",782,± 186,"13,493"
"Lincoln County, Wyoming",608,± 166,"9,869"
"Lincoln Parish, Louisiana","1,690",± 295,"21,178"
"Linn County, Iowa","6,050",± 540,"121,318"
"Linn County, Kansas",312,± 85,"4,268"
"Linn County, Missouri",326,± 81,"5,513"
"Linn County, Oregon","3,190",± 417,"57,828"
"Lipscomb County, Texas",89,± 33,"1,372"
"Little River County, Arkansas",397,± 133,"5,046"
"Live Oak County, Texas",225,± 92,"4,067"
"Livingston County, Illinois",748,± 167,"16,707"
"Livingston County, Kentucky",194,± 87,"3,837"
"Livingston County, Michigan","4,490",± 378,"98,534"
"Livingston County, Missouri",670,± 150,"6,148"
"Livingston County, New York","2,438",± 315,"28,923"
"Livingston Parish, Louisiana","3,674",± 609,"65,213"
"Llano County, Texas",371,± 113,"8,211"
"Logan County, Arkansas",653,± 174,"9,267"
"Logan County, Colorado",703,± 206,"10,431"
"Logan County, Illinois",639,± 123,"12,255"
"Logan County, Kansas",89,± 38,"1,435"
"Logan County, Kentucky",538,± 174,"11,675"
"Logan County, Nebraska",34,± 15,444
"Logan County, North Dakota",49,± 19,857
"Logan County, Ohio",993,± 226,"21,746"
"Logan County, Oklahoma","1,427",± 288,"22,621"
"Logan County, West Virginia",441,± 173,"9,520"
"Loíza Municipio, Puerto Rico",487,± 169,"7,408"
"Long County, Georgia",183,± 88,"6,873"
"Lonoke County, Arkansas","2,083",± 358,"33,414"
"Lorain County, Ohio","8,136",± 718,"146,503"
"Los Alamos County, New Mexico",591,± 195,"10,278"
"Los Angeles County, California","257,688","± 4,434","4,869,620"
"Loudon County, Tennessee","1,059",± 258,"24,434"
"Loudoun County, Virginia","14,541",± 850,"228,835"
"Louisa County, Iowa",296,± 90,"5,380"
"Louisa County, Virginia",885,± 242,"17,930"
"Loup County, Nebraska",16,± 12,331
"Love County, Oklahoma",191,± 55,"4,383"
"Loving County, Texas",0,± 15,39
"Lower Connecticut River Valley Planning Region, Connecticut","7,956",± 612,"94,796"
"Lowndes County, Alabama",129,± 60,"3,727"
"Lowndes County, Georgia","3,548",± 476,"49,794"
"Lowndes County, Mississippi","1,436",± 293,"23,827"
"Lubbock County, Texas","13,993",± 965,"153,807"
"Lucas County, Iowa",271,± 65,"4,105"
"Lucas County, Ohio","10,929",± 962,"201,274"
"Luce County, Michigan",73,± 34,"1,459"
"Lumpkin County, Georgia","1,198",± 274,"15,327"
"Luna County, New Mexico",533,± 184,"8,296"
"Lunenburg County, Virginia",115,± 60,"4,656"
"Luquillo Municipio, Puerto Rico",307,± 139,"5,652"
"Luzerne County, Pennsylvania","8,050",± 742,"153,692"
"Lycoming County, Pennsylvania","3,228",± 390,"52,429"
"Lyman County, South Dakota",141,± 43,"1,478"
"Lynchburg city, Virginia","2,682",± 318,"36,550"
"Lynn County, Texas",237,± 59,"2,506"
"Lyon County, Iowa",381,± 84,"5,845"
"Lyon County, Kansas","1,471",± 224,"17,019"
"Lyon County, Kentucky",112,± 55,"3,149"
"Lyon County, Minnesota",841,± 147,"12,747"
"Lyon County, Nevada",954,± 285,"26,227"
"Mackinac County, Michigan",171,± 44,"4,349"
"Macomb County, Michigan","18,015","± 1,030","433,289"
"Macon County, Alabama",431,± 142,"7,072"
"Macon County, Georgia",135,± 77,"3,556"
"Macon County, Illinois","2,558",± 404,"44,928"
"Macon County, Missouri",533,± 135,"6,610"
"Macon County, North Carolina",850,± 220,"15,716"
"Macon County, Tennessee",437,± 171,"11,837"
"Macoupin County, Illinois","1,273",± 224,"20,176"
"Madera County, California","3,633",± 535,"59,826"
"Madison County, Alabama","10,850",± 916,"192,922"
"Madison County, Arkansas",183,± 83,"7,052"
"Madison County, Florida",403,± 118,"6,225"
"Madison County, Georgia","1,017",± 276,"13,312"
"Madison County, Idaho","3,826",± 805,"26,702"
"Madison County, Illinois","7,108",± 613,"129,311"
"Madison County, Indiana","2,440",± 277,"59,462"
"Madison County, Iowa",392,± 120,"9,055"
"Madison County, Kentucky","3,227",± 297,"45,222"
"Madison County, Mississippi","4,009",± 548,"53,899"
"Madison County, Missouri",213,± 104,"5,376"
"Madison County, Montana",110,± 44,"4,075"
"Madison County, Nebraska","1,327",± 212,"18,105"
"Madison County, New York","2,376",± 365,"31,518"
"Madison County, North Carolina",607,± 176,"9,715"
"Madison County, Ohio","1,037",± 214,"20,224"
"Madison County, Tennessee","2,766",± 412,"44,897"
"Madison County, Texas",278,± 109,"4,793"
"Madison County, Virginia",264,± 123,"6,634"
"Madison Parish, Louisiana",265,± 90,"2,962"
"Magoffin County, Kentucky",258,± 138,"2,983"
"Mahaska County, Iowa",598,± 143,"11,101"
"Mahnomen County, Minnesota",132,± 20,"2,030"
"Mahoning County, Ohio","5,678",± 580,"103,872"
"Major County, Oklahoma",194,± 63,"3,434"
"Malheur County, Oregon",601,± 158,"11,624"
"Manassas city, Virginia","1,325",± 312,"22,899"
"Manassas Park city, Virginia",426,± 183,"9,964"
"Manatee County, Florida","9,178",± 855,"174,991"
"Manatí Municipio, Puerto Rico",722,± 204,"11,143"
"Manistee County, Michigan",322,± 89,"9,690"
"Manitowoc County, Wisconsin","1,936",± 291,"40,682"
"Marathon County, Wisconsin","3,897",± 399,"71,774"
"Marengo County, Alabama",564,± 174,"7,587"
"Maricao Municipio, Puerto Rico",58,± 52,"1,354"
"Maricopa County, Arizona","112,695","± 2,616","2,176,046"
"Maries County, Missouri",335,± 116,"3,582"
"Marin County, California","8,002",± 671,"128,916"
"Marinette County, Wisconsin",770,± 153,"19,123"
"Marion County, Alabama",683,± 188,"11,563"
"Marion County, Arkansas",343,± 111,"6,022"
"Marion County, Florida","6,559",± 826,"142,390"
"Marion County, Georgia",110,± 80,"2,826"
"Marion County, Illinois",914,± 168,"16,449"
"Marion County, Indiana","24,442","± 1,512","483,307"
"Marion County, Iowa","1,196",± 187,"16,772"
"Marion County, Kansas",590,± 103,"5,674"
"Marion County, Kentucky",378,± 142,"7,767"
"Marion County, Mississippi",405,± 194,"8,983"
"Marion County, Missouri",999,± 206,"13,295"
"Marion County, Ohio",988,± 198,"27,120"
"Marion County, Oregon","7,249",± 697,"158,165"
"Marion County, South Carolina",616,± 216,"10,801"
"Marion County, Tennessee",460,± 125,"12,226"
"Marion County, Texas",191,± 86,"3,450"
"Marion County, West Virginia","1,680",± 308,"25,410"
"Mariposa County, California",608,± 191,"7,252"
"Marlboro County, South Carolina",393,± 161,"8,922"
"Marquette County, Michigan","1,846",± 283,"31,091"
"Marquette County, Wisconsin",289,± 58,"7,032"
"Marshall County, Alabama","2,303",± 346,"41,389"
"Marshall County, Illinois",244,± 68,"5,182"
"Marshall County, Indiana",987,± 182,"21,716"
"Marshall County, Iowa","1,170",± 247,"19,554"
"Marshall County, Kansas",328,± 95,"4,951"
"Marshall County, Kentucky",607,± 155,"13,941"
"Marshall County, Minnesota",239,± 39,"4,346"
"Marshall County, Mississippi",537,± 188,"14,230"
"Marshall County, Oklahoma",312,± 86,"6,059"
"Marshall County, South Dakota",91,± 37,"2,214"
"Marshall County, Tennessee",675,± 223,"16,205"
"Marshall County, West Virginia",839,± 227,"13,143"
"Martin County, Florida","3,044",± 462,"66,965"
"Martin County, Indiana",118,± 64,"4,687"
"Martin County, Kentucky",353,± 190,"3,032"
"Martin County, Minnesota",529,± 112,"9,889"
"Martin County, North Carolina",523,± 184,"9,084"
"Martin County, Texas",209,± 115,"2,288"
"Martinsville city, Virginia",328,± 133,"5,554"
"Mason County, Illinois",248,± 56,"5,810"
"Mason County, Kentucky",349,± 122,"7,271"
"Mason County, Michigan",718,± 111,"12,410"
"Mason County, Texas",198,± 112,"1,629"
"Mason County, Washington","1,490",± 275,"26,142"
"Mason County, West Virginia",428,± 164,"9,417"
"Massac County, Illinois",274,± 105,"5,718"
"Matagorda County, Texas","1,096",± 339,"14,845"
"Matanuska-Susitna Borough, Alaska","2,716",± 240,"45,800"
"Mathews County, Virginia",232,± 143,"3,284"
"Maui County, Hawaii","4,420",± 453,"81,596"
"Maunabo Municipio, Puerto Rico",129,± 89,"2,387"
"Maury County, Tennessee","2,840",± 561,"50,758"
"Maverick County, Texas","1,736",± 458,"22,689"
"Mayagüez Municipio, Puerto Rico","1,408",± 244,"19,263"
"Mayes County, Oklahoma","1,031",± 186,"16,621"
"McClain County, Oklahoma","1,098",± 202,"20,187"
"McCone County, Montana",75,± 32,914
"McCook County, South Dakota",127,± 39,"2,937"
"McCormick County, South Carolina",226,± 117,"3,263"
"McCracken County, Kentucky","1,789",± 386,"29,964"
"McCreary County, Kentucky",296,± 174,"4,881"
"McCulloch County, Texas",181,± 90,"3,286"
"McCurtain County, Oklahoma",807,± 141,"12,352"
"McDonald County, Missouri",440,± 127,"9,628"
"McDonough County, Illinois","1,272",± 233,"12,875"
"McDowell County, North Carolina",878,± 218,"18,793"
"McDowell County, West Virginia",174,± 86,"3,309"
"McDuffie County, Georgia",786,± 254,"9,547"
"McHenry County, Illinois","10,775",± 769,"165,560"
"McHenry County, North Dakota",152,± 42,"2,536"
"McIntosh County, Georgia",170,± 90,"4,513"
"McIntosh County, North Dakota",87,± 29,"1,291"
"McIntosh County, Oklahoma",495,± 143,"6,307"
"McKean County, Pennsylvania","1,327",± 211,"17,575"
"McKenzie County, North Dakota",429,± 129,"6,729"
"McKinley County, New Mexico","1,597",± 276,"23,731"
"McLean County, Illinois","6,429",± 617,"85,832"
"McLean County, Kentucky",278,± 102,"3,784"
"McLean County, North Dakota",301,± 71,"4,493"
"McLennan County, Texas","9,168",± 859,"119,971"
"McLeod County, Minnesota",906,± 196,"19,144"
"McMinn County, Tennessee","1,164",± 251,"22,798"
"McMullen County, Texas",20,± 16,247
"McNairy County, Tennessee",696,± 178,"9,761"
"McPherson County, Kansas","1,205",± 248,"15,658"
"McPherson County, Nebraska",17,± 11,252
"McPherson County, South Dakota",50,± 27,"1,072"
"Meade County, Kansas",170,± 55,"2,015"
"Meade County, Kentucky",584,± 184,"13,375"
"Meade County, South Dakota",678,± 183,"14,917"
"Meagher County, Montana",95,± 51,"1,021"
"Mecklenburg County, North Carolina","31,468","± 1,666","603,786"
"Mecklenburg County, Virginia",951,± 230,"12,561"
"Mecosta County, Michigan","1,118",± 238,"16,808"
"Medina County, Ohio","5,610",± 558,"96,311"
"Medina County, Texas","1,558",± 420,"22,289"
"Meeker County, Minnesota",571,± 86,"11,764"
"Meigs County, Ohio",344,± 128,"8,336"
"Meigs County, Tennessee",248,± 147,"5,006"
"Mellette County, South Dakota",38,± 29,587
"Menard County, Illinois",433,± 137,"5,886"
"Menard County, Texas",46,± 37,738
"Mendocino County, California","1,428",± 274,"38,062"
"Menifee County, Kentucky",68,± 50,"2,005"
"Menominee County, Michigan",393,± 97,"10,729"
"Menominee County, Wisconsin",23,± 24,"1,403"
"Merced County, California","6,713",± 734,"110,712"
"Mercer County, Illinois",349,± 93,"7,382"
"Mercer County, Kentucky",503,± 131,"10,029"
"Mercer County, Missouri",111,± 45,"1,492"
"Mercer County, New Jersey","16,449","± 1,025","186,469"
"Mercer County, North Dakota",121,± 59,"3,759"
"Mercer County, Ohio","1,072",± 184,"21,826"
"Mercer County, Pennsylvania","2,940",± 367,"47,850"
"Mercer County, West Virginia","1,939",± 390,"23,119"
"Meriwether County, Georgia",400,± 133,"7,997"
"Merrick County, Nebraska",281,± 87,"3,973"
"Merrimack County, New Hampshire","4,990",± 483,"80,423"
"Mesa County, Colorado","4,405",± 552,"74,204"
"Metcalfe County, Kentucky",337,± 140,"4,343"
"Miami County, Indiana",474,± 131,"15,383"
"Miami County, Kansas",919,± 212,"17,104"
"Miami County, Ohio","2,927",± 361,"54,484"
"Miami-Dade County, Florida","62,275","± 2,283","1,343,356"
"Middlesex County, Massachusetts","76,713","± 2,509","896,385"
"Middlesex County, New Jersey","30,642","± 1,370","433,082"
"Middlesex County, Virginia",344,± 131,"4,509"
"Midland County, Michigan","2,275",± 311,"38,154"
"Midland County, Texas","4,776",± 797,"85,908"
"Mifflin County, Pennsylvania",633,± 144,"21,229"
"Milam County, Texas",888,± 228,"10,929"
"Millard County, Utah",413,± 96,"5,395"
"Mille Lacs County, Minnesota",693,± 142,"13,012"
"Miller County, Arkansas","1,083",± 268,"16,166"
"Miller County, Georgia",258,± 119,"2,430"
"Miller County, Missouri",749,± 160,"11,381"
"Mills County, Iowa",557,± 133,"6,743"
"Mills County, Texas",88,± 40,"2,032"
"Milwaukee County, Wisconsin","27,112","± 1,364","452,838"
"Miner County, South Dakota",82,± 42,"1,122"
"Mineral County, Colorado",53,± 36,412
"Mineral County, Montana",102,± 44,"1,917"
"Mineral County, Nevada",206,± 138,"1,671"
"Mineral County, West Virginia",721,± 210,"11,730"
"Mingo County, West Virginia",403,± 156,"6,360"
"Minidoka County, Idaho",665,± 205,"10,065"
"Minnehaha County, South Dakota","5,147",± 497,"110,635"
"Missaukee County, Michigan",320,± 69,"6,547"
"Mississippi County, Arkansas","1,108",± 270,"16,965"
"Mississippi County, Missouri",318,± 129,"4,335"
"Missoula County, Montana","3,791",± 427,"66,207"
"Mitchell County, Georgia",514,± 214,"7,811"
"Mitchell County, Iowa",326,± 98,"5,673"
"Mitchell County, Kansas",194,± 71,"2,705"
"Mitchell County, North Carolina",450,± 153,"6,538"
"Mitchell County, Texas",162,± 85,"3,802"
"Mobile County, Alabama","10,840",± 914,"176,289"
"Moca Municipio, Puerto Rico",724,± 206,"11,273"
"Modoc County, California",260,± 119,"3,188"
"Moffat County, Colorado",341,± 117,"6,110"
"Mohave County, Arizona","3,316",± 622,"75,865"
"Moniteau County, Missouri",450,± 102,"6,719"
"Monmouth County, New Jersey","26,464","± 1,222","331,132"
"Mono County, California",486,± 242,"7,279"
"Monona County, Iowa",223,± 64,"4,152"
"Monongalia County, West Virginia","6,241",± 662,"54,386"
"Monroe County, Alabama",177,± 67,"6,220"
"Monroe County, Arkansas",148,± 88,"2,318"
"Monroe County, Florida","2,132",± 355,"42,210"
"Monroe County, Georgia",785,± 205,"13,152"
"Monroe County, Illinois","1,026",± 214,"18,704"
"Monroe County, Indiana","8,385",± 669,"70,601"
"Monroe County, Iowa",441,± 152,"3,604"
"Monroe County, Kentucky",288,± 96,"4,932"
"Monroe County, Michigan","3,621",± 506,"71,039"
"Monroe County, Mississippi",564,± 159,"13,621"
"Monroe County, Missouri",165,± 47,"3,599"
"Monroe County, New York","31,182","± 1,326","373,267"
"Monroe County, Ohio",400,± 106,"5,418"
"Monroe County, Pennsylvania","4,130",± 553,"79,168"
"Monroe County, Tennessee","1,017",± 291,"18,236"
"Monroe County, West Virginia",230,± 117,"4,632"
"Monroe County, Wisconsin","1,092",± 189,"21,789"
"Montague County, Texas",369,± 132,"8,288"
"Montcalm County, Michigan","1,031",± 182,"28,771"
"Monterey County, California","11,677",± 835,"187,502"
"Montezuma County, Colorado",565,± 175,"10,871"
"Montgomery County, Alabama","6,942",± 794,"98,419"
"Montgomery County, Arkansas",283,± 92,"3,249"
"Montgomery County, Georgia",308,± 106,"3,438"
"Montgomery County, Illinois",549,± 121,"11,520"
"Montgomery County, Indiana",914,± 184,"18,659"
"Montgomery County, Iowa",200,± 65,"4,757"
"Montgomery County, Kansas",964,± 208,"13,703"
"Montgomery County, Kentucky",547,± 185,"11,632"
"Montgomery County, Maryland","38,404","± 1,524","560,749"
"Montgomery County, Mississippi",283,± 179,"3,519"
"Montgomery County, Missouri",261,± 89,"5,130"
"Montgomery County, New York","1,346",± 227,"22,079"
"Montgomery County, North Carolina",596,± 186,"10,947"
"Montgomery County, Ohio","14,320",± 939,"252,061"
"Montgomery County, Pennsylvania","33,007","± 1,374","451,495"
"Montgomery County, Tennessee","6,330",± 770,"94,591"
"Montgomery County, Texas","20,310","± 1,706","301,015"
"Montgomery County, Virginia","7,080",± 712,"46,404"
"Montmorency County, Michigan",103,± 44,"3,179"
"Montour County, Pennsylvania",577,± 135,"8,711"
"Montrose County, Colorado",757,± 185,"18,575"
"Moody County, South Dakota",128,± 44,"3,076"
"Moore County, North Carolina","2,824",± 434,"41,529"
"Moore County, Tennessee",158,± 77,"2,967"
"Moore County, Texas",568,± 175,"9,713"
"Mora County, New Mexico",85,± 66,"1,312"
"Morehouse Parish, Louisiana",516,± 175,"9,371"
"Morgan County, Alabama","3,046",± 518,"55,092"
"Morgan County, Colorado",690,± 163,"13,810"
"Morgan County, Georgia","1,022",± 277,"9,855"
"Morgan County, Illinois",906,± 160,"14,292"
"Morgan County, Indiana","1,406",± 219,"34,822"
"Morgan County, Kentucky",312,± 101,"4,367"
"Morgan County, Missouri",297,± 112,"7,754"
"Morgan County, Ohio",252,± 92,"5,475"
"Morgan County, Tennessee",408,± 141,"7,312"
"Morgan County, Utah",533,± 138,"5,404"
"Morgan County, West Virginia",429,± 189,"7,791"
"Morovis Municipio, Puerto Rico",792,± 209,"9,007"
"Morrill County, Nebraska",174,± 51,"2,166"
"Morris County, Kansas",197,± 46,"2,624"
"Morris County, New Jersey","21,153","± 1,122","267,774"
"Morris County, Texas",501,± 183,"4,972"
"Morrison County, Minnesota",771,± 97,"16,605"
"Morrow County, Ohio",896,± 242,"17,287"
"Morrow County, Oregon",233,± 82,"5,141"
"Morton County, Kansas",95,± 43,"1,180"
"Morton County, North Dakota","1,041",± 301,"18,208"
"Motley County, Texas",40,± 25,591
"Moultrie County, Illinois",508,± 125,"6,597"
"Mountrail County, North Dakota",349,± 79,"4,387"
"Mower County, Minnesota","1,092",± 203,"19,494"
"Muhlenberg County, Kentucky",646,± 192,"12,526"
"Multnomah County, Oregon","25,700","± 1,197","448,256"
"Murray County, Georgia",855,± 214,"17,895"
"Murray County, Minnesota",245,± 47,"4,031"
"Murray County, Oklahoma",265,± 88,"5,950"
"Muscatine County, Iowa","1,268",± 255,"21,262"
"Muscogee County, Georgia","5,986",± 794,"82,874"
"Muskegon County, Michigan","3,271",± 371,"77,082"
"Muskingum County, Ohio","2,200",± 433,"39,534"
"Muskogee County, Oklahoma","1,465",± 245,"26,286"
"Musselshell County, Montana",119,± 70,"1,975"
"Nacogdoches County, Texas","2,239",± 322,"28,508"
"Naguabo Municipio, Puerto Rico",278,± 198,"6,777"
"Nance County, Nebraska",117,± 35,"1,660"
"Nantucket County, Massachusetts",602,± 261,"7,530"
"Napa County, California","3,661",± 509,"68,399"
"Naranjito Municipio, Puerto Rico",353,± 224,"8,073"
"Nash County, North Carolina","2,318",± 409,"43,173"
"Nassau County, Florida","1,945",± 362,"41,336"
"Nassau County, New York","63,112","± 2,172","704,740"
"Natchitoches Parish, Louisiana","1,028",± 190,"14,127"
"Natrona County, Wyoming","2,984",± 417,"40,661"
"Naugatuck Valley Planning Region, Connecticut","15,673","± 1,094","227,485"
"Navajo County, Arizona","2,880",± 489,"33,969"
"Navarro County, Texas","1,436",± 294,"22,860"
"Nelson County, Kentucky","1,297",± 337,"22,467"
"Nelson County, North Dakota",122,± 38,"1,366"
"Nelson County, Virginia",500,± 177,"6,843"
"Nemaha County, Kansas",328,± 86,"5,124"
"Nemaha County, Nebraska",293,± 102,"3,263"
"Neosho County, Kansas",431,± 140,"7,070"
"Neshoba County, Mississippi",719,± 212,"11,014"
"Ness County, Kansas",95,± 35,"1,421"
"Nevada County, Arkansas",173,± 104,"3,119"
"Nevada County, California","2,456",± 400,"45,064"
"New Castle County, Delaware","18,334","± 1,270","288,800"
"New Hanover County, North Carolina","7,647",± 776,"117,011"
"New Kent County, Virginia",834,± 259,"12,157"
"New Madrid County, Missouri",280,± 119,"6,490"
"New York County, New York","62,599","± 2,891","888,836"
"Newaygo County, Michigan","1,214",± 193,"21,560"
"Newberry County, South Carolina","1,275",± 292,"16,966"
"Newport County, Rhode Island","3,071",± 460,"42,081"
"Newport News city, Virginia","4,983",± 555,"84,879"
"Newton County, Arkansas",174,± 68,"2,898"
"Newton County, Georgia","3,276",± 543,"52,737"
"Newton County, Indiana",230,± 76,"6,086"
"Newton County, Mississippi",661,± 134,"8,453"
"Newton County, Missouri","1,347",± 257,"26,623"
"Newton County, Texas",289,± 104,"4,378"
"Nez Perce County, Idaho","1,273",± 270,"19,812"
"Niagara County, New York","6,571",± 569,"100,397"
"Nicholas County, Kentucky",113,± 63,"2,969"
"Nicholas County, West Virginia",294,± 135,"9,174"
"Nicollet County, Minnesota","1,273",± 246,"19,195"
"Niobrara County, Wyoming",146,± 70,"1,104"
"Noble County, Indiana",932,± 218,"22,950"
"Noble County, Ohio",249,± 105,"4,196"
"Noble County, Oklahoma",425,± 120,"4,784"
"Nobles County, Minnesota",744,± 145,"10,712"
"Nodaway County, Missouri",763,± 151,"10,008"
"Nolan County, Texas",277,± 83,"6,291"
"Nome Census Area, Alaska",484,± 128,"3,773"
"Norfolk city, Virginia","6,703",± 591,"102,606"
"Norfolk County, Massachusetts","31,213","± 1,433","388,268"
"Norman County, Minnesota",227,± 44,"3,086"
"North Slope Borough, Alaska",367,± 161,"6,429"
"Northampton County, North Carolina",374,± 162,"6,852"
"Northampton County, Pennsylvania","11,578",± 923,"155,896"
"Northampton County, Virginia",262,± 74,"4,949"
"Northeastern Connecticut Planning Region, Connecticut","3,013",± 403,"48,377"
"Northumberland County, Pennsylvania","1,806",± 309,"41,461"
"Northumberland County, Virginia",213,± 119,"4,351"
"Northwest Arctic Borough, Alaska",238,± 98,"2,632"
"Northwest Hills Planning Region, Connecticut","4,551",± 479,"57,987"
"Norton city, Virginia",26,± 26,"1,505"
"Norton County, Kansas",90,± 53,"2,162"
"Nottoway County, Virginia",281,± 120,"6,067"
"Nowata County, Oklahoma",179,± 65,"3,990"
"Noxubee County, Mississippi",161,± 95,"3,877"
"Nuckolls County, Nebraska",134,± 45,"2,160"
"Nueces County, Texas","9,928",± 867,"160,537"
"Nye County, Nevada",898,± 233,"16,775"
"O'Brien County, Iowa",557,± 166,"6,949"
"Oakland County, Michigan","33,752","± 1,367","659,664"
"Obion County, Tennessee",765,± 188,"13,360"
"Ocean County, New Jersey","26,227","± 1,221","276,387"
"Oceana County, Michigan",480,± 73,"11,417"
"Ochiltree County, Texas",261,± 92,"4,880"
"Oconee County, Georgia","2,202",± 365,"20,702"
"Oconee County, South Carolina","2,156",± 303,"32,079"
"Oconto County, Wisconsin",892,± 148,"19,178"
"Ogemaw County, Michigan",338,± 62,"7,697"
"Oglala Lakota County, South Dakota",357,± 217,"3,137"
"Ogle County, Illinois","1,715",± 253,"24,893"
"Oglethorpe County, Georgia",645,± 170,"7,068"
"Ohio County, Indiana",137,± 60,"2,828"
"Ohio County, Kentucky",671,± 210,"10,000"
"Ohio County, West Virginia","1,297",± 249,"18,826"
"Okaloosa County, Florida","4,966",± 561,"94,566"
"Okanogan County, Washington","1,162",± 225,"17,714"
"Okeechobee County, Florida","1,253",± 391,"15,371"
"Okfuskee County, Oklahoma",293,± 80,"3,879"
"Oklahoma County, Oklahoma","19,702","± 1,063","381,875"
"Okmulgee County, Oklahoma",945,± 151,"14,956"
"Oktibbeha County, Mississippi","2,990",± 448,"22,904"
"Oldham County, Kentucky","2,079",± 347,"32,761"
"Oldham County, Texas",58,± 35,882
"Oliver County, North Dakota",32,± 17,780
"Olmsted County, Minnesota","5,793",± 641,"86,883"
"Oneida County, Idaho",332,± 105,"2,138"
"Oneida County, New York","7,374",± 610,"102,865"
"Oneida County, Wisconsin",938,± 216,"16,809"
"Onondaga County, New York","20,656",± 972,"225,907"
"Onslow County, North Carolina","5,998",± 801,"67,951"
