Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Healthcare practitioners and technical occupations:—Estimate",MoE,Total—Civilian employed population 16 years and over—Estimate
"Laurens County, Georgia","1,252",± 258,"19,467"
"Laurens County, South Carolina","1,481",± 218,"29,264"
"Lavaca County, Texas",890,± 153,"9,376"
"Lawrence County, Alabama","1,035",± 214,"13,836"
"Lawrence County, Arkansas",306,± 100,"6,492"
"Lawrence County, Illinois",364,± 118,"6,021"
"Lawrence County, Indiana","1,017",± 215,"21,419"
"Lawrence County, Kentucky",375,± 153,"4,586"
"Lawrence County, Mississippi",284,± 106,"4,066"
"Lawrence County, Missouri",648,± 186,"16,708"
"Lawrence County, Ohio","2,181",± 412,"23,771"
"Lawrence County, Pennsylvania","2,236",± 258,"38,886"
"Lawrence County, South Dakota",929,± 222,"14,306"
"Lawrence County, Tennessee","1,338",± 209,"18,492"
"Le Flore County, Oklahoma",954,± 137,"18,665"
"Le Sueur County, Minnesota",893,± 141,"15,425"
"Lea County, New Mexico",743,± 193,"30,803"
"Leake County, Mississippi",394,± 124,"8,056"
"Leavenworth County, Kansas","2,849",± 452,"34,624"
"Lebanon County, Pennsylvania","4,533",± 525,"68,515"
"Lee County, Alabama","6,131",± 666,"81,409"
"Lee County, Arkansas",88,± 41,"2,532"
"Lee County, Florida","22,104","± 1,324","332,507"
"Lee County, Georgia","1,711",± 400,"15,880"
"Lee County, Illinois","1,052",± 200,"15,303"
"Lee County, Iowa",925,± 162,"15,022"
"Lee County, Kentucky",143,± 78,"2,286"
"Lee County, Mississippi","3,870",± 499,"38,514"
"Lee County, North Carolina","1,662",± 399,"28,570"
"Lee County, South Carolina",352,± 118,"5,624"
"Lee County, Texas",413,± 177,"8,058"
"Lee County, Virginia",387,± 117,"7,196"
"Leelanau County, Michigan",996,± 192,"9,720"
"Leflore County, Mississippi",578,± 223,"10,310"
"Lehigh County, Pennsylvania","13,517",± 932,"183,365"
"Lemhi County, Idaho",159,± 80,"3,427"
"Lenawee County, Michigan","2,597",± 318,"44,046"
"Lenoir County, North Carolina","1,725",± 327,"22,701"
"Leon County, Florida","9,211",± 855,"150,497"
"Leon County, Texas",218,± 94,"6,234"
"Leslie County, Kentucky",291,± 128,"3,344"
"Letcher County, Kentucky",871,± 216,"6,989"
"Levy County, Florida","1,159",± 273,"17,222"
"Lewis and Clark County, Montana","2,614",± 371,"36,116"
"Lewis County, Idaho",62,± 24,"1,330"
"Lewis County, Kentucky",383,± 130,"4,136"
"Lewis County, Missouri",298,± 80,"4,348"
"Lewis County, New York",987,± 147,"11,871"
"Lewis County, Tennessee",314,± 159,"5,243"
"Lewis County, Washington","1,892",± 314,"34,489"
"Lewis County, West Virginia",625,± 191,"6,608"
"Lexington city, Virginia",279,± 200,"2,808"
"Lexington County, South Carolina","10,465",± 725,"144,281"
"Liberty County, Florida",148,± 77,"2,545"
"Liberty County, Georgia","1,357",± 383,"23,685"
"Liberty County, Montana",58,± 40,812
"Liberty County, Texas",631,± 209,"33,708"
"Licking County, Ohio","5,823",± 629,"86,878"
"Limestone County, Alabama","2,950",± 562,"48,090"
"Limestone County, Texas",396,± 99,"8,153"
"Lincoln County, Arkansas",282,± 130,"3,591"
"Lincoln County, Colorado",93,± 39,"2,169"
"Lincoln County, Georgia",215,± 83,"3,203"
"Lincoln County, Idaho",40,± 20,"2,544"
"Lincoln County, Kansas",48,± 24,"1,435"
"Lincoln County, Kentucky",839,± 200,"9,865"
"Lincoln County, Maine",952,± 200,"16,776"
"Lincoln County, Minnesota",171,± 34,"2,810"
"Lincoln County, Mississippi",922,± 273,"13,738"
"Lincoln County, Missouri","1,881",± 408,"28,728"
"Lincoln County, Montana",309,± 133,"7,499"
"Lincoln County, Nebraska",945,± 173,"16,860"
"Lincoln County, Nevada",36,± 34,"1,651"
"Lincoln County, New Mexico",637,± 297,"8,406"
"Lincoln County, North Carolina","2,771",± 448,"42,710"
"Lincoln County, Oklahoma",712,± 108,"14,402"
"Lincoln County, Oregon",940,± 202,"20,107"
"Lincoln County, South Dakota","4,857",± 575,"37,131"
"Lincoln County, Tennessee","1,288",± 260,"16,035"
"Lincoln County, Washington",201,± 51,"4,565"
"Lincoln County, West Virginia",253,± 122,"6,626"
"Lincoln County, Wisconsin",793,± 125,"13,493"
"Lincoln County, Wyoming",622,± 204,"9,869"
"Lincoln Parish, Louisiana","1,299",± 293,"21,178"
"Linn County, Iowa","7,199",± 686,"121,318"
"Linn County, Kansas",145,± 50,"4,268"
"Linn County, Missouri",426,± 131,"5,513"
"Linn County, Oregon","3,159",± 402,"57,828"
"Lipscomb County, Texas",151,± 50,"1,372"
"Little River County, Arkansas",426,± 132,"5,046"
"Live Oak County, Texas",205,± 151,"4,067"
"Livingston County, Illinois","1,334",± 245,"16,707"
"Livingston County, Kentucky",198,± 97,"3,837"
"Livingston County, Michigan","7,171",± 436,"98,534"
"Livingston County, Missouri",450,± 97,"6,148"
"Livingston County, New York","1,904",± 320,"28,923"
"Livingston Parish, Louisiana","3,344",± 644,"65,213"
"Llano County, Texas",414,± 149,"8,211"
"Logan County, Arkansas",583,± 136,"9,267"
"Logan County, Colorado",689,± 173,"10,431"
"Logan County, Illinois",754,± 146,"12,255"
"Logan County, Kansas",63,± 30,"1,435"
"Logan County, Kentucky",663,± 214,"11,675"
"Logan County, Nebraska",26,± 18,444
"Logan County, North Dakota",42,± 25,857
"Logan County, Ohio","1,027",± 226,"21,746"
"Logan County, Oklahoma","1,484",± 271,"22,621"
"Logan County, West Virginia",853,± 200,"9,520"
"Loíza Municipio, Puerto Rico",546,± 133,"7,408"
"Long County, Georgia",300,± 166,"6,873"
"Lonoke County, Arkansas","3,176",± 511,"33,414"
"Lorain County, Ohio","11,200",± 674,"146,503"
"Los Alamos County, New Mexico",586,± 224,"10,278"
"Los Angeles County, California","247,565","± 3,949","4,869,620"
"Loudon County, Tennessee","1,304",± 278,"24,434"
"Loudoun County, Virginia","8,732",± 794,"228,835"
"Louisa County, Iowa",317,± 73,"5,380"
"Louisa County, Virginia","1,313",± 308,"17,930"
"Loup County, Nebraska",9,± 8,331
"Love County, Oklahoma",245,± 70,"4,383"
"Loving County, Texas",0,± 15,39
"Lower Connecticut River Valley Planning Region, Connecticut","6,593",± 685,"94,796"
"Lowndes County, Alabama",113,± 62,"3,727"
"Lowndes County, Georgia","3,333",± 465,"49,794"
"Lowndes County, Mississippi","1,806",± 297,"23,827"
"Lubbock County, Texas","10,979",± 890,"153,807"
"Lucas County, Iowa",250,± 75,"4,105"
"Lucas County, Ohio","15,522","± 1,174","201,274"
"Luce County, Michigan",166,± 52,"1,459"
"Lumpkin County, Georgia",729,± 261,"15,327"
"Luna County, New Mexico",389,± 201,"8,296"
"Lunenburg County, Virginia",304,± 124,"4,656"
"Luquillo Municipio, Puerto Rico",340,± 162,"5,652"
"Luzerne County, Pennsylvania","12,176",± 805,"153,692"
"Lycoming County, Pennsylvania","3,649",± 365,"52,429"
"Lyman County, South Dakota",58,± 28,"1,478"
"Lynchburg city, Virginia","1,925",± 381,"36,550"
"Lynn County, Texas",139,± 43,"2,506"
"Lyon County, Iowa",425,± 116,"5,845"
"Lyon County, Kansas",586,± 161,"17,019"
"Lyon County, Kentucky",219,± 97,"3,149"
"Lyon County, Minnesota",715,± 120,"12,747"
"Lyon County, Nevada",895,± 254,"26,227"
"Mackinac County, Michigan",211,± 54,"4,349"
"Macomb County, Michigan","27,359","± 1,465","433,289"
"Macon County, Alabama",321,± 112,"7,072"
"Macon County, Georgia",118,± 60,"3,556"
"Macon County, Illinois","3,001",± 393,"44,928"
"Macon County, Missouri",369,± 91,"6,610"
"Macon County, North Carolina",731,± 297,"15,716"
"Macon County, Tennessee",624,± 240,"11,837"
"Macoupin County, Illinois","1,155",± 198,"20,176"
"Madera County, California","2,748",± 504,"59,826"
"Madison County, Alabama","13,227","± 1,140","192,922"
"Madison County, Arkansas",211,± 116,"7,052"
"Madison County, Florida",261,± 109,"6,225"
"Madison County, Georgia",682,± 208,"13,312"
"Madison County, Idaho",623,± 175,"26,702"
"Madison County, Illinois","8,633",± 707,"129,311"
"Madison County, Indiana","3,281",± 476,"59,462"
"Madison County, Iowa",496,± 124,"9,055"
"Madison County, Kentucky","2,823",± 344,"45,222"
"Madison County, Mississippi","5,227",± 731,"53,899"
"Madison County, Missouri",304,± 118,"5,376"
"Madison County, Montana",227,± 79,"4,075"
"Madison County, Nebraska","1,073",± 208,"18,105"
"Madison County, New York","2,045",± 309,"31,518"
"Madison County, North Carolina",931,± 223,"9,715"
"Madison County, Ohio","1,039",± 248,"20,224"
"Madison County, Tennessee","3,653",± 422,"44,897"
"Madison County, Texas",144,± 69,"4,793"
"Madison County, Virginia",396,± 142,"6,634"
"Madison Parish, Louisiana",150,± 84,"2,962"
"Magoffin County, Kentucky",187,± 87,"2,983"
"Mahaska County, Iowa",524,± 129,"11,101"
"Mahnomen County, Minnesota",97,± 27,"2,030"
"Mahoning County, Ohio","8,441",± 536,"103,872"
"Major County, Oklahoma",215,± 60,"3,434"
"Malheur County, Oregon",582,± 162,"11,624"
"Manassas city, Virginia","1,035",± 243,"22,899"
"Manassas Park city, Virginia",236,± 122,"9,964"
"Manatee County, Florida","12,535","± 1,224","174,991"
"Manatí Municipio, Puerto Rico",852,± 211,"11,143"
"Manistee County, Michigan",595,± 124,"9,690"
"Manitowoc County, Wisconsin","2,378",± 306,"40,682"
"Marathon County, Wisconsin","5,197",± 452,"71,774"
"Marengo County, Alabama",483,± 173,"7,587"
"Maricao Municipio, Puerto Rico",36,± 38,"1,354"
"Maricopa County, Arizona","127,617","± 3,091","2,176,046"
"Maries County, Missouri",213,± 86,"3,582"
"Marin County, California","8,177",± 651,"128,916"
"Marinette County, Wisconsin","1,309",± 211,"19,123"
"Marion County, Alabama",964,± 314,"11,563"
"Marion County, Arkansas",378,± 106,"6,022"
"Marion County, Florida","11,126",± 988,"142,390"
"Marion County, Georgia",209,± 102,"2,826"
"Marion County, Illinois","1,216",± 222,"16,449"
"Marion County, Indiana","32,276","± 1,779","483,307"
"Marion County, Iowa",972,± 180,"16,772"
"Marion County, Kansas",313,± 91,"5,674"
"Marion County, Kentucky",558,± 153,"7,767"
"Marion County, Mississippi",461,± 182,"8,983"
"Marion County, Missouri",931,± 227,"13,295"
"Marion County, Ohio","1,686",± 302,"27,120"
"Marion County, Oregon","7,719",± 700,"158,165"
"Marion County, South Carolina",907,± 244,"10,801"
"Marion County, Tennessee",730,± 185,"12,226"
"Marion County, Texas",120,± 64,"3,450"
"Marion County, West Virginia","2,056",± 277,"25,410"
"Mariposa County, California",195,± 82,"7,252"
"Marlboro County, South Carolina",382,± 158,"8,922"
"Marquette County, Michigan","2,704",± 313,"31,091"
"Marquette County, Wisconsin",224,± 40,"7,032"
"Marshall County, Alabama","3,166",± 457,"41,389"
"Marshall County, Illinois",324,± 75,"5,182"
"Marshall County, Indiana",874,± 182,"21,716"
"Marshall County, Iowa","1,022",± 182,"19,554"
"Marshall County, Kansas",375,± 104,"4,951"
"Marshall County, Kentucky","1,136",± 242,"13,941"
"Marshall County, Minnesota",198,± 33,"4,346"
"Marshall County, Mississippi",467,± 150,"14,230"
"Marshall County, Oklahoma",178,± 61,"6,059"
"Marshall County, South Dakota",125,± 65,"2,214"
"Marshall County, Tennessee",987,± 284,"16,205"
"Marshall County, West Virginia","1,156",± 240,"13,143"
"Martin County, Florida","4,879",± 625,"66,965"
"Martin County, Indiana",312,± 112,"4,687"
"Martin County, Kentucky",291,± 170,"3,032"
"Martin County, Minnesota",588,± 145,"9,889"
"Martin County, North Carolina",753,± 209,"9,084"
"Martin County, Texas",89,± 80,"2,288"
"Martinsville city, Virginia",294,± 127,"5,554"
"Mason County, Illinois",361,± 95,"5,810"
"Mason County, Kentucky",577,± 179,"7,271"
"Mason County, Michigan",762,± 129,"12,410"
"Mason County, Texas",89,± 49,"1,629"
"Mason County, Washington","1,205",± 278,"26,142"
"Mason County, West Virginia",716,± 293,"9,417"
"Massac County, Illinois",287,± 93,"5,718"
"Matagorda County, Texas",779,± 256,"14,845"
"Matanuska-Susitna Borough, Alaska","2,688",± 256,"45,800"
"Mathews County, Virginia",364,± 154,"3,284"
"Maui County, Hawaii","4,184",± 523,"81,596"
"Maunabo Municipio, Puerto Rico",266,± 158,"2,387"
"Maury County, Tennessee","3,372",± 560,"50,758"
"Maverick County, Texas",938,± 308,"22,689"
"Mayagüez Municipio, Puerto Rico","1,612",± 396,"19,263"
"Mayes County, Oklahoma",858,± 177,"16,621"
"McClain County, Oklahoma","1,626",± 258,"20,187"
"McCone County, Montana",18,± 13,914
"McCook County, South Dakota",217,± 62,"2,937"
"McCormick County, South Carolina",377,± 169,"3,263"
"McCracken County, Kentucky","2,151",± 363,"29,964"
"McCreary County, Kentucky",272,± 104,"4,881"
"McCulloch County, Texas",228,± 99,"3,286"
"McCurtain County, Oklahoma",517,± 92,"12,352"
"McDonald County, Missouri",295,± 127,"9,628"
"McDonough County, Illinois",724,± 186,"12,875"
"McDowell County, North Carolina","1,335",± 330,"18,793"
"McDowell County, West Virginia",148,± 82,"3,309"
"McDuffie County, Georgia",915,± 254,"9,547"
"McHenry County, Illinois","9,041",± 916,"165,560"
"McHenry County, North Dakota",153,± 44,"2,536"
"McIntosh County, Georgia",243,± 113,"4,513"
"McIntosh County, North Dakota",105,± 35,"1,291"
"McIntosh County, Oklahoma",334,± 82,"6,307"
"McKean County, Pennsylvania","1,028",± 158,"17,575"
"McKenzie County, North Dakota",272,± 106,"6,729"
"McKinley County, New Mexico","1,536",± 310,"23,731"
"McLean County, Illinois","4,672",± 500,"85,832"
"McLean County, Kentucky",247,± 93,"3,784"
"McLean County, North Dakota",225,± 48,"4,493"
"McLennan County, Texas","7,087",± 797,"119,971"
"McLeod County, Minnesota",992,± 145,"19,144"
"McMinn County, Tennessee","1,591",± 299,"22,798"
"McMullen County, Texas",0,± 15,247
"McNairy County, Tennessee",670,± 166,"9,761"
"McPherson County, Kansas",996,± 255,"15,658"
"McPherson County, Nebraska",0,± 10,252
"McPherson County, South Dakota",82,± 36,"1,072"
"Meade County, Kansas",127,± 52,"2,015"
"Meade County, Kentucky",824,± 347,"13,375"
"Meade County, South Dakota","1,024",± 210,"14,917"
"Meagher County, Montana",56,± 35,"1,021"
"Mecklenburg County, North Carolina","30,585","± 1,632","603,786"
"Mecklenburg County, Virginia",833,± 196,"12,561"
"Mecosta County, Michigan","1,028",± 223,"16,808"
"Medina County, Ohio","7,272",± 603,"96,311"
"Medina County, Texas","1,237",± 317,"22,289"
"Meeker County, Minnesota",628,± 88,"11,764"
"Meigs County, Ohio",588,± 181,"8,336"
"Meigs County, Tennessee",246,± 96,"5,006"
"Mellette County, South Dakota",78,± 27,587
"Menard County, Illinois",502,± 120,"5,886"
"Menard County, Texas",34,± 41,738
"Mendocino County, California","1,627",± 307,"38,062"
"Menifee County, Kentucky",160,± 86,"2,005"
"Menominee County, Michigan",609,± 105,"10,729"
"Menominee County, Wisconsin",32,± 25,"1,403"
"Merced County, California","4,794",± 840,"110,712"
"Mercer County, Illinois",331,± 107,"7,382"
"Mercer County, Kentucky",920,± 314,"10,029"
"Mercer County, Missouri",75,± 28,"1,492"
"Mercer County, New Jersey","8,333",± 799,"186,469"
"Mercer County, North Dakota",164,± 92,"3,759"
"Mercer County, Ohio","1,366",± 258,"21,826"
"Mercer County, Pennsylvania","3,770",± 477,"47,850"
"Mercer County, West Virginia","1,935",± 365,"23,119"
"Meriwether County, Georgia",273,± 113,"7,997"
"Merrick County, Nebraska",267,± 81,"3,973"
"Merrimack County, New Hampshire","6,142",± 581,"80,423"
"Mesa County, Colorado","5,112",± 581,"74,204"
"Metcalfe County, Kentucky",275,± 111,"4,343"
"Miami County, Indiana","1,094",± 221,"15,383"
"Miami County, Kansas","1,031",± 201,"17,104"
"Miami County, Ohio","3,543",± 404,"54,484"
"Miami-Dade County, Florida","76,472","± 2,398","1,343,356"
"Middlesex County, Massachusetts","57,953","± 2,065","896,385"
"Middlesex County, New Jersey","25,749","± 1,378","433,082"
"Middlesex County, Virginia",179,± 78,"4,509"
"Midland County, Michigan","2,752",± 329,"38,154"
"Midland County, Texas","3,039",± 485,"85,908"
"Mifflin County, Pennsylvania","1,494",± 292,"21,229"
"Milam County, Texas",618,± 178,"10,929"
"Millard County, Utah",128,± 67,"5,395"
"Mille Lacs County, Minnesota",507,± 103,"13,012"
"Miller County, Arkansas","1,012",± 220,"16,166"
"Miller County, Georgia",221,± 80,"2,430"
"Miller County, Missouri",560,± 142,"11,381"
"Mills County, Iowa",668,± 159,"6,743"
"Mills County, Texas",129,± 79,"2,032"
"Milwaukee County, Wisconsin","29,012","± 1,310","452,838"
"Miner County, South Dakota",70,± 27,"1,122"
"Mineral County, Colorado",22,± 19,412
"Mineral County, Montana",76,± 34,"1,917"
"Mineral County, Nevada",39,± 64,"1,671"
"Mineral County, West Virginia",776,± 198,"11,730"
"Mingo County, West Virginia",407,± 132,"6,360"
"Minidoka County, Idaho",476,± 175,"10,065"
"Minnehaha County, South Dakota","8,891",± 698,"110,635"
"Missaukee County, Michigan",320,± 69,"6,547"
"Mississippi County, Arkansas",841,± 218,"16,965"
"Mississippi County, Missouri",185,± 81,"4,335"
"Missoula County, Montana","4,906",± 603,"66,207"
"Mitchell County, Georgia",465,± 164,"7,811"
"Mitchell County, Iowa",314,± 98,"5,673"
"Mitchell County, Kansas",342,± 98,"2,705"
"Mitchell County, North Carolina",558,± 182,"6,538"
"Mitchell County, Texas",96,± 64,"3,802"
"Mobile County, Alabama","12,030","± 1,113","176,289"
"Moca Municipio, Puerto Rico",605,± 234,"11,273"
"Modoc County, California",135,± 60,"3,188"
"Moffat County, Colorado",381,± 127,"6,110"
"Mohave County, Arizona","4,591",± 603,"75,865"
"Moniteau County, Missouri",311,± 87,"6,719"
"Monmouth County, New Jersey","23,701","± 1,335","331,132"
"Mono County, California",374,± 180,"7,279"
"Monona County, Iowa",215,± 54,"4,152"
"Monongalia County, West Virginia","5,849",± 598,"54,386"
"Monroe County, Alabama",449,± 133,"6,220"
"Monroe County, Arkansas",82,± 47,"2,318"
"Monroe County, Florida","1,726",± 265,"42,210"
"Monroe County, Georgia","1,133",± 257,"13,152"
"Monroe County, Illinois","1,485",± 260,"18,704"
"Monroe County, Indiana","3,473",± 393,"70,601"
"Monroe County, Iowa",146,± 70,"3,604"
"Monroe County, Kentucky",348,± 106,"4,932"
"Monroe County, Michigan","6,147",± 628,"71,039"
"Monroe County, Mississippi","1,132",± 260,"13,621"
"Monroe County, Missouri",229,± 75,"3,599"
"Monroe County, New York","29,646","± 1,254","373,267"
"Monroe County, Ohio",268,± 96,"5,418"
"Monroe County, Pennsylvania","4,655",± 622,"79,168"
"Monroe County, Tennessee",845,± 248,"18,236"
"Monroe County, West Virginia",337,± 166,"4,632"
"Monroe County, Wisconsin","1,130",± 193,"21,789"
"Montague County, Texas",434,± 134,"8,288"
"Montcalm County, Michigan","1,320",± 208,"28,771"
"Monterey County, California","8,680",± 709,"187,502"
"Montezuma County, Colorado",632,± 206,"10,871"
"Montgomery County, Alabama","5,258",± 752,"98,419"
"Montgomery County, Arkansas",239,± 81,"3,249"
"Montgomery County, Georgia",275,± 84,"3,438"
"Montgomery County, Illinois",611,± 101,"11,520"
"Montgomery County, Indiana",900,± 181,"18,659"
"Montgomery County, Iowa",264,± 77,"4,757"
"Montgomery County, Kansas",677,± 181,"13,703"
"Montgomery County, Kentucky",438,± 145,"11,632"
"Montgomery County, Maryland","32,869","± 1,370","560,749"
"Montgomery County, Mississippi",169,± 75,"3,519"
"Montgomery County, Missouri",285,± 78,"5,130"
"Montgomery County, New York","1,413",± 215,"22,079"
"Montgomery County, North Carolina",610,± 194,"10,947"
"Montgomery County, Ohio","17,586","± 1,044","252,061"
"Montgomery County, Pennsylvania","35,773","± 1,767","451,495"
"Montgomery County, Tennessee","5,874",± 752,"94,591"
"Montgomery County, Texas","15,052","± 1,309","301,015"
"Montgomery County, Virginia","2,298",± 403,"46,404"
"Montmorency County, Michigan",199,± 57,"3,179"
"Montour County, Pennsylvania","1,812",± 260,"8,711"
"Montrose County, Colorado","1,467",± 361,"18,575"
"Moody County, South Dakota",123,± 41,"3,076"
"Moore County, North Carolina","3,783",± 578,"41,529"
"Moore County, Tennessee",142,± 86,"2,967"
"Moore County, Texas",174,± 101,"9,713"
"Mora County, New Mexico",4,± 6,"1,312"
"Morehouse Parish, Louisiana",726,± 204,"9,371"
"Morgan County, Alabama","3,019",± 358,"55,092"
"Morgan County, Colorado",770,± 218,"13,810"
"Morgan County, Georgia",556,± 175,"9,855"
"Morgan County, Illinois",909,± 188,"14,292"
"Morgan County, Indiana","2,183",± 335,"34,822"
"Morgan County, Kentucky",444,± 124,"4,367"
"Morgan County, Missouri",345,± 125,"7,754"
"Morgan County, Ohio",370,± 113,"5,475"
"Morgan County, Tennessee",549,± 223,"7,312"
"Morgan County, Utah",381,± 145,"5,404"
"Morgan County, West Virginia",276,± 116,"7,791"
"Morovis Municipio, Puerto Rico",752,± 213,"9,007"
"Morrill County, Nebraska",137,± 60,"2,166"
"Morris County, Kansas",198,± 61,"2,624"
"Morris County, New Jersey","17,181","± 1,047","267,774"
"Morris County, Texas",386,± 125,"4,972"
"Morrison County, Minnesota",952,± 130,"16,605"
"Morrow County, Ohio",844,± 247,"17,287"
"Morrow County, Oregon",140,± 65,"5,141"
"Morton County, Kansas",56,± 48,"1,180"
"Morton County, North Dakota","1,729",± 414,"18,208"
"Motley County, Texas",34,± 35,591
"Moultrie County, Illinois",299,± 78,"6,597"
"Mountrail County, North Dakota",203,± 92,"4,387"
"Mower County, Minnesota","1,163",± 175,"19,494"
"Muhlenberg County, Kentucky","1,300",± 283,"12,526"
"Multnomah County, Oregon","30,666","± 1,681","448,256"
"Murray County, Georgia",514,± 185,"17,895"
"Murray County, Minnesota",224,± 37,"4,031"
"Murray County, Oklahoma",316,± 111,"5,950"
"Muscatine County, Iowa",904,± 204,"21,262"
"Muscogee County, Georgia","4,941",± 578,"82,874"
"Muskegon County, Michigan","4,315",± 453,"77,082"
"Muskingum County, Ohio","3,300",± 396,"39,534"
"Muskogee County, Oklahoma","1,908",± 277,"26,286"
"Musselshell County, Montana",57,± 37,"1,975"
"Nacogdoches County, Texas","1,593",± 262,"28,508"
"Naguabo Municipio, Puerto Rico",368,± 177,"6,777"
"Nance County, Nebraska",130,± 37,"1,660"
"Nantucket County, Massachusetts",306,± 127,"7,530"
"Napa County, California","4,457",± 470,"68,399"
"Naranjito Municipio, Puerto Rico",435,± 212,"8,073"
"Nash County, North Carolina","2,375",± 507,"43,173"
"Nassau County, Florida","2,699",± 519,"41,336"
"Nassau County, New York","63,659","± 1,816","704,740"
"Natchitoches Parish, Louisiana","1,233",± 273,"14,127"
"Natrona County, Wyoming","2,665",± 366,"40,661"
"Naugatuck Valley Planning Region, Connecticut","16,356","± 1,211","227,485"
"Navajo County, Arizona","2,753",± 455,"33,969"
"Navarro County, Texas",934,± 225,"22,860"
"Nelson County, Kentucky","1,483",± 342,"22,467"
"Nelson County, North Dakota",79,± 23,"1,366"
"Nelson County, Virginia",363,± 138,"6,843"
"Nemaha County, Kansas",406,± 90,"5,124"
"Nemaha County, Nebraska",125,± 52,"3,263"
"Neosho County, Kansas",595,± 144,"7,070"
"Neshoba County, Mississippi",727,± 214,"11,014"
"Ness County, Kansas",49,± 26,"1,421"
"Nevada County, Arkansas",201,± 87,"3,119"
"Nevada County, California","2,856",± 444,"45,064"
"New Castle County, Delaware","19,077","± 1,322","288,800"
"New Hanover County, North Carolina","9,224",± 963,"117,011"
"New Kent County, Virginia",711,± 188,"12,157"
"New Madrid County, Missouri",427,± 115,"6,490"
"New York County, New York","50,773","± 2,679","888,836"
"Newaygo County, Michigan",953,± 135,"21,560"
"Newberry County, South Carolina","1,354",± 266,"16,966"
"Newport County, Rhode Island","2,537",± 334,"42,081"
"Newport News city, Virginia","3,902",± 496,"84,879"
"Newton County, Arkansas",85,± 49,"2,898"
"Newton County, Georgia","2,767",± 539,"52,737"
"Newton County, Indiana",226,± 88,"6,086"
"Newton County, Mississippi","1,004",± 204,"8,453"
"Newton County, Missouri","1,905",± 294,"26,623"
"Newton County, Texas",165,± 80,"4,378"
"Nez Perce County, Idaho","1,155",± 244,"19,812"
"Niagara County, New York","6,335",± 551,"100,397"
"Nicholas County, Kentucky",126,± 64,"2,969"
"Nicholas County, West Virginia",632,± 207,"9,174"
"Nicollet County, Minnesota","1,173",± 219,"19,195"
"Niobrara County, Wyoming",20,± 19,"1,104"
"Noble County, Indiana",790,± 165,"22,950"
"Noble County, Ohio",348,± 92,"4,196"
"Noble County, Oklahoma",156,± 62,"4,784"
"Nobles County, Minnesota",358,± 69,"10,712"
"Nodaway County, Missouri",609,± 112,"10,008"
"Nolan County, Texas",396,± 120,"6,291"
"Nome Census Area, Alaska",108,± 33,"3,773"
"Norfolk city, Virginia","6,634",± 752,"102,606"
"Norfolk County, Massachusetts","32,310","± 1,606","388,268"
"Norman County, Minnesota",125,± 27,"3,086"
"North Slope Borough, Alaska",63,± 57,"6,429"
"Northampton County, North Carolina",309,± 108,"6,852"
"Northampton County, Pennsylvania","10,715",± 718,"155,896"
"Northampton County, Virginia",291,± 83,"4,949"
"Northeastern Connecticut Planning Region, Connecticut","2,749",± 373,"48,377"
"Northumberland County, Pennsylvania","3,582",± 342,"41,461"
"Northumberland County, Virginia",373,± 133,"4,351"
"Northwest Arctic Borough, Alaska",147,± 61,"2,632"
"Northwest Hills Planning Region, Connecticut","3,716",± 434,"57,987"
"Norton city, Virginia",27,± 25,"1,505"
"Norton County, Kansas",115,± 71,"2,162"
"Nottoway County, Virginia",423,± 104,"6,067"
"Nowata County, Oklahoma",278,± 62,"3,990"
"Noxubee County, Mississippi",122,± 92,"3,877"
"Nuckolls County, Nebraska",165,± 59,"2,160"
"Nueces County, Texas","9,753",± 809,"160,537"
"Nye County, Nevada",446,± 188,"16,775"
"O'Brien County, Iowa",407,± 100,"6,949"
"Oakland County, Michigan","48,960","± 1,414","659,664"
"Obion County, Tennessee",710,± 179,"13,360"
"Ocean County, New Jersey","18,220","± 1,286","276,387"
"Oceana County, Michigan",490,± 116,"11,417"
"Ochiltree County, Texas",117,± 75,"4,880"
"Oconee County, Georgia","1,968",± 337,"20,702"
"Oconee County, South Carolina","2,171",± 484,"32,079"
"Oconto County, Wisconsin","1,020",± 151,"19,178"
"Ogemaw County, Michigan",644,± 105,"7,697"
"Oglala Lakota County, South Dakota",202,± 110,"3,137"
"Ogle County, Illinois","1,507",± 292,"24,893"
"Oglethorpe County, Georgia",377,± 127,"7,068"
"Ohio County, Indiana",164,± 77,"2,828"
"Ohio County, Kentucky",626,± 135,"10,000"
"Ohio County, West Virginia","1,500",± 283,"18,826"
"Okaloosa County, Florida","5,955",± 713,"94,566"
"Okanogan County, Washington",832,± 222,"17,714"
"Okeechobee County, Florida",668,± 177,"15,371"
"Okfuskee County, Oklahoma",212,± 58,"3,879"
"Oklahoma County, Oklahoma","26,188","± 1,130","381,875"
"Okmulgee County, Oklahoma",815,± 141,"14,956"
"Oktibbeha County, Mississippi","1,225",± 292,"22,904"
"Oldham County, Kentucky","2,683",± 336,"32,761"
"Oldham County, Texas",71,± 42,882
"Oliver County, North Dakota",35,± 21,780
"Olmsted County, Minnesota","16,246",± 844,"86,883"
"Oneida County, Idaho",104,± 53,"2,138"
"Oneida County, New York","8,008",± 759,"102,865"
"Oneida County, Wisconsin","1,250",± 168,"16,809"
"Onondaga County, New York","18,608",± 859,"225,907"
"Onslow County, North Carolina","3,252",± 518,"67,951"
"Ontario County, New York","4,818",± 559,"55,310"
