Geography,Households—Median income (dollars)—Estimate,MoE
"Luce County, Michigan","51,015","± 3,742"
"Lumpkin County, Georgia","67,592","± 6,551"
"Luna County, New Mexico","38,241","± 5,121"
"Lunenburg County, Virginia","54,438","± 7,866"
"Luquillo Municipio, Puerto Rico","22,585","± 1,637"
"Luzerne County, Pennsylvania","60,836","± 1,430"
"Lycoming County, Pennsylvania","63,437","± 2,788"
"Lyman County, South Dakota","60,284","± 3,477"
"Lynchburg city, Virginia","56,243","± 2,807"
"Lynn County, Texas","52,996","± 3,758"
"Lyon County, Iowa","73,735","± 4,042"
"Lyon County, Kansas","56,415","± 2,759"
"Lyon County, Kentucky","64,081","± 5,743"
"Lyon County, Minnesota","68,919","± 3,026"
"Lyon County, Nevada","70,026","± 3,491"
"Mackinac County, Michigan","60,620","± 3,443"
"Macomb County, Michigan","73,876",± 905
"Macon County, Alabama","41,206","± 4,232"
"Macon County, Georgia","33,960","± 3,999"
"Macon County, Illinois","59,622","± 2,177"
"Macon County, Missouri","54,113","± 3,740"
"Macon County, North Carolina","51,042","± 4,138"
"Macon County, Tennessee","51,215","± 6,679"
"Macoupin County, Illinois","64,706","± 2,828"
"Madera County, California","73,543","± 2,844"
"Madison County, Alabama","78,058","± 2,232"
"Madison County, Arkansas","51,514","± 5,932"
"Madison County, Florida","43,386","± 5,931"
"Madison County, Georgia","53,626","± 6,505"
"Madison County, Idaho","53,025","± 5,462"
"Madison County, Illinois","71,759","± 1,511"
"Madison County, Indiana","60,060","± 1,773"
"Madison County, Iowa","88,110","± 4,806"
"Madison County, Kentucky","59,797","± 2,937"
"Madison County, Mississippi","79,105","± 2,822"
"Madison County, Missouri","54,042","± 6,291"
"Madison County, Montana","61,226","± 5,670"
"Madison County, Nebraska","61,139","± 3,753"
"Madison County, New York","68,869","± 2,781"
"Madison County, North Carolina","56,664","± 5,856"
"Madison County, Ohio","77,062","± 3,603"
"Madison County, Tennessee","55,280","± 2,973"
"Madison County, Texas","65,768","± 6,286"
"Madison County, Virginia","74,586","± 6,473"
"Madison Parish, Louisiana","34,508","± 6,612"
"Magoffin County, Kentucky","31,927","± 3,222"
"Mahaska County, Iowa","65,200","± 3,944"
"Mahnomen County, Minnesota","52,739","± 2,904"
"Mahoning County, Ohio","54,279","± 1,069"
"Major County, Oklahoma","67,621","± 4,511"
"Malheur County, Oregon","48,371","± 5,255"
"Manassas city, Virginia","110,559","± 8,526"
"Manassas Park city, Virginia","91,673","± 14,807"
"Manatee County, Florida","71,385","± 1,814"
"Manatí Municipio, Puerto Rico","20,385","± 1,769"
"Manistee County, Michigan","59,467","± 2,570"
"Manitowoc County, Wisconsin","66,412","± 2,707"
"Marathon County, Wisconsin","73,248","± 2,831"
"Marengo County, Alabama","42,975","± 5,993"
"Maricao Municipio, Puerto Rico","20,133","± 3,514"
"Maricopa County, Arizona","80,675",± 588
"Maries County, Missouri","56,491","± 6,166"
"Marin County, California","142,019","± 4,098"
"Marinette County, Wisconsin","60,347","± 2,433"
"Marion County, Alabama","49,743","± 3,692"
"Marion County, Arkansas","42,891","± 4,867"
"Marion County, Florida","55,265","± 1,592"
"Marion County, Georgia","48,836","± 7,714"
"Marion County, Illinois","59,099","± 2,310"
"Marion County, Indiana","59,504",± 858
"Marion County, Iowa","74,193","± 3,055"
"Marion County, Kansas","60,011","± 4,113"
"Marion County, Kentucky","49,627","± 6,555"
"Marion County, Mississippi","38,399","± 2,964"
"Marion County, Missouri","62,492","± 4,094"
"Marion County, Ohio","55,106","± 4,581"
"Marion County, Oregon","70,926","± 1,756"
"Marion County, South Carolina","35,972","± 5,050"
"Marion County, Tennessee","58,139","± 2,385"
"Marion County, Texas","48,040","± 2,380"
"Marion County, West Virginia","59,974","± 2,364"
"Mariposa County, California","60,021","± 5,293"
"Marlboro County, South Carolina","34,275","± 3,166"
"Marquette County, Michigan","63,115","± 2,533"
"Marquette County, Wisconsin","59,748","± 2,845"
"Marshall County, Alabama","58,272","± 2,006"
"Marshall County, Illinois","64,940","± 3,707"
"Marshall County, Indiana","66,016","± 4,130"
"Marshall County, Iowa","70,828","± 2,981"
"Marshall County, Kansas","64,306","± 6,228"
"Marshall County, Kentucky","64,597","± 7,023"
"Marshall County, Minnesota","69,396","± 2,814"
"Marshall County, Mississippi","51,431","± 7,450"
"Marshall County, Oklahoma","53,734","± 3,436"
"Marshall County, South Dakota","74,018","± 8,855"
"Marshall County, Tennessee","65,325","± 4,291"
"Marshall County, West Virginia","58,129","± 6,365"
"Martin County, Florida","77,894","± 2,073"
"Martin County, Indiana","65,489","± 7,170"
"Martin County, Kentucky","45,265","± 8,748"
"Martin County, Minnesota","61,674","± 4,915"
"Martin County, North Carolina","44,799","± 2,852"
"Martin County, Texas","70,217","± 19,028"
"Martinsville city, Virginia","39,127","± 3,628"
"Mason County, Illinois","58,479","± 3,099"
"Mason County, Kentucky","48,460","± 3,700"
"Mason County, Michigan","60,744","± 2,249"
"Mason County, Texas","77,583","± 12,271"
"Mason County, Washington","74,388","± 4,042"
"Mason County, West Virginia","53,058","± 7,281"
"Massac County, Illinois","57,365","± 5,415"
"Matagorda County, Texas","56,412","± 3,540"
"Matanuska-Susitna Borough, Alaska","86,435","± 2,503"
"Mathews County, Virginia","79,054","± 14,979"
"Maui County, Hawaii","95,379","± 3,268"
"Maunabo Municipio, Puerto Rico","21,951","± 3,549"
"Maury County, Tennessee","71,500","± 3,394"
"Maverick County, Texas","48,497","± 4,896"
"Mayagüez Municipio, Puerto Rico","16,788",± 760
"Mayes County, Oklahoma","56,552","± 2,831"
"McClain County, Oklahoma","80,150","± 3,210"
"McCone County, Montana","79,022","± 14,838"
"McCook County, South Dakota","74,873","± 6,538"
"McCormick County, South Carolina","55,569","± 6,227"
"McCracken County, Kentucky","58,490","± 2,974"
"McCreary County, Kentucky","35,000","± 6,025"
"McCulloch County, Texas","53,214","± 8,951"
"McCurtain County, Oklahoma","47,046","± 2,611"
"McDonald County, Missouri","46,494","± 3,531"
"McDonough County, Illinois","48,904","± 3,294"
"McDowell County, North Carolina","53,532","± 4,528"
"McDowell County, West Virginia","28,235","± 3,566"
"McDuffie County, Georgia","54,752","± 3,082"
"McHenry County, Illinois","100,101","± 2,306"
"McHenry County, North Dakota","78,071","± 5,544"
"McIntosh County, Georgia","51,262","± 5,614"
"McIntosh County, North Dakota","64,375","± 6,942"
"McIntosh County, Oklahoma","43,467","± 4,384"
"McKean County, Pennsylvania","57,861","± 2,748"
"McKenzie County, North Dakota","83,813","± 3,433"
"McKinley County, New Mexico","44,029","± 2,840"
"McLean County, Illinois","75,356","± 2,591"
"McLean County, Kentucky","64,020","± 5,525"
"McLean County, North Dakota","80,556","± 5,319"
"McLennan County, Texas","59,781","± 1,910"
"McLeod County, Minnesota","73,296","± 4,073"
"McMinn County, Tennessee","57,982","± 5,006"
"McMullen County, Texas","60,313","± 24,836"
"McNairy County, Tennessee","46,920","± 2,714"
"McPherson County, Kansas","71,250","± 3,751"
"McPherson County, Nebraska","58,250","± 12,583"
"McPherson County, South Dakota","58,529","± 7,156"
"Meade County, Kansas","74,063","± 11,630"
"Meade County, Kentucky","68,518","± 4,635"
"Meade County, South Dakota","70,256","± 7,699"
"Meagher County, Montana","55,753","± 6,936"
"Mecklenburg County, North Carolina","79,265","± 1,263"
"Mecklenburg County, Virginia","51,265","± 4,199"
"Mecosta County, Michigan","54,132","± 3,181"
"Medina County, Ohio","89,968","± 2,429"
"Medina County, Texas","73,060","± 2,954"
"Meeker County, Minnesota","75,926","± 2,837"
"Meigs County, Ohio","46,255","± 3,206"
"Meigs County, Tennessee","59,434","± 4,337"
"Mellette County, South Dakota","41,397","± 10,498"
"Menard County, Illinois","84,846","± 5,481"
"Menard County, Texas","40,945","± 7,332"
"Mendocino County, California","61,335","± 2,198"
"Menifee County, Kentucky","43,797","± 4,997"
"Menominee County, Michigan","54,074","± 2,913"
"Menominee County, Wisconsin","62,194","± 5,113"
"Merced County, California","64,772","± 2,142"
"Mercer County, Illinois","67,028","± 3,167"
"Mercer County, Kentucky","60,728","± 4,145"
"Mercer County, Missouri","55,592","± 10,045"
"Mercer County, New Jersey","92,697","± 2,156"
"Mercer County, North Dakota","82,155","± 12,161"
"Mercer County, Ohio","73,278","± 3,276"
"Mercer County, Pennsylvania","57,353","± 2,084"
"Mercer County, West Virginia","46,409","± 2,813"
"Meriwether County, Georgia","52,392","± 3,656"
"Merrick County, Nebraska","57,873","± 5,913"
"Merrimack County, New Hampshire","88,806","± 2,398"
"Mesa County, Colorado","68,077","± 2,075"
"Metcalfe County, Kentucky","46,932","± 3,516"
"Miami County, Indiana","59,551","± 2,079"
"Miami County, Kansas","85,564","± 4,683"
"Miami County, Ohio","71,440","± 2,272"
"Miami-Dade County, Florida","64,215",± 717
"Middlesex County, Massachusetts","121,304","± 1,349"
"Middlesex County, New Jersey","105,206","± 1,538"
"Middlesex County, Virginia","69,389","± 6,513"
"Midland County, Michigan","73,643","± 3,212"
"Midland County, Texas","90,123","± 5,223"
"Mifflin County, Pennsylvania","58,012","± 1,989"
"Milam County, Texas","56,985","± 3,374"
"Millard County, Utah","69,403","± 2,887"
"Mille Lacs County, Minnesota","68,088","± 3,030"
"Miller County, Arkansas","47,613","± 3,922"
"Miller County, Georgia","52,132","± 16,877"
"Miller County, Missouri","53,490","± 5,008"
"Mills County, Iowa","81,907","± 4,106"
"Mills County, Texas","59,315","± 5,492"
"Milwaukee County, Wisconsin","59,319",± 810
"Miner County, South Dakota","62,037","± 5,804"
"Mineral County, Colorado","58,929","± 9,399"
"Mineral County, Montana","56,098","± 4,309"
"Mineral County, Nevada","46,625","± 5,538"
"Mineral County, West Virginia","64,728","± 5,295"
"Mingo County, West Virginia","38,305","± 4,273"
"Minidoka County, Idaho","63,594","± 2,760"
"Minnehaha County, South Dakota","73,110","± 2,270"
"Missaukee County, Michigan","57,667","± 3,809"
"Mississippi County, Arkansas","50,012","± 4,432"
"Mississippi County, Missouri","40,833","± 7,546"
"Missoula County, Montana","66,840","± 1,960"
"Mitchell County, Georgia","45,966","± 10,580"
"Mitchell County, Iowa","66,056","± 5,753"
"Mitchell County, Kansas","63,008","± 6,256"
"Mitchell County, North Carolina","55,534","± 6,020"
"Mitchell County, Texas","49,869","± 6,244"
"Mobile County, Alabama","55,352","± 1,348"
"Moca Municipio, Puerto Rico","20,331","± 2,682"
"Modoc County, California","54,962","± 5,389"
"Moffat County, Colorado","63,983","± 5,415"
"Mohave County, Arizona","53,592","± 1,874"
"Moniteau County, Missouri","66,792","± 5,991"
"Monmouth County, New Jersey","118,527","± 1,903"
"Mono County, California","82,038","± 15,388"
"Monona County, Iowa","59,897","± 3,770"
"Monongalia County, West Virginia","60,893","± 2,620"
"Monroe County, Alabama","39,965","± 6,253"
"Monroe County, Arkansas","41,786","± 10,996"
"Monroe County, Florida","80,111","± 3,496"
"Monroe County, Georgia","74,867","± 6,076"
"Monroe County, Illinois","100,685","± 4,771"
"Monroe County, Indiana","60,308","± 2,451"
"Monroe County, Iowa","76,324","± 11,735"
"Monroe County, Kentucky","47,252","± 5,420"
"Monroe County, Michigan","72,573","± 2,027"
"Monroe County, Mississippi","51,190","± 2,396"
"Monroe County, Missouri","50,245","± 3,611"
"Monroe County, New York","71,450",± 965
"Monroe County, Ohio","55,381","± 5,415"
"Monroe County, Pennsylvania","80,656","± 2,560"
"Monroe County, Tennessee","52,123","± 3,526"
"Monroe County, West Virginia","52,392","± 3,981"
"Monroe County, Wisconsin","66,451","± 2,462"
"Montague County, Texas","63,336","± 5,446"
"Montcalm County, Michigan","61,250","± 2,373"
"Monterey County, California","91,043","± 1,900"
"Montezuma County, Colorado","61,377","± 5,216"
"Montgomery County, Alabama","56,707","± 1,821"
"Montgomery County, Arkansas","47,103","± 3,596"
"Montgomery County, Georgia","49,138","± 7,974"
"Montgomery County, Illinois","61,796","± 3,756"
"Montgomery County, Indiana","62,937","± 5,863"
"Montgomery County, Iowa","61,261","± 3,887"
"Montgomery County, Kansas","51,513","± 2,424"
"Montgomery County, Kentucky","53,436","± 5,156"
"Montgomery County, Maryland","125,583","± 1,757"
"Montgomery County, Mississippi","36,845","± 5,992"
"Montgomery County, Missouri","58,660","± 5,173"
"Montgomery County, New York","58,033","± 2,108"
"Montgomery County, North Carolina","55,523","± 3,836"
"Montgomery County, Ohio","61,942",± 996
"Montgomery County, Pennsylvania","107,441","± 1,366"
"Montgomery County, Tennessee","67,890","± 2,012"
"Montgomery County, Texas","95,946","± 3,307"
"Montgomery County, Virginia","65,270","± 3,554"
"Montmorency County, Michigan","46,345","± 3,796"
"Montour County, Pennsylvania","72,626","± 5,146"
"Montrose County, Colorado","62,817","± 4,545"
"Moody County, South Dakota","71,469","± 5,751"
"Moore County, North Carolina","77,981","± 3,531"
"Moore County, Tennessee","69,250","± 9,575"
"Moore County, Texas","59,041","± 3,865"
"Mora County, New Mexico","40,231","± 13,553"
"Morehouse Parish, Louisiana","37,875","± 4,038"
"Morgan County, Alabama","61,588","± 2,499"
"Morgan County, Colorado","70,471","± 3,883"
"Morgan County, Georgia","81,524","± 9,226"
"Morgan County, Illinois","61,188","± 3,522"
"Morgan County, Indiana","79,134","± 2,859"
"Morgan County, Kentucky","46,018","± 4,121"
"Morgan County, Missouri","48,841","± 4,296"
"Morgan County, Ohio","51,056","± 4,003"
"Morgan County, Tennessee","51,971","± 5,980"
"Morgan County, Utah","120,854","± 9,397"
"Morgan County, West Virginia","61,021","± 4,462"
"Morovis Municipio, Puerto Rico","22,282","± 1,854"
"Morrill County, Nebraska","57,325","± 4,882"
"Morris County, Kansas","52,866","± 6,829"
"Morris County, New Jersey","130,808","± 2,727"
"Morris County, Texas","51,532","± 3,457"
"Morrison County, Minnesota","66,264","± 2,638"
"Morrow County, Ohio","70,412","± 4,487"
"Morrow County, Oregon","64,975","± 10,180"
"Morton County, Kansas","57,943","± 5,390"
"Morton County, North Dakota","79,555","± 8,148"
"Motley County, Texas","66,528","± 5,611"
"Moultrie County, Illinois","72,833","± 9,402"
"Mountrail County, North Dakota","81,886","± 5,382"
"Mower County, Minnesota","66,972","± 3,831"
"Muhlenberg County, Kentucky","50,935","± 4,071"
"Multnomah County, Oregon","83,668","± 1,355"
"Murray County, Georgia","60,617","± 3,413"
"Murray County, Minnesota","71,500","± 3,724"
"Murray County, Oklahoma","60,213","± 5,771"
"Muscatine County, Iowa","67,427","± 3,296"
"Muscogee County, Georgia","54,561","± 1,724"
"Muskegon County, Michigan","61,347","± 1,338"
"Muskingum County, Ohio","56,810","± 2,758"
"Muskogee County, Oklahoma","50,289","± 2,189"
"Musselshell County, Montana","54,875","± 3,523"
"Nacogdoches County, Texas","51,153","± 2,141"
"Naguabo Municipio, Puerto Rico","20,486","± 1,709"
"Nance County, Nebraska","60,054","± 5,780"
"Nantucket County, Massachusetts","135,590","± 17,386"
"Napa County, California","105,809","± 2,981"
"Naranjito Municipio, Puerto Rico","20,616","± 2,167"
"Nash County, North Carolina","56,770","± 1,994"
"Nassau County, Florida","84,085","± 2,786"
"Nassau County, New York","137,709","± 1,920"
"Natchitoches Parish, Louisiana","41,310","± 2,062"
"Natrona County, Wyoming","69,104","± 3,149"
"Naugatuck Valley Planning Region, Connecticut","82,939","± 2,047"
"Navajo County, Arizona","50,335","± 2,034"
"Navarro County, Texas","56,261","± 4,330"
"Nelson County, Kentucky","66,212","± 2,681"
"Nelson County, North Dakota","62,219","± 5,000"
"Nelson County, Virginia","64,028","± 11,161"
"Nemaha County, Kansas","72,788","± 5,718"
"Nemaha County, Nebraska","57,196","± 4,871"
"Neosho County, Kansas","54,894","± 4,956"
"Neshoba County, Mississippi","47,400","± 5,518"
"Ness County, Kansas","64,907","± 7,389"
"Nevada County, Arkansas","43,421","± 4,219"
"Nevada County, California","79,395","± 3,823"
"New Castle County, Delaware","85,309","± 2,377"
"New Hanover County, North Carolina","67,515","± 2,271"
"New Kent County, Virginia","113,120","± 6,953"
"New Madrid County, Missouri","44,092","± 4,593"
"New York County, New York","99,880","± 1,781"
"Newaygo County, Michigan","59,065","± 1,864"
"Newberry County, South Carolina","56,706","± 2,943"
"Newport County, Rhode Island","96,319","± 3,121"
"Newport News city, Virginia","63,355","± 2,100"
"Newton County, Arkansas","50,699","± 7,025"
"Newton County, Georgia","70,732","± 2,582"
"Newton County, Indiana","63,673","± 7,482"
"Newton County, Mississippi","49,160","± 4,308"
"Newton County, Missouri","60,313","± 3,791"
"Newton County, Texas","38,871","± 6,573"
"Nez Perce County, Idaho","65,023","± 5,700"
"Niagara County, New York","65,882","± 1,757"
"Nicholas County, Kentucky","57,539","± 8,629"
"Nicholas County, West Virginia","48,826","± 4,928"
"Nicollet County, Minnesota","79,113","± 4,452"
"Niobrara County, Wyoming","54,375","± 8,854"
"Noble County, Indiana","70,286","± 3,007"
"Noble County, Ohio","51,547","± 5,566"
"Noble County, Oklahoma","66,813","± 6,833"
"Nobles County, Minnesota","62,973","± 5,081"
"Nodaway County, Missouri","53,917","± 2,349"
"Nolan County, Texas","47,437","± 3,661"
"Nome Census Area, Alaska","70,121","± 3,554"
"Norfolk city, Virginia","60,998","± 1,879"
"Norfolk County, Massachusetts","120,621","± 1,910"
"Norman County, Minnesota","65,278","± 4,030"
"North Slope Borough, Alaska","83,472","± 17,869"
"Northampton County, North Carolina","45,698","± 2,166"
"Northampton County, Pennsylvania","82,201","± 1,588"
"Northampton County, Virginia","54,693","± 7,151"
"Northeastern Connecticut Planning Region, Connecticut","83,119","± 2,527"
"Northumberland County, Pennsylvania","55,952","± 1,495"
"Northumberland County, Virginia","64,655","± 9,266"
"Northwest Arctic Borough, Alaska","77,647","± 6,180"
"Northwest Hills Planning Region, Connecticut","87,971","± 2,758"
"Norton city, Virginia","36,974","± 9,394"
"Norton County, Kansas","52,710","± 7,115"
"Nottoway County, Virginia","62,366","± 8,677"
"Nowata County, Oklahoma","50,960","± 5,012"
"Noxubee County, Mississippi","42,298","± 4,628"
"Nuckolls County, Nebraska","66,000","± 8,523"
"Nueces County, Texas","64,027","± 1,446"
"Nye County, Nevada","53,602","± 2,914"
"O'Brien County, Iowa","65,076","± 6,868"
"Oakland County, Michigan","92,620",± 953
"Obion County, Tennessee","50,638","± 2,113"
"Ocean County, New Jersey","82,379","± 1,455"
"Oceana County, Michigan","60,691","± 2,993"
"Ochiltree County, Texas","62,240","± 11,061"
"Oconee County, Georgia","116,221","± 10,609"
"Oconee County, South Carolina","56,710","± 2,695"
"Oconto County, Wisconsin","73,611","± 1,783"
"Ogemaw County, Michigan","50,377","± 2,478"
"Oglala Lakota County, South Dakota","32,279","± 9,588"
"Ogle County, Illinois","75,782","± 3,204"
"Oglethorpe County, Georgia","66,672","± 8,253"
"Ohio County, Indiana","66,333","± 11,379"
"Ohio County, Kentucky","52,474","± 2,436"
"Ohio County, West Virginia","55,521","± 3,084"
"Okaloosa County, Florida","73,988","± 2,524"
"Okanogan County, Washington","58,218","± 2,165"
"Okeechobee County, Florida","50,476","± 4,129"
"Okfuskee County, Oklahoma","45,429","± 4,358"
"Oklahoma County, Oklahoma","62,505",± 964
"Okmulgee County, Oklahoma","50,819","± 1,679"
"Oktibbeha County, Mississippi","42,953","± 4,571"
"Oldham County, Kentucky","117,334","± 3,920"
"Oldham County, Texas","71,103","± 7,939"
"Oliver County, North Dakota","69,722","± 14,403"
"Olmsted County, Minnesota","90,420","± 3,217"
"Oneida County, Idaho","67,383","± 9,527"
"Oneida County, New York","66,402","± 2,173"
"Oneida County, Wisconsin","66,111","± 2,328"
"Onondaga County, New York","71,479","± 1,125"
"Onslow County, North Carolina","59,976","± 2,239"
"Ontario County, New York","76,603","± 2,249"
"Ontonagon County, Michigan","48,316","± 3,844"
"Orange County, California","109,361",± 882
"Orange County, Florida","72,629","± 1,122"
"Orange County, Indiana","60,775","± 3,798"
"Orange County, New York","91,806","± 1,781"
"Orange County, North Carolina","85,785","± 2,626"
"Orange County, Texas","71,910","± 5,672"
"Orange County, Vermont","74,534","± 2,711"
"Orange County, Virginia","87,309","± 8,209"
"Orangeburg County, South Carolina","41,020","± 2,178"
"Oregon County, Missouri","41,365","± 5,717"
"Orleans County, New York","61,069","± 2,984"
"Orleans County, Vermont","63,981","± 2,662"
"Orleans Parish, Louisiana","51,116","± 1,705"
"Orocovis Municipio, Puerto Rico","16,869","± 1,525"
"Osage County, Kansas","66,155","± 2,160"
"Osage County, Missouri","70,313","± 3,209"
"Osage County, Oklahoma","58,189","± 2,029"
"Osborne County, Kansas","58,750","± 7,749"
"Osceola County, Florida","64,312","± 1,799"
"Osceola County, Iowa","67,561","± 4,722"
"Osceola County, Michigan","54,875","± 2,094"
"Oscoda County, Michigan","48,692","± 2,581"
"Oswego County, New York","65,054","± 2,122"
"Otero County, Colorado","47,500","± 5,935"
"Otero County, New Mexico","50,833","± 2,899"
"Otoe County, Nebraska","73,031","± 6,092"
"Otsego County, Michigan","62,865","± 5,910"
"Otsego County, New York","65,778","± 2,967"
"Ottawa County, Kansas","74,551","± 5,658"
"Ottawa County, Michigan","83,932","± 1,829"
"Ottawa County, Ohio","69,515","± 3,446"
"Ottawa County, Oklahoma","46,186","± 1,099"
"Otter Tail County, Minnesota","67,990","± 2,597"
"Ouachita County, Arkansas","47,348","± 4,748"
"Ouachita Parish, Louisiana","49,261","± 2,573"
"Ouray County, Colorado","78,750","± 14,026"
"Outagamie County, Wisconsin","78,705","± 1,736"
"Overton County, Tennessee","46,580","± 7,081"
"Owen County, Indiana","57,947","± 4,259"
"Owen County, Kentucky","56,485","± 2,542"
"Owsley County, Kentucky","32,844","± 9,166"
"Owyhee County, Idaho","58,440","± 4,003"
"Oxford County, Maine","54,780","± 2,845"
"Ozark County, Missouri","39,125","± 7,092"
"Ozaukee County, Wisconsin","92,258","± 3,564"
"Pacific County, Washington","58,889","± 4,129"
"Page County, Iowa","58,264","± 4,425"
"Page County, Virginia","56,760","± 4,228"
"Palm Beach County, Florida","76,066","± 1,097"
"Palo Alto County, Iowa","67,306","± 5,588"
"Palo Pinto County, Texas","65,242","± 2,873"
"Pamlico County, North Carolina","55,867","± 4,627"
"Panola County, Mississippi","47,894","± 7,813"
"Panola County, Texas","58,205","± 10,677"
"Park County, Colorado","85,019","± 6,450"
"Park County, Montana","67,602","± 5,359"
"Park County, Wyoming","66,754","± 5,204"
"Parke County, Indiana","63,393","± 5,494"
"Parker County, Texas","95,721","± 3,738"
"Parmer County, Texas","65,575","± 9,008"
"Pasco County, Florida","63,187","± 1,384"
"Pasquotank County, North Carolina","61,411","± 4,876"
"Passaic County, New Jersey","84,465","± 1,564"
"Patillas Municipio, Puerto Rico","20,778","± 3,286"
"Patrick County, Virginia","49,180","± 5,345"
"Paulding County, Georgia","89,237","± 3,478"
"Paulding County, Ohio","65,331","± 3,732"
"Pawnee County, Kansas","54,141","± 9,060"
"Pawnee County, Nebraska","55,833","± 7,460"
"Pawnee County, Oklahoma","56,279","± 4,271"
"Payette County, Idaho","62,721","± 5,084"
"Payne County, Oklahoma","46,658","± 3,321"
"Peach County, Georgia","60,940","± 5,707"
"Pearl River County, Mississippi","54,220","± 4,942"
"Pecos County, Texas","59,325","± 10,173"
"Pembina County, North Dakota","64,243","± 5,487"
"Pemiscot County, Missouri","37,426","± 4,951"
"Pend Oreille County, Washington","59,353","± 6,485"
"Pender County, North Carolina","74,538","± 4,322"
"Pendleton County, Kentucky","58,723","± 7,580"
"Pendleton County, West Virginia","52,458","± 8,844"
"Pennington County, Minnesota","71,504","± 4,314"
"Pennington County, South Dakota","67,823","± 2,223"
"Penobscot County, Maine","59,438","± 1,637"
"Peñuelas Municipio, Puerto Rico","20,072","± 1,293"
"Peoria County, Illinois","63,409","± 1,483"
"Pepin County, Wisconsin","70,833","± 3,450"
"Perkins County, Nebraska","61,786","± 6,351"
"Perkins County, South Dakota","64,410","± 7,063"
"Perquimans County, North Carolina","59,401","± 6,366"
"Perry County, Alabama","32,332","± 7,059"
"Perry County, Arkansas","53,980","± 8,161"
"Perry County, Illinois","56,338","± 3,421"
"Perry County, Indiana","58,936","± 3,695"
"Perry County, Kentucky","45,330","± 7,923"
"Perry County, Mississippi","48,333","± 5,260"
"Perry County, Missouri","61,486","± 4,247"
"Perry County, Ohio","62,899","± 4,595"
"Perry County, Pennsylvania","76,103","± 2,415"
"Perry County, Tennessee","55,978","± 8,950"
"Pershing County, Nevada","66,304","± 16,796"
"Person County, North Carolina","60,688","± 4,173"
"Petersburg Borough, Alaska","77,826","± 13,410"
"Petersburg city, Virginia","46,930","± 3,098"
"Petroleum County, Montana","57,981","± 25,523"
"Pettis County, Missouri","57,581","± 2,677"
"Phelps County, Missouri","53,242","± 2,323"
"Phelps County, Nebraska","65,114","± 5,604"
"Philadelphia County, Pennsylvania","57,537",± 792
"Phillips County, Arkansas","37,458","± 4,178"
"Phillips County, Colorado","58,474","± 6,683"
"Phillips County, Kansas","57,611","± 3,702"
"Phillips County, Montana","61,250","± 9,480"
"Piatt County, Illinois","81,151","± 8,695"
"Pickaway County, Ohio","67,600","± 3,177"
"Pickens County, Alabama","45,339","± 2,865"
"Pickens County, Georgia","72,558","± 4,448"
"Pickens County, South Carolina","57,628","± 2,634"
"Pickett County, Tennessee","44,317","± 8,782"
"Pierce County, Georgia","54,861","± 4,477"
"Pierce County, Nebraska","65,603","± 6,783"
"Pierce County, North Dakota","59,583","± 11,961"
"Pierce County, Washington","91,486","± 1,193"
"Pierce County, Wisconsin","82,996","± 3,996"
"Pike County, Alabama","42,616","± 4,107"
"Pike County, Arkansas","49,248","± 3,312"
"Pike County, Georgia","83,866","± 5,816"
"Pike County, Illinois","55,514","± 3,704"
"Pike County, Indiana","64,182","± 5,022"
"Pike County, Kentucky","41,271","± 3,112"
"Pike County, Mississippi","40,131","± 2,290"
"Pike County, Missouri","53,363","± 4,576"
"Pike County, Ohio","50,832","± 4,258"
"Pike County, Pennsylvania","76,416","± 3,741"
"Pima County, Arizona","64,323",± 957
"Pinal County, Arizona","73,313","± 1,177"
"Pine County, Minnesota","65,059","± 2,496"
"Pinellas County, Florida","66,406",± 929
"Pipestone County, Minnesota","68,341","± 5,833"
"Piscataquis County, Maine","51,805","± 1,811"
"Pitkin County, Colorado","96,123","± 6,260"
"Pitt County, North Carolina","54,915","± 2,627"
"Pittsburg County, Oklahoma","53,054","± 2,380"
"Pittsylvania County, Virginia","52,619","± 3,032"
"Piute County, Utah","33,359","± 12,379"
"Placer County, California","109,375","± 1,856"
"Plaquemines Parish, Louisiana","77,996","± 3,933"
"Platte County, Missouri","92,543","± 3,242"
"Platte County, Nebraska","69,943","± 4,198"
"Platte County, Wyoming","64,753","± 5,139"
"Pleasants County, West Virginia","59,666","± 7,047"
"Plumas County, California","67,885","± 7,772"
"Plymouth County, Iowa","79,963","± 2,681"
"Plymouth County, Massachusetts","105,387","± 1,819"
"Pocahontas County, Iowa","61,434","± 3,811"
"Pocahontas County, West Virginia","41,680","± 4,555"
"Poinsett County, Arkansas","43,440","± 2,999"
"Pointe Coupee Parish, Louisiana","53,045","± 6,662"
"Polk County, Arkansas","48,449","± 4,945"
"Polk County, Florida","60,901","± 1,004"
"Polk County, Georgia","51,956","± 4,304"
"Polk County, Iowa","78,827","± 1,322"
"Polk County, Minnesota","69,540","± 3,726"
"Polk County, Missouri","54,487","± 4,425"
"Polk County, Nebraska","67,695","± 6,341"
"Polk County, North Carolina","60,465","± 4,574"
"Polk County, Oregon","77,353","± 3,027"
"Polk County, Tennessee","53,775","± 5,464"
"Polk County, Texas","57,315","± 2,976"
"Polk County, Wisconsin","74,142","± 1,731"
"Ponce Municipio, Puerto Rico","18,994",± 813
"Pondera County, Montana","59,861","± 5,731"
"Pontotoc County, Mississippi","54,414","± 5,061"
