Geography,"Percent—AGE BY EDUCATIONAL ATTAINMENT—Population 25 years and over—9th to 12th grade, no diploma—Estimate",MoE
"Lincoln County, Oregon",5.10%,± 0.8%
"Lincoln County, South Dakota",2.70%,± 0.8%
"Lincoln County, Tennessee",8.70%,± 1.5%
"Lincoln County, Washington",5.80%,± 1.2%
"Lincoln County, West Virginia",11.10%,± 2.5%
"Lincoln County, Wisconsin",5.10%,± 1%
"Lincoln County, Wyoming",4.70%,± 1.4%
"Lincoln Parish, Louisiana",8.10%,± 1.4%
"Linn County, Iowa",3.60%,± 0.4%
"Linn County, Kansas",4.80%,± 1.7%
"Linn County, Missouri",6.80%,± 1.7%
"Linn County, Oregon",6.60%,± 0.7%
"Lipscomb County, Texas",6.40%,± 2.8%
"Little River County, Arkansas",7.30%,± 2.1%
"Live Oak County, Texas",14.40%,± 2.8%
"Livingston County, Illinois",6.60%,± 0.9%
"Livingston County, Kentucky",9.20%,± 2.2%
"Livingston County, Michigan",3%,± 0.3%
"Livingston County, Missouri",8.80%,± 1.7%
"Livingston County, New York",5.20%,± 0.7%
"Livingston Parish, Louisiana",7.50%,± 0.9%
"Llano County, Texas",6.10%,± 1.3%
"Logan County, Arkansas",8.60%,± 1.5%
"Logan County, Colorado",6.70%,± 1.9%
"Logan County, Illinois",6.60%,± 0.7%
"Logan County, Kansas",2.70%,± 2%
"Logan County, Kentucky",7.30%,± 1.5%
"Logan County, Nebraska",0.70%,± 0.9%
"Logan County, North Dakota",2.70%,± 1.5%
"Logan County, Ohio",5.80%,± 0.9%
"Logan County, Oklahoma",6%,± 1%
"Logan County, West Virginia",14%,± 1.6%
"Loíza Municipio, Puerto Rico",10.20%,± 1.6%
"Long County, Georgia",13.60%,± 4.1%
"Lonoke County, Arkansas",7%,± 0.9%
"Lorain County, Ohio",6.70%,± 0.4%
"Los Alamos County, New Mexico",1.10%,± 0.6%
"Los Angeles County, California",8%,± 0.1%
"Loudon County, Tennessee",7.70%,± 1.3%
"Loudoun County, Virginia",2.90%,± 0.3%
"Louisa County, Iowa",9.10%,± 1.4%
"Louisa County, Virginia",7.30%,± 1.4%
"Loup County, Nebraska",1.10%,± 1.1%
"Love County, Oklahoma",12%,± 1.6%
"Loving County, Texas",3.20%,± 5.1%
"Lower Connecticut River Valley Planning Region, Connecticut",2.90%,± 0.4%
"Lowndes County, Alabama",11.90%,± 2.3%
"Lowndes County, Georgia",7.10%,± 0.8%
"Lowndes County, Mississippi",8.10%,± 1%
"Lubbock County, Texas",6.80%,± 0.6%
"Lucas County, Iowa",4.10%,± 1.3%
"Lucas County, Ohio",6.70%,± 0.4%
"Luce County, Michigan",6.40%,± 1.8%
"Lumpkin County, Georgia",10.10%,± 2.2%
"Luna County, New Mexico",15.10%,± 3.2%
"Lunenburg County, Virginia",13.40%,± 2.3%
"Luquillo Municipio, Puerto Rico",7.70%,± 1.9%
"Luzerne County, Pennsylvania",6%,± 0.4%
"Lycoming County, Pennsylvania",7%,± 0.6%
"Lyman County, South Dakota",7.40%,± 2.4%
"Lynchburg city, Virginia",6.50%,± 1%
"Lynn County, Texas",10.50%,± 2%
"Lyon County, Iowa",2.30%,± 0.5%
"Lyon County, Kansas",5.50%,± 1%
"Lyon County, Kentucky",6.60%,± 2%
"Lyon County, Minnesota",3.90%,± 0.9%
"Lyon County, Nevada",8.30%,± 1.1%
"Mackinac County, Michigan",5.30%,± 1.4%
"Macomb County, Michigan",6%,± 0.3%
"Macon County, Alabama",13.50%,± 2.2%
"Macon County, Georgia",18.30%,± 2.7%
"Macon County, Illinois",5.70%,± 0.7%
"Macon County, Missouri",6.60%,± 1.4%
"Macon County, North Carolina",6.40%,± 1.2%
"Macon County, Tennessee",13.80%,± 2.6%
"Macoupin County, Illinois",6.90%,± 1%
"Madera County, California",11.40%,± 0.8%
"Madison County, Alabama",5.50%,± 0.5%
"Madison County, Arkansas",10.40%,± 2.1%
"Madison County, Florida",14.20%,± 2.2%
"Madison County, Georgia",9.90%,± 2.2%
"Madison County, Idaho",2.20%,± 1%
"Madison County, Illinois",4.90%,± 0.4%
"Madison County, Indiana",7.40%,± 0.6%
"Madison County, Iowa",2%,± 0.7%
"Madison County, Kentucky",5.70%,± 0.9%
"Madison County, Mississippi",5.20%,± 0.8%
"Madison County, Missouri",9.50%,± 2.4%
"Madison County, Montana",2.90%,± 1%
"Madison County, Nebraska",3%,± 0.6%
"Madison County, New York",5%,± 0.7%
"Madison County, North Carolina",7.50%,± 1.5%
"Madison County, Ohio",8.90%,± 1.3%
"Madison County, Tennessee",7.50%,± 0.9%
"Madison County, Texas",16.20%,± 4%
"Madison County, Virginia",9.40%,± 2.5%
"Madison Parish, Louisiana",16.20%,± 3%
"Magoffin County, Kentucky",14.70%,± 2.7%
"Mahaska County, Iowa",4.40%,± 1.1%
"Mahnomen County, Minnesota",9.50%,± 1.3%
"Mahoning County, Ohio",6.10%,± 0.5%
"Major County, Oklahoma",4.50%,± 1.1%
"Malheur County, Oregon",10.40%,± 1.5%
"Manassas city, Virginia",6.20%,± 1.4%
"Manassas Park city, Virginia",7.40%,± 2%
"Manatee County, Florida",5.80%,± 0.5%
"Manatí Municipio, Puerto Rico",8.40%,± 1.5%
"Manistee County, Michigan",7.30%,± 1.2%
"Manitowoc County, Wisconsin",4.90%,± 0.6%
"Marathon County, Wisconsin",4.20%,± 0.5%
"Marengo County, Alabama",7.80%,± 2.4%
"Maricao Municipio, Puerto Rico",9.50%,± 2.7%
"Maricopa County, Arizona",5.90%,± 0.1%
"Maries County, Missouri",7.10%,± 1.8%
"Marin County, California",2.50%,± 0.3%
"Marinette County, Wisconsin",5.20%,± 0.6%
"Marion County, Alabama",13.20%,± 2%
"Marion County, Arkansas",7.90%,± 1.6%
"Marion County, Florida",7.30%,± 0.6%
"Marion County, Georgia",16.70%,± 4.9%
"Marion County, Illinois",7.30%,± 0.9%
"Marion County, Indiana",8.10%,± 0.4%
"Marion County, Iowa",4%,± 0.9%
"Marion County, Kansas",4.80%,± 1%
"Marion County, Kentucky",9.60%,± 2.1%
"Marion County, Mississippi",10%,± 2.2%
"Marion County, Missouri",7.50%,± 1.8%
"Marion County, Ohio",7.80%,± 0.9%
"Marion County, Oregon",7.10%,± 0.5%
"Marion County, South Carolina",10.90%,± 1.9%
"Marion County, Tennessee",12.30%,± 2.1%
"Marion County, Texas",9.60%,± 2.4%
"Marion County, West Virginia",6%,± 0.9%
"Mariposa County, California",6%,± 1.9%
"Marlboro County, South Carolina",14.50%,± 2.2%
"Marquette County, Michigan",3.70%,± 0.5%
"Marquette County, Wisconsin",6.60%,± 1%
"Marshall County, Alabama",9.10%,± 0.9%
"Marshall County, Illinois",6%,± 1.3%
"Marshall County, Indiana",8.60%,± 1%
"Marshall County, Iowa",5.70%,± 1%
"Marshall County, Kansas",4.70%,± 1.3%
"Marshall County, Kentucky",5.30%,± 1.1%
"Marshall County, Minnesota",5.20%,± 1.1%
"Marshall County, Mississippi",11.20%,± 1.9%
"Marshall County, Oklahoma",10.90%,± 1.6%
"Marshall County, South Dakota",3.40%,± 2.5%
"Marshall County, Tennessee",7.30%,± 1.6%
"Marshall County, West Virginia",6.70%,± 1.9%
"Martin County, Florida",4.60%,± 0.6%
"Martin County, Indiana",8.20%,± 2.5%
"Martin County, Kentucky",13.30%,± 2.6%
"Martin County, Minnesota",4%,± 1.1%
"Martin County, North Carolina",12.20%,± 2.2%
"Martin County, Texas",5.90%,± 3.3%
"Martinsville city, Virginia",8%,± 1.7%
"Mason County, Illinois",5.60%,± 1.1%
"Mason County, Kentucky",7.70%,± 1.9%
"Mason County, Michigan",4.70%,± 0.8%
"Mason County, Texas",8.50%,± 2.9%
"Mason County, Washington",6.80%,± 1%
"Mason County, West Virginia",8.80%,± 1.6%
"Massac County, Illinois",7.40%,± 2.1%
"Matagorda County, Texas",8.60%,± 1.7%
"Matanuska-Susitna Borough, Alaska",4%,± 0.4%
"Mathews County, Virginia",5.30%,± 2.6%
"Maui County, Hawaii",4.10%,± 0.6%
"Maunabo Municipio, Puerto Rico",7.20%,± 3.1%
"Maury County, Tennessee",4.90%,± 0.7%
"Maverick County, Texas",15.60%,± 2.7%
"Mayagüez Municipio, Puerto Rico",9.20%,± 0.9%
"Mayes County, Oklahoma",7.60%,± 1%
"McClain County, Oklahoma",8.50%,± 1.1%
"McCone County, Montana",2.20%,± 1.1%
"McCook County, South Dakota",2.70%,± 1%
"McCormick County, South Carolina",9.70%,± 1.9%
"McCracken County, Kentucky",5.20%,± 0.9%
"McCreary County, Kentucky",12%,± 2.3%
"McCulloch County, Texas",10.30%,± 4.5%
"McCurtain County, Oklahoma",9.80%,± 1%
"McDonald County, Missouri",11.10%,± 1.8%
"McDonough County, Illinois",3.80%,± 0.8%
"McDowell County, North Carolina",9.80%,± 1.4%
"McDowell County, West Virginia",14.40%,± 2.8%
"McDuffie County, Georgia",11.40%,± 2.4%
"McHenry County, Illinois",3.60%,± 0.3%
"McHenry County, North Dakota",5.50%,± 1.5%
"McIntosh County, Georgia",14.40%,± 3%
"McIntosh County, North Dakota",4%,± 1.5%
"McIntosh County, Oklahoma",9.50%,± 1.6%
"McKean County, Pennsylvania",4.60%,± 0.6%
"McKenzie County, North Dakota",5.70%,± 1.8%
"McKinley County, New Mexico",12.20%,± 0.9%
"McLean County, Illinois",2.80%,± 0.4%
"McLean County, Kentucky",4.60%,± 1.5%
"McLean County, North Dakota",3.70%,± 0.9%
"McLennan County, Texas",7.90%,± 0.5%
"McLeod County, Minnesota",4.80%,± 1%
"McMinn County, Tennessee",8.50%,± 1.4%
"McMullen County, Texas",6.50%,± 5.4%
"McNairy County, Tennessee",9.30%,± 1.4%
"McPherson County, Kansas",3%,± 0.9%
"McPherson County, Nebraska",4.70%,± 4.9%
"McPherson County, South Dakota",6.40%,± 2.8%
"Meade County, Kansas",7.20%,± 2.5%
"Meade County, Kentucky",7.20%,± 1.3%
"Meade County, South Dakota",3.20%,± 1.2%
"Meagher County, Montana",2.50%,± 1.6%
"Mecklenburg County, North Carolina",4.40%,± 0.2%
"Mecklenburg County, Virginia",8.20%,± 1.2%
"Mecosta County, Michigan",5.70%,± 0.7%
"Medina County, Ohio",3.50%,± 0.4%
"Medina County, Texas",8.30%,± 1.6%
"Meeker County, Minnesota",4.40%,± 0.7%
"Meigs County, Ohio",10.10%,± 2.1%
"Meigs County, Tennessee",11.50%,± 2.3%
"Mellette County, South Dakota",13%,± 4.4%
"Menard County, Illinois",4%,± 1.4%
"Menard County, Texas",13.20%,± 7.8%
"Mendocino County, California",7%,± 0.9%
"Menifee County, Kentucky",9%,± 2.5%
"Menominee County, Michigan",5%,± 0.9%
"Menominee County, Wisconsin",3%,± 1.5%
"Merced County, California",11.80%,± 0.8%
"Mercer County, Illinois",5.50%,± 1.2%
"Mercer County, Kentucky",5.40%,± 1.4%
"Mercer County, Missouri",6.80%,± 2.6%
"Mercer County, New Jersey",5.70%,± 0.5%
"Mercer County, North Dakota",6%,± 1.9%
"Mercer County, Ohio",5.80%,± 0.9%
"Mercer County, Pennsylvania",6.30%,± 0.7%
"Mercer County, West Virginia",9.10%,± 1.3%
"Meriwether County, Georgia",12.80%,± 2.5%
"Merrick County, Nebraska",4.90%,± 1.7%
"Merrimack County, New Hampshire",4.50%,± 0.5%
"Mesa County, Colorado",5.80%,± 0.7%
"Metcalfe County, Kentucky",7.80%,± 2.1%
"Miami County, Indiana",8.70%,± 1.3%
"Miami County, Kansas",2.90%,± 1%
"Miami County, Ohio",5.70%,± 0.8%
"Miami-Dade County, Florida",8.90%,± 0.2%
"Middlesex County, Massachusetts",3.20%,± 0.1%
"Middlesex County, New Jersey",5.20%,± 0.3%
"Middlesex County, Virginia",7.40%,± 2.2%
"Midland County, Michigan",3.70%,± 0.5%
"Midland County, Texas",8.10%,± 0.9%
"Mifflin County, Pennsylvania",10.60%,± 1.4%
"Milam County, Texas",7.30%,± 1.5%
"Millard County, Utah",6.20%,± 1.6%
"Mille Lacs County, Minnesota",7.40%,± 1.1%
"Miller County, Arkansas",9%,± 1.7%
"Miller County, Georgia",11.20%,± 3.2%
"Miller County, Missouri",8.70%,± 1.5%
"Mills County, Iowa",3.70%,± 1.3%
"Mills County, Texas",6.70%,± 2.4%
"Milwaukee County, Wisconsin",6.60%,± 0.3%
"Miner County, South Dakota",4.60%,± 2.7%
"Mineral County, Colorado",2.20%,± 1.3%
"Mineral County, Montana",4.70%,± 1.4%
"Mineral County, Nevada",7.50%,± 3.1%
"Mineral County, West Virginia",5.20%,± 1.2%
"Mingo County, West Virginia",15.40%,± 2.4%
"Minidoka County, Idaho",8.50%,± 2.3%
"Minnehaha County, South Dakota",4%,± 0.5%
"Missaukee County, Michigan",7.30%,± 0.9%
"Mississippi County, Arkansas",10.40%,± 1.6%
"Mississippi County, Missouri",14%,± 2.2%
"Missoula County, Montana",2.30%,± 0.4%
"Mitchell County, Georgia",11.30%,± 1.8%
"Mitchell County, Iowa",4.20%,± 1.2%
"Mitchell County, Kansas",3.60%,± 1.6%
"Mitchell County, North Carolina",6.50%,± 1.7%
"Mitchell County, Texas",9.20%,± 2.9%
"Mobile County, Alabama",9.10%,± 0.5%
"Moca Municipio, Puerto Rico",8.50%,± 1.4%
"Modoc County, California",6.70%,± 2%
"Moffat County, Colorado",7.60%,± 2.3%
"Mohave County, Arizona",8.70%,± 0.7%
"Moniteau County, Missouri",6.50%,± 1.4%
"Monmouth County, New Jersey",3.40%,± 0.2%
"Mono County, California",6.40%,± 2.7%
"Monona County, Iowa",5.10%,± 1.4%
"Monongalia County, West Virginia",4.30%,± 0.7%
"Monroe County, Alabama",12.80%,± 2.2%
"Monroe County, Arkansas",12.80%,± 3.1%
"Monroe County, Florida",4.20%,± 0.6%
"Monroe County, Georgia",8.20%,± 1.9%
"Monroe County, Illinois",3.70%,± 1.1%
"Monroe County, Indiana",4.20%,± 0.6%
"Monroe County, Iowa",4.40%,± 2.1%
"Monroe County, Kentucky",9.80%,± 1.7%
"Monroe County, Michigan",6.50%,± 0.7%
"Monroe County, Mississippi",8.90%,± 1.4%
"Monroe County, Missouri",6.50%,± 1.8%
"Monroe County, New York",5.40%,± 0.3%
"Monroe County, Ohio",8.10%,± 1.6%
"Monroe County, Pennsylvania",7.10%,± 0.7%
"Monroe County, Tennessee",7.70%,± 1.5%
"Monroe County, West Virginia",6.20%,± 2%
"Monroe County, Wisconsin",4.60%,± 0.7%
"Montague County, Texas",7.40%,± 1.6%
"Montcalm County, Michigan",8.50%,± 0.8%
"Monterey County, California",9.40%,± 0.5%
"Montezuma County, Colorado",6.60%,± 1.6%
"Montgomery County, Alabama",8.40%,± 0.7%
"Montgomery County, Arkansas",8.40%,± 2.1%
"Montgomery County, Georgia",11%,± 2.2%
"Montgomery County, Illinois",7.70%,± 1.1%
"Montgomery County, Indiana",8.20%,± 1.1%
"Montgomery County, Iowa",6.20%,± 1.7%
"Montgomery County, Kansas",7.40%,± 1.1%
"Montgomery County, Kentucky",8.30%,± 1.7%
"Montgomery County, Maryland",3.80%,± 0.2%
"Montgomery County, Mississippi",17.30%,± 3.8%
"Montgomery County, Missouri",8.60%,± 1.6%
"Montgomery County, New York",7.10%,± 0.9%
"Montgomery County, North Carolina",11.20%,± 2%
"Montgomery County, Ohio",6%,± 0.3%
"Montgomery County, Pennsylvania",3.30%,± 0.2%
"Montgomery County, Tennessee",4.10%,± 0.6%
"Montgomery County, Texas",5.90%,± 0.5%
"Montgomery County, Virginia",3.50%,± 0.6%
"Montmorency County, Michigan",9.70%,± 1.9%
"Montour County, Pennsylvania",4.50%,± 1.2%
"Montrose County, Colorado",5.50%,± 0.9%
"Moody County, South Dakota",2.80%,± 1%
"Moore County, North Carolina",4.40%,± 0.7%
"Moore County, Tennessee",8.30%,± 3.2%
"Moore County, Texas",10.70%,± 2.7%
"Mora County, New Mexico",2.80%,± 2%
"Morehouse Parish, Louisiana",12.60%,± 1.8%
"Morgan County, Alabama",8.80%,± 0.9%
"Morgan County, Colorado",7.60%,± 1.6%
"Morgan County, Georgia",6.60%,± 1.5%
"Morgan County, Illinois",7.90%,± 1.4%
"Morgan County, Indiana",8.50%,± 1%
"Morgan County, Kentucky",11.60%,± 1.8%
"Morgan County, Missouri",9%,± 2%
"Morgan County, Ohio",10.50%,± 2.2%
"Morgan County, Tennessee",12.10%,± 1.7%
"Morgan County, Utah",1.10%,± 0.9%
"Morgan County, West Virginia",8.90%,± 2.3%
"Morovis Municipio, Puerto Rico",8.40%,± 2%
"Morrill County, Nebraska",7.60%,± 2.5%
"Morris County, Kansas",5.40%,± 1.6%
"Morris County, New Jersey",2.60%,± 0.2%
"Morris County, Texas",8%,± 2%
"Morrison County, Minnesota",5.30%,± 0.9%
"Morrow County, Ohio",6.20%,± 1.2%
"Morrow County, Oregon",12.80%,± 2.5%
"Morton County, Kansas",3.60%,± 2.1%
"Morton County, North Dakota",3.30%,± 1.1%
"Motley County, Texas",9.60%,± 3.7%
"Moultrie County, Illinois",4.80%,± 1.5%
"Mountrail County, North Dakota",7.40%,± 2.2%
"Mower County, Minnesota",4.40%,± 0.8%
"Muhlenberg County, Kentucky",10.80%,± 1.5%
"Multnomah County, Oregon",4.10%,± 0.3%
"Murray County, Georgia",13.50%,± 1.9%
"Murray County, Minnesota",5.30%,± 1.2%
"Murray County, Oklahoma",9.40%,± 2%
"Muscatine County, Iowa",6.30%,± 1.1%
"Muscogee County, Georgia",7.80%,± 0.8%
"Muskegon County, Michigan",5.50%,± 0.6%
"Muskingum County, Ohio",6.80%,± 0.7%
"Muskogee County, Oklahoma",9.20%,± 1.1%
"Musselshell County, Montana",7.30%,± 2.7%
"Nacogdoches County, Texas",7.50%,± 0.9%
"Naguabo Municipio, Puerto Rico",6.80%,± 2.2%
"Nance County, Nebraska",5%,± 1.9%
"Nantucket County, Massachusetts",0.90%,± 0.7%
"Napa County, California",5.80%,± 0.5%
"Naranjito Municipio, Puerto Rico",10.10%,± 2.2%
"Nash County, North Carolina",9.30%,± 1.2%
"Nassau County, Florida",6%,± 1%
"Nassau County, New York",3.70%,± 0.2%
"Natchitoches Parish, Louisiana",9.80%,± 1.3%
"Natrona County, Wyoming",4.40%,± 0.8%
"Naugatuck Valley Planning Region, Connecticut",5.20%,± 0.4%
"Navajo County, Arizona",9.40%,± 0.9%
"Navarro County, Texas",9.60%,± 1.4%
"Nelson County, Kentucky",5.50%,± 1%
"Nelson County, North Dakota",3.50%,± 1.4%
"Nelson County, Virginia",9.90%,± 2.7%
"Nemaha County, Kansas",3.50%,± 1.1%
"Nemaha County, Nebraska",6.60%,± 2.4%
"Neosho County, Kansas",6.40%,± 1.7%
"Neshoba County, Mississippi",12.20%,± 1.8%
"Ness County, Kansas",5.50%,± 2.8%
"Nevada County, Arkansas",5.80%,± 2.4%
"Nevada County, California",3.30%,± 0.6%
"New Castle County, Delaware",4.60%,± 0.3%
"New Hanover County, North Carolina",4.10%,± 0.4%
"New Kent County, Virginia",4.80%,± 1.3%
"New Madrid County, Missouri",11.40%,± 2.3%
"New York County, New York",5.40%,± 0.3%
"Newaygo County, Michigan",7.50%,± 0.7%
"Newberry County, South Carolina",9.30%,± 1.5%
"Newport County, Rhode Island",3.10%,± 0.4%
"Newport News city, Virginia",5.40%,± 0.7%
"Newton County, Arkansas",11.30%,± 2.5%
"Newton County, Georgia",7%,± 0.8%
"Newton County, Indiana",8.40%,± 2.1%
"Newton County, Mississippi",9.80%,± 1.9%
"Newton County, Missouri",6.60%,± 0.9%
"Newton County, Texas",13.50%,± 3.1%
"Nez Perce County, Idaho",4.50%,± 1%
"Niagara County, New York",5.90%,± 0.6%
"Nicholas County, Kentucky",13%,± 3.8%
"Nicholas County, West Virginia",7.50%,± 1.6%
"Nicollet County, Minnesota",3.50%,± 0.7%
"Niobrara County, Wyoming",5.20%,± 4.1%
"Noble County, Indiana",7.80%,± 1%
"Noble County, Ohio",11.60%,± 2.1%
"Noble County, Oklahoma",6.60%,± 1.6%
"Nobles County, Minnesota",5.80%,± 1.4%
"Nodaway County, Missouri",4%,± 0.9%
"Nolan County, Texas",9.30%,± 2%
"Nome Census Area, Alaska",8.50%,± 1.5%
"Norfolk city, Virginia",7.50%,± 0.6%
"Norfolk County, Massachusetts",2.80%,± 0.2%
"Norman County, Minnesota",4.30%,± 1%
"North Slope Borough, Alaska",6.50%,± 1.5%
"Northampton County, North Carolina",10.80%,± 1.5%
"Northampton County, Pennsylvania",5.40%,± 0.5%
"Northampton County, Virginia",7.20%,± 1.5%
"Northeastern Connecticut Planning Region, Connecticut",5.90%,± 0.7%
"Northumberland County, Pennsylvania",7.40%,± 0.7%
"Northumberland County, Virginia",6.70%,± 2.4%
"Northwest Arctic Borough, Alaska",9.90%,± 1.2%
"Northwest Hills Planning Region, Connecticut",3.80%,± 0.5%
"Norton city, Virginia",6.10%,± 3.1%
"Norton County, Kansas",7.20%,± 2.2%
"Nottoway County, Virginia",10.50%,± 2.6%
"Nowata County, Oklahoma",7.60%,± 1.4%
"Noxubee County, Mississippi",11.90%,± 3.1%
"Nuckolls County, Nebraska",6%,± 3.1%
"Nueces County, Texas",8.90%,± 0.6%
"Nye County, Nevada",8.60%,± 1.3%
"O'Brien County, Iowa",7.10%,± 2.1%
"Oakland County, Michigan",3.40%,± 0.2%
"Obion County, Tennessee",9.70%,± 1.6%
"Ocean County, New Jersey",4.40%,± 0.3%
"Oceana County, Michigan",6.50%,± 0.9%
"Ochiltree County, Texas",11.30%,± 3.2%
"Oconee County, Georgia",3.10%,± 0.8%
"Oconee County, South Carolina",9.20%,± 1%
"Oconto County, Wisconsin",5.90%,± 0.8%
"Ogemaw County, Michigan",9.80%,± 1.3%
"Oglala Lakota County, South Dakota",23.80%,± 4.7%
"Ogle County, Illinois",5.40%,± 0.8%
"Oglethorpe County, Georgia",8.30%,± 1.5%
"Ohio County, Indiana",6%,± 1.8%
"Ohio County, Kentucky",9.90%,± 2%
"Ohio County, West Virginia",5.40%,± 1.1%
"Okaloosa County, Florida",4.20%,± 0.5%
"Okanogan County, Washington",7.10%,± 1.1%
"Okeechobee County, Florida",12.80%,± 1.3%
"Okfuskee County, Oklahoma",12.10%,± 1.6%
"Oklahoma County, Oklahoma",6.50%,± 0.3%
"Okmulgee County, Oklahoma",9.70%,± 0.9%
"Oktibbeha County, Mississippi",5.70%,± 1.3%
"Oldham County, Kentucky",4%,± 0.5%
"Oldham County, Texas",7.10%,± 2.7%
"Oliver County, North Dakota",3.30%,± 1.8%
"Olmsted County, Minnesota",2.60%,± 0.4%
"Oneida County, Idaho",6.20%,± 3.1%
"Oneida County, New York",6.40%,± 0.5%
"Oneida County, Wisconsin",3.70%,± 0.5%
"Onondaga County, New York",5.80%,± 0.3%
"Onslow County, North Carolina",5.60%,± 0.7%
"Ontario County, New York",4%,± 0.5%
"Ontonagon County, Michigan",5.30%,± 1.2%
"Orange County, California",5.90%,± 0.2%
"Orange County, Florida",6.20%,± 0.3%
"Orange County, Indiana",9.40%,± 1.9%
"Orange County, New York",6.50%,± 0.4%
"Orange County, North Carolina",3.60%,± 0.5%
"Orange County, Texas",8.20%,± 1%
"Orange County, Vermont",4.20%,± 0.6%
"Orange County, Virginia",6.70%,± 1.2%
"Orangeburg County, South Carolina",11.70%,± 1.2%
"Oregon County, Missouri",8.20%,± 2.7%
"Orleans County, New York",9.70%,± 1.2%
"Orleans County, Vermont",5.40%,± 0.9%
"Orleans Parish, Louisiana",7.90%,± 0.4%
"Orocovis Municipio, Puerto Rico",9.80%,± 1.8%
"Osage County, Kansas",5.80%,± 1.1%
"Osage County, Missouri",4.30%,± 1.2%
"Osage County, Oklahoma",8.10%,± 0.9%
"Osborne County, Kansas",2.20%,± 0.9%
"Osceola County, Florida",6.80%,± 0.7%
"Osceola County, Iowa",7.20%,± 1.8%
"Osceola County, Michigan",7%,± 0.8%
"Oscoda County, Michigan",9.10%,± 1.8%
"Oswego County, New York",7.60%,± 0.7%
"Otero County, Colorado",8.20%,± 2.6%
"Otero County, New Mexico",7.90%,± 1.3%
"Otoe County, Nebraska",4.10%,± 1.1%
"Otsego County, Michigan",3.90%,± 0.8%
"Otsego County, New York",5.40%,± 0.8%
"Ottawa County, Kansas",4.10%,± 1.3%
"Ottawa County, Michigan",3.90%,± 0.4%
"Ottawa County, Ohio",5.50%,± 0.9%
"Ottawa County, Oklahoma",9.30%,± 0.7%
"Otter Tail County, Minnesota",4.20%,± 0.5%
"Ouachita County, Arkansas",9.80%,± 1.8%
"Ouachita Parish, Louisiana",8.80%,± 0.8%
"Ouray County, Colorado",1.90%,± 1.4%
"Outagamie County, Wisconsin",3.70%,± 0.4%
"Overton County, Tennessee",9.40%,± 1.6%
"Owen County, Indiana",9.50%,± 1.8%
"Owen County, Kentucky",9.10%,± 2.7%
"Owsley County, Kentucky",12.70%,± 5%
"Owyhee County, Idaho",9.60%,± 2.4%
"Oxford County, Maine",6.60%,± 1%
"Ozark County, Missouri",12.40%,± 3%
"Ozaukee County, Wisconsin",1.70%,± 0.3%
"Pacific County, Washington",5.50%,± 1.3%
"Page County, Iowa",5.20%,± 1.2%
"Page County, Virginia",11.70%,± 2.1%
"Palm Beach County, Florida",5.40%,± 0.2%
"Palo Alto County, Iowa",4.80%,± 1.2%
"Palo Pinto County, Texas",7.40%,± 1.2%
"Pamlico County, North Carolina",6.70%,± 1.5%
"Panola County, Mississippi",11.70%,± 2%
"Panola County, Texas",11.80%,± 2.4%
"Park County, Colorado",1.60%,± 0.6%
"Park County, Montana",2.50%,± 0.9%
"Park County, Wyoming",3.50%,± 1%
"Parke County, Indiana",7.20%,± 1.9%
"Parker County, Texas",6.30%,± 0.7%
"Parmer County, Texas",9.90%,± 3%
"Pasco County, Florida",6.40%,± 0.3%
"Pasquotank County, North Carolina",7.10%,± 1.3%
"Passaic County, New Jersey",6.30%,± 0.4%
"Patillas Municipio, Puerto Rico",5.90%,± 1.4%
"Patrick County, Virginia",8.70%,± 2.1%
"Paulding County, Georgia",6.80%,± 0.8%
"Paulding County, Ohio",7.80%,± 1.4%
"Pawnee County, Kansas",7.90%,± 1.9%
"Pawnee County, Nebraska",6.20%,± 2.2%
"Pawnee County, Oklahoma",8.90%,± 1.3%
"Payette County, Idaho",8.60%,± 1.9%
"Payne County, Oklahoma",4.50%,± 0.7%
"Peach County, Georgia",8.40%,± 1.9%
"Pearl River County, Mississippi",8.10%,± 1.2%
"Pecos County, Texas",13.80%,± 2.9%
"Pembina County, North Dakota",4.30%,± 0.9%
"Pemiscot County, Missouri",10.40%,± 1.8%
"Pend Oreille County, Washington",5.20%,± 1.3%
"Pender County, North Carolina",6.60%,± 1%
"Pendleton County, Kentucky",10.20%,± 2.3%
"Pendleton County, West Virginia",10.60%,± 3.2%
"Pennington County, Minnesota",3.50%,± 0.9%
"Pennington County, South Dakota",3.70%,± 0.5%
"Penobscot County, Maine",4.30%,± 0.5%
"Peñuelas Municipio, Puerto Rico",9.70%,± 2.2%
"Peoria County, Illinois",4.90%,± 0.5%
"Pepin County, Wisconsin",3.60%,± 0.7%
"Perkins County, Nebraska",4.30%,± 1.5%
"Perkins County, South Dakota",5.60%,± 2%
"Perquimans County, North Carolina",9.80%,± 2.4%
"Perry County, Alabama",13.80%,± 4.3%
"Perry County, Arkansas",5.60%,± 1.4%
"Perry County, Illinois",11.90%,± 1.6%
"Perry County, Indiana",6.80%,± 1%
"Perry County, Kentucky",12%,± 2.1%
"Perry County, Mississippi",8.50%,± 2.5%
"Perry County, Missouri",8.90%,± 1.7%
"Perry County, Ohio",10.10%,± 1.7%
"Perry County, Pennsylvania",7.50%,± 0.9%
"Perry County, Tennessee",8%,± 2.4%
"Pershing County, Nevada",13.10%,± 3.3%
"Person County, North Carolina",7.90%,± 1.4%
