Geography,Total—Civilian employed population 16 years and over—Estimate,MoE
"Missaukee County, Michigan","6,547",± 210
"Mississippi County, Arkansas","16,965",± 623
"Mississippi County, Missouri","4,335",± 341
"Missoula County, Montana","66,207","± 1,101"
"Mitchell County, Georgia","7,811",± 590
"Mitchell County, Iowa","5,673",± 178
"Mitchell County, Kansas","2,705",± 196
"Mitchell County, North Carolina","6,538",± 460
"Mitchell County, Texas","3,802",± 308
"Mobile County, Alabama","176,289","± 2,106"
"Moca Municipio, Puerto Rico","11,273",± 836
"Modoc County, California","3,188",± 303
"Moffat County, Colorado","6,110",± 428
"Mohave County, Arizona","75,865","± 1,528"
"Moniteau County, Missouri","6,719",± 226
"Monmouth County, New Jersey","331,132","± 2,451"
"Mono County, California","7,279",± 424
"Monona County, Iowa","4,152",± 167
"Monongalia County, West Virginia","54,386","± 1,327"
"Monroe County, Alabama","6,220",± 458
"Monroe County, Arkansas","2,318",± 219
"Monroe County, Florida","42,210",± 772
"Monroe County, Georgia","13,152",± 569
"Monroe County, Illinois","18,704",± 412
"Monroe County, Indiana","70,601","± 1,421"
"Monroe County, Iowa","3,604",± 236
"Monroe County, Kentucky","4,932",± 282
"Monroe County, Michigan","71,039","± 1,217"
"Monroe County, Mississippi","13,621",± 577
"Monroe County, Missouri","3,599",± 204
"Monroe County, New York","373,267","± 2,990"
"Monroe County, Ohio","5,418",± 308
"Monroe County, Pennsylvania","79,168","± 1,585"
"Monroe County, Tennessee","18,236",± 697
"Monroe County, West Virginia","4,632",± 461
"Monroe County, Wisconsin","21,789",± 502
"Montague County, Texas","8,288",± 442
"Montcalm County, Michigan","28,771",± 687
"Monterey County, California","187,502","± 2,016"
"Montezuma County, Colorado","10,871",± 576
"Montgomery County, Alabama","98,419","± 1,931"
"Montgomery County, Arkansas","3,249",± 227
"Montgomery County, Georgia","3,438",± 209
"Montgomery County, Illinois","11,520",± 394
"Montgomery County, Indiana","18,659",± 533
"Montgomery County, Iowa","4,757",± 227
"Montgomery County, Kansas","13,703",± 417
"Montgomery County, Kentucky","11,632",± 578
"Montgomery County, Maryland","560,749","± 3,193"
"Montgomery County, Mississippi","3,519",± 302
"Montgomery County, Missouri","5,130",± 251
"Montgomery County, New York","22,079",± 544
"Montgomery County, North Carolina","10,947",± 531
"Montgomery County, Ohio","252,061","± 2,446"
"Montgomery County, Pennsylvania","451,495","± 3,084"
"Montgomery County, Tennessee","94,591","± 1,857"
"Montgomery County, Texas","301,015","± 3,749"
"Montgomery County, Virginia","46,404","± 1,420"
"Montmorency County, Michigan","3,179",± 189
"Montour County, Pennsylvania","8,711",± 306
"Montrose County, Colorado","18,575",± 633
"Moody County, South Dakota","3,076",± 125
"Moore County, North Carolina","41,529",± 973
"Moore County, Tennessee","2,967",± 261
"Moore County, Texas","9,713",± 440
"Mora County, New Mexico","1,312",± 272
"Morehouse Parish, Louisiana","9,371",± 498
"Morgan County, Alabama","55,092","± 1,075"
"Morgan County, Colorado","13,810",± 477
"Morgan County, Georgia","9,855",± 399
"Morgan County, Illinois","14,292",± 607
"Morgan County, Indiana","34,822",± 665
"Morgan County, Kentucky","4,367",± 298
"Morgan County, Missouri","7,754",± 482
"Morgan County, Ohio","5,475",± 295
"Morgan County, Tennessee","7,312",± 526
"Morgan County, Utah","5,404",± 236
"Morgan County, West Virginia","7,791",± 440
"Morovis Municipio, Puerto Rico","9,007",± 542
"Morrill County, Nebraska","2,166",± 164
"Morris County, Kansas","2,624",± 172
"Morris County, New Jersey","267,774","± 2,135"
"Morris County, Texas","4,972",± 298
"Morrison County, Minnesota","16,605",± 290
"Morrow County, Ohio","17,287",± 630
"Morrow County, Oregon","5,141",± 249
"Morton County, Kansas","1,180",± 119
"Morton County, North Dakota","18,208",± 570
"Motley County, Texas",591,± 101
"Moultrie County, Illinois","6,597",± 242
"Mountrail County, North Dakota","4,387",± 217
"Mower County, Minnesota","19,494",± 446
"Muhlenberg County, Kentucky","12,526",± 636
"Multnomah County, Oregon","448,256","± 2,742"
"Murray County, Georgia","17,895",± 627
"Murray County, Minnesota","4,031",± 111
"Murray County, Oklahoma","5,950",± 310
"Muscatine County, Iowa","21,262",± 530
"Muscogee County, Georgia","82,874","± 1,852"
"Muskegon County, Michigan","77,082","± 1,384"
"Muskingum County, Ohio","39,534",± 860
"Muskogee County, Oklahoma","26,286",± 640
"Musselshell County, Montana","1,975",± 182
"Nacogdoches County, Texas","28,508",± 811
"Naguabo Municipio, Puerto Rico","6,777",± 711
"Nance County, Nebraska","1,660",± 88
"Nantucket County, Massachusetts","7,530",± 424
"Napa County, California","68,399","± 1,018"
"Naranjito Municipio, Puerto Rico","8,073",± 795
"Nash County, North Carolina","43,173","± 1,160"
"Nassau County, Florida","41,336","± 1,044"
"Nassau County, New York","704,740","± 3,941"
"Natchitoches Parish, Louisiana","14,127",± 522
"Natrona County, Wyoming","40,661",± 843
"Naugatuck Valley Planning Region, Connecticut","227,485","± 2,501"
"Navajo County, Arizona","33,969",± 944
"Navarro County, Texas","22,860",± 792
"Nelson County, Kentucky","22,467",± 649
"Nelson County, North Dakota","1,366",± 98
"Nelson County, Virginia","6,843",± 414
"Nemaha County, Kansas","5,124",± 191
"Nemaha County, Nebraska","3,263",± 194
"Neosho County, Kansas","7,070",± 412
"Neshoba County, Mississippi","11,014",± 561
"Ness County, Kansas","1,421",± 84
"Nevada County, Arkansas","3,119",± 272
"Nevada County, California","45,064","± 1,138"
"New Castle County, Delaware","288,800","± 2,595"
"New Hanover County, North Carolina","117,011","± 1,967"
"New Kent County, Virginia","12,157",± 512
"New Madrid County, Missouri","6,490",± 309
"New York County, New York","888,836","± 5,679"
"Newaygo County, Michigan","21,560",± 450
"Newberry County, South Carolina","16,966",± 669
"Newport County, Rhode Island","42,081",± 854
"Newport News city, Virginia","84,879","± 1,625"
"Newton County, Arkansas","2,898",± 272
"Newton County, Georgia","52,737","± 1,502"
"Newton County, Indiana","6,086",± 388
"Newton County, Mississippi","8,453",± 399
"Newton County, Missouri","26,623",± 641
"Newton County, Texas","4,378",± 346
"Nez Perce County, Idaho","19,812",± 633
"Niagara County, New York","100,397","± 1,228"
"Nicholas County, Kentucky","2,969",± 242
"Nicholas County, West Virginia","9,174",± 573
"Nicollet County, Minnesota","19,195",± 451
"Niobrara County, Wyoming","1,104",± 110
"Noble County, Indiana","22,950",± 605
"Noble County, Ohio","4,196",± 417
"Noble County, Oklahoma","4,784",± 237
"Nobles County, Minnesota","10,712",± 284
"Nodaway County, Missouri","10,008",± 305
"Nolan County, Texas","6,291",± 299
"Nome Census Area, Alaska","3,773",± 141
"Norfolk city, Virginia","102,606","± 1,693"
"Norfolk County, Massachusetts","388,268","± 2,755"
"Norman County, Minnesota","3,086",± 101
"North Slope Borough, Alaska","6,429",± 249
"Northampton County, North Carolina","6,852",± 423
"Northampton County, Pennsylvania","155,896","± 1,825"
"Northampton County, Virginia","4,949",± 320
"Northeastern Connecticut Planning Region, Connecticut","48,377",± 964
"Northumberland County, Pennsylvania","41,461",± 664
"Northumberland County, Virginia","4,351",± 398
"Northwest Arctic Borough, Alaska","2,632",± 193
"Northwest Hills Planning Region, Connecticut","57,987","± 1,048"
"Norton city, Virginia","1,505",± 241
"Norton County, Kansas","2,162",± 138
"Nottoway County, Virginia","6,067",± 309
"Nowata County, Oklahoma","3,990",± 184
"Noxubee County, Mississippi","3,877",± 304
"Nuckolls County, Nebraska","2,160",± 155
"Nueces County, Texas","160,537","± 2,010"
"Nye County, Nevada","16,775",± 978
"O'Brien County, Iowa","6,949",± 370
"Oakland County, Michigan","659,664","± 3,322"
"Obion County, Tennessee","13,360",± 501
"Ocean County, New Jersey","276,387","± 2,644"
"Oceana County, Michigan","11,417",± 330
"Ochiltree County, Texas","4,880",± 238
"Oconee County, Georgia","20,702",± 606
"Oconee County, South Carolina","32,079",± 889
"Oconto County, Wisconsin","19,178",± 353
"Ogemaw County, Michigan","7,697",± 285
"Oglala Lakota County, South Dakota","3,137",± 451
"Ogle County, Illinois","24,893",± 619
"Oglethorpe County, Georgia","7,068",± 393
"Ohio County, Indiana","2,828",± 154
"Ohio County, Kentucky","10,000",± 559
"Ohio County, West Virginia","18,826",± 636
"Okaloosa County, Florida","94,566","± 1,665"
"Okanogan County, Washington","17,714",± 531
"Okeechobee County, Florida","15,371",± 641
"Okfuskee County, Oklahoma","3,879",± 198
"Oklahoma County, Oklahoma","381,875","± 3,183"
"Okmulgee County, Oklahoma","14,956",± 339
"Oktibbeha County, Mississippi","22,904",± 828
"Oldham County, Kentucky","32,761",± 726
"Oldham County, Texas",882,± 104
"Oliver County, North Dakota",780,± 87
"Olmsted County, Minnesota","86,883",± 974
"Oneida County, Idaho","2,138",± 143
"Oneida County, New York","102,865","± 1,449"
"Oneida County, Wisconsin","16,809",± 528
"Onondaga County, New York","225,907","± 2,208"
"Onslow County, North Carolina","67,951","± 1,915"
"Ontario County, New York","55,310",± 860
"Ontonagon County, Michigan","2,020",± 120
"Orange County, California","1,598,126","± 5,975"
"Orange County, Florida","729,283","± 5,602"
"Orange County, Indiana","9,369",± 291
"Orange County, New York","183,933","± 2,069"
"Orange County, North Carolina","72,303","± 1,066"
"Orange County, Texas","38,240",± 951
"Orange County, Vermont","16,063",± 386
"Orange County, Virginia","17,572",± 625
"Orangeburg County, South Carolina","32,571","± 1,129"
"Oregon County, Missouri","3,235",± 199
"Orleans County, New York","17,816",± 525
"Orleans County, Vermont","13,347",± 314
"Orleans Parish, Louisiana","174,333","± 2,289"
"Orocovis Municipio, Puerto Rico","5,349",± 456
"Osage County, Kansas","7,496",± 274
"Osage County, Missouri","6,716",± 244
"Osage County, Oklahoma","19,172",± 437
"Osborne County, Kansas","1,833",± 98
"Osceola County, Florida","191,317","± 2,996"
"Osceola County, Iowa","3,099",± 132
"Osceola County, Michigan","9,014",± 262
"Oscoda County, Michigan","2,768",± 170
"Oswego County, New York","54,486","± 1,115"
"Otero County, Colorado","7,169",± 324
"Otero County, New Mexico","23,086",± 966
"Otoe County, Nebraska","8,154",± 277
"Otsego County, Michigan","11,847",± 380
"Otsego County, New York","27,331",± 711
"Ottawa County, Kansas","2,909",± 133
"Ottawa County, Michigan","153,468","± 1,866"
"Ottawa County, Ohio","19,043",± 548
"Ottawa County, Oklahoma","12,364",± 223
"Otter Tail County, Minnesota","28,208",± 444
"Ouachita County, Arkansas","8,497",± 510
"Ouachita Parish, Louisiana","68,429","± 1,487"
"Ouray County, Colorado","2,193",± 179
"Outagamie County, Wisconsin","102,297","± 1,053"
"Overton County, Tennessee","10,201",± 331
"Owen County, Indiana","9,977",± 500
"Owen County, Kentucky","4,952",± 301
"Owsley County, Kentucky","1,098",± 207
"Owyhee County, Idaho","5,334",± 234
"Oxford County, Maine","26,106",± 880
"Ozark County, Missouri","2,974",± 240
"Ozaukee County, Wisconsin","48,779",± 804
"Pacific County, Washington","8,848",± 477
"Page County, Iowa","6,832",± 344
"Page County, Virginia","10,954",± 542
"Palm Beach County, Florida","699,009","± 4,241"
"Palo Alto County, Iowa","4,493",± 196
"Palo Pinto County, Texas","12,246",± 456
"Pamlico County, North Carolina","4,494",± 273
"Panola County, Mississippi","11,828",± 704
"Panola County, Texas","9,616",± 449
"Park County, Colorado","8,651",± 455
"Park County, Montana","9,098",± 320
"Park County, Wyoming","14,579",± 578
"Parke County, Indiana","6,376",± 322
"Parker County, Texas","72,909","± 1,204"
"Parmer County, Texas","4,712",± 264
"Pasco County, Florida","246,451","± 2,879"
"Pasquotank County, North Carolina","17,817",± 533
"Passaic County, New Jersey","251,821","± 2,329"
"Patillas Municipio, Puerto Rico","4,314",± 362
"Patrick County, Virginia","7,340",± 465
"Paulding County, Georgia","84,122","± 1,539"
"Paulding County, Ohio","8,524",± 366
"Pawnee County, Kansas","2,766",± 243
"Pawnee County, Nebraska","1,119",± 86
"Pawnee County, Oklahoma","6,547",± 206
"Payette County, Idaho","10,781",± 506
"Payne County, Oklahoma","37,038","± 1,061"
"Peach County, Georgia","11,891",± 607
"Pearl River County, Mississippi","23,210","± 1,084"
"Pecos County, Texas","6,031",± 283
"Pembina County, North Dakota","3,195",± 136
"Pemiscot County, Missouri","5,572",± 327
"Pend Oreille County, Washington","4,932",± 247
"Pender County, North Carolina","27,737",± 824
"Pendleton County, Kentucky","6,688",± 389
"Pendleton County, West Virginia","2,471",± 212
"Pennington County, Minnesota","7,487",± 195
"Pennington County, South Dakota","54,310","± 1,135"
"Penobscot County, Maine","73,912","± 1,175"
"Peñuelas Municipio, Puerto Rico","5,707",± 378
"Peoria County, Illinois","81,915","± 1,178"
"Pepin County, Wisconsin","3,621",± 94
"Perkins County, Nebraska","1,448",± 85
"Perkins County, South Dakota","1,579",± 122
"Perquimans County, North Carolina","5,120",± 459
"Perry County, Alabama","2,301",± 283
"Perry County, Arkansas","3,840",± 284
"Perry County, Illinois","8,018",± 423
"Perry County, Indiana","8,455",± 396
"Perry County, Kentucky","10,104",± 592
"Perry County, Mississippi","4,019",± 326
"Perry County, Missouri","9,063",± 326
"Perry County, Ohio","15,105",± 633
"Perry County, Pennsylvania","22,346",± 416
"Perry County, Tennessee","3,096",± 318
"Pershing County, Nevada","2,035",± 276
"Person County, North Carolina","18,735",± 606
"Petersburg Borough, Alaska","1,670",± 141
"Petersburg city, Virginia","14,367",± 551
"Petroleum County, Montana",237,± 82
"Pettis County, Missouri","20,167",± 535
"Phelps County, Missouri","19,103",± 641
"Phelps County, Nebraska","4,522",± 164
"Philadelphia County, Pennsylvania","736,737","± 5,955"
"Phillips County, Arkansas","5,654",± 422
"Phillips County, Colorado","2,076",± 185
"Phillips County, Kansas","2,320",± 106
"Phillips County, Montana","1,931",± 152
"Piatt County, Illinois","8,263",± 261
"Pickaway County, Ohio","25,909",± 847
"Pickens County, Alabama","6,945",± 336
"Pickens County, Georgia","15,344",± 703
"Pickens County, South Carolina","60,097","± 1,377"
"Pickett County, Tennessee","1,714",± 231
"Pierce County, Georgia","8,474",± 373
"Pierce County, Nebraska","3,782",± 136
"Pierce County, North Dakota","1,859",± 161
"Pierce County, Washington","438,855","± 3,283"
"Pierce County, Wisconsin","22,937",± 409
"Pike County, Alabama","13,783",± 542
"Pike County, Arkansas","4,238",± 248
"Pike County, Georgia","8,685",± 396
"Pike County, Illinois","6,430",± 243
"Pike County, Indiana","5,571",± 325
"Pike County, Kentucky","19,273",± 807
"Pike County, Mississippi","14,883",± 812
"Pike County, Missouri","6,653",± 370
"Pike County, Ohio","10,313",± 547
"Pike County, Pennsylvania","26,380",± 816
"Pima County, Arizona","462,957","± 3,301"
"Pinal County, Arizona","170,772","± 1,894"
"Pine County, Minnesota","12,919",± 272
"Pinellas County, Florida","460,773","± 2,658"
"Pipestone County, Minnesota","4,503",± 214
"Piscataquis County, Maine","7,145",± 267
"Pitkin County, Colorado","10,499",± 489
"Pitt County, North Carolina","80,853","± 1,723"
"Pittsburg County, Oklahoma","17,248",± 468
"Pittsylvania County, Virginia","25,730",± 806
"Piute County, Utah",578,± 89
"Placer County, California","190,093","± 2,024"
"Plaquemines Parish, Louisiana","10,570",± 471
"Platte County, Missouri","56,698","± 1,164"
"Platte County, Nebraska","17,805",± 448
"Platte County, Wyoming","3,662",± 297
"Pleasants County, West Virginia","3,074",± 184
"Plumas County, California","7,654",± 468
"Plymouth County, Iowa","13,579",± 392
"Plymouth County, Massachusetts","274,636","± 2,719"
"Pocahontas County, Iowa","3,316",± 152
"Pocahontas County, West Virginia","2,571",± 293
"Poinsett County, Arkansas","9,419",± 327
"Pointe Coupee Parish, Louisiana","8,211",± 510
"Polk County, Arkansas","7,664",± 364
"Polk County, Florida","320,223","± 3,335"
"Polk County, Georgia","18,253",± 632
"Polk County, Iowa","261,682","± 2,273"
"Polk County, Minnesota","15,268",± 381
"Polk County, Missouri","13,983",± 557
"Polk County, Nebraska","2,740",± 101
"Polk County, North Carolina","8,553",± 337
"Polk County, Oregon","40,471",± 893
"Polk County, Tennessee","7,328",± 360
"Polk County, Texas","18,317",± 696
"Polk County, Wisconsin","22,277",± 361
"Ponce Municipio, Puerto Rico","37,700","± 1,198"
"Pondera County, Montana","2,641",± 134
"Pontotoc County, Mississippi","13,660",± 501
"Pontotoc County, Oklahoma","17,121",± 417
"Pope County, Arkansas","27,158",± 895
"Pope County, Illinois","1,284",± 138
"Pope County, Minnesota","5,795",± 165
"Poquoson city, Virginia","6,241",± 318
"Portage County, Ohio","83,452","± 1,360"
"Portage County, Wisconsin","37,680",± 670
"Porter County, Indiana","83,577","± 1,388"
"Portsmouth city, Virginia","41,764","± 1,138"
"Posey County, Indiana","12,311",± 429
"Pottawatomie County, Kansas","12,356",± 432
"Pottawatomie County, Oklahoma","29,721",± 582
"Pottawattamie County, Iowa","45,815",± 793
"Potter County, Pennsylvania","6,827",± 217
"Potter County, South Dakota","1,229",± 89
"Potter County, Texas","49,953",± 980
"Powder River County, Montana",910,± 100
"Powell County, Kentucky","4,832",± 394
"Powell County, Montana","2,535",± 158
"Power County, Idaho","3,613",± 234
"Poweshiek County, Iowa","9,220",± 306
"Powhatan County, Virginia","15,352",± 571
"Prairie County, Arkansas","3,561",± 243
"Prairie County, Montana",560,± 91
"Pratt County, Kansas","4,283",± 187
"Preble County, Ohio","19,938",± 446
"Prentiss County, Mississippi","10,477",± 525
"Presidio County, Texas","2,449",± 451
"Presque Isle County, Michigan","4,725",± 212
"Preston County, West Virginia","13,408",± 448
"Price County, Wisconsin","6,172",± 175
"Prince Edward County, Virginia","8,588",± 512
"Prince George County, Virginia","16,431",± 681
"Prince George's County, Maryland","500,565","± 3,293"
"Prince of Wales-Hyder Census Area, Alaska","2,745",± 120
"Prince William County, Virginia","247,709","± 2,282"
"Providence County, Rhode Island","329,536","± 2,988"
"Prowers County, Colorado","5,379",± 256
"Pueblo County, Colorado","70,427","± 1,338"
"Pulaski County, Arkansas","186,621","± 2,666"
"Pulaski County, Georgia","3,787",± 402
"Pulaski County, Illinois","1,778",± 160
"Pulaski County, Indiana","5,988",± 295
"Pulaski County, Kentucky","27,268",± 849
"Pulaski County, Missouri","18,477","± 1,013"
"Pulaski County, Virginia","15,112",± 557
"Pushmataha County, Oklahoma","3,655",± 177
"Putnam County, Florida","25,898",± 851
"Putnam County, Georgia","9,259",± 537
"Putnam County, Illinois","2,684",± 124
"Putnam County, Indiana","16,728",± 567
"Putnam County, Missouri","2,069",± 186
"Putnam County, New York","50,210",± 886
"Putnam County, Ohio","17,247",± 350
"Putnam County, Tennessee","38,060",± 959
"Putnam County, West Virginia","25,765",± 863
"Quay County, New Mexico","3,482",± 318
"Quebradillas Municipio, Puerto Rico","7,442",± 532
"Queen Anne's County, Maryland","26,180",± 667
"Queens County, New York","1,149,568","± 6,032"
"Quitman County, Georgia",525,± 159
"Quitman County, Mississippi","2,187",± 188
"Rabun County, Georgia","6,849",± 448
"Racine County, Wisconsin","96,247","± 1,322"
"Radford city, Virginia","7,936",± 572
"Rains County, Texas","5,144",± 311
"Raleigh County, West Virginia","26,785","± 1,150"
"Ralls County, Missouri","4,637",± 234
"Ramsey County, Minnesota","283,076","± 1,972"
"Ramsey County, North Dakota","5,851",± 271
"Randall County, Texas","73,113","± 1,203"
"Randolph County, Alabama","8,613",± 380
"Randolph County, Arkansas","7,144",± 442
"Randolph County, Georgia","2,452",± 313
"Randolph County, Illinois","12,570",± 418
"Randolph County, Indiana","11,075",± 475
"Randolph County, Missouri","10,649",± 373
"Randolph County, North Carolina","67,217","± 1,425"
"Randolph County, West Virginia","10,621",± 503
"Rankin County, Mississippi","77,270","± 1,441"
"Ransom County, North Dakota","2,679",± 143
"Rapides Parish, Louisiana","55,565","± 1,466"
"Rappahannock County, Virginia","3,573",± 267
"Ravalli County, Montana","20,195",± 768
"Rawlins County, Kansas","1,344",± 101
"Ray County, Missouri","11,026",± 383
"Reagan County, Texas","1,569",± 176
"Real County, Texas",759,± 168
"Red Lake County, Minnesota","1,967",± 78
"Red River County, Texas","4,350",± 281
"Red River Parish, Louisiana","2,915",± 331
"Red Willow County, Nebraska","5,377",± 231
"Redwood County, Minnesota","7,354",± 178
"Reeves County, Texas","6,331",± 491
"Refugio County, Texas","2,613",± 206
"Reno County, Kansas","29,360",± 642
"Rensselaer County, New York","81,004","± 1,182"
"Renville County, Minnesota","7,099",± 197
"Renville County, North Dakota","1,122",± 83
"Republic County, Kansas","2,204",± 134
"Reynolds County, Missouri","2,451",± 182
"Rhea County, Tennessee","13,057",± 637
"Rice County, Kansas","4,388",± 208
"Rice County, Minnesota","33,026",± 693
"Rich County, Utah",981,± 147
"Richardson County, Nebraska","3,768",± 184
"Richland County, Illinois","7,585",± 294
"Richland County, Montana","5,625",± 301
"Richland County, North Dakota","8,509",± 242
"Richland County, Ohio","54,564","± 1,147"
"Richland County, South Carolina","196,460","± 2,666"
"Richland County, Wisconsin","8,037",± 261
"Richland Parish, Louisiana","7,566",± 436
"Richmond city, Virginia","121,796","± 1,713"
"Richmond County, Georgia","86,632","± 1,900"
"Richmond County, New York","226,190","± 2,767"
"Richmond County, North Carolina","17,862","± 1,001"
"Richmond County, Virginia","3,238",± 197
"Riley County, Kansas","35,149","± 1,013"
"Rincón Municipio, Puerto Rico","5,207",± 376
"Ringgold County, Iowa","2,276",± 112
"Rio Arriba County, New Mexico","15,542",± 680
"Rio Blanco County, Colorado","2,900",± 200
"Rio Grande County, Colorado","5,301",± 316
"Río Grande Municipio, Puerto Rico","17,327",± 795
"Ripley County, Indiana","14,628",± 367
"Ripley County, Missouri","4,257",± 323
"Ritchie County, West Virginia","2,886",± 273
"Riverside County, California","1,073,342","± 5,485"
"Roane County, Tennessee","23,668",± 755
"Roane County, West Virginia","4,169",± 375
"Roanoke city, Virginia","46,998","± 1,136"
"Roanoke County, Virginia","47,051","± 1,035"
"Roberts County, South Dakota","4,346",± 154
"Roberts County, Texas",398,± 66
"Robertson County, Kentucky",832,± 106
"Robertson County, Tennessee","35,880",± 926
"Robertson County, Texas","6,690",± 380
"Robeson County, North Carolina","43,618",± 964
"Rock County, Minnesota","4,997",± 165
"Rock County, Nebraska",659,± 81
"Rock County, Wisconsin","82,453","± 1,225"
"Rock Island County, Illinois","66,895","± 1,049"
"Rockbridge County, Virginia","10,181",± 464
"Rockcastle County, Kentucky","6,066",± 308
"Rockdale County, Georgia","43,301","± 1,049"
"Rockingham County, New Hampshire","174,668","± 1,721"
"Rockingham County, North Carolina","39,418","± 1,097"
"Rockingham County, Virginia","41,862",± 791
"Rockland County, New York","148,349","± 1,894"
"Rockwall County, Texas","57,189",± 880
"Roger Mills County, Oklahoma","1,480",± 101
"Rogers County, Oklahoma","46,422",± 725
"Rolette County, North Dakota","4,504",± 282
"Rooks County, Kansas","2,463",± 115
"Roosevelt County, Montana","3,675",± 228
"Roosevelt County, New Mexico","8,526",± 521
"Roscommon County, Michigan","8,120",± 341
"Roseau County, Minnesota","7,875",± 205
"Rosebud County, Montana","3,271",± 162
"Ross County, Ohio","31,793",± 851
"Routt County, Colorado","13,819",± 446
"Rowan County, Kentucky","10,932",± 668
"Rowan County, North Carolina","66,742","± 1,421"
"Runnels County, Texas","4,455",± 176
"Rush County, Indiana","7,593",± 385
"Rush County, Kansas","1,482",± 118
"Rusk County, Texas","21,454",± 611
"Rusk County, Wisconsin","6,370",± 185
"Russell County, Alabama","22,595",± 943
"Russell County, Kansas","3,213",± 206
"Russell County, Kentucky","7,414",± 434
"Russell County, Virginia","8,781",± 621
"Rutherford County, North Carolina","26,708","± 1,000"
"Rutherford County, Tennessee","184,020","± 2,030"
"Rutland County, Vermont","29,244",± 684
"Sabana Grande Municipio, Puerto Rico","6,399",± 635
"Sabine County, Texas","3,193",± 297
"Sabine Parish, Louisiana","7,309",± 416
"Sac County, Iowa","4,955",± 158
"Sacramento County, California","745,145","± 4,530"
"Sagadahoc County, Maine","19,067",± 637
"Saginaw County, Michigan","81,523","± 1,353"
"Saguache County, Colorado","2,691",± 224
"Salem city, Virginia","12,483",± 455
"Salem County, New Jersey","29,292",± 755
"Salinas Municipio, Puerto Rico","7,846",± 535
"Saline County, Arkansas","59,136","± 1,285"
"Saline County, Illinois","10,167",± 393
"Saline County, Kansas","27,649",± 751
"Saline County, Missouri","10,467",± 430
"Saline County, Nebraska","7,196",± 268
"Salt Lake County, Utah","629,317","± 3,586"
"Saluda County, South Carolina","8,043",± 393
"Sampson County, North Carolina","24,799",± 834
"San Augustine County, Texas","2,599",± 258
"San Benito County, California","31,928",± 752
"San Bernardino County, California","955,659","± 5,773"
"San Diego County, California","1,574,825","± 7,100"
"San Francisco County, California","497,881","± 3,431"
"San Germán Municipio, Puerto Rico","7,798",± 568
"San Jacinto County, Texas","10,810",± 564
"San Joaquin County, California","338,625","± 2,780"
"San Juan County, Colorado",381,± 91
"San Juan County, New Mexico","45,652","± 1,301"
"San Juan County, Utah","5,224",± 272
"San Juan County, Washington","8,230",± 195
"San Juan Municipio, Puerto Rico","128,713","± 2,053"
"San Lorenzo Municipio, Puerto Rico","11,723",± 689
"San Luis Obispo County, California","131,506","± 1,927"
"San Mateo County, California","402,467","± 2,260"
"San Miguel County, Colorado","4,939",± 240
"San Miguel County, New Mexico","10,959",± 611
"San Patricio County, Texas","28,685",± 911
"San Saba County, Texas","2,325",± 144
"San Sebastián Municipio, Puerto Rico","10,895",± 842
"Sanborn County, South Dakota","1,255",± 84
"Sanders County, Montana","4,119",± 299
"Sandoval County, New Mexico","66,950","± 1,218"
"Sandusky County, Ohio","27,732",± 732
"Sangamon County, Illinois","92,721","± 1,324"
"Sanilac County, Michigan","17,349",± 357
"Sanpete County, Utah","12,239",± 439
"Santa Barbara County, California","208,588","± 2,324"
"Santa Clara County, California","1,002,047","± 4,215"
"Santa Cruz County, Arizona","18,990",± 659
"Santa Cruz County, California","134,104","± 1,716"
"Santa Fe County, New Mexico","71,477","± 1,176"
"Santa Isabel Municipio, Puerto Rico","7,287",± 451
"Santa Rosa County, Florida","80,950","± 2,012"
"Sarasota County, Florida","182,485","± 2,222"
"Saratoga County, New York","124,959","± 1,552"
"Sargent County, North Dakota","2,081",± 71
"Sarpy County, Nebraska","100,375","± 1,237"
"Sauk County, Wisconsin","34,221",± 603
"Saunders County, Nebraska","11,791",± 282
"Sawyer County, Wisconsin","7,819",± 234
"Schenectady County, New York","76,367","± 1,253"
"Schleicher County, Texas","1,032",± 124
"Schley County, Georgia","1,880",± 208
"Schoharie County, New York","13,925",± 343
"Schoolcraft County, Michigan","3,186",± 175
"Schuyler County, Illinois","2,985",± 252
"Schuyler County, Missouri","1,606",± 139
"Schuyler County, New York","8,190",± 354
"Schuylkill County, Pennsylvania","64,570","± 1,019"
"Scioto County, Ohio","26,689",± 815
"Scotland County, Missouri","1,936",± 184
"Scotland County, North Carolina","12,673",± 516
"Scott County, Arkansas","4,079",± 264
"Scott County, Illinois","2,249",± 97
"Scott County, Indiana","10,866",± 567
"Scott County, Iowa","87,296","± 1,239"
"Scott County, Kansas","2,743",± 189
"Scott County, Kentucky","29,395",± 684
"Scott County, Minnesota","84,503",± 964
"Scott County, Mississippi","11,341",± 749
"Scott County, Missouri","17,367",± 466
"Scott County, Tennessee","7,930",± 457
"Scott County, Virginia","7,886",± 438
"Scotts Bluff County, Nebraska","17,418",± 529
"Screven County, Georgia","5,894",± 379
"Scurry County, Texas","6,913",± 393
"Searcy County, Arkansas","2,906",± 274
"Sebastian County, Arkansas","57,689","± 1,194"
"Sedgwick County, Colorado","1,075",± 126
"Sedgwick County, Kansas","251,132","± 2,327"
"Seminole County, Florida","247,988","± 2,489"
"Seminole County, Georgia","3,304",± 260
"Seminole County, Oklahoma","8,503",± 296
"Seneca County, New York","14,920",± 410
"Seneca County, Ohio","26,878",± 539
"Sequatchie County, Tennessee","6,391",± 440
