Geography,Total—Total households—UNITS IN STRUCTURE—2-or-more-unit structures—Estimate,MoE
"Lincoln County, Washington",5%,± 1.4%
"Lincoln County, West Virginia",4.60%,± 2.1%
"Lincoln County, Wisconsin",13.70%,± 1.6%
"Lincoln County, Wyoming",7.80%,± 2.3%
"Lincoln Parish, Louisiana",23.10%,± 2.6%
"Linn County, Iowa",22%,± 0.9%
"Linn County, Kansas",6.10%,± 1.9%
"Linn County, Missouri",7.90%,± 1.8%
"Linn County, Oregon",16%,± 1.3%
"Lipscomb County, Texas",4.40%,± 3.2%
"Little River County, Arkansas",4.20%,± 1.6%
"Live Oak County, Texas",9.90%,± 4.5%
"Livingston County, Illinois",13.30%,± 1.7%
"Livingston County, Kentucky",1.50%,± 0.8%
"Livingston County, Michigan",10.20%,± 0.8%
"Livingston County, Missouri",10.10%,± 2.6%
"Livingston County, New York",17%,± 1.6%
"Livingston Parish, Louisiana",6.20%,± 1%
"Llano County, Texas",10.90%,± 2.4%
"Logan County, Arkansas",7.90%,± 2.2%
"Logan County, Colorado",11.80%,± 3.5%
"Logan County, Illinois",14%,± 1.9%
"Logan County, Kansas",9.70%,± 3.7%
"Logan County, Kentucky",11.10%,± 2%
"Logan County, Nebraska",0.30%,± 0.7%
"Logan County, North Dakota",3%,± 1.4%
"Logan County, Ohio",12.70%,± 1.7%
"Logan County, Oklahoma",2.90%,± 0.7%
"Logan County, West Virginia",4.10%,± 1%
"Loíza Municipio, Puerto Rico",6.40%,± 1.5%
"Long County, Georgia",7.20%,± 4%
"Lonoke County, Arkansas",8.50%,± 1.2%
"Lorain County, Ohio",15.50%,± 0.7%
"Los Alamos County, New Mexico",23.50%,± 3.3%
"Los Angeles County, California",43.10%,± 0.2%
"Loudon County, Tennessee",6.10%,± 1%
"Loudoun County, Virginia",16.80%,± 0.6%
"Louisa County, Iowa",6.60%,± 1.6%
"Louisa County, Virginia",5.20%,± 1%
"Loup County, Nebraska",0%,± 8.8%
"Love County, Oklahoma",10%,± 1.9%
"Loving County, Texas",12.50%,± 14.9%
"Lower Connecticut River Valley Planning Region, Connecticut",23.10%,± 1%
"Lowndes County, Alabama",9.30%,± 2.7%
"Lowndes County, Georgia",19.80%,± 1.5%
"Lowndes County, Mississippi",15.90%,± 1.9%
"Lubbock County, Texas",24.60%,± 1%
"Lucas County, Iowa",10.10%,± 3.2%
"Lucas County, Ohio",23.40%,± 0.7%
"Luce County, Michigan",6.30%,± 2.6%
"Lumpkin County, Georgia",8.30%,± 2.3%
"Luna County, New Mexico",9.80%,± 2.4%
"Lunenburg County, Virginia",2.70%,± 1.3%
"Luquillo Municipio, Puerto Rico",11.90%,± 2.5%
"Luzerne County, Pennsylvania",18.40%,± 0.7%
"Lycoming County, Pennsylvania",17.40%,± 1.2%
"Lyman County, South Dakota",7.80%,± 3%
"Lynchburg city, Virginia",34.50%,± 2%
"Lynn County, Texas",4.10%,± 2.1%
"Lyon County, Iowa",4.80%,± 1.1%
"Lyon County, Kansas",26.80%,± 2.5%
"Lyon County, Kentucky",10.40%,± 4.2%
"Lyon County, Minnesota",21.60%,± 2.4%
"Lyon County, Nevada",6.60%,± 1%
"Mackinac County, Michigan",11.30%,± 2.3%
"Macomb County, Michigan",17.60%,± 0.5%
"Macon County, Alabama",16.70%,± 2.5%
"Macon County, Georgia",8.60%,± 2.8%
"Macon County, Illinois",16.30%,± 1.3%
"Macon County, Missouri",10.30%,± 1.8%
"Macon County, North Carolina",7.30%,± 1.7%
"Macon County, Tennessee",9.10%,± 2.4%
"Macoupin County, Illinois",7.40%,± 1.2%
"Madera County, California",12.50%,± 1.4%
"Madison County, Alabama",20.80%,± 0.8%
"Madison County, Arkansas",4.30%,± 1.4%
"Madison County, Florida",7.20%,± 1.8%
"Madison County, Georgia",3.10%,± 1.4%
"Madison County, Idaho",50.70%,± 3%
"Madison County, Illinois",15%,± 0.7%
"Madison County, Indiana",12.10%,± 1.1%
"Madison County, Iowa",7.20%,± 2.2%
"Madison County, Kentucky",26.90%,± 1.6%
"Madison County, Mississippi",18.40%,± 1.4%
"Madison County, Missouri",6.40%,± 1.9%
"Madison County, Montana",7.40%,± 3.3%
"Madison County, Nebraska",21.20%,± 1.9%
"Madison County, New York",17.60%,± 1.5%
"Madison County, North Carolina",6.20%,± 1.6%
"Madison County, Ohio",12.30%,± 1.7%
"Madison County, Tennessee",19.70%,± 1.4%
"Madison County, Texas",8.10%,± 2.9%
"Madison County, Virginia",2.30%,± 1.3%
"Madison Parish, Louisiana",14.30%,± 3.2%
"Magoffin County, Kentucky",5.20%,± 2.1%
"Mahaska County, Iowa",13.40%,± 2.1%
"Mahnomen County, Minnesota",11%,± 1.5%
"Mahoning County, Ohio",17.20%,± 0.7%
"Major County, Oklahoma",5.60%,± 1.8%
"Malheur County, Oregon",18.70%,± 2.6%
"Manassas city, Virginia",22.30%,± 2.2%
"Manassas Park city, Virginia",26.50%,± 6.5%
"Manatee County, Florida",20.90%,± 0.7%
"Manatí Municipio, Puerto Rico",11.20%,± 1.6%
"Manistee County, Michigan",6.70%,± 1.2%
"Manitowoc County, Wisconsin",20.10%,± 1.4%
"Marathon County, Wisconsin",18.10%,± 1.1%
"Marengo County, Alabama",13.80%,± 3.1%
"Maricao Municipio, Puerto Rico",4.70%,± 2.8%
"Maricopa County, Arizona",24.40%,± 0.2%
"Maries County, Missouri",7.60%,± 2.9%
"Marin County, California",27.50%,± 0.9%
"Marinette County, Wisconsin",10.50%,± 1.4%
"Marion County, Alabama",13.70%,± 2.2%
"Marion County, Arkansas",5%,± 1%
"Marion County, Florida",11.10%,± 0.8%
"Marion County, Georgia",9.40%,± 3.1%
"Marion County, Illinois",11.10%,± 1.2%
"Marion County, Indiana",29.50%,± 0.6%
"Marion County, Iowa",13.50%,± 1.9%
"Marion County, Kansas",7.30%,± 1.9%
"Marion County, Kentucky",10.70%,± 2.4%
"Marion County, Mississippi",5.20%,± 1.7%
"Marion County, Missouri",16.10%,± 2.3%
"Marion County, Ohio",13.70%,± 1.4%
"Marion County, Oregon",25.20%,± 1.1%
"Marion County, South Carolina",9.60%,± 2.6%
"Marion County, Tennessee",4%,± 1%
"Marion County, Texas",3.90%,± 1.7%
"Marion County, West Virginia",11.90%,± 1.3%
"Mariposa County, California",6.20%,± 1.9%
"Marlboro County, South Carolina",7.10%,± 1.8%
"Marquette County, Michigan",21.70%,± 1.4%
"Marquette County, Wisconsin",7.40%,± 1%
"Marshall County, Alabama",9.30%,± 0.9%
"Marshall County, Illinois",7.10%,± 1.8%
"Marshall County, Indiana",9.40%,± 1.3%
"Marshall County, Iowa",16%,± 1.6%
"Marshall County, Kansas",6.30%,± 2.2%
"Marshall County, Kentucky",6.90%,± 1.9%
"Marshall County, Minnesota",8.70%,± 1.6%
"Marshall County, Mississippi",4.90%,± 1.5%
"Marshall County, Oklahoma",3%,± 1.1%
"Marshall County, South Dakota",7.80%,± 2.7%
"Marshall County, Tennessee",6.40%,± 1.6%
"Marshall County, West Virginia",7.20%,± 1.4%
"Martin County, Florida",24.20%,± 1.2%
"Martin County, Indiana",8.10%,± 3.5%
"Martin County, Kentucky",5.80%,± 2.6%
"Martin County, Minnesota",16.30%,± 2.1%
"Martin County, North Carolina",9.30%,± 2.1%
"Martin County, Texas",4.10%,± 4.3%
"Martinsville city, Virginia",23.50%,± 4.4%
"Mason County, Illinois",4.90%,± 1.3%
"Mason County, Kentucky",15.10%,± 3.2%
"Mason County, Michigan",13.40%,± 1.6%
"Mason County, Texas",2.40%,± 2%
"Mason County, Washington",4.60%,± 1%
"Mason County, West Virginia",5.20%,± 2%
"Massac County, Illinois",7.80%,± 2.2%
"Matagorda County, Texas",16.40%,± 2.7%
"Matanuska-Susitna Borough, Alaska",13.70%,± 0.9%
"Mathews County, Virginia",5.90%,± 3.1%
"Maui County, Hawaii",22.70%,± 1.4%
"Maunabo Municipio, Puerto Rico",2%,± 1.3%
"Maury County, Tennessee",14.60%,± 1.6%
"Maverick County, Texas",16.30%,± 2.6%
"Mayagüez Municipio, Puerto Rico",30.80%,± 1.9%
"Mayes County, Oklahoma",7.60%,± 1.1%
"McClain County, Oklahoma",5.60%,± 1.4%
"McCone County, Montana",1.90%,± 1.9%
"McCook County, South Dakota",7.90%,± 2.2%
"McCormick County, South Carolina",6.10%,± 2.2%
"McCracken County, Kentucky",21.70%,± 1.7%
"McCreary County, Kentucky",9.30%,± 5.1%
"McCulloch County, Texas",10.50%,± 4.1%
"McCurtain County, Oklahoma",7%,± 1.2%
"McDonald County, Missouri",10.20%,± 2%
"McDonough County, Illinois",23.90%,± 2.3%
"McDowell County, North Carolina",5.70%,± 1.4%
"McDowell County, West Virginia",3.90%,± 2.4%
"McDuffie County, Georgia",10%,± 2.7%
"McHenry County, Illinois",11.30%,± 0.7%
"McHenry County, North Dakota",5.60%,± 1.8%
"McIntosh County, Georgia",5.40%,± 2.7%
"McIntosh County, North Dakota",7.50%,± 2.7%
"McIntosh County, Oklahoma",4.90%,± 1.4%
"McKean County, Pennsylvania",11%,± 1.1%
"McKenzie County, North Dakota",22.50%,± 4%
"McKinley County, New Mexico",9.30%,± 1.5%
"McLean County, Illinois",28.60%,± 1.2%
"McLean County, Kentucky",9.50%,± 2.5%
"McLean County, North Dakota",8.50%,± 1.8%
"McLennan County, Texas",23.90%,± 0.9%
"McLeod County, Minnesota",17.50%,± 1.8%
"McMinn County, Tennessee",10%,± 1.5%
"McMullen County, Texas",0%,± 21.7%
"McNairy County, Tennessee",2.20%,± 0.8%
"McPherson County, Kansas",11.40%,± 2.1%
"McPherson County, Nebraska",0%,± 12.1%
"McPherson County, South Dakota",9.90%,± 3.6%
"Meade County, Kansas",2.70%,± 1.6%
"Meade County, Kentucky",8.40%,± 1.6%
"Meade County, South Dakota",10.70%,± 1.7%
"Meagher County, Montana",0.50%,± 0.4%
"Mecklenburg County, North Carolina",32.20%,± 0.5%
"Mecklenburg County, Virginia",8.90%,± 1.7%
"Mecosta County, Michigan",10.90%,± 1.1%
"Medina County, Ohio",14.40%,± 0.9%
"Medina County, Texas",6.10%,± 1.6%
"Meeker County, Minnesota",10.10%,± 1.5%
"Meigs County, Ohio",6.30%,± 1.5%
"Meigs County, Tennessee",2.80%,± 1.5%
"Mellette County, South Dakota",5%,± 3%
"Menard County, Illinois",6.60%,± 2%
"Menard County, Texas",10.80%,± 9.1%
"Mendocino County, California",15.10%,± 1.4%
"Menifee County, Kentucky",3.60%,± 1.6%
"Menominee County, Michigan",12%,± 1.6%
"Menominee County, Wisconsin",1.40%,± 1.1%
"Merced County, California",17.10%,± 1.1%
"Mercer County, Illinois",9.10%,± 2.1%
"Mercer County, Kentucky",11.40%,± 2.8%
"Mercer County, Missouri",11.30%,± 3.2%
"Mercer County, New Jersey",30.70%,± 1.1%
"Mercer County, North Dakota",7.60%,± 2.4%
"Mercer County, Ohio",11%,± 1.5%
"Mercer County, Pennsylvania",14.40%,± 1.2%
"Mercer County, West Virginia",11.30%,± 2.1%
"Meriwether County, Georgia",6.70%,± 2.4%
"Merrick County, Nebraska",7.10%,± 2.6%
"Merrimack County, New Hampshire",25.30%,± 1.2%
"Mesa County, Colorado",15.40%,± 1.2%
"Metcalfe County, Kentucky",5%,± 2%
"Miami County, Indiana",6.50%,± 1.2%
"Miami County, Kansas",7.50%,± 1.5%
"Miami County, Ohio",14.30%,± 1.2%
"Miami-Dade County, Florida",45.80%,± 0.5%
"Middlesex County, Massachusetts",45%,± 0.4%
"Middlesex County, New Jersey",35.10%,± 0.8%
"Middlesex County, Virginia",3.40%,± 1.4%
"Midland County, Michigan",13.80%,± 1.2%
"Midland County, Texas",22.90%,± 1.3%
"Mifflin County, Pennsylvania",12.80%,± 1.5%
"Milam County, Texas",6.50%,± 1.6%
"Millard County, Utah",6.50%,± 2.7%
"Mille Lacs County, Minnesota",12.80%,± 1.8%
"Miller County, Arkansas",16.60%,± 1.7%
"Miller County, Georgia",6.50%,± 2.5%
"Miller County, Missouri",10.80%,± 2.2%
"Mills County, Iowa",11%,± 2.5%
"Mills County, Texas",4%,± 2.2%
"Milwaukee County, Wisconsin",47.70%,± 0.6%
"Miner County, South Dakota",11.60%,± 4%
"Mineral County, Colorado",5%,± 7%
"Mineral County, Montana",4%,± 2%
"Mineral County, Nevada",2.90%,± 2.4%
"Mineral County, West Virginia",9%,± 2.1%
"Mingo County, West Virginia",10.50%,± 2.4%
"Minidoka County, Idaho",10.40%,± 2.9%
"Minnehaha County, South Dakota",30%,± 1.1%
"Missaukee County, Michigan",4.10%,± 1.1%
"Mississippi County, Arkansas",21.20%,± 2.8%
"Mississippi County, Missouri",19.60%,± 4.2%
"Missoula County, Montana",28%,± 1.4%
"Mitchell County, Georgia",15.30%,± 4.5%
"Mitchell County, Iowa",9.20%,± 1.8%
"Mitchell County, Kansas",13.30%,± 4.8%
"Mitchell County, North Carolina",8%,± 1.9%
"Mitchell County, Texas",12%,± 7.1%
"Mobile County, Alabama",17.80%,± 0.7%
"Moca Municipio, Puerto Rico",4.10%,± 1.2%
"Modoc County, California",6.80%,± 2.7%
"Moffat County, Colorado",12.90%,± 3.1%
"Mohave County, Arizona",10.80%,± 0.7%
"Moniteau County, Missouri",9.30%,± 2.7%
"Monmouth County, New Jersey",22.80%,± 0.6%
"Mono County, California",21.10%,± 6.3%
"Monona County, Iowa",6.40%,± 1.9%
"Monongalia County, West Virginia",31.80%,± 1.6%
"Monroe County, Alabama",8%,± 2.2%
"Monroe County, Arkansas",20.20%,± 5.2%
"Monroe County, Florida",25.90%,± 1.8%
"Monroe County, Georgia",4.60%,± 1.4%
"Monroe County, Illinois",10.70%,± 1.7%
"Monroe County, Indiana",32.50%,± 1.3%
"Monroe County, Iowa",7.50%,± 3.4%
"Monroe County, Kentucky",8.40%,± 2.5%
"Monroe County, Michigan",11.20%,± 1%
"Monroe County, Mississippi",7.70%,± 1.7%
"Monroe County, Missouri",6.80%,± 2.5%
"Monroe County, New York",28.70%,± 0.6%
"Monroe County, Ohio",4.10%,± 1.3%
"Monroe County, Pennsylvania",8.80%,± 0.9%
"Monroe County, Tennessee",9.30%,± 2%
"Monroe County, West Virginia",2.10%,± 1.2%
"Monroe County, Wisconsin",15.60%,± 1.4%
"Montague County, Texas",6.10%,± 1.9%
"Montcalm County, Michigan",8.40%,± 1.1%
"Monterey County, California",26.50%,± 0.8%
"Montezuma County, Colorado",11.80%,± 3%
"Montgomery County, Alabama",21.60%,± 1%
"Montgomery County, Arkansas",2.50%,± 1.2%
"Montgomery County, Georgia",5%,± 2%
"Montgomery County, Illinois",9.90%,± 1.5%
"Montgomery County, Indiana",15%,± 2%
"Montgomery County, Iowa",12.90%,± 2.9%
"Montgomery County, Kansas",9.70%,± 1.5%
"Montgomery County, Kentucky",13.90%,± 3.2%
"Montgomery County, Maryland",34.10%,± 0.5%
"Montgomery County, Mississippi",10.20%,± 4.1%
"Montgomery County, Missouri",7.10%,± 1.8%
"Montgomery County, New York",30.50%,± 1.9%
"Montgomery County, North Carolina",7.30%,± 2.2%
"Montgomery County, Ohio",23.20%,± 0.6%
"Montgomery County, Pennsylvania",24.20%,± 0.5%
"Montgomery County, Tennessee",19.40%,± 1.1%
"Montgomery County, Texas",16%,± 0.7%
"Montgomery County, Virginia",28.90%,± 1.7%
"Montmorency County, Michigan",4.10%,± 1.1%
"Montour County, Pennsylvania",16.20%,± 2.6%
"Montrose County, Colorado",9.20%,± 1.8%
"Moody County, South Dakota",12.20%,± 2.7%
"Moore County, North Carolina",10.70%,± 1.3%
"Moore County, Tennessee",3.10%,± 2%
"Moore County, Texas",13.90%,± 3.2%
"Mora County, New Mexico",0.30%,± 0.4%
"Morehouse Parish, Louisiana",6.20%,± 1.9%
"Morgan County, Alabama",14.40%,± 1.3%
"Morgan County, Colorado",13.70%,± 2.2%
"Morgan County, Georgia",10.80%,± 2.5%
"Morgan County, Illinois",13.80%,± 1.9%
"Morgan County, Indiana",7.20%,± 1%
"Morgan County, Kentucky",4%,± 1.4%
"Morgan County, Missouri",7.70%,± 2.1%
"Morgan County, Ohio",5.60%,± 1.3%
"Morgan County, Tennessee",3.50%,± 0.9%
"Morgan County, Utah",3.30%,± 2%
"Morgan County, West Virginia",4.80%,± 1.8%
"Morovis Municipio, Puerto Rico",5%,± 1.2%
"Morrill County, Nebraska",4.40%,± 1.8%
"Morris County, Kansas",5.30%,± 2%
"Morris County, New Jersey",26%,± 0.6%
"Morris County, Texas",7.30%,± 2.3%
"Morrison County, Minnesota",9.60%,± 1.3%
"Morrow County, Ohio",5.60%,± 1.4%
"Morrow County, Oregon",8.50%,± 2.4%
"Morton County, Kansas",4%,± 3.1%
"Morton County, North Dakota",17.90%,± 3.3%
"Motley County, Texas",1.30%,± 2.4%
"Moultrie County, Illinois",7.70%,± 1.7%
"Mountrail County, North Dakota",14%,± 2.3%
"Mower County, Minnesota",15.80%,± 1.9%
"Muhlenberg County, Kentucky",5.30%,± 1.5%
"Multnomah County, Oregon",37.90%,± 0.6%
"Murray County, Georgia",6.40%,± 1.8%
"Murray County, Minnesota",6.40%,± 1.6%
"Murray County, Oklahoma",6.30%,± 1.6%
"Muscatine County, Iowa",13.30%,± 1.7%
"Muscogee County, Georgia",28.30%,± 1.2%
"Muskegon County, Michigan",11.80%,± 0.7%
"Muskingum County, Ohio",15%,± 1.4%
"Muskogee County, Oklahoma",13.10%,± 1.3%
"Musselshell County, Montana",1.50%,± 1%
"Nacogdoches County, Texas",21.10%,± 1.6%
"Naguabo Municipio, Puerto Rico",7.40%,± 2.5%
"Nance County, Nebraska",5%,± 1.9%
"Nantucket County, Massachusetts",16.70%,± 4.6%
"Napa County, California",19.20%,± 1.2%
"Naranjito Municipio, Puerto Rico",2.50%,± 1%
"Nash County, North Carolina",15.30%,± 1.5%
"Nassau County, Florida",8.50%,± 1.4%
"Nassau County, New York",19.50%,± 0.4%
"Natchitoches Parish, Louisiana",15.50%,± 1.9%
"Natrona County, Wyoming",15.50%,± 1.3%
"Naugatuck Valley Planning Region, Connecticut",32.40%,± 0.7%
"Navajo County, Arizona",7.70%,± 0.9%
"Navarro County, Texas",11.10%,± 2%
"Nelson County, Kentucky",9.30%,± 1.7%
"Nelson County, North Dakota",13.30%,± 2.9%
"Nelson County, Virginia",3.40%,± 2%
"Nemaha County, Kansas",8.90%,± 2.2%
"Nemaha County, Nebraska",14.80%,± 3.8%
"Neosho County, Kansas",9.70%,± 2.1%
"Neshoba County, Mississippi",7.20%,± 1.7%
"Ness County, Kansas",4.50%,± 2.3%
"Nevada County, Arkansas",5.50%,± 3.2%
"Nevada County, California",10.30%,± 1.2%
"New Castle County, Delaware",22.50%,± 0.7%
"New Hanover County, North Carolina",29.10%,± 1.2%
"New Kent County, Virginia",0.30%,± 0.6%
"New Madrid County, Missouri",14%,± 2.3%
"New York County, New York",97.90%,± 0.2%
"Newaygo County, Michigan",5.80%,± 0.9%
"Newberry County, South Carolina",7.10%,± 1.6%
"Newport County, Rhode Island",29.50%,± 1.6%
"Newport News city, Virginia",38.20%,± 1.4%
"Newton County, Arkansas",6.80%,± 2.6%
"Newton County, Georgia",6.50%,± 1.1%
"Newton County, Indiana",5.90%,± 1.8%
"Newton County, Mississippi",6.60%,± 1.9%
"Newton County, Missouri",7.90%,± 1.3%
"Newton County, Texas",1.80%,± 1%
"Nez Perce County, Idaho",15.50%,± 2%
"Niagara County, New York",23.40%,± 0.8%
"Nicholas County, Kentucky",9.90%,± 4.5%
"Nicholas County, West Virginia",5.70%,± 2.3%
"Nicollet County, Minnesota",20.50%,± 1.9%
"Niobrara County, Wyoming",6.30%,± 4.4%
"Noble County, Indiana",12.60%,± 1.9%
"Noble County, Ohio",7.50%,± 2.4%
"Noble County, Oklahoma",3.90%,± 2.1%
"Nobles County, Minnesota",14.50%,± 2.1%
"Nodaway County, Missouri",19.70%,± 2.3%
"Nolan County, Texas",14.10%,± 2.9%
"Nome Census Area, Alaska",15.90%,± 2.6%
"Norfolk city, Virginia",41.60%,± 1.1%
"Norfolk County, Massachusetts",36.50%,± 0.6%
"Norman County, Minnesota",10%,± 2.3%
"North Slope Borough, Alaska",25.30%,± 6.1%
"Northampton County, North Carolina",5.60%,± 1.8%
"Northampton County, Pennsylvania",18.60%,± 0.9%
"Northampton County, Virginia",10.50%,± 1.8%
"Northeastern Connecticut Planning Region, Connecticut",20.60%,± 1.6%
"Northumberland County, Pennsylvania",13.40%,± 1.3%
"Northumberland County, Virginia",3.30%,± 2.2%
"Northwest Arctic Borough, Alaska",23.80%,± 4%
"Northwest Hills Planning Region, Connecticut",21.10%,± 1.5%
"Norton city, Virginia",28.60%,± 9%
"Norton County, Kansas",1.60%,± 1.2%
"Nottoway County, Virginia",7%,± 2.2%
"Nowata County, Oklahoma",8.50%,± 1.6%
"Noxubee County, Mississippi",8.40%,± 3.2%
"Nuckolls County, Nebraska",4.50%,± 2.3%
"Nueces County, Texas",25.50%,± 1%
"Nye County, Nevada",7.50%,± 1.6%
"O'Brien County, Iowa",12.30%,± 2.5%
"Oakland County, Michigan",21.80%,± 0.4%
"Obion County, Tennessee",11.70%,± 1.7%
"Ocean County, New Jersey",13.10%,± 0.5%
"Oceana County, Michigan",4.90%,± 0.8%
"Ochiltree County, Texas",11.10%,± 4%
"Oconee County, Georgia",2.20%,± 0.9%
"Oconee County, South Carolina",8.30%,± 1.5%
"Oconto County, Wisconsin",7.60%,± 1%
"Ogemaw County, Michigan",6.50%,± 1%
"Oglala Lakota County, South Dakota",3.90%,± 4.6%
"Ogle County, Illinois",12.90%,± 1.8%
"Oglethorpe County, Georgia",4.70%,± 1.8%
"Ohio County, Indiana",10%,± 2.5%
"Ohio County, Kentucky",8%,± 2.6%
"Ohio County, West Virginia",22.80%,± 1.9%
"Okaloosa County, Florida",18.80%,± 1.1%
"Okanogan County, Washington",7.30%,± 1.4%
"Okeechobee County, Florida",8.80%,± 2.6%
"Okfuskee County, Oklahoma",7.40%,± 1.8%
"Oklahoma County, Oklahoma",21.80%,± 0.5%
"Okmulgee County, Oklahoma",9.50%,± 1.6%
"Oktibbeha County, Mississippi",37.10%,± 2.9%
"Oldham County, Kentucky",7.30%,± 0.8%
"Oldham County, Texas",4.30%,± 3.8%
"Oliver County, North Dakota",2.90%,± 2.3%
"Olmsted County, Minnesota",23.60%,± 1%
"Oneida County, Idaho",1.50%,± 0.9%
"Oneida County, New York",28%,± 0.9%
"Oneida County, Wisconsin",10.80%,± 1.7%
"Onondaga County, New York",30%,± 0.6%
"Onslow County, North Carolina",12.30%,± 1.1%
"Ontario County, New York",20.80%,± 1.3%
"Ontonagon County, Michigan",6.50%,± 1.4%
"Orange County, California",34%,± 0.3%
"Orange County, Florida",31.30%,± 0.5%
"Orange County, Indiana",6.70%,± 1.5%
"Orange County, New York",28.20%,± 0.9%
"Orange County, North Carolina",23.80%,± 1.1%
"Orange County, Texas",9.10%,± 1.5%
"Orange County, Vermont",9.30%,± 1.5%
"Orange County, Virginia",10%,± 2.1%
"Orangeburg County, South Carolina",11%,± 1.3%
"Oregon County, Missouri",3.40%,± 1.5%
"Orleans County, New York",14.60%,± 1.7%
"Orleans County, Vermont",13.90%,± 2%
"Orleans Parish, Louisiana",38.70%,± 0.9%
"Orocovis Municipio, Puerto Rico",2.30%,± 1.3%
"Osage County, Kansas",6.20%,± 1.4%
"Osage County, Missouri",7.40%,± 1.6%
"Osage County, Oklahoma",6.90%,± 1.2%
"Osborne County, Kansas",5.20%,± 2.4%
"Osceola County, Florida",21.20%,± 1%
"Osceola County, Iowa",10%,± 3.3%
"Osceola County, Michigan",5.70%,± 1%
"Oscoda County, Michigan",3.60%,± 1.2%
"Oswego County, New York",16.50%,± 1%
"Otero County, Colorado",12%,± 2.4%
"Otero County, New Mexico",7.90%,± 1.5%
"Otoe County, Nebraska",8%,± 1.4%
"Otsego County, Michigan",14.60%,± 2.3%
"Otsego County, New York",18.60%,± 1.7%
"Ottawa County, Kansas",9%,± 3%
"Ottawa County, Michigan",17.30%,± 0.8%
"Ottawa County, Ohio",10%,± 1.3%
"Ottawa County, Oklahoma",9%,± 0.8%
"Otter Tail County, Minnesota",13.10%,± 1.3%
"Ouachita County, Arkansas",10.50%,± 2.1%
"Ouachita Parish, Louisiana",18.10%,± 1.2%
"Ouray County, Colorado",16.10%,± 5.2%
"Outagamie County, Wisconsin",21.50%,± 0.8%
"Overton County, Tennessee",2.60%,± 1%
"Owen County, Indiana",3.90%,± 1%
"Owen County, Kentucky",6%,± 2%
"Owsley County, Kentucky",12%,± 5.5%
"Owyhee County, Idaho",5.10%,± 1.9%
"Oxford County, Maine",11.70%,± 1.5%
"Ozark County, Missouri",2.70%,± 1%
"Ozaukee County, Wisconsin",24.30%,± 1.6%
"Pacific County, Washington",8.50%,± 1.4%
"Page County, Iowa",13.50%,± 2.5%
"Page County, Virginia",5.50%,± 1.4%
"Palm Beach County, Florida",36.20%,± 0.5%
"Palo Alto County, Iowa",12.60%,± 2.7%
"Palo Pinto County, Texas",11%,± 1.8%
"Pamlico County, North Carolina",3.80%,± 1.5%
"Panola County, Mississippi",7.90%,± 1.9%
"Panola County, Texas",6.50%,± 3.1%
"Park County, Colorado",1.90%,± 1%
"Park County, Montana",13.20%,± 2.6%
"Park County, Wyoming",10.70%,± 2.3%
"Parke County, Indiana",6.20%,± 1.9%
"Parker County, Texas",6.60%,± 0.9%
"Parmer County, Texas",6.20%,± 2.6%
"Pasco County, Florida",12%,± 0.6%
"Pasquotank County, North Carolina",14.60%,± 1.8%
"Passaic County, New Jersey",52.10%,± 1%
"Patillas Municipio, Puerto Rico",4.50%,± 2.1%
"Patrick County, Virginia",3.60%,± 1.3%
"Paulding County, Georgia",4%,± 0.8%
"Paulding County, Ohio",5.60%,± 1.4%
"Pawnee County, Kansas",17.20%,± 4.7%
"Pawnee County, Nebraska",2.10%,± 1.4%
"Pawnee County, Oklahoma",3.80%,± 0.8%
"Payette County, Idaho",6.90%,± 1.9%
"Payne County, Oklahoma",24.30%,± 2.1%
"Peach County, Georgia",17%,± 3%
"Pearl River County, Mississippi",9.30%,± 1.8%
"Pecos County, Texas",11.20%,± 2.7%
"Pembina County, North Dakota",11.10%,± 2.4%
"Pemiscot County, Missouri",16.70%,± 2.8%
"Pend Oreille County, Washington",6.30%,± 1.7%
"Pender County, North Carolina",4.70%,± 1.1%
"Pendleton County, Kentucky",6%,± 1.9%
"Pendleton County, West Virginia",2.30%,± 1.4%
"Pennington County, Minnesota",18.30%,± 3.1%
"Pennington County, South Dakota",22.10%,± 1.4%
"Penobscot County, Maine",22.80%,± 1%
"Peñuelas Municipio, Puerto Rico",1%,± 0.6%
"Peoria County, Illinois",22%,± 0.9%
"Pepin County, Wisconsin",10%,± 1.7%
"Perkins County, Nebraska",6.60%,± 2.7%
"Perkins County, South Dakota",7.50%,± 2.2%
"Perquimans County, North Carolina",5.30%,± 1.9%
"Perry County, Alabama",14.10%,± 6%
"Perry County, Arkansas",3.90%,± 1.7%
"Perry County, Illinois",10.90%,± 3%
"Perry County, Indiana",12.30%,± 2.1%
"Perry County, Kentucky",8%,± 2.2%
"Perry County, Mississippi",6.10%,± 2.5%
"Perry County, Missouri",10.40%,± 2.1%
"Perry County, Ohio",9%,± 1.5%
"Perry County, Pennsylvania",7.70%,± 0.8%
"Perry County, Tennessee",3.40%,± 1.7%
"Pershing County, Nevada",10.60%,± 4.4%
"Person County, North Carolina",5.50%,± 1.4%
"Petersburg Borough, Alaska",15.50%,± 3.6%
"Petersburg city, Virginia",40.40%,± 3.1%
"Petroleum County, Montana",0.50%,± 0.8%
"Pettis County, Missouri",13%,± 1.5%
"Phelps County, Missouri",24.60%,± 2.4%
"Phelps County, Nebraska",14.30%,± 3.1%
