Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Estimate",MoE
"Monroe County, New York","176,280","± 3,021"
"Monroe County, Ohio","1,363",± 192
"Monroe County, Pennsylvania","26,804","± 1,383"
"Monroe County, Tennessee","4,174",± 648
"Monroe County, West Virginia","1,200",± 290
"Monroe County, Wisconsin","6,480",± 420
"Montague County, Texas","2,036",± 266
"Montcalm County, Michigan","6,836",± 548
"Monterey County, California","59,636","± 1,846"
"Montezuma County, Colorado","3,882",± 438
"Montgomery County, Alabama","36,546","± 1,427"
"Montgomery County, Arkansas",997,± 175
"Montgomery County, Georgia","1,092",± 157
"Montgomery County, Illinois","3,375",± 308
"Montgomery County, Indiana","4,933",± 415
"Montgomery County, Iowa","1,396",± 165
"Montgomery County, Kansas","4,293",± 449
"Montgomery County, Kentucky","2,945",± 440
"Montgomery County, Maryland","330,660","± 3,302"
"Montgomery County, Mississippi",976,± 206
"Montgomery County, Missouri","1,386",± 241
"Montgomery County, New York","7,252",± 513
"Montgomery County, North Carolina","3,260",± 413
"Montgomery County, Ohio","98,136","± 2,215"
"Montgomery County, Pennsylvania","239,796","± 3,408"
"Montgomery County, Tennessee","33,286","± 1,457"
"Montgomery County, Texas","128,246","± 3,128"
"Montgomery County, Virginia","23,414","± 1,282"
"Montmorency County, Michigan",864,± 132
"Montour County, Pennsylvania","4,130",± 353
"Montrose County, Colorado","6,006",± 487
"Moody County, South Dakota","1,114",± 147
"Moore County, North Carolina","17,004","± 1,014"
"Moore County, Tennessee",834,± 190
"Moore County, Texas","2,446",± 371
"Mora County, New Mexico",500,± 147
"Morehouse Parish, Louisiana","2,413",± 334
"Morgan County, Alabama","18,243",± 929
"Morgan County, Colorado","4,404",± 505
"Morgan County, Georgia","3,876",± 428
"Morgan County, Illinois","4,432",± 412
"Morgan County, Indiana","11,304",± 722
"Morgan County, Kentucky","1,398",± 223
"Morgan County, Missouri","2,211",± 281
"Morgan County, Ohio","1,531",± 219
"Morgan County, Tennessee","2,330",± 393
"Morgan County, Utah","2,853",± 225
"Morgan County, West Virginia","1,892",± 358
"Morovis Municipio, Puerto Rico","2,734",± 442
"Morrill County, Nebraska",706,± 104
"Morris County, Kansas",984,± 126
"Morris County, New Jersey","148,420","± 2,273"
"Morris County, Texas","1,457",± 280
"Morrison County, Minnesota","4,695",± 272
"Morrow County, Ohio","5,463",± 438
"Morrow County, Oregon","1,218",± 167
"Morton County, Kansas",432,± 88
"Morton County, North Dakota","6,977",± 670
"Motley County, Texas",192,± 55
"Moultrie County, Illinois","2,099",± 237
"Mountrail County, North Dakota","1,568",± 167
"Mower County, Minnesota","5,937",± 306
"Muhlenberg County, Kentucky","3,922",± 507
"Multnomah County, Oregon","224,624","± 3,292"
"Murray County, Georgia","4,003",± 423
"Murray County, Minnesota","1,460",± 105
"Murray County, Oklahoma","1,636",± 222
"Muscatine County, Iowa","6,526",± 488
"Muscogee County, Georgia","29,506","± 1,330"
"Muskegon County, Michigan","22,836",± 954
"Muskingum County, Ohio","12,815",± 847
"Muskogee County, Oklahoma","8,694",± 548
"Musselshell County, Montana",467,± 108
"Nacogdoches County, Texas","8,786",± 680
"Naguabo Municipio, Puerto Rico","1,448",± 441
"Nance County, Nebraska",643,± 87
"Nantucket County, Massachusetts","3,356",± 463
"Napa County, California","26,618",± 880
"Naranjito Municipio, Puerto Rico","1,771",± 504
"Nash County, North Carolina","14,247",± 978
"Nassau County, Florida","15,151","± 1,010"
"Nassau County, New York","347,871","± 4,008"
"Natchitoches Parish, Louisiana","4,923",± 398
"Natrona County, Wyoming","15,761",± 844
"Naugatuck Valley Planning Region, Connecticut","94,471","± 2,579"
"Navajo County, Arizona","11,765",± 869
"Navarro County, Texas","6,221",± 568
"Nelson County, Kentucky","7,228",± 597
"Nelson County, North Dakota",591,± 75
"Nelson County, Virginia","2,553",± 347
"Nemaha County, Kansas","1,967",± 172
"Nemaha County, Nebraska","1,182",± 168
"Neosho County, Kansas","2,539",± 269
"Neshoba County, Mississippi","3,246",± 470
"Ness County, Kansas",475,± 79
"Nevada County, Arkansas",650,± 176
"Nevada County, California","19,596","± 1,089"
"New Castle County, Delaware","131,702","± 2,446"
"New Hanover County, North Carolina","50,814","± 1,554"
"New Kent County, Virginia","5,977",± 566
"New Madrid County, Missouri","1,621",± 227
"New York County, New York","565,084","± 6,544"
"Newaygo County, Michigan","6,026",± 367
"Newberry County, South Carolina","5,549",± 513
"Newport County, Rhode Island","19,788",± 929
"Newport News city, Virginia","30,031","± 1,421"
"Newton County, Arkansas",666,± 145
"Newton County, Georgia","18,024","± 1,388"
"Newton County, Indiana","1,426",± 214
"Newton County, Mississippi","2,883",± 312
"Newton County, Missouri","8,504",± 668
"Newton County, Texas","1,102",± 232
"Nez Perce County, Idaho","6,800",± 596
"Niagara County, New York","36,026","± 1,036"
"Nicholas County, Kentucky",719,± 205
"Nicholas County, West Virginia","2,693",± 467
"Nicollet County, Minnesota","7,353",± 538
"Niobrara County, Wyoming",387,± 99
"Noble County, Indiana","6,102",± 452
"Noble County, Ohio","1,298",± 281
"Noble County, Oklahoma","1,726",± 171
"Nobles County, Minnesota","2,932",± 251
"Nodaway County, Missouri","3,692",± 278
"Nolan County, Texas","1,566",± 255
"Nome Census Area, Alaska","1,556",± 154
"Norfolk city, Virginia","38,287","± 1,401"
"Norfolk County, Massachusetts","224,332","± 3,278"
"Norman County, Minnesota","1,124",± 79
"North Slope Borough, Alaska","2,016",± 361
"Northampton County, North Carolina","1,978",± 338
"Northampton County, Pennsylvania","62,795","± 1,759"
"Northampton County, Virginia","1,674",± 217
"Northeastern Connecticut Planning Region, Connecticut","17,385",± 958
"Northumberland County, Pennsylvania","12,669",± 657
"Northumberland County, Virginia","1,839",± 278
"Northwest Arctic Borough, Alaska",970,± 153
"Northwest Hills Planning Region, Connecticut","25,344",± 994
"Norton city, Virginia",615,± 220
"Norton County, Kansas",614,± 153
"Nottoway County, Virginia","2,002",± 290
"Nowata County, Oklahoma","1,282",± 138
"Noxubee County, Mississippi",782,± 176
"Nuckolls County, Nebraska",892,± 121
"Nueces County, Texas","52,455","± 1,884"
"Nye County, Nevada","4,307",± 657
"O'Brien County, Iowa","2,340",± 286
"Oakland County, Michigan","347,071","± 3,238"
"Obion County, Tennessee","3,928",± 331
"Ocean County, New Jersey","113,847","± 2,250"
"Oceana County, Michigan","3,078",± 235
"Ochiltree County, Texas","1,151",± 196
"Oconee County, Georgia","11,037",± 793
"Oconee County, South Carolina","11,305",± 928
"Oconto County, Wisconsin","5,987",± 342
"Ogemaw County, Michigan","2,311",± 177
"Oglala Lakota County, South Dakota","1,015",± 288
"Ogle County, Illinois","8,683",± 534
"Oglethorpe County, Georgia","2,454",± 324
"Ohio County, Indiana",907,± 147
"Ohio County, Kentucky","2,873",± 382
"Ohio County, West Virginia","7,081",± 565
"Okaloosa County, Florida","38,886","± 1,643"
"Okanogan County, Washington","5,859",± 493
"Okeechobee County, Florida","4,311",± 544
"Okfuskee County, Oklahoma","1,179",± 138
"Oklahoma County, Oklahoma","150,487","± 3,011"
"Okmulgee County, Oklahoma","4,420",± 307
"Oktibbeha County, Mississippi","9,701",± 819
"Oldham County, Kentucky","16,162",± 665
"Oldham County, Texas",347,± 70
"Oliver County, North Dakota",297,± 47
"Olmsted County, Minnesota","46,318","± 1,231"
"Oneida County, Idaho",769,± 149
"Oneida County, New York","41,009","± 1,314"
"Oneida County, Wisconsin","5,701",± 411
"Onondaga County, New York","100,760","± 2,055"
"Onslow County, North Carolina","23,133","± 1,344"
"Ontario County, New York","24,754",± 912
"Ontonagon County, Michigan",630,± 85
"Orange County, California","729,407","± 6,203"
"Orange County, Florida","288,904","± 4,838"
"Orange County, Indiana","2,572",± 329
"Orange County, New York","71,042","± 1,886"
"Orange County, North Carolina","43,115","± 1,172"
"Orange County, Texas","12,568",± 928
"Orange County, Vermont","7,175",± 388
"Orange County, Virginia","6,307",± 605
"Orangeburg County, South Carolina","8,809",± 765
"Oregon County, Missouri",830,± 149
"Orleans County, New York","5,225",± 377
"Orleans County, Vermont","5,051",± 397
"Orleans Parish, Louisiana","81,524","± 1,793"
"Orocovis Municipio, Puerto Rico","1,501",± 329
"Osage County, Kansas","2,448",± 216
"Osage County, Missouri","2,363",± 196
"Osage County, Oklahoma","6,419",± 377
"Osborne County, Kansas",756,± 89
"Osceola County, Florida","58,172","± 2,509"
"Osceola County, Iowa",937,± 120
"Osceola County, Michigan","2,347",± 211
"Oscoda County, Michigan",696,± 110
"Oswego County, New York","18,682","± 1,029"
"Otero County, Colorado","2,386",± 302
"Otero County, New Mexico","7,297",± 625
"Otoe County, Nebraska","2,953",± 303
"Otsego County, Michigan","3,927",± 407
"Otsego County, New York","10,168",± 571
"Ottawa County, Kansas","1,094",± 138
"Ottawa County, Michigan","60,594","± 1,798"
"Ottawa County, Ohio","6,500",± 462
"Ottawa County, Oklahoma","3,635",± 173
"Otter Tail County, Minnesota","10,164",± 418
"Ouachita County, Arkansas","2,580",± 421
"Ouachita Parish, Louisiana","25,856","± 1,383"
"Ouray County, Colorado","1,065",± 151
"Outagamie County, Wisconsin","39,372","± 1,215"
"Overton County, Tennessee","3,008",± 324
"Owen County, Indiana","2,699",± 304
"Owen County, Kentucky","1,463",± 218
"Owsley County, Kentucky",321,± 99
"Owyhee County, Idaho","1,410",± 150
"Oxford County, Maine","7,936",± 587
"Ozark County, Missouri",892,± 188
"Ozaukee County, Wisconsin","24,184",± 837
"Pacific County, Washington","2,771",± 327
"Page County, Iowa","2,172",± 261
"Page County, Virginia","2,684",± 404
"Palm Beach County, Florida","276,755","± 4,331"
"Palo Alto County, Iowa","1,344",± 185
"Palo Pinto County, Texas","3,730",± 352
"Pamlico County, North Carolina","1,247",± 168
"Panola County, Mississippi","3,264",± 512
"Panola County, Texas","2,670",± 392
"Park County, Colorado","3,798",± 514
"Park County, Montana","3,496",± 353
"Park County, Wyoming","5,371",± 531
"Parke County, Indiana","1,761",± 236
"Parker County, Texas","29,455","± 1,149"
"Parmer County, Texas","1,301",± 195
"Pasco County, Florida","98,699","± 2,626"
"Pasquotank County, North Carolina","6,023",± 576
"Passaic County, New Jersey","88,473","± 2,202"
"Patillas Municipio, Puerto Rico",858,± 264
"Patrick County, Virginia","2,340",± 288
"Paulding County, Georgia","31,766","± 1,563"
"Paulding County, Ohio","2,379",± 305
"Pawnee County, Kansas",881,± 172
"Pawnee County, Nebraska",374,± 67
"Pawnee County, Oklahoma","1,993",± 154
"Payette County, Idaho","3,427",± 440
"Payne County, Oklahoma","15,816",± 902
"Peach County, Georgia","3,597",± 441
"Pearl River County, Mississippi","7,338",± 757
"Pecos County, Texas","1,491",± 281
"Pembina County, North Dakota","1,085",± 116
"Pemiscot County, Missouri","1,340",± 196
"Pend Oreille County, Washington","1,617",± 184
"Pender County, North Carolina","10,201",± 776
"Pendleton County, Kentucky","1,895",± 334
"Pendleton County, West Virginia",679,± 170
"Pennington County, Minnesota","2,120",± 189
"Pennington County, South Dakota","20,451","± 1,055"
"Penobscot County, Maine","28,484","± 1,218"
"Peñuelas Municipio, Puerto Rico","1,555",± 376
"Peoria County, Illinois","35,254","± 1,057"
"Pepin County, Wisconsin","1,115",± 113
"Perkins County, Nebraska",534,± 78
"Perkins County, South Dakota",664,± 110
"Perquimans County, North Carolina","1,573",± 322
"Perry County, Alabama",614,± 196
"Perry County, Arkansas","1,130",± 185
"Perry County, Illinois","2,387",± 332
"Perry County, Indiana","2,303",± 301
"Perry County, Kentucky","3,087",± 433
"Perry County, Mississippi",864,± 204
"Perry County, Missouri","2,883",± 347
"Perry County, Ohio","4,158",± 441
"Perry County, Pennsylvania","7,087",± 372
"Perry County, Tennessee",872,± 212
"Pershing County, Nevada",556,± 188
"Person County, North Carolina","6,232",± 508
"Petersburg Borough, Alaska",407,± 100
"Petersburg city, Virginia","4,119",± 440
"Petroleum County, Montana",91,± 29
"Pettis County, Missouri","5,627",± 512
"Phelps County, Missouri","8,246",± 530
"Phelps County, Nebraska","1,466",± 200
"Philadelphia County, Pennsylvania","312,775","± 4,531"
"Phillips County, Arkansas","1,738",± 225
"Phillips County, Colorado",918,± 128
"Phillips County, Kansas",946,± 136
"Phillips County, Montana",615,± 121
"Piatt County, Illinois","3,390",± 258
"Pickaway County, Ohio","8,967",± 607
"Pickens County, Alabama","2,199",± 287
"Pickens County, Georgia","4,909",± 500
"Pickens County, South Carolina","22,998","± 1,103"
"Pickett County, Tennessee",690,± 194
"Pierce County, Georgia","2,357",± 382
"Pierce County, Nebraska","1,459",± 150
"Pierce County, North Dakota",902,± 131
"Pierce County, Washington","161,934","± 3,468"
"Pierce County, Wisconsin","8,044",± 453
"Pike County, Alabama","4,729",± 494
"Pike County, Arkansas","1,317",± 174
"Pike County, Georgia","3,217",± 334
"Pike County, Illinois","1,911",± 203
"Pike County, Indiana","1,343",± 289
"Pike County, Kentucky","7,103",± 566
"Pike County, Mississippi","4,357",± 553
"Pike County, Missouri","2,014",± 267
"Pike County, Ohio","3,408",± 497
"Pike County, Pennsylvania","8,606",± 524
"Pima County, Arizona","184,719","± 2,932"
"Pinal County, Arizona","57,031","± 2,074"
"Pine County, Minnesota","3,801",± 243
"Pinellas County, Florida","200,049","± 3,362"
"Pipestone County, Minnesota","1,573",± 149
"Piscataquis County, Maine","2,350",± 224
"Pitkin County, Colorado","4,722",± 560
"Pitt County, North Carolina","33,077","± 1,389"
"Pittsburg County, Oklahoma","6,066",± 402
"Pittsylvania County, Virginia","7,179",± 580
"Piute County, Utah",248,± 76
"Placer County, California","93,240","± 2,091"
"Plaquemines Parish, Louisiana","3,725",± 500
"Platte County, Missouri","27,412","± 1,000"
"Platte County, Nebraska","6,261",± 531
"Platte County, Wyoming","1,369",± 281
"Pleasants County, West Virginia",809,± 170
"Plumas County, California","2,631",± 388
"Plymouth County, Iowa","4,691",± 364
"Plymouth County, Massachusetts","121,230","± 2,560"
"Pocahontas County, Iowa","1,021",± 118
"Pocahontas County, West Virginia",616,± 140
"Poinsett County, Arkansas","2,546",± 272
"Pointe Coupee Parish, Louisiana","2,603",± 427
"Polk County, Arkansas","2,495",± 332
"Polk County, Florida","96,920","± 2,563"
"Polk County, Georgia","4,173",± 534
"Polk County, Iowa","115,218","± 2,444"
"Polk County, Minnesota","5,256",± 358
"Polk County, Missouri","4,713",± 455
"Polk County, Nebraska",995,± 92
"Polk County, North Carolina","2,947",± 289
"Polk County, Oregon","15,494",± 919
"Polk County, Tennessee","2,331",± 287
"Polk County, Texas","4,806",± 533
"Polk County, Wisconsin","7,106",± 302
"Ponce Municipio, Puerto Rico","13,064",± 796
"Pondera County, Montana","1,018",± 106
"Pontotoc County, Mississippi","3,654",± 423
"Pontotoc County, Oklahoma","6,589",± 354
"Pope County, Arkansas","8,815",± 615
"Pope County, Illinois",496,± 127
"Pope County, Minnesota","2,179",± 151
"Poquoson city, Virginia","3,139",± 316
"Portage County, Ohio","30,292","± 1,145"
"Portage County, Wisconsin","14,076",± 772
"Porter County, Indiana","33,000","± 1,277"
"Portsmouth city, Virginia","13,655",± 921
"Posey County, Indiana","4,421",± 395
"Pottawatomie County, Kansas","5,813",± 429
"Pottawatomie County, Oklahoma","9,924",± 422
"Pottawattamie County, Iowa","15,806",± 762
"Potter County, Pennsylvania","2,089",± 173
"Potter County, South Dakota",441,± 64
"Potter County, Texas","13,277",± 840
"Powder River County, Montana",401,± 71
"Powell County, Kentucky","1,287",± 246
"Powell County, Montana","1,102",± 175
"Power County, Idaho","1,151",± 184
"Poweshiek County, Iowa","3,370",± 296
"Powhatan County, Virginia","7,239",± 574
"Prairie County, Arkansas","1,122",± 176
"Prairie County, Montana",207,± 65
"Pratt County, Kansas","1,655",± 181
"Preble County, Ohio","6,639",± 411
"Prentiss County, Mississippi","3,020",± 528
"Presidio County, Texas","1,061",± 399
"Presque Isle County, Michigan","1,520",± 156
"Preston County, West Virginia","3,635",± 371
"Price County, Wisconsin","1,769",± 136
"Prince Edward County, Virginia","2,985",± 442
"Prince George County, Virginia","5,901",± 589
"Prince George's County, Maryland","212,277","± 3,335"
"Prince of Wales-Hyder Census Area, Alaska",921,± 107
"Prince William County, Virginia","116,640","± 2,246"
"Providence County, Rhode Island","129,379","± 2,959"
"Prowers County, Colorado","1,728",± 216
"Pueblo County, Colorado","23,572",± 960
"Pulaski County, Arkansas","81,502","± 2,071"
"Pulaski County, Georgia","1,285",± 266
"Pulaski County, Illinois",439,± 90
"Pulaski County, Indiana","1,643",± 230
"Pulaski County, Kentucky","8,515",± 645
"Pulaski County, Missouri","5,817",± 733
"Pulaski County, Virginia","4,702",± 408
"Pushmataha County, Oklahoma",980,± 135
"Putnam County, Florida","6,555",± 695
"Putnam County, Georgia","3,145",± 478
"Putnam County, Illinois",739,± 106
"Putnam County, Indiana","5,331",± 602
"Putnam County, Missouri",647,± 128
"Putnam County, New York","23,590",± 907
"Putnam County, Ohio","6,525",± 369
"Putnam County, Tennessee","13,267",± 853
"Putnam County, West Virginia","10,418",± 796
"Quay County, New Mexico","1,499",± 251
"Quebradillas Municipio, Puerto Rico","1,266",± 305
"Queen Anne's County, Maryland","11,155",± 590
"Queens County, New York","434,208","± 5,778"
"Quitman County, Georgia",99,± 54
"Quitman County, Mississippi",500,± 85
"Rabun County, Georgia","2,305",± 292
"Racine County, Wisconsin","32,861","± 1,071"
"Radford city, Virginia","3,267",± 349
"Rains County, Texas","1,941",± 301
"Raleigh County, West Virginia","9,728",± 938
"Ralls County, Missouri","1,357",± 224
"Ramsey County, Minnesota","131,511","± 2,538"
"Ramsey County, North Dakota","2,060",± 315
"Randall County, Texas","28,789","± 1,192"
"Randolph County, Alabama","2,702",± 421
"Randolph County, Arkansas","2,122",± 405
"Randolph County, Georgia",564,± 189
"Randolph County, Illinois","3,304",± 322
"Randolph County, Indiana","3,280",± 304
"Randolph County, Missouri","2,961",± 317
"Randolph County, North Carolina","19,666","± 1,164"
"Randolph County, West Virginia","3,487",± 440
"Rankin County, Mississippi","32,853","± 1,666"
"Ransom County, North Dakota",889,± 117
"Rapides Parish, Louisiana","19,092","± 1,279"
"Rappahannock County, Virginia","1,397",± 229
"Ravalli County, Montana","7,123",± 611
"Rawlins County, Kansas",490,± 82
"Ray County, Missouri","2,915",± 334
"Reagan County, Texas",540,± 143
"Real County, Texas",196,± 88
"Red Lake County, Minnesota",636,± 73
"Red River County, Texas","1,066",± 187
"Red River Parish, Louisiana",668,± 145
"Red Willow County, Nebraska","1,827",± 290
"Redwood County, Minnesota","2,536",± 168
"Reeves County, Texas","1,087",± 316
"Refugio County, Texas",504,± 116
"Reno County, Kansas","8,998",± 650
"Rensselaer County, New York","36,778","± 1,412"
"Renville County, Minnesota","2,291",± 135
"Renville County, North Dakota",303,± 55
"Republic County, Kansas",890,± 127
"Reynolds County, Missouri",666,± 135
"Rhea County, Tennessee","3,163",± 475
"Rice County, Kansas","1,416",± 157
"Rice County, Minnesota","11,620",± 610
"Rich County, Utah",258,± 76
"Richardson County, Nebraska","1,319",± 164
"Richland County, Illinois","2,266",± 267
"Richland County, Montana","1,698",± 227
"Richland County, North Dakota","2,874",± 229
"Richland County, Ohio","16,815",± 885
"Richland County, South Carolina","84,189","± 2,418"
"Richland County, Wisconsin","2,261",± 186
"Richland Parish, Louisiana","2,223",± 307
"Richmond city, Virginia","56,201","± 1,599"
"Richmond County, Georgia","27,451","± 1,427"
"Richmond County, New York","96,375","± 2,290"
"Richmond County, North Carolina","5,327",± 663
"Richmond County, Virginia",955,± 227
"Riley County, Kansas","15,309",± 781
"Rincón Municipio, Puerto Rico","1,665",± 327
"Ringgold County, Iowa",947,± 127
"Rio Arriba County, New Mexico","5,650",± 494
"Rio Blanco County, Colorado",845,± 174
"Rio Grande County, Colorado","1,965",± 319
"Río Grande Municipio, Puerto Rico","4,744",± 554
"Ripley County, Indiana","4,311",± 390
"Ripley County, Missouri","1,240",± 252
"Ritchie County, West Virginia",658,± 164
"Riverside County, California","343,113","± 4,274"
"Roane County, Tennessee","8,972",± 922
"Roane County, West Virginia","1,355",± 288
"Roanoke city, Virginia","16,609","± 1,060"
"Roanoke County, Virginia","21,246",± 939
"Roberts County, South Dakota","1,605",± 136
"Roberts County, Texas",160,± 40
"Robertson County, Kentucky",267,± 92
"Robertson County, Tennessee","13,204",± 757
"Robertson County, Texas","1,757",± 244
"Robeson County, North Carolina","11,905",± 522
"Rock County, Minnesota","2,084",± 199
"Rock County, Nebraska",302,± 60
"Rock County, Wisconsin","26,975","± 1,106"
"Rock Island County, Illinois","22,095",± 961
"Rockbridge County, Virginia","3,887",± 473
"Rockcastle County, Kentucky","1,726",± 282
"Rockdale County, Georgia","14,855",± 927
"Rockingham County, New Hampshire","82,553","± 1,975"
"Rockingham County, North Carolina","11,153",± 767
"Rockingham County, Virginia","14,191",± 653
"Rockland County, New York","70,977","± 1,779"
"Rockwall County, Texas","28,628","± 1,243"
"Roger Mills County, Oklahoma",474,± 88
"Rogers County, Oklahoma","16,381",± 597
"Rolette County, North Dakota","1,625",± 212
"Rooks County, Kansas",908,± 120
"Roosevelt County, Montana","1,434",± 148
"Roosevelt County, New Mexico","2,546",± 356
"Roscommon County, Michigan","2,542",± 303
"Roseau County, Minnesota","2,391",± 160
"Rosebud County, Montana","1,026",± 158
"Ross County, Ohio","9,963",± 649
"Routt County, Colorado","6,473",± 480
"Rowan County, Kentucky","4,315",± 547
"Rowan County, North Carolina","21,217","± 1,190"
"Runnels County, Texas","1,470",± 229
"Rush County, Indiana","2,341",± 302
"Rush County, Kansas",475,± 85
"Rusk County, Texas","6,436",± 574
"Rusk County, Wisconsin","1,681",± 180
"Russell County, Alabama","6,565",± 660
"Russell County, Kansas","1,060",± 208
"Russell County, Kentucky","2,323",± 320
"Russell County, Virginia","2,630",± 397
"Rutherford County, North Carolina","7,710",± 707
"Rutherford County, Tennessee","69,293","± 2,189"
"Rutland County, Vermont","10,798",± 606
"Sabana Grande Municipio, Puerto Rico","1,764",± 351
"Sabine County, Texas",798,± 196
"Sabine Parish, Louisiana","2,025",± 308
"Sac County, Iowa","1,681",± 156
"Sacramento County, California","304,802","± 4,314"
"Sagadahoc County, Maine","8,047",± 558
"Saginaw County, Michigan","27,689","± 1,011"
"Saguache County, Colorado","1,182",± 203
"Salem city, Virginia","5,011",± 451
"Salem County, New Jersey","10,567",± 663
"Salinas Municipio, Puerto Rico","1,925",± 313
"Saline County, Arkansas","23,568","± 1,173"
"Saline County, Illinois","3,508",± 337
"Saline County, Kansas","9,136",± 760
"Saline County, Missouri","3,529",± 334
"Saline County, Nebraska","2,425",± 271
"Salt Lake County, Utah","267,104","± 3,398"
"Saluda County, South Carolina","2,269",± 324
"Sampson County, North Carolina","7,047",± 609
"San Augustine County, Texas",628,± 159
"San Benito County, California","9,721",± 641
"San Bernardino County, California","295,831","± 4,319"
"San Diego County, California","714,467","± 7,930"
"San Francisco County, California","308,923","± 3,753"
"San Germán Municipio, Puerto Rico","2,341",± 399
"San Jacinto County, Texas","3,138",± 478
"San Joaquin County, California","101,844","± 2,732"
"San Juan County, Colorado",145,± 41
"San Juan County, New Mexico","12,969",± 911
"San Juan County, Utah","1,860",± 238
"San Juan County, Washington","3,381",± 166
"San Juan Municipio, Puerto Rico","54,685","± 1,841"
"San Lorenzo Municipio, Puerto Rico","3,436",± 522
"San Luis Obispo County, California","53,673","± 1,689"
"San Mateo County, California","216,081","± 2,562"
"San Miguel County, Colorado","2,281",± 240
"San Miguel County, New Mexico","3,513",± 486
"San Patricio County, Texas","9,360",± 671
"San Saba County, Texas",684,± 125
"San Sebastián Municipio, Puerto Rico","3,213",± 622
"Sanborn County, South Dakota",462,± 65
"Sanders County, Montana","1,400",± 199
"Sandoval County, New Mexico","27,129","± 1,308"
"Sandusky County, Ohio","7,993",± 644
"Sangamon County, Illinois","41,159","± 1,425"
"Sanilac County, Michigan","5,090",± 317
"Sanpete County, Utah","4,322",± 346
"Santa Barbara County, California","81,096","± 2,118"
"Santa Clara County, California","579,027","± 4,466"
"Santa Cruz County, Arizona","5,023",± 563
"Santa Cruz County, California","62,633","± 1,707"
"Santa Fe County, New Mexico","32,246","± 1,117"
"Santa Isabel Municipio, Puerto Rico","1,827",± 294
"Santa Rosa County, Florida","32,048","± 1,322"
"Sarasota County, Florida","70,081","± 2,234"
"Saratoga County, New York","61,236","± 1,871"
"Sargent County, North Dakota",728,± 64
"Sarpy County, Nebraska","45,056","± 1,304"
"Sauk County, Wisconsin","11,824",± 577
"Saunders County, Nebraska","4,578",± 322
"Sawyer County, Wisconsin","2,594",± 237
"Schenectady County, New York","33,226","± 1,269"
"Schleicher County, Texas",316,± 90
"Schley County, Georgia",593,± 123
"Schoharie County, New York","5,181",± 329
"Schoolcraft County, Michigan",931,± 130
"Schuyler County, Illinois",927,± 145
"Schuyler County, Missouri",513,± 97
"Schuyler County, New York","2,934",± 276
"Schuylkill County, Pennsylvania","19,955",± 814
"Scioto County, Ohio","8,848",± 627
"Scotland County, Missouri",650,± 134
"Scotland County, North Carolina","3,296",± 316
"Scott County, Arkansas","1,088",± 188
"Scott County, Illinois",874,± 114
"Scott County, Indiana","2,575",± 426
"Scott County, Iowa","35,891","± 1,229"
"Scott County, Kansas",807,± 283
"Scott County, Kentucky","11,049",± 731
"Scott County, Minnesota","37,455","± 1,156"
"Scott County, Mississippi","2,947",± 413
"Scott County, Missouri","5,461",± 455
"Scott County, Tennessee","2,412",± 378
"Scott County, Virginia","2,299",± 300
"Scotts Bluff County, Nebraska","5,473",± 444
"Screven County, Georgia","1,597",± 257
"Scurry County, Texas","1,710",± 328
"Searcy County, Arkansas",943,± 180
"Sebastian County, Arkansas","19,911","± 1,245"
"Sedgwick County, Colorado",373,± 71
"Sedgwick County, Kansas","94,536","± 1,920"
"Seminole County, Florida","111,453","± 2,674"
"Seminole County, Georgia","1,172",± 168
"Seminole County, Oklahoma","2,156",± 170
"Seneca County, New York","5,109",± 335
"Seneca County, Ohio","7,727",± 504
"Sequatchie County, Tennessee","1,653",± 279
"Sequoyah County, Oklahoma","4,312",± 303
"Sevier County, Arkansas","1,372",± 220
"Sevier County, Tennessee","13,363","± 1,009"
"Sevier County, Utah","2,941",± 270
"Seward County, Kansas","2,386",± 323
"Seward County, Nebraska","3,463",± 284
"Shackelford County, Texas",462,± 108
"Shannon County, Missouri",696,± 155
"Sharkey County, Mississippi",310,± 84
"Sharp County, Arkansas","1,650",± 227
"Shasta County, California","28,293","± 1,116"
"Shawano County, Wisconsin","5,965",± 339
"Shawnee County, Kansas","33,280","± 1,149"
"Sheboygan County, Wisconsin","19,935",± 793
"Shelby County, Alabama","53,965","± 1,284"
"Shelby County, Illinois","3,077",± 310
"Shelby County, Indiana","7,131",± 572
"Shelby County, Iowa","2,314",± 248
"Shelby County, Kentucky","8,578",± 605
"Shelby County, Missouri",808,± 113
"Shelby County, Ohio","7,459",± 509
"Shelby County, Tennessee","160,708","± 3,028"
"Shelby County, Texas","2,842",± 313
"Shenandoah County, Virginia","6,162",± 540
"Sherburne County, Minnesota","19,383","± 1,000"
"Sheridan County, Kansas",556,± 78
"Sheridan County, Montana",609,± 99
"Sheridan County, Nebraska",943,± 128
"Sheridan County, North Dakota",247,± 46
"Sheridan County, Wyoming","6,286",± 487
"Sherman County, Kansas","1,178",± 211
"Sherman County, Nebraska",495,± 66
"Sherman County, Oregon",288,± 55
"Sherman County, Texas",353,± 88
"Shiawassee County, Michigan","9,476",± 509
"Shoshone County, Idaho","1,457",± 198
"Sibley County, Minnesota","2,480",± 182
"Sierra County, California",636,± 195
"Sierra County, New Mexico","1,438",± 301
"Silver Bow County, Montana","5,413",± 570
"Simpson County, Kentucky","2,276",± 375
"Simpson County, Mississippi","3,044",± 386
