Geography,Percent with a disability—Total civilian noninstitutionalized population—DISABILITY TYPE BY DETAILED AGE—With an ambulatory difficulty—Estimate,MoE
"Lincoln County, New Mexico",12.50%,± 2.1%
"Lincoln County, North Carolina",8%,± 1%
"Lincoln County, Oklahoma",11.30%,± 0.9%
"Lincoln County, Oregon",12.90%,± 1.1%
"Lincoln County, South Dakota",3.60%,± 0.6%
"Lincoln County, Tennessee",8.80%,± 1%
"Lincoln County, Washington",12.30%,± 1.3%
"Lincoln County, West Virginia",17.20%,± 2.4%
"Lincoln County, Wisconsin",7.70%,± 1%
"Lincoln County, Wyoming",4.20%,± 1.1%
"Lincoln Parish, Louisiana",6.80%,± 1.1%
"Linn County, Iowa",4.80%,± 0.3%
"Linn County, Kansas",11.10%,± 1.7%
"Linn County, Missouri",8.80%,± 1.6%
"Linn County, Oregon",9.10%,± 0.7%
"Lipscomb County, Texas",5.20%,± 1.5%
"Little River County, Arkansas",11.20%,± 2.4%
"Live Oak County, Texas",9.10%,± 1.9%
"Livingston County, Illinois",8.30%,± 1%
"Livingston County, Kentucky",12.40%,± 2.5%
"Livingston County, Michigan",5.10%,± 0.4%
"Livingston County, Missouri",8.50%,± 1.7%
"Livingston County, New York",6.60%,± 0.7%
"Livingston Parish, Louisiana",7.20%,± 0.8%
"Llano County, Texas",11.10%,± 1.5%
"Logan County, Arkansas",12.50%,± 1.7%
"Logan County, Colorado",7.60%,± 1.4%
"Logan County, Illinois",8.10%,± 1%
"Logan County, Kansas",9.70%,± 2.6%
"Logan County, Kentucky",8.80%,± 1.2%
"Logan County, Nebraska",4.70%,± 2.3%
"Logan County, North Dakota",7.40%,± 2%
"Logan County, Ohio",6.40%,± 0.7%
"Logan County, Oklahoma",9.50%,± 1.3%
"Logan County, West Virginia",18.60%,± 1.9%
"Loíza Municipio, Puerto Rico",14.20%,± 1.6%
"Long County, Georgia",11.90%,± 2.8%
"Lonoke County, Arkansas",9.10%,± 1%
"Lorain County, Ohio",7.50%,± 0.5%
"Los Alamos County, New Mexico",5.70%,± 1.3%
"Los Angeles County, California",5.90%,± 0.1%
"Loudon County, Tennessee",7.70%,± 1%
"Loudoun County, Virginia",2.80%,± 0.2%
"Louisa County, Iowa",7.70%,± 1.2%
"Louisa County, Virginia",9%,± 1.2%
"Loup County, Nebraska",10%,± 4.5%
"Love County, Oklahoma",11.70%,± 1.3%
"Loving County, Texas",21.90%,± 23.5%
"Lower Connecticut River Valley Planning Region, Connecticut",5.10%,± 0.4%
"Lowndes County, Alabama",15.30%,± 2.3%
"Lowndes County, Georgia",5.30%,± 0.6%
"Lowndes County, Mississippi",6.60%,± 0.8%
"Lubbock County, Texas",6.60%,± 0.3%
"Lucas County, Iowa",8.90%,± 1.8%
"Lucas County, Ohio",7.60%,± 0.3%
"Luce County, Michigan",12.60%,± 1.9%
"Lumpkin County, Georgia",5.90%,± 1.1%
"Luna County, New Mexico",12%,± 1.7%
"Lunenburg County, Virginia",12.70%,± 1.9%
"Luquillo Municipio, Puerto Rico",15.40%,± 1.8%
"Luzerne County, Pennsylvania",7.90%,± 0.3%
"Lycoming County, Pennsylvania",8%,± 0.6%
"Lyman County, South Dakota",9.40%,± 1.8%
"Lynchburg city, Virginia",6.20%,± 0.7%
"Lynn County, Texas",10.90%,± 1.7%
"Lyon County, Iowa",4.80%,± 0.7%
"Lyon County, Kansas",7.30%,± 1.1%
"Lyon County, Kentucky",11.90%,± 2.3%
"Lyon County, Minnesota",6.50%,± 0.9%
"Lyon County, Nevada",8.10%,± 0.8%
"Mackinac County, Michigan",8.10%,± 1.3%
"Macomb County, Michigan",7.40%,± 0.2%
"Macon County, Alabama",10.40%,± 1.4%
"Macon County, Georgia",8.10%,± 1.8%
"Macon County, Illinois",7.90%,± 0.6%
"Macon County, Missouri",9.70%,± 1.3%
"Macon County, North Carolina",10.50%,± 1.6%
"Macon County, Tennessee",9.50%,± 1.5%
"Macoupin County, Illinois",8.70%,± 0.9%
"Madera County, California",6.90%,± 0.6%
"Madison County, Alabama",6.80%,± 0.4%
"Madison County, Arkansas",11.50%,± 2.4%
"Madison County, Florida",10.10%,± 1.9%
"Madison County, Georgia",10.50%,± 1.6%
"Madison County, Idaho",2.10%,± 0.5%
"Madison County, Illinois",8.30%,± 0.4%
"Madison County, Indiana",10.20%,± 0.6%
"Madison County, Iowa",5.20%,± 0.9%
"Madison County, Kentucky",7.50%,± 0.8%
"Madison County, Mississippi",6%,± 0.6%
"Madison County, Missouri",12.80%,± 2%
"Madison County, Montana",6.10%,± 1.8%
"Madison County, Nebraska",5.60%,± 0.9%
"Madison County, New York",5.90%,± 0.6%
"Madison County, North Carolina",8.70%,± 1.4%
"Madison County, Ohio",8.20%,± 0.8%
"Madison County, Tennessee",9.50%,± 0.8%
"Madison County, Texas",8%,± 1.5%
"Madison County, Virginia",8.50%,± 1.9%
"Madison Parish, Louisiana",11.50%,± 2.2%
"Magoffin County, Kentucky",19.70%,± 2.9%
"Mahaska County, Iowa",7.10%,± 0.9%
"Mahnomen County, Minnesota",8.90%,± 0.9%
"Mahoning County, Ohio",8.60%,± 0.5%
"Major County, Oklahoma",11.20%,± 1.9%
"Malheur County, Oregon",8.50%,± 0.8%
"Manassas city, Virginia",4.50%,± 0.9%
"Manassas Park city, Virginia",4.50%,± 1.3%
"Manatee County, Florida",7.70%,± 0.4%
"Manatí Municipio, Puerto Rico",13%,± 1.4%
"Manistee County, Michigan",8.70%,± 0.9%
"Manitowoc County, Wisconsin",5.70%,± 0.6%
"Marathon County, Wisconsin",5.70%,± 0.5%
"Marengo County, Alabama",14.90%,± 2.4%
"Maricao Municipio, Puerto Rico",4.40%,± 2%
"Maricopa County, Arizona",5.80%,± 0.1%
"Maries County, Missouri",10.70%,± 2.1%
"Marin County, California",4.50%,± 0.3%
"Marinette County, Wisconsin",7.70%,± 0.9%
"Marion County, Alabama",15.90%,± 1.7%
"Marion County, Arkansas",13.20%,± 1.9%
"Marion County, Florida",9%,± 0.4%
"Marion County, Georgia",10.10%,± 2.2%
"Marion County, Illinois",9.40%,± 0.8%
"Marion County, Indiana",7%,± 0.2%
"Marion County, Iowa",7.30%,± 1%
"Marion County, Kansas",7.60%,± 0.9%
"Marion County, Kentucky",11.40%,± 2%
"Marion County, Mississippi",13.10%,± 1.7%
"Marion County, Missouri",8.80%,± 1.1%
"Marion County, Ohio",9.60%,± 1%
"Marion County, Oregon",7.60%,± 0.4%
"Marion County, South Carolina",10.40%,± 1.6%
"Marion County, Tennessee",12%,± 1.6%
"Marion County, Texas",14.50%,± 2%
"Marion County, West Virginia",9.40%,± 0.7%
"Mariposa County, California",10.10%,± 1.9%
"Marlboro County, South Carolina",11.40%,± 1.6%
"Marquette County, Michigan",6.80%,± 0.7%
"Marquette County, Wisconsin",8.70%,± 1.2%
"Marshall County, Alabama",8.40%,± 0.6%
"Marshall County, Illinois",7.80%,± 1.2%
"Marshall County, Indiana",6.30%,± 0.7%
"Marshall County, Iowa",5.20%,± 0.8%
"Marshall County, Kansas",7.20%,± 1.5%
"Marshall County, Kentucky",9.30%,± 1.4%
"Marshall County, Minnesota",7.40%,± 0.8%
"Marshall County, Mississippi",10.90%,± 1.4%
"Marshall County, Oklahoma",13.80%,± 1.8%
"Marshall County, South Dakota",3.70%,± 1.3%
"Marshall County, Tennessee",6.10%,± 0.9%
"Marshall County, West Virginia",9.90%,± 1.3%
"Martin County, Florida",7.80%,± 0.7%
"Martin County, Indiana",8.90%,± 2.2%
"Martin County, Kentucky",18%,± 3.1%
"Martin County, Minnesota",7.10%,± 1.2%
"Martin County, North Carolina",14.50%,± 2.2%
"Martin County, Texas",4.80%,± 2.4%
"Martinsville city, Virginia",14.40%,± 2.2%
"Mason County, Illinois",8.50%,± 1.4%
"Mason County, Kentucky",11.50%,± 1.7%
"Mason County, Michigan",8.70%,± 0.9%
"Mason County, Texas",15.30%,± 3.6%
"Mason County, Washington",10.60%,± 0.9%
"Mason County, West Virginia",11%,± 1.7%
"Massac County, Illinois",15%,± 1.8%
"Matagorda County, Texas",9.60%,± 1.6%
"Matanuska-Susitna Borough, Alaska",6.70%,± 0.5%
"Mathews County, Virginia",10.70%,± 3.6%
"Maui County, Hawaii",5.40%,± 0.4%
"Maunabo Municipio, Puerto Rico",6.50%,± 2.1%
"Maury County, Tennessee",6.40%,± 0.6%
"Maverick County, Texas",6.30%,± 1%
"Mayagüez Municipio, Puerto Rico",13.40%,± 0.8%
"Mayes County, Oklahoma",12.50%,± 0.9%
"McClain County, Oklahoma",7.70%,± 1%
"McCone County, Montana",5.70%,± 2.4%
"McCook County, South Dakota",5.90%,± 2.2%
"McCormick County, South Carolina",11.10%,± 2.2%
"McCracken County, Kentucky",8.90%,± 0.9%
"McCreary County, Kentucky",16%,± 2.6%
"McCulloch County, Texas",13.40%,± 2.8%
"McCurtain County, Oklahoma",12.50%,± 0.9%
"McDonald County, Missouri",9.70%,± 1.5%
"McDonough County, Illinois",7.40%,± 1.2%
"McDowell County, North Carolina",11.70%,± 1.5%
"McDowell County, West Virginia",19.10%,± 2%
"McDuffie County, Georgia",6.60%,± 1.2%
"McHenry County, Illinois",4.60%,± 0.3%
"McHenry County, North Dakota",6.50%,± 1.5%
"McIntosh County, Georgia",14%,± 3%
"McIntosh County, North Dakota",5.30%,± 1.4%
"McIntosh County, Oklahoma",14.60%,± 1.6%
"McKean County, Pennsylvania",8.20%,± 0.6%
"McKenzie County, North Dakota",4.10%,± 1.8%
"McKinley County, New Mexico",8.60%,± 0.7%
"McLean County, Illinois",4.30%,± 0.4%
"McLean County, Kentucky",9.10%,± 1.8%
"McLean County, North Dakota",5.50%,± 1.2%
"McLennan County, Texas",7.40%,± 0.5%
"McLeod County, Minnesota",6.30%,± 0.8%
"McMinn County, Tennessee",11.20%,± 1%
"McMullen County, Texas",9%,± 8.2%
"McNairy County, Tennessee",9.40%,± 1.4%
"McPherson County, Kansas",6.70%,± 1%
"McPherson County, Nebraska",4.10%,± 3.3%
"McPherson County, South Dakota",7.40%,± 3.1%
"Meade County, Kansas",3.80%,± 1.4%
"Meade County, Kentucky",11.90%,± 1.6%
"Meade County, South Dakota",6.80%,± 1.3%
"Meagher County, Montana",9.20%,± 4.2%
"Mecklenburg County, North Carolina",4%,± 0.2%
"Mecklenburg County, Virginia",11.10%,± 1.4%
"Mecosta County, Michigan",8.70%,± 0.7%
"Medina County, Ohio",5.40%,± 0.5%
"Medina County, Texas",10.10%,± 1.3%
"Meeker County, Minnesota",5.40%,± 0.7%
"Meigs County, Ohio",13.30%,± 1.5%
"Meigs County, Tennessee",12.50%,± 1.8%
"Mellette County, South Dakota",7.30%,± 2.3%
"Menard County, Illinois",7.20%,± 1.3%
"Menard County, Texas",19.10%,± 7%
"Mendocino County, California",9.50%,± 0.9%
"Menifee County, Kentucky",19.70%,± 3.9%
"Menominee County, Michigan",7.20%,± 0.9%
"Menominee County, Wisconsin",9.30%,± 2%
"Merced County, California",7.10%,± 0.4%
"Mercer County, Illinois",7.40%,± 1.1%
"Mercer County, Kentucky",9.70%,± 1.6%
"Mercer County, Missouri",8.90%,± 1.9%
"Mercer County, New Jersey",5.40%,± 0.3%
"Mercer County, North Dakota",7.20%,± 1.8%
"Mercer County, Ohio",5.60%,± 0.6%
"Mercer County, Pennsylvania",8.90%,± 0.6%
"Mercer County, West Virginia",13.90%,± 1.2%
"Meriwether County, Georgia",13.20%,± 2%
"Merrick County, Nebraska",8.10%,± 1.8%
"Merrimack County, New Hampshire",6.30%,± 0.5%
"Mesa County, Colorado",7.40%,± 0.6%
"Metcalfe County, Kentucky",11.20%,± 2.4%
"Miami County, Indiana",8.50%,± 1%
"Miami County, Kansas",6.20%,± 1%
"Miami County, Ohio",6.50%,± 0.7%
"Miami-Dade County, Florida",5.80%,± 0.1%
"Middlesex County, Massachusetts",4.40%,± 0.1%
"Middlesex County, New Jersey",5.30%,± 0.2%
"Middlesex County, Virginia",8.20%,± 1.8%
"Midland County, Michigan",6.70%,± 0.6%
"Midland County, Texas",5.10%,± 0.6%
"Mifflin County, Pennsylvania",7.10%,± 0.8%
"Milam County, Texas",8.90%,± 1.1%
"Millard County, Utah",6.70%,± 1.3%
"Mille Lacs County, Minnesota",7.60%,± 0.8%
"Miller County, Arkansas",10.40%,± 1.1%
"Miller County, Georgia",9.20%,± 2.2%
"Miller County, Missouri",9.20%,± 1.3%
"Mills County, Iowa",7.30%,± 1.4%
"Mills County, Texas",10.60%,± 1.9%
"Milwaukee County, Wisconsin",6.60%,± 0.2%
"Miner County, South Dakota",11.30%,± 3.7%
"Mineral County, Colorado",5.30%,± 3%
"Mineral County, Montana",8.60%,± 1.6%
"Mineral County, Nevada",8.50%,± 2.7%
"Mineral County, West Virginia",8.20%,± 1.6%
"Mingo County, West Virginia",21.60%,± 2.3%
"Minidoka County, Idaho",6.80%,± 1%
"Minnehaha County, South Dakota",4.90%,± 0.4%
"Missaukee County, Michigan",8.10%,± 1%
"Mississippi County, Arkansas",12.20%,± 1.1%
"Mississippi County, Missouri",15.70%,± 2.6%
"Missoula County, Montana",5.30%,± 0.5%
"Mitchell County, Georgia",12.70%,± 2.1%
"Mitchell County, Iowa",5.20%,± 1.1%
"Mitchell County, Kansas",6.10%,± 1.6%
"Mitchell County, North Carolina",11.40%,± 2%
"Mitchell County, Texas",7.90%,± 2.1%
"Mobile County, Alabama",7.90%,± 0.3%
"Moca Municipio, Puerto Rico",12.80%,± 1.4%
"Modoc County, California",12.60%,± 3.2%
"Moffat County, Colorado",5.80%,± 1.6%
"Mohave County, Arizona",12.40%,± 0.6%
"Moniteau County, Missouri",7.20%,± 1.1%
"Monmouth County, New Jersey",5.40%,± 0.2%
"Mono County, California",3.20%,± 1.4%
"Monona County, Iowa",6.90%,± 1.3%
"Monongalia County, West Virginia",5.80%,± 0.5%
"Monroe County, Alabama",9.80%,± 1.6%
"Monroe County, Arkansas",16.90%,± 2.6%
"Monroe County, Florida",5.80%,± 0.7%
"Monroe County, Georgia",7.80%,± 1.2%
"Monroe County, Illinois",6.40%,± 0.8%
"Monroe County, Indiana",5%,± 0.5%
"Monroe County, Iowa",6.70%,± 1.7%
"Monroe County, Kentucky",14.30%,± 1.9%
"Monroe County, Michigan",7.60%,± 0.6%
"Monroe County, Mississippi",8.30%,± 1.1%
"Monroe County, Missouri",9.80%,± 2.1%
"Monroe County, New York",6.60%,± 0.3%
"Monroe County, Ohio",10.30%,± 1.9%
"Monroe County, Pennsylvania",6.90%,± 0.7%
"Monroe County, Tennessee",13.40%,± 1.6%
"Monroe County, West Virginia",12.30%,± 2.4%
"Monroe County, Wisconsin",7.10%,± 0.8%
"Montague County, Texas",10.80%,± 1.5%
"Montcalm County, Michigan",8.70%,± 0.6%
"Monterey County, California",4.60%,± 0.2%
"Montezuma County, Colorado",7.60%,± 1.7%
"Montgomery County, Alabama",9.70%,± 0.6%
"Montgomery County, Arkansas",15.10%,± 2.9%
"Montgomery County, Georgia",8.80%,± 1.8%
"Montgomery County, Illinois",9.60%,± 1%
"Montgomery County, Indiana",9.40%,± 1.1%
"Montgomery County, Iowa",7.40%,± 1.3%
"Montgomery County, Kansas",12.30%,± 1.5%
"Montgomery County, Kentucky",11.40%,± 1.8%
"Montgomery County, Maryland",4.10%,± 0.2%
"Montgomery County, Mississippi",14.10%,± 2.5%
"Montgomery County, Missouri",11%,± 1.6%
"Montgomery County, New York",8.40%,± 0.8%
"Montgomery County, North Carolina",10.60%,± 1.8%
"Montgomery County, Ohio",8.30%,± 0.3%
"Montgomery County, Pennsylvania",4.90%,± 0.2%
"Montgomery County, Tennessee",7.20%,± 0.6%
"Montgomery County, Texas",5%,± 0.3%
"Montgomery County, Virginia",5.10%,± 0.6%
"Montmorency County, Michigan",12.10%,± 1.4%
"Montour County, Pennsylvania",7%,± 1.2%
"Montrose County, Colorado",7.20%,± 1%
"Moody County, South Dakota",5.60%,± 1.2%
"Moore County, North Carolina",7.60%,± 0.7%
"Moore County, Tennessee",7.30%,± 2%
"Moore County, Texas",5.50%,± 1%
"Mora County, New Mexico",17.10%,± 4.7%
"Morehouse Parish, Louisiana",9%,± 1.4%
"Morgan County, Alabama",8.70%,± 0.6%
"Morgan County, Colorado",4.90%,± 0.8%
"Morgan County, Georgia",8%,± 1.6%
"Morgan County, Illinois",10.60%,± 1.3%
"Morgan County, Indiana",8%,± 0.7%
"Morgan County, Kentucky",19.60%,± 1.9%
"Morgan County, Missouri",11.30%,± 1.5%
"Morgan County, Ohio",12%,± 1.5%
"Morgan County, Tennessee",12.50%,± 1.7%
"Morgan County, Utah",1.90%,± 0.7%
"Morgan County, West Virginia",9%,± 1.5%
"Morovis Municipio, Puerto Rico",11.40%,± 1.7%
"Morrill County, Nebraska",6.90%,± 1.5%
"Morris County, Kansas",10.20%,± 2.3%
"Morris County, New Jersey",4.30%,± 0.2%
"Morris County, Texas",14%,± 2.2%
"Morrison County, Minnesota",6.10%,± 0.8%
"Morrow County, Ohio",7.40%,± 1.1%
"Morrow County, Oregon",9.30%,± 1.2%
"Morton County, Kansas",10.40%,± 2.9%
"Morton County, North Dakota",4%,± 0.9%
"Motley County, Texas",13.30%,± 5.5%
"Moultrie County, Illinois",6.50%,± 1%
"Mountrail County, North Dakota",7.50%,± 1.6%
"Mower County, Minnesota",6.20%,± 0.7%
"Muhlenberg County, Kentucky",11.80%,± 1.2%
"Multnomah County, Oregon",5.60%,± 0.2%
"Murray County, Georgia",8.30%,± 1.3%
"Murray County, Minnesota",6%,± 1%
"Murray County, Oklahoma",13.70%,± 1.7%
"Muscatine County, Iowa",6.30%,± 0.8%
"Muscogee County, Georgia",9%,± 0.5%
"Muskegon County, Michigan",7.70%,± 0.4%
"Muskingum County, Ohio",8.10%,± 0.8%
"Muskogee County, Oklahoma",11.50%,± 0.8%
"Musselshell County, Montana",10.60%,± 2.4%
"Nacogdoches County, Texas",7.20%,± 0.6%
"Naguabo Municipio, Puerto Rico",3.90%,± 1.2%
"Nance County, Nebraska",6.60%,± 1.8%
"Nantucket County, Massachusetts",3.60%,± 1.1%
"Napa County, California",6.20%,± 0.5%
"Naranjito Municipio, Puerto Rico",16.60%,± 2.5%
"Nash County, North Carolina",8.70%,± 0.9%
"Nassau County, Florida",8.60%,± 1%
"Nassau County, New York",4.70%,± 0.1%
"Natchitoches Parish, Louisiana",10.10%,± 1.1%
"Natrona County, Wyoming",6.70%,± 0.7%
"Naugatuck Valley Planning Region, Connecticut",6.80%,± 0.4%
"Navajo County, Arizona",9.50%,± 0.7%
"Navarro County, Texas",10.40%,± 0.9%
"Nelson County, Kentucky",7.30%,± 1%
"Nelson County, North Dakota",7.60%,± 1.9%
"Nelson County, Virginia",8.90%,± 2.3%
"Nemaha County, Kansas",6.10%,± 1%
"Nemaha County, Nebraska",8.80%,± 1.9%
"Neosho County, Kansas",9.10%,± 1.3%
"Neshoba County, Mississippi",11%,± 1.5%
"Ness County, Kansas",5.50%,± 1.4%
"Nevada County, Arkansas",13.40%,± 3.3%
"Nevada County, California",6.90%,± 0.7%
"New Castle County, Delaware",6.30%,± 0.3%
"New Hanover County, North Carolina",5.80%,± 0.5%
"New Kent County, Virginia",5.30%,± 1.3%
"New Madrid County, Missouri",14.70%,± 1.6%
"New York County, New York",6.60%,± 0.2%
"Newaygo County, Michigan",9.60%,± 0.6%
"Newberry County, South Carolina",9.60%,± 1.2%
"Newport County, Rhode Island",5.40%,± 0.6%
"Newport News city, Virginia",7.60%,± 0.5%
"Newton County, Arkansas",10.60%,± 2.9%
"Newton County, Georgia",7.60%,± 0.7%
"Newton County, Indiana",10.90%,± 1.8%
"Newton County, Mississippi",13%,± 1.8%
"Newton County, Missouri",8.30%,± 0.9%
"Newton County, Texas",11%,± 1.9%
"Nez Perce County, Idaho",9.20%,± 1.2%
"Niagara County, New York",8.30%,± 0.5%
"Nicholas County, Kentucky",12.90%,± 3.3%
"Nicholas County, West Virginia",12.20%,± 1.8%
"Nicollet County, Minnesota",4%,± 0.6%
"Niobrara County, Wyoming",7.90%,± 3.1%
"Noble County, Indiana",7.60%,± 1%
"Noble County, Ohio",11.40%,± 2.3%
"Noble County, Oklahoma",9.40%,± 1.7%
"Nobles County, Minnesota",4.80%,± 0.7%
"Nodaway County, Missouri",5.80%,± 1.1%
"Nolan County, Texas",9.90%,± 1.6%
"Nome Census Area, Alaska",3.50%,± 0.5%
"Norfolk city, Virginia",8.10%,± 0.5%
"Norfolk County, Massachusetts",4.50%,± 0.2%
"Norman County, Minnesota",7.30%,± 1.2%
"North Slope Borough, Alaska",5%,± 1.3%
"Northampton County, North Carolina",10.90%,± 1.7%
"Northampton County, Pennsylvania",6.40%,± 0.4%
"Northampton County, Virginia",10.50%,± 1.8%
"Northeastern Connecticut Planning Region, Connecticut",7%,± 0.7%
"Northumberland County, Pennsylvania",9.10%,± 0.6%
"Northumberland County, Virginia",6.20%,± 1.6%
"Northwest Arctic Borough, Alaska",4.10%,± 0.7%
"Northwest Hills Planning Region, Connecticut",5.70%,± 0.6%
"Norton city, Virginia",15.20%,± 5%
"Norton County, Kansas",4.90%,± 2.2%
"Nottoway County, Virginia",7.60%,± 1.5%
"Nowata County, Oklahoma",11.30%,± 1.5%
"Noxubee County, Mississippi",16.10%,± 2.9%
"Nuckolls County, Nebraska",6.90%,± 1.6%
"Nueces County, Texas",7.80%,± 0.4%
"Nye County, Nevada",12.70%,± 1.5%
"O'Brien County, Iowa",8%,± 1.5%
"Oakland County, Michigan",5.90%,± 0.2%
"Obion County, Tennessee",13.30%,± 1.6%
"Ocean County, New Jersey",7.50%,± 0.3%
"Oceana County, Michigan",8.40%,± 0.7%
"Ochiltree County, Texas",9%,± 2.2%
"Oconee County, Georgia",4.10%,± 0.8%
"Oconee County, South Carolina",9.60%,± 0.9%
"Oconto County, Wisconsin",6.90%,± 0.6%
"Ogemaw County, Michigan",12%,± 1.1%
"Oglala Lakota County, South Dakota",7.10%,± 2%
"Ogle County, Illinois",7.40%,± 0.9%
"Oglethorpe County, Georgia",7.40%,± 1.7%
"Ohio County, Indiana",11.30%,± 2.3%
"Ohio County, Kentucky",10.80%,± 1.7%
"Ohio County, West Virginia",8.70%,± 1%
"Okaloosa County, Florida",7.80%,± 0.6%
"Okanogan County, Washington",7.90%,± 0.9%
"Okeechobee County, Florida",10.80%,± 1.5%
"Okfuskee County, Oklahoma",11.60%,± 1.7%
"Oklahoma County, Oklahoma",7.20%,± 0.2%
"Okmulgee County, Oklahoma",13.80%,± 1.1%
"Oktibbeha County, Mississippi",5.40%,± 0.9%
"Oldham County, Kentucky",4.10%,± 0.6%
"Oldham County, Texas",6.70%,± 2.4%
"Oliver County, North Dakota",5.30%,± 1.7%
"Olmsted County, Minnesota",4.10%,± 0.3%
"Oneida County, Idaho",8.50%,± 2.1%
"Oneida County, New York",7.90%,± 0.5%
"Oneida County, Wisconsin",6.50%,± 0.7%
"Onondaga County, New York",7%,± 0.3%
"Onslow County, North Carolina",7.90%,± 0.7%
"Ontario County, New York",6.70%,± 0.5%
"Ontonagon County, Michigan",9.60%,± 1%
"Orange County, California",4.60%,± 0.1%
"Orange County, Florida",5.60%,± 0.2%
"Orange County, Indiana",11.70%,± 1.6%
"Orange County, New York",6.20%,± 0.4%
"Orange County, North Carolina",3.70%,± 0.4%
"Orange County, Texas",9.50%,± 1%
"Orange County, Vermont",6%,± 0.7%
"Orange County, Virginia",8.30%,± 1.1%
"Orangeburg County, South Carolina",8.60%,± 0.7%
"Oregon County, Missouri",16%,± 2.7%
"Orleans County, New York",9.10%,± 1.3%
"Orleans County, Vermont",8.80%,± 1%
"Orleans Parish, Louisiana",7.80%,± 0.4%
"Orocovis Municipio, Puerto Rico",11.70%,± 1.7%
"Osage County, Kansas",9.10%,± 1.4%
"Osage County, Missouri",6.40%,± 1.1%
"Osage County, Oklahoma",11.50%,± 0.8%
"Osborne County, Kansas",8.20%,± 1.5%
"Osceola County, Florida",7.10%,± 0.4%
"Osceola County, Iowa",5.70%,± 1.2%
"Osceola County, Michigan",10.30%,± 1%
"Oscoda County, Michigan",11.80%,± 1.8%
"Oswego County, New York",7.10%,± 0.6%
"Otero County, Colorado",9.50%,± 1.5%
"Otero County, New Mexico",10.80%,± 1.1%
"Otoe County, Nebraska",7.60%,± 1%
"Otsego County, Michigan",8%,± 0.9%
"Otsego County, New York",7.30%,± 0.7%
"Ottawa County, Kansas",6.60%,± 1.3%
"Ottawa County, Michigan",4.50%,± 0.3%
"Ottawa County, Ohio",8.80%,± 0.9%
"Ottawa County, Oklahoma",10.40%,± 0.6%
"Otter Tail County, Minnesota",6.40%,± 0.6%
"Ouachita County, Arkansas",16.20%,± 1.9%
"Ouachita Parish, Louisiana",8%,± 0.5%
"Ouray County, Colorado",7.10%,± 2%
"Outagamie County, Wisconsin",4.60%,± 0.4%
"Overton County, Tennessee",10.80%,± 1.8%
"Owen County, Indiana",11.30%,± 1.5%
"Owen County, Kentucky",9.40%,± 2.1%
"Owsley County, Kentucky",18.70%,± 5.8%
"Owyhee County, Idaho",8.70%,± 1.4%
"Oxford County, Maine",8.60%,± 0.9%
"Ozark County, Missouri",16.50%,± 2.6%
"Ozaukee County, Wisconsin",5%,± 0.6%
"Pacific County, Washington",14.20%,± 1.5%
"Page County, Iowa",8.50%,± 1.3%
"Page County, Virginia",11.60%,± 1.8%
"Palm Beach County, Florida",6.80%,± 0.2%
"Palo Alto County, Iowa",6.80%,± 1.3%
"Palo Pinto County, Texas",7.10%,± 1%
"Pamlico County, North Carolina",12.20%,± 1.7%
"Panola County, Mississippi",12.30%,± 1.7%
"Panola County, Texas",8.30%,± 1.4%
"Park County, Colorado",5.80%,± 1.5%
"Park County, Montana",4.90%,± 1%
"Park County, Wyoming",5.40%,± 1.1%
"Parke County, Indiana",9.40%,± 1.8%
"Parker County, Texas",6.60%,± 0.6%
"Parmer County, Texas",6.60%,± 1.9%
"Pasco County, Florida",9.20%,± 0.4%
"Pasquotank County, North Carolina",8.50%,± 0.9%
"Passaic County, New Jersey",5.10%,± 0.2%
"Patillas Municipio, Puerto Rico",6.60%,± 1.6%
"Patrick County, Virginia",11.30%,± 2.2%
"Paulding County, Georgia",5.90%,± 0.7%
"Paulding County, Ohio",8.70%,± 1.2%
"Pawnee County, Kansas",14.50%,± 2.9%
"Pawnee County, Nebraska",8.20%,± 2.2%
"Pawnee County, Oklahoma",10%,± 1%
"Payette County, Idaho",6.90%,± 1.2%
"Payne County, Oklahoma",5.90%,± 0.6%
"Peach County, Georgia",9.10%,± 1.5%
"Pearl River County, Mississippi",11.40%,± 1.2%
"Pecos County, Texas",4.30%,± 1.3%
"Pembina County, North Dakota",5.70%,± 1.1%
"Pemiscot County, Missouri",14.70%,± 1.7%
"Pend Oreille County, Washington",11.10%,± 1.7%
"Pender County, North Carolina",8%,± 0.9%
"Pendleton County, Kentucky",8.10%,± 1.4%
"Pendleton County, West Virginia",11.30%,± 2.2%
"Pennington County, Minnesota",7.10%,± 1.1%
"Pennington County, South Dakota",7.20%,± 0.7%
"Penobscot County, Maine",8.10%,± 0.4%
"Peñuelas Municipio, Puerto Rico",11.20%,± 2%
"Peoria County, Illinois",7%,± 0.5%
"Pepin County, Wisconsin",6%,± 1%
"Perkins County, Nebraska",6.70%,± 2.2%
"Perkins County, South Dakota",5.90%,± 1.5%
"Perquimans County, North Carolina",10.50%,± 1.8%
"Perry County, Alabama",17.60%,± 3.3%
"Perry County, Arkansas",12.70%,± 2.3%
"Perry County, Illinois",10.90%,± 1.3%
"Perry County, Indiana",9.10%,± 1.2%
"Perry County, Kentucky",17.90%,± 1.6%
"Perry County, Mississippi",19.60%,± 2.8%
"Perry County, Missouri",7.30%,± 1.4%
"Perry County, Ohio",9.20%,± 1.2%
