Geography,Unemployment rate—Population 16 years and over—Estimate,MoE
"Lincoln County, Wyoming",2.60%,± 1.1%
"Lincoln Parish, Louisiana",4.20%,± 2%
"Linn County, Iowa",3.80%,± 0.5%
"Linn County, Kansas",4.40%,± 1.9%
"Linn County, Missouri",2.80%,± 1.1%
"Linn County, Oregon",6.20%,± 1.2%
"Lipscomb County, Texas",5.90%,± 2.7%
"Little River County, Arkansas",8%,± 2%
"Live Oak County, Texas",3.60%,± 2%
"Livingston County, Illinois",3.70%,± 0.9%
"Livingston County, Kentucky",6.10%,± 2.8%
"Livingston County, Michigan",4%,± 0.5%
"Livingston County, Missouri",3%,± 1.3%
"Livingston County, New York",4.70%,± 1.1%
"Livingston Parish, Louisiana",4.50%,± 1.3%
"Llano County, Texas",6%,± 1.8%
"Logan County, Arkansas",5.50%,± 2.1%
"Logan County, Colorado",3.20%,± 1.3%
"Logan County, Illinois",5.20%,± 1.3%
"Logan County, Kansas",0.30%,± 0.6%
"Logan County, Kentucky",5.60%,± 1.6%
"Logan County, Nebraska",0.40%,± 0.7%
"Logan County, North Dakota",1.30%,± 0.9%
"Logan County, Ohio",3.50%,± 0.9%
"Logan County, Oklahoma",2.90%,± 0.9%
"Logan County, West Virginia",13.30%,± 3.1%
"Loíza Municipio, Puerto Rico",21.70%,± 3.2%
"Long County, Georgia",4.50%,± 2%
"Lonoke County, Arkansas",4.50%,± 0.9%
"Lorain County, Ohio",4.40%,± 0.5%
"Los Alamos County, New Mexico",1.90%,± 0.9%
"Los Angeles County, California",7%,± 0.1%
"Loudon County, Tennessee",3%,± 0.9%
"Loudoun County, Virginia",3.20%,± 0.4%
"Louisa County, Iowa",4.40%,± 1.4%
"Louisa County, Virginia",6.40%,± 2%
"Loup County, Nebraska",0%,± 7.3%
"Love County, Oklahoma",5.40%,± 1.7%
"Loving County, Texas",0%,± 58.9%
"Lower Connecticut River Valley Planning Region, Connecticut",4.10%,± 0.5%
"Lowndes County, Alabama",7.50%,± 3.1%
"Lowndes County, Georgia",5.10%,± 0.9%
"Lowndes County, Mississippi",6.20%,± 1.6%
"Lubbock County, Texas",4.60%,± 0.5%
"Lucas County, Iowa",3.90%,± 1.9%
"Lucas County, Ohio",6.80%,± 0.5%
"Luce County, Michigan",8.30%,± 3.8%
"Lumpkin County, Georgia",5.10%,± 1.5%
"Luna County, New Mexico",7%,± 2.8%
"Lunenburg County, Virginia",4%,± 1.9%
"Luquillo Municipio, Puerto Rico",22.40%,± 3.9%
"Luzerne County, Pennsylvania",5.90%,± 0.4%
"Lycoming County, Pennsylvania",5.30%,± 1%
"Lyman County, South Dakota",5%,± 1.7%
"Lynchburg city, Virginia",5.40%,± 1.2%
"Lynn County, Texas",3.60%,± 2%
"Lyon County, Iowa",2.40%,± 0.9%
"Lyon County, Kansas",2.70%,± 0.8%
"Lyon County, Kentucky",3.60%,± 2.7%
"Lyon County, Minnesota",3%,± 0.8%
"Lyon County, Nevada",7.20%,± 1.3%
"Mackinac County, Michigan",10.10%,± 2.6%
"Macomb County, Michigan",5.70%,± 0.3%
"Macon County, Alabama",12.50%,± 2.3%
"Macon County, Georgia",9.20%,± 3.5%
"Macon County, Illinois",7.20%,± 0.9%
"Macon County, Missouri",3.80%,± 1.2%
"Macon County, North Carolina",3.50%,± 1.2%
"Macon County, Tennessee",3.60%,± 1.5%
"Macoupin County, Illinois",4.60%,± 0.8%
"Madera County, California",11.10%,± 1.4%
"Madison County, Alabama",4.20%,± 0.5%
"Madison County, Arkansas",4.80%,± 1.9%
"Madison County, Florida",2.70%,± 1.8%
"Madison County, Georgia",5.80%,± 1.5%
"Madison County, Idaho",8.10%,± 2.8%
"Madison County, Illinois",5.20%,± 0.5%
"Madison County, Indiana",5.50%,± 0.8%
"Madison County, Iowa",2.30%,± 1%
"Madison County, Kentucky",5.40%,± 1.3%
"Madison County, Mississippi",4.20%,± 0.8%
"Madison County, Missouri",5.10%,± 2.6%
"Madison County, Montana",2.30%,± 1.9%
"Madison County, Nebraska",2.60%,± 0.9%
"Madison County, New York",4.10%,± 0.8%
"Madison County, North Carolina",1.70%,± 0.7%
"Madison County, Ohio",3.40%,± 0.9%
"Madison County, Tennessee",7.40%,± 1.5%
"Madison County, Texas",6.30%,± 2.5%
"Madison County, Virginia",3.70%,± 1.9%
"Madison Parish, Louisiana",5.80%,± 2.1%
"Magoffin County, Kentucky",12.80%,± 4.3%
"Mahaska County, Iowa",3.30%,± 1.1%
"Mahnomen County, Minnesota",10.30%,± 1.6%
"Mahoning County, Ohio",7.20%,± 0.6%
"Major County, Oklahoma",1.80%,± 0.7%
"Malheur County, Oregon",6.20%,± 1.6%
"Manassas city, Virginia",3.30%,± 1%
"Manassas Park city, Virginia",3.20%,± 1.8%
"Manatee County, Florida",5.20%,± 0.5%
"Manatí Municipio, Puerto Rico",17.40%,± 3.2%
"Manistee County, Michigan",6.60%,± 1.2%
"Manitowoc County, Wisconsin",2%,± 0.5%
"Marathon County, Wisconsin",3.10%,± 0.5%
"Marengo County, Alabama",2.80%,± 1.5%
"Maricao Municipio, Puerto Rico",2%,± 2.4%
"Maricopa County, Arizona",4.80%,± 0.1%
"Maries County, Missouri",5.60%,± 2.7%
"Marin County, California",5.80%,± 0.6%
"Marinette County, Wisconsin",3.80%,± 0.9%
"Marion County, Alabama",6.50%,± 1.5%
"Marion County, Arkansas",7%,± 2.3%
"Marion County, Florida",5.90%,± 0.6%
"Marion County, Georgia",5.40%,± 3%
"Marion County, Illinois",8.10%,± 1.3%
"Marion County, Indiana",5.50%,± 0.3%
"Marion County, Iowa",2.30%,± 0.8%
"Marion County, Kansas",3.70%,± 1.3%
"Marion County, Kentucky",6%,± 2%
"Marion County, Mississippi",9.50%,± 2.9%
"Marion County, Missouri",2.90%,± 1.1%
"Marion County, Ohio",5.70%,± 1%
"Marion County, Oregon",5.40%,± 0.5%
"Marion County, South Carolina",6.80%,± 2.4%
"Marion County, Tennessee",5.70%,± 1.8%
"Marion County, Texas",10.70%,± 3.6%
"Marion County, West Virginia",6.40%,± 1.1%
"Mariposa County, California",6.20%,± 1.8%
"Marlboro County, South Carolina",7.80%,± 2.2%
"Marquette County, Michigan",5.60%,± 0.8%
"Marquette County, Wisconsin",3.60%,± 0.7%
"Marshall County, Alabama",3.80%,± 0.8%
"Marshall County, Illinois",4.20%,± 1.2%
"Marshall County, Indiana",3%,± 0.7%
"Marshall County, Iowa",5.60%,± 1.3%
"Marshall County, Kansas",2.80%,± 1.1%
"Marshall County, Kentucky",3%,± 1.2%
"Marshall County, Minnesota",2.90%,± 0.7%
"Marshall County, Mississippi",4.80%,± 1.4%
"Marshall County, Oklahoma",5.80%,± 1.9%
"Marshall County, South Dakota",1.20%,± 0.9%
"Marshall County, Tennessee",5.80%,± 1.6%
"Marshall County, West Virginia",3.90%,± 1.5%
"Martin County, Florida",4.40%,± 0.7%
"Martin County, Indiana",1.90%,± 1.4%
"Martin County, Kentucky",6.40%,± 3.5%
"Martin County, Minnesota",5.20%,± 1.4%
"Martin County, North Carolina",9.60%,± 2.3%
"Martin County, Texas",10.20%,± 6.4%
"Martinsville city, Virginia",4.30%,± 2%
"Mason County, Illinois",5.20%,± 1.7%
"Mason County, Kentucky",4.70%,± 1.8%
"Mason County, Michigan",4.80%,± 1%
"Mason County, Texas",2.80%,± 2.7%
"Mason County, Washington",6.20%,± 1.3%
"Mason County, West Virginia",2.90%,± 1.4%
"Massac County, Illinois",3.70%,± 1.5%
"Matagorda County, Texas",6.70%,± 2.1%
"Matanuska-Susitna Borough, Alaska",7%,± 0.8%
"Mathews County, Virginia",8.20%,± 4.1%
"Maui County, Hawaii",5.40%,± 0.7%
"Maunabo Municipio, Puerto Rico",23.70%,± 8.2%
"Maury County, Tennessee",2.50%,± 0.6%
"Maverick County, Texas",7.10%,± 1.6%
"Mayagüez Municipio, Puerto Rico",23.90%,± 2.3%
"Mayes County, Oklahoma",5.90%,± 1.1%
"McClain County, Oklahoma",4.10%,± 1%
"McCone County, Montana",2.50%,± 1.5%
"McCook County, South Dakota",2.10%,± 1%
"McCormick County, South Carolina",6.40%,± 2.8%
"McCracken County, Kentucky",3.60%,± 0.9%
"McCreary County, Kentucky",5.60%,± 2.7%
"McCulloch County, Texas",8.70%,± 4%
"McCurtain County, Oklahoma",4.90%,± 1.2%
"McDonald County, Missouri",5.90%,± 1.9%
"McDonough County, Illinois",8%,± 1.7%
"McDowell County, North Carolina",5.50%,± 1.6%
"McDowell County, West Virginia",15.10%,± 5.3%
"McDuffie County, Georgia",3.80%,± 2.6%
"McHenry County, Illinois",4.90%,± 0.4%
"McHenry County, North Dakota",4.40%,± 1.7%
"McIntosh County, Georgia",4.40%,± 2.5%
"McIntosh County, North Dakota",0.50%,± 0.5%
"McIntosh County, Oklahoma",4%,± 1.6%
"McKean County, Pennsylvania",5.30%,± 1.3%
"McKenzie County, North Dakota",1.70%,± 1.3%
"McKinley County, New Mexico",9.60%,± 1.1%
"McLean County, Illinois",3.20%,± 0.5%
"McLean County, Kentucky",6.70%,± 2.3%
"McLean County, North Dakota",1.40%,± 0.6%
"McLennan County, Texas",4.40%,± 0.6%
"McLeod County, Minnesota",3.20%,± 0.9%
"McMinn County, Tennessee",5.30%,± 1.3%
"McMullen County, Texas",2.40%,± 3.5%
"McNairy County, Tennessee",6.20%,± 1.9%
"McPherson County, Kansas",2.10%,± 0.9%
"McPherson County, Nebraska",0%,± 9.4%
"McPherson County, South Dakota",0.30%,± 6.1%
"Meade County, Kansas",1.20%,± 1.1%
"Meade County, Kentucky",4.20%,± 1.2%
"Meade County, South Dakota",3.50%,± 1.8%
"Meagher County, Montana",1.50%,± 2%
"Mecklenburg County, North Carolina",4.50%,± 0.3%
"Mecklenburg County, Virginia",3.60%,± 1%
"Mecosta County, Michigan",5.50%,± 0.9%
"Medina County, Ohio",3%,± 0.4%
"Medina County, Texas",2.40%,± 0.8%
"Meeker County, Minnesota",2.50%,± 0.6%
"Meigs County, Ohio",6.40%,± 2.2%
"Meigs County, Tennessee",7.50%,± 2.6%
"Mellette County, South Dakota",16.50%,± 8.4%
"Menard County, Illinois",4.90%,± 1.4%
"Menard County, Texas",14.30%,± 11.1%
"Mendocino County, California",9.10%,± 1.5%
"Menifee County, Kentucky",4.70%,± 2.5%
"Menominee County, Michigan",4.50%,± 0.9%
"Menominee County, Wisconsin",10.70%,± 2.9%
"Merced County, California",10.70%,± 0.8%
"Mercer County, Illinois",3.30%,± 0.8%
"Mercer County, Kentucky",4.50%,± 1.5%
"Mercer County, Missouri",2.90%,± 1.7%
"Mercer County, New Jersey",6.10%,± 0.5%
"Mercer County, North Dakota",2.70%,± 1.2%
"Mercer County, Ohio",2%,± 0.8%
"Mercer County, Pennsylvania",5.50%,± 0.8%
"Mercer County, West Virginia",4.20%,± 1%
"Meriwether County, Georgia",7.10%,± 2.1%
"Merrick County, Nebraska",0.50%,± 0.4%
"Merrimack County, New Hampshire",3.60%,± 0.5%
"Mesa County, Colorado",5.30%,± 0.8%
"Metcalfe County, Kentucky",4.80%,± 2.2%
"Miami County, Indiana",4.50%,± 1.2%
"Miami County, Kansas",2.80%,± 0.8%
"Miami County, Ohio",3.40%,± 0.7%
"Miami-Dade County, Florida",4.60%,± 0.2%
"Middlesex County, Massachusetts",4.40%,± 0.2%
"Middlesex County, New Jersey",6.30%,± 0.4%
"Middlesex County, Virginia",4.60%,± 1.6%
"Midland County, Michigan",5%,± 0.8%
"Midland County, Texas",3.40%,± 0.9%
"Mifflin County, Pennsylvania",3.90%,± 0.9%
"Milam County, Texas",5.80%,± 2%
"Millard County, Utah",4.40%,± 1.9%
"Mille Lacs County, Minnesota",4.70%,± 0.8%
"Miller County, Arkansas",7.70%,± 1.8%
"Miller County, Georgia",5%,± 3.1%
"Miller County, Missouri",4.60%,± 1.3%
"Mills County, Iowa",4.40%,± 1.6%
"Mills County, Texas",2.30%,± 2%
"Milwaukee County, Wisconsin",4.70%,± 0.3%
"Miner County, South Dakota",1.40%,± 1.5%
"Mineral County, Colorado",4.80%,± 4.4%
"Mineral County, Montana",3.60%,± 2.2%
"Mineral County, Nevada",5.80%,± 3.3%
"Mineral County, West Virginia",5.80%,± 1.5%
"Mingo County, West Virginia",11.20%,± 3.2%
"Minidoka County, Idaho",3.30%,± 1.2%
"Minnehaha County, South Dakota",2.40%,± 0.3%
"Missaukee County, Michigan",6.90%,± 1.4%
"Mississippi County, Arkansas",9.80%,± 2.2%
"Mississippi County, Missouri",5.10%,± 2%
"Missoula County, Montana",4.50%,± 0.8%
"Mitchell County, Georgia",9.50%,± 2.7%
"Mitchell County, Iowa",0.90%,± 0.6%
"Mitchell County, Kansas",0.70%,± 0.9%
"Mitchell County, North Carolina",6.30%,± 2.5%
"Mitchell County, Texas",1.40%,± 1.2%
"Mobile County, Alabama",5.90%,± 0.5%
"Moca Municipio, Puerto Rico",21.30%,± 4%
"Modoc County, California",7.60%,± 2.8%
"Moffat County, Colorado",5.40%,± 2.5%
"Mohave County, Arizona",7.50%,± 0.9%
"Moniteau County, Missouri",3%,± 1.2%
"Monmouth County, New Jersey",5.40%,± 0.4%
"Mono County, California",1.90%,± 1.4%
"Monona County, Iowa",2.60%,± 1.3%
"Monongalia County, West Virginia",5.70%,± 0.9%
"Monroe County, Alabama",12.20%,± 3.5%
"Monroe County, Arkansas",11%,± 3.8%
"Monroe County, Florida",3.40%,± 0.6%
"Monroe County, Georgia",3.80%,± 1.6%
"Monroe County, Illinois",1.70%,± 0.7%
"Monroe County, Indiana",5.80%,± 1%
"Monroe County, Iowa",3.40%,± 2.2%
"Monroe County, Kentucky",5.40%,± 2%
"Monroe County, Michigan",5.70%,± 0.8%
"Monroe County, Mississippi",5.50%,± 1.6%
"Monroe County, Missouri",1.20%,± 0.7%
"Monroe County, New York",5.30%,± 0.3%
"Monroe County, Ohio",5.50%,± 1.8%
"Monroe County, Pennsylvania",6.30%,± 0.8%
"Monroe County, Tennessee",6.60%,± 1.5%
"Monroe County, West Virginia",10.60%,± 4.4%
"Monroe County, Wisconsin",2.70%,± 0.6%
"Montague County, Texas",5.10%,± 1.7%
"Montcalm County, Michigan",4.20%,± 1.1%
"Monterey County, California",5.30%,± 0.4%
"Montezuma County, Colorado",4.40%,± 1.4%
"Montgomery County, Alabama",6.80%,± 0.9%
"Montgomery County, Arkansas",7.30%,± 2.6%
"Montgomery County, Georgia",6.50%,± 2.6%
"Montgomery County, Illinois",5.60%,± 1.3%
"Montgomery County, Indiana",4%,± 1%
"Montgomery County, Iowa",4.50%,± 2%
"Montgomery County, Kansas",4.70%,± 1%
"Montgomery County, Kentucky",6%,± 1.5%
"Montgomery County, Maryland",4.80%,± 0.3%
"Montgomery County, Mississippi",7.80%,± 3.2%
"Montgomery County, Missouri",3%,± 1.1%
"Montgomery County, New York",5.90%,± 1.2%
"Montgomery County, North Carolina",3.10%,± 1.2%
"Montgomery County, Ohio",5.90%,± 0.4%
"Montgomery County, Pennsylvania",4.50%,± 0.3%
"Montgomery County, Tennessee",6.10%,± 0.7%
"Montgomery County, Texas",4.30%,± 0.5%
"Montgomery County, Virginia",3.30%,± 0.9%
"Montmorency County, Michigan",6.20%,± 2.3%
"Montour County, Pennsylvania",2.40%,± 0.6%
"Montrose County, Colorado",4.30%,± 1.5%
"Moody County, South Dakota",1.70%,± 0.9%
"Moore County, North Carolina",4.60%,± 0.9%
"Moore County, Tennessee",4.20%,± 2.5%
"Moore County, Texas",2.50%,± 1.1%
"Mora County, New Mexico",7.40%,± 5.5%
"Morehouse Parish, Louisiana",8.80%,± 2.7%
"Morgan County, Alabama",4.20%,± 0.7%
"Morgan County, Colorado",3.70%,± 1%
"Morgan County, Georgia",2.90%,± 1.3%
"Morgan County, Illinois",6.40%,± 1.6%
"Morgan County, Indiana",4%,± 1%
"Morgan County, Kentucky",3.10%,± 1.3%
"Morgan County, Missouri",3.50%,± 1.4%
"Morgan County, Ohio",4.90%,± 1.7%
"Morgan County, Tennessee",8.40%,± 2.9%
"Morgan County, Utah",1.70%,± 1.1%
"Morgan County, West Virginia",5.10%,± 2.3%
"Morovis Municipio, Puerto Rico",15.90%,± 3.4%
"Morrill County, Nebraska",5.50%,± 3.7%
"Morris County, Kansas",2.10%,± 1.5%
"Morris County, New Jersey",5.30%,± 0.5%
"Morris County, Texas",5.90%,± 2.4%
"Morrison County, Minnesota",4.10%,± 0.6%
"Morrow County, Ohio",2.60%,± 1%
"Morrow County, Oregon",3.20%,± 1.8%
"Morton County, Kansas",3.30%,± 3.2%
"Morton County, North Dakota",2%,± 0.8%
"Motley County, Texas",3%,± 3.2%
"Moultrie County, Illinois",4.10%,± 1.3%
"Mountrail County, North Dakota",3.50%,± 1.4%
"Mower County, Minnesota",3.20%,± 0.8%
"Muhlenberg County, Kentucky",4.90%,± 1.4%
"Multnomah County, Oregon",5.50%,± 0.3%
"Murray County, Georgia",6.70%,± 1.9%
"Murray County, Minnesota",3%,± 0.7%
"Murray County, Oklahoma",2.10%,± 0.8%
"Muscatine County, Iowa",3.50%,± 0.9%
"Muscogee County, Georgia",7.30%,± 0.9%
"Muskegon County, Michigan",7.50%,± 0.7%
"Muskingum County, Ohio",4.60%,± 0.8%
"Muskogee County, Oklahoma",5.70%,± 0.9%
"Musselshell County, Montana",4.90%,± 3.4%
"Nacogdoches County, Texas",6.60%,± 1.3%
"Naguabo Municipio, Puerto Rico",10%,± 4.2%
"Nance County, Nebraska",4.40%,± 2.2%
"Nantucket County, Massachusetts",5.50%,± 2.9%
"Napa County, California",5.20%,± 0.7%
"Naranjito Municipio, Puerto Rico",17.50%,± 4.8%
"Nash County, North Carolina",6.40%,± 1.3%
"Nassau County, Florida",4.10%,± 1.2%
"Nassau County, New York",4.60%,± 0.2%
"Natchitoches Parish, Louisiana",8.90%,± 1.9%
"Natrona County, Wyoming",3.50%,± 0.8%
"Naugatuck Valley Planning Region, Connecticut",6.40%,± 0.5%
"Navajo County, Arizona",9.70%,± 1.1%
"Navarro County, Texas",5.60%,± 1.4%
"Nelson County, Kentucky",2.90%,± 0.8%
"Nelson County, North Dakota",1.20%,± 0.8%
"Nelson County, Virginia",3.20%,± 1.6%
"Nemaha County, Kansas",1.70%,± 0.9%
"Nemaha County, Nebraska",6.40%,± 2.8%
"Neosho County, Kansas",4.50%,± 1.5%
"Neshoba County, Mississippi",9.30%,± 2.3%
"Ness County, Kansas",0.60%,± 0.5%
"Nevada County, Arkansas",7.80%,± 4.3%
"Nevada County, California",4.40%,± 0.7%
"New Castle County, Delaware",5.40%,± 0.4%
"New Hanover County, North Carolina",4.80%,± 0.7%
"New Kent County, Virginia",3.10%,± 1.3%
"New Madrid County, Missouri",4%,± 1.4%
"New York County, New York",6.80%,± 0.3%
"Newaygo County, Michigan",4.70%,± 1%
"Newberry County, South Carolina",3.90%,± 1.3%
"Newport County, Rhode Island",6.50%,± 1.3%
"Newport News city, Virginia",5.60%,± 0.6%
"Newton County, Arkansas",3.80%,± 2.4%
"Newton County, Georgia",6.60%,± 1.1%
"Newton County, Indiana",9.60%,± 2.6%
"Newton County, Mississippi",4.30%,± 1.4%
"Newton County, Missouri",4.20%,± 1.1%
"Newton County, Texas",10.60%,± 2.9%
"Nez Perce County, Idaho",3.20%,± 0.8%
"Niagara County, New York",5.80%,± 0.6%
"Nicholas County, Kentucky",5.60%,± 2.5%
"Nicholas County, West Virginia",6.60%,± 2.5%
"Nicollet County, Minnesota",1.90%,± 0.6%
"Niobrara County, Wyoming",5.30%,± 4.9%
"Noble County, Indiana",3.40%,± 0.7%
"Noble County, Ohio",4.50%,± 2.2%
"Noble County, Oklahoma",4%,± 1.5%
"Nobles County, Minnesota",3%,± 1%
"Nodaway County, Missouri",2.30%,± 0.8%
"Nolan County, Texas",6.60%,± 2.8%
"Nome Census Area, Alaska",16.50%,± 1.9%
"Norfolk city, Virginia",6.70%,± 0.6%
"Norfolk County, Massachusetts",5%,± 0.3%
"Norman County, Minnesota",5.10%,± 1.4%
"North Slope Borough, Alaska",6.80%,± 1.4%
"Northampton County, North Carolina",7.60%,± 2%
"Northampton County, Pennsylvania",4.60%,± 0.4%
"Northampton County, Virginia",4.80%,± 1.8%
"Northeastern Connecticut Planning Region, Connecticut",7.40%,± 1.3%
"Northumberland County, Pennsylvania",4.70%,± 0.7%
"Northumberland County, Virginia",4.90%,± 4.1%
"Northwest Arctic Borough, Alaska",15.50%,± 1.7%
"Northwest Hills Planning Region, Connecticut",5.40%,± 0.7%
"Norton city, Virginia",7.30%,± 5.1%
"Norton County, Kansas",1.40%,± 1.3%
"Nottoway County, Virginia",6.40%,± 2.5%
"Nowata County, Oklahoma",4.30%,± 1.5%
"Noxubee County, Mississippi",9.30%,± 3.8%
"Nuckolls County, Nebraska",1.30%,± 0.9%
"Nueces County, Texas",5.70%,± 0.5%
"Nye County, Nevada",9.30%,± 2.1%
"O'Brien County, Iowa",2.40%,± 1.2%
"Oakland County, Michigan",4.80%,± 0.2%
"Obion County, Tennessee",5%,± 1.2%
"Ocean County, New Jersey",5.70%,± 0.4%
"Oceana County, Michigan",5%,± 1.2%
"Ochiltree County, Texas",1.50%,± 1.4%
"Oconee County, Georgia",2.90%,± 0.9%
"Oconee County, South Carolina",5.80%,± 1.4%
"Oconto County, Wisconsin",2%,± 0.5%
"Ogemaw County, Michigan",7.10%,± 1.5%
"Oglala Lakota County, South Dakota",11.80%,± 3.9%
"Ogle County, Illinois",6%,± 1.3%
"Oglethorpe County, Georgia",4.50%,± 2%
"Ohio County, Indiana",1.80%,± 1.4%
"Ohio County, Kentucky",4.50%,± 1.5%
"Ohio County, West Virginia",5.30%,± 1.1%
"Okaloosa County, Florida",3.30%,± 0.5%
"Okanogan County, Washington",5.80%,± 1.3%
"Okeechobee County, Florida",6.10%,± 1.9%
"Okfuskee County, Oklahoma",3.50%,± 1%
"Oklahoma County, Oklahoma",4.60%,± 0.3%
"Okmulgee County, Oklahoma",7.20%,± 1.1%
"Oktibbeha County, Mississippi",6.80%,± 1.7%
"Oldham County, Kentucky",3.90%,± 0.9%
"Oldham County, Texas",1.50%,± 1.7%
"Oliver County, North Dakota",2.90%,± 1.7%
"Olmsted County, Minnesota",3.40%,± 0.5%
"Oneida County, Idaho",0.70%,± 0.8%
"Oneida County, New York",4.40%,± 0.5%
"Oneida County, Wisconsin",2.20%,± 0.5%
"Onondaga County, New York",5.60%,± 0.4%
"Onslow County, North Carolina",6.40%,± 0.9%
"Ontario County, New York",4%,± 0.5%
"Ontonagon County, Michigan",6.30%,± 1.9%
"Orange County, California",5.40%,± 0.2%
"Orange County, Florida",5.50%,± 0.3%
"Orange County, Indiana",3%,± 1%
"Orange County, New York",5.30%,± 0.4%
"Orange County, North Carolina",3.90%,± 0.6%
"Orange County, Texas",5.80%,± 1%
"Orange County, Vermont",3.10%,± 0.8%
"Orange County, Virginia",4.40%,± 1.2%
"Orangeburg County, South Carolina",9.20%,± 1.6%
"Oregon County, Missouri",4.50%,± 1.9%
"Orleans County, New York",6.10%,± 1.6%
"Orleans County, Vermont",6.10%,± 1.4%
"Orleans Parish, Louisiana",8.40%,± 0.6%
"Orocovis Municipio, Puerto Rico",19.60%,± 3.6%
"Osage County, Kansas",3.40%,± 1.3%
"Osage County, Missouri",1%,± 0.5%
"Osage County, Oklahoma",5.60%,± 0.9%
"Osborne County, Kansas",1.70%,± 1.2%
"Osceola County, Florida",5.30%,± 0.6%
"Osceola County, Iowa",4.50%,± 1.9%
"Osceola County, Michigan",7.70%,± 1.5%
"Oscoda County, Michigan",8.90%,± 2.7%
"Oswego County, New York",7.30%,± 0.8%
"Otero County, Colorado",5.90%,± 2.2%
"Otero County, New Mexico",9.60%,± 2.3%
"Otoe County, Nebraska",3.20%,± 1.3%
"Otsego County, Michigan",4.80%,± 1.2%
"Otsego County, New York",5%,± 0.9%
"Ottawa County, Kansas",3.30%,± 1.6%
"Ottawa County, Michigan",3.80%,± 0.6%
"Ottawa County, Ohio",3.40%,± 0.9%
"Ottawa County, Oklahoma",3.80%,± 0.5%
"Otter Tail County, Minnesota",5.30%,± 0.8%
"Ouachita County, Arkansas",6.50%,± 2.3%
"Ouachita Parish, Louisiana",6.50%,± 0.9%
"Ouray County, Colorado",4.20%,± 3.6%
"Outagamie County, Wisconsin",3.10%,± 0.4%
"Overton County, Tennessee",3.50%,± 1.5%
"Owen County, Indiana",5.20%,± 1.9%
"Owen County, Kentucky",4.60%,± 1.9%
"Owsley County, Kentucky",14.20%,± 7.2%
"Owyhee County, Idaho",2.20%,± 1.2%
"Oxford County, Maine",5.50%,± 1.2%
"Ozark County, Missouri",6.20%,± 2.9%
"Ozaukee County, Wisconsin",2.60%,± 0.7%
"Pacific County, Washington",4.30%,± 1.4%
"Page County, Iowa",6.60%,± 2.3%
"Page County, Virginia",4.60%,± 1.5%
"Palm Beach County, Florida",5.80%,± 0.3%
"Palo Alto County, Iowa",3.60%,± 1.3%
"Palo Pinto County, Texas",7.30%,± 1.8%
"Pamlico County, North Carolina",4.60%,± 1.8%
"Panola County, Mississippi",9.50%,± 2.3%
"Panola County, Texas",2.90%,± 1.2%
"Park County, Colorado",3.90%,± 1.9%
"Park County, Montana",3.30%,± 1.6%
"Park County, Wyoming",2.70%,± 1.3%
"Parke County, Indiana",5.60%,± 2%
"Parker County, Texas",3.90%,± 0.7%
"Parmer County, Texas",2.10%,± 1.5%
"Pasco County, Florida",5.30%,± 0.4%
"Pasquotank County, North Carolina",5.80%,± 1.6%
"Passaic County, New Jersey",7.80%,± 0.5%
"Patillas Municipio, Puerto Rico",13%,± 4%
"Patrick County, Virginia",2.30%,± 1%
"Paulding County, Georgia",4.10%,± 0.8%
"Paulding County, Ohio",3.90%,± 1.3%
"Pawnee County, Kansas",1.60%,± 1.3%
"Pawnee County, Nebraska",2.40%,± 2.3%
"Pawnee County, Oklahoma",3.50%,± 0.8%
"Payette County, Idaho",4.40%,± 1.5%
"Payne County, Oklahoma",4.80%,± 0.8%
"Peach County, Georgia",6.60%,± 1.7%
"Pearl River County, Mississippi",5.60%,± 1.5%
"Pecos County, Texas",1.20%,± 0.7%
"Pembina County, North Dakota",4.30%,± 1.6%
"Pemiscot County, Missouri",9.60%,± 3.1%
"Pend Oreille County, Washington",6.10%,± 1.7%
"Pender County, North Carolina",6.40%,± 1.5%
"Pendleton County, Kentucky",5%,± 1.7%
"Pendleton County, West Virginia",7.30%,± 4.1%
"Pennington County, Minnesota",1.90%,± 0.7%
"Pennington County, South Dakota",3.50%,± 0.8%
"Penobscot County, Maine",4.30%,± 0.5%
"Peñuelas Municipio, Puerto Rico",12.10%,± 2.9%
"Peoria County, Illinois",6.60%,± 0.9%
"Pepin County, Wisconsin",2.20%,± 0.7%
"Perkins County, Nebraska",1.20%,± 1.1%
"Perkins County, South Dakota",4.20%,± 2.5%
"Perquimans County, North Carolina",5%,± 3.8%
"Perry County, Alabama",15.70%,± 6.4%
"Perry County, Arkansas",4.60%,± 1.7%
"Perry County, Illinois",6.10%,± 1.8%
"Perry County, Indiana",5.10%,± 2.1%
"Perry County, Kentucky",7.50%,± 2.5%
"Perry County, Mississippi",6.30%,± 3.5%
"Perry County, Missouri",5.10%,± 1.7%
"Perry County, Ohio",4.90%,± 1.2%
"Perry County, Pennsylvania",3.40%,± 0.6%
"Perry County, Tennessee",10.90%,± 4.4%
"Pershing County, Nevada",8.50%,± 4.5%
"Person County, North Carolina",3.70%,± 1.2%
"Petersburg Borough, Alaska",4.40%,± 1.8%
"Petersburg city, Virginia",11.30%,± 2.2%
"Petroleum County, Montana",0.80%,± 1.3%
"Pettis County, Missouri",3.90%,± 1%
"Phelps County, Missouri",4.20%,± 1.1%
"Phelps County, Nebraska",0.80%,± 0.6%
