Geography,"Production, transportation, and material moving occupations—Civilian employed population 16 years and over—Estimate",MoE
"Lincoln County, South Dakota",11.20%,± 1.5%
"Lincoln County, Tennessee",18.80%,± 2.1%
"Lincoln County, Washington",11.90%,± 1.6%
"Lincoln County, West Virginia",15.60%,± 3.8%
"Lincoln County, Wisconsin",25.70%,± 1.9%
"Lincoln County, Wyoming",10.60%,± 2.4%
"Lincoln Parish, Louisiana",11.20%,± 2%
"Linn County, Iowa",15.50%,± 0.8%
"Linn County, Kansas",14.90%,± 3%
"Linn County, Missouri",21.20%,± 3%
"Linn County, Oregon",17.30%,± 1.4%
"Lipscomb County, Texas",17.90%,± 4.1%
"Little River County, Arkansas",22.90%,± 4.3%
"Live Oak County, Texas",12.90%,± 3.8%
"Livingston County, Illinois",23%,± 2.2%
"Livingston County, Kentucky",23.40%,± 4.6%
"Livingston County, Michigan",11.20%,± 0.6%
"Livingston County, Missouri",18%,± 3.2%
"Livingston County, New York",12.90%,± 1.3%
"Livingston Parish, Louisiana",12.40%,± 1.4%
"Llano County, Texas",13.20%,± 2.8%
"Logan County, Arkansas",25.10%,± 3.2%
"Logan County, Colorado",17.60%,± 3.9%
"Logan County, Illinois",17.40%,± 2.4%
"Logan County, Kansas",12.40%,± 3.3%
"Logan County, Kentucky",22.20%,± 3%
"Logan County, Nebraska",14.20%,± 5.8%
"Logan County, North Dakota",8.80%,± 3.1%
"Logan County, Ohio",27.20%,± 2%
"Logan County, Oklahoma",12.60%,± 1.8%
"Logan County, West Virginia",12.90%,± 3.3%
"Loíza Municipio, Puerto Rico",12.10%,± 2.7%
"Long County, Georgia",23.70%,± 5.1%
"Lonoke County, Arkansas",13.60%,± 1.4%
"Lorain County, Ohio",16.20%,± 0.7%
"Los Alamos County, New Mexico",4.70%,± 1.4%
"Los Angeles County, California",13.10%,± 0.1%
"Loudon County, Tennessee",19.10%,± 2.2%
"Loudoun County, Virginia",5.50%,± 0.4%
"Louisa County, Iowa",25%,± 3.1%
"Louisa County, Virginia",12.40%,± 2.2%
"Loup County, Nebraska",10%,± 6.8%
"Love County, Oklahoma",20.70%,± 2.9%
"Loving County, Texas",33.30%,± 30.7%
"Lower Connecticut River Valley Planning Region, Connecticut",8.90%,± 0.8%
"Lowndes County, Alabama",31.90%,± 5.5%
"Lowndes County, Georgia",16.10%,± 1.7%
"Lowndes County, Mississippi",20.60%,± 2.4%
"Lubbock County, Texas",11.40%,± 0.8%
"Lucas County, Iowa",25%,± 3.6%
"Lucas County, Ohio",19.60%,± 0.6%
"Luce County, Michigan",6.60%,± 2.2%
"Lumpkin County, Georgia",15.90%,± 3.2%
"Luna County, New Mexico",18.60%,± 4.3%
"Lunenburg County, Virginia",21.20%,± 4.8%
"Luquillo Municipio, Puerto Rico",13.60%,± 3.9%
"Luzerne County, Pennsylvania",20%,± 0.8%
"Lycoming County, Pennsylvania",16.90%,± 1%
"Lyman County, South Dakota",7.50%,± 2.3%
"Lynchburg city, Virginia",13.10%,± 1.4%
"Lynn County, Texas",8.80%,± 2.7%
"Lyon County, Iowa",17.70%,± 2.2%
"Lyon County, Kansas",23.50%,± 2.8%
"Lyon County, Kentucky",24.70%,± 5.6%
"Lyon County, Minnesota",15.70%,± 2.2%
"Lyon County, Nevada",20.10%,± 2.3%
"Mackinac County, Michigan",10.80%,± 2.2%
"Macomb County, Michigan",17.20%,± 0.5%
"Macon County, Alabama",20.60%,± 3.2%
"Macon County, Georgia",23.40%,± 4.5%
"Macon County, Illinois",18.20%,± 1.4%
"Macon County, Missouri",20.20%,± 2.7%
"Macon County, North Carolina",11.70%,± 2.1%
"Macon County, Tennessee",26.70%,± 4.1%
"Macoupin County, Illinois",16.50%,± 2%
"Madera County, California",14.50%,± 1.4%
"Madison County, Alabama",11.30%,± 0.7%
"Madison County, Arkansas",19.60%,± 3.5%
"Madison County, Florida",21.70%,± 5.3%
"Madison County, Georgia",17.20%,± 2.7%
"Madison County, Idaho",9%,± 2.3%
"Madison County, Illinois",14.30%,± 0.8%
"Madison County, Indiana",18.90%,± 1.4%
"Madison County, Iowa",12.20%,± 2.3%
"Madison County, Kentucky",16.40%,± 1.3%
"Madison County, Mississippi",12.40%,± 1.5%
"Madison County, Missouri",18.40%,± 4%
"Madison County, Montana",11.80%,± 2.8%
"Madison County, Nebraska",21.50%,± 1.9%
"Madison County, New York",13.30%,± 1.4%
"Madison County, North Carolina",11.90%,± 2.1%
"Madison County, Ohio",20.80%,± 2.8%
"Madison County, Tennessee",18.80%,± 1.5%
"Madison County, Texas",16.30%,± 5.5%
"Madison County, Virginia",13.10%,± 3.7%
"Madison Parish, Louisiana",11.60%,± 4.3%
"Magoffin County, Kentucky",18.60%,± 6.4%
"Mahaska County, Iowa",21.70%,± 2.7%
"Mahnomen County, Minnesota",9.60%,± 1.2%
"Mahoning County, Ohio",16.10%,± 0.8%
"Major County, Oklahoma",18.20%,± 3.2%
"Malheur County, Oregon",20.40%,± 3.1%
"Manassas city, Virginia",11.10%,± 1.8%
"Manassas Park city, Virginia",8.70%,± 2.7%
"Manatee County, Florida",10.60%,± 0.8%
"Manatí Municipio, Puerto Rico",12.90%,± 2.5%
"Manistee County, Michigan",14.20%,± 1.8%
"Manitowoc County, Wisconsin",23.90%,± 1.3%
"Marathon County, Wisconsin",19.60%,± 0.9%
"Marengo County, Alabama",20.40%,± 4.7%
"Maricao Municipio, Puerto Rico",34.90%,± 13%
"Maricopa County, Arizona",10.90%,± 0.2%
"Maries County, Missouri",22.10%,± 4.6%
"Marin County, California",4.60%,± 0.5%
"Marinette County, Wisconsin",27.40%,± 1.8%
"Marion County, Alabama",25.40%,± 3%
"Marion County, Arkansas",27.30%,± 3.6%
"Marion County, Florida",12.70%,± 0.9%
"Marion County, Georgia",22.60%,± 5.7%
"Marion County, Illinois",25.40%,± 1.9%
"Marion County, Indiana",17.60%,± 0.6%
"Marion County, Iowa",19.60%,± 2.2%
"Marion County, Kansas",17%,± 2.4%
"Marion County, Kentucky",31%,± 3.8%
"Marion County, Mississippi",19.50%,± 3.6%
"Marion County, Missouri",17.10%,± 1.9%
"Marion County, Ohio",26.60%,± 2.1%
"Marion County, Oregon",14.20%,± 0.8%
"Marion County, South Carolina",26.60%,± 3.6%
"Marion County, Tennessee",24.30%,± 2.8%
"Marion County, Texas",19.10%,± 4%
"Marion County, West Virginia",11.50%,± 1.5%
"Mariposa County, California",8.60%,± 2.8%
"Marlboro County, South Carolina",30.30%,± 3.9%
"Marquette County, Michigan",11.20%,± 1.1%
"Marquette County, Wisconsin",22.40%,± 1.8%
"Marshall County, Alabama",20.90%,± 1.6%
"Marshall County, Illinois",22%,± 2.8%
"Marshall County, Indiana",30.60%,± 2.1%
"Marshall County, Iowa",25.10%,± 2.6%
"Marshall County, Kansas",22.30%,± 3.5%
"Marshall County, Kentucky",18.30%,± 2.9%
"Marshall County, Minnesota",18.40%,± 1.8%
"Marshall County, Mississippi",27.90%,± 3.4%
"Marshall County, Oklahoma",27.20%,± 3.1%
"Marshall County, South Dakota",14.30%,± 3.9%
"Marshall County, Tennessee",19.20%,± 2.5%
"Marshall County, West Virginia",17.80%,± 2.9%
"Martin County, Florida",7.50%,± 1.1%
"Martin County, Indiana",25%,± 4.3%
"Martin County, Kentucky",13.70%,± 5.9%
"Martin County, Minnesota",17.90%,± 2.5%
"Martin County, North Carolina",17.40%,± 3%
"Martin County, Texas",24.60%,± 7.5%
"Martinsville city, Virginia",22.60%,± 4.2%
"Mason County, Illinois",17.40%,± 2.3%
"Mason County, Kentucky",20.60%,± 3.5%
"Mason County, Michigan",18.70%,± 1.9%
"Mason County, Texas",5.80%,± 3.3%
"Mason County, Washington",12%,± 1.6%
"Mason County, West Virginia",21.20%,± 4.2%
"Massac County, Illinois",17.10%,± 3.4%
"Matagorda County, Texas",18.70%,± 3.7%
"Matanuska-Susitna Borough, Alaska",10.80%,± 0.9%
"Mathews County, Virginia",7.70%,± 4.1%
"Maui County, Hawaii",9.50%,± 0.8%
"Maunabo Municipio, Puerto Rico",14.60%,± 6.1%
"Maury County, Tennessee",17.30%,± 1.4%
"Maverick County, Texas",16.30%,± 2.4%
"Mayagüez Municipio, Puerto Rico",12%,± 2.1%
"Mayes County, Oklahoma",19.50%,± 1.6%
"McClain County, Oklahoma",11.50%,± 1.7%
"McCone County, Montana",12.30%,± 4.1%
"McCook County, South Dakota",10.60%,± 2.2%
"McCormick County, South Carolina",17.30%,± 6.4%
"McCracken County, Kentucky",12.60%,± 1.4%
"McCreary County, Kentucky",19.10%,± 3.5%
"McCulloch County, Texas",16.30%,± 4.4%
"McCurtain County, Oklahoma",23.40%,± 2.2%
"McDonald County, Missouri",27.80%,± 3.3%
"McDonough County, Illinois",17.20%,± 2.2%
"McDowell County, North Carolina",28%,± 2.9%
"McDowell County, West Virginia",13.90%,± 4.7%
"McDuffie County, Georgia",17%,± 3.5%
"McHenry County, Illinois",13.70%,± 0.7%
"McHenry County, North Dakota",12.60%,± 2.5%
"McIntosh County, Georgia",14.20%,± 4.3%
"McIntosh County, North Dakota",10.70%,± 3.5%
"McIntosh County, Oklahoma",18.90%,± 2.7%
"McKean County, Pennsylvania",20.20%,± 1.8%
"McKenzie County, North Dakota",13.80%,± 3.7%
"McKinley County, New Mexico",12.60%,± 1.1%
"McLean County, Illinois",9.80%,± 0.9%
"McLean County, Kentucky",20.80%,± 3.7%
"McLean County, North Dakota",12.80%,± 1.7%
"McLennan County, Texas",16.50%,± 1.1%
"McLeod County, Minnesota",23.80%,± 2%
"McMinn County, Tennessee",25.20%,± 2%
"McMullen County, Texas",11.30%,± 10.3%
"McNairy County, Tennessee",25.60%,± 3.1%
"McPherson County, Kansas",18.40%,± 2.3%
"McPherson County, Nebraska",13.90%,± 6.1%
"McPherson County, South Dakota",8.90%,± 3.3%
"Meade County, Kansas",10.10%,± 3.6%
"Meade County, Kentucky",20.60%,± 3.5%
"Meade County, South Dakota",9.90%,± 1.8%
"Meagher County, Montana",10.30%,± 5.7%
"Mecklenburg County, North Carolina",11.20%,± 0.4%
"Mecklenburg County, Virginia",18.70%,± 2.4%
"Mecosta County, Michigan",20.20%,± 1.6%
"Medina County, Ohio",12.30%,± 0.8%
"Medina County, Texas",12.90%,± 2%
"Meeker County, Minnesota",20.80%,± 1.7%
"Meigs County, Ohio",20.60%,± 3%
"Meigs County, Tennessee",24.30%,± 4.9%
"Mellette County, South Dakota",0.20%,± 0.6%
"Menard County, Illinois",11%,± 2.4%
"Menard County, Texas",19.60%,± 9.6%
"Mendocino County, California",11.40%,± 1.1%
"Menifee County, Kentucky",18.50%,± 5.6%
"Menominee County, Michigan",26.20%,± 2.2%
"Menominee County, Wisconsin",12.90%,± 3.9%
"Merced County, California",20%,± 1.1%
"Mercer County, Illinois",17.10%,± 2.6%
"Mercer County, Kentucky",24%,± 3.7%
"Mercer County, Missouri",20%,± 4.7%
"Mercer County, New Jersey",11.50%,± 0.8%
"Mercer County, North Dakota",12.70%,± 2.7%
"Mercer County, Ohio",28.60%,± 2.1%
"Mercer County, Pennsylvania",16.70%,± 1.1%
"Mercer County, West Virginia",16.70%,± 2.6%
"Meriwether County, Georgia",26.10%,± 4%
"Merrick County, Nebraska",16%,± 3.2%
"Merrimack County, New Hampshire",11.60%,± 0.9%
"Mesa County, Colorado",12.60%,± 1.2%
"Metcalfe County, Kentucky",24.80%,± 5.3%
"Miami County, Indiana",27%,± 2.7%
"Miami County, Kansas",11.80%,± 1.6%
"Miami County, Ohio",21.60%,± 1.4%
"Miami-Dade County, Florida",11.70%,± 0.3%
"Middlesex County, Massachusetts",6.50%,± 0.3%
"Middlesex County, New Jersey",13.50%,± 0.4%
"Middlesex County, Virginia",10.50%,± 2.2%
"Midland County, Michigan",12.90%,± 1.1%
"Midland County, Texas",12.70%,± 1.2%
"Mifflin County, Pennsylvania",24.70%,± 2%
"Milam County, Texas",12.10%,± 2.3%
"Millard County, Utah",20.10%,± 2.6%
"Mille Lacs County, Minnesota",20.70%,± 1.8%
"Miller County, Arkansas",21.80%,± 2.6%
"Miller County, Georgia",16.30%,± 3.9%
"Miller County, Missouri",14.90%,± 2.2%
"Mills County, Iowa",14.30%,± 2.7%
"Mills County, Texas",10.40%,± 3.3%
"Milwaukee County, Wisconsin",17.60%,± 0.5%
"Miner County, South Dakota",19.10%,± 4.5%
"Mineral County, Colorado",1.50%,± 1.5%
"Mineral County, Montana",16.90%,± 4.6%
"Mineral County, Nevada",18.40%,± 7.5%
"Mineral County, West Virginia",18.80%,± 2.9%
"Mingo County, West Virginia",10.80%,± 2.8%
"Minidoka County, Idaho",25.20%,± 3.8%
"Minnehaha County, South Dakota",15%,± 0.9%
"Missaukee County, Michigan",19.70%,± 1.8%
"Mississippi County, Arkansas",26.50%,± 2.3%
"Mississippi County, Missouri",15.30%,± 4.9%
"Missoula County, Montana",9.60%,± 1%
"Mitchell County, Georgia",15.80%,± 3.3%
"Mitchell County, Iowa",21.90%,± 3.7%
"Mitchell County, Kansas",12.90%,± 3.2%
"Mitchell County, North Carolina",18.10%,± 4.2%
"Mitchell County, Texas",10.20%,± 6.4%
"Mobile County, Alabama",16.60%,± 0.7%
"Moca Municipio, Puerto Rico",11.50%,± 3.4%
"Modoc County, California",5.60%,± 2.7%
"Moffat County, Colorado",13.80%,± 3.1%
"Mohave County, Arizona",14.40%,± 1.2%
"Moniteau County, Missouri",17.70%,± 3.1%
"Monmouth County, New Jersey",7.30%,± 0.4%
"Mono County, California",8.60%,± 4.1%
"Monona County, Iowa",14.80%,± 2.7%
"Monongalia County, West Virginia",6.90%,± 0.8%
"Monroe County, Alabama",24.60%,± 3.4%
"Monroe County, Arkansas",28.30%,± 6.5%
"Monroe County, Florida",8.40%,± 1.2%
"Monroe County, Georgia",16.10%,± 2.5%
"Monroe County, Illinois",9.10%,± 1.5%
"Monroe County, Indiana",11%,± 1%
"Monroe County, Iowa",19.30%,± 4%
"Monroe County, Kentucky",23.30%,± 4.1%
"Monroe County, Michigan",20.70%,± 1.1%
"Monroe County, Mississippi",28%,± 3.1%
"Monroe County, Missouri",24%,± 3.3%
"Monroe County, New York",10.80%,± 0.4%
"Monroe County, Ohio",22%,± 4.1%
"Monroe County, Pennsylvania",16.70%,± 1.3%
"Monroe County, Tennessee",27.60%,± 3%
"Monroe County, West Virginia",22.20%,± 5%
"Monroe County, Wisconsin",23.10%,± 1.9%
"Montague County, Texas",15.10%,± 2.3%
"Montcalm County, Michigan",24.70%,± 1.8%
"Monterey County, California",11.80%,± 0.6%
"Montezuma County, Colorado",9%,± 2.4%
"Montgomery County, Alabama",17.70%,± 1.3%
"Montgomery County, Arkansas",21%,± 4.1%
"Montgomery County, Georgia",19.10%,± 4.1%
"Montgomery County, Illinois",17.90%,± 2.3%
"Montgomery County, Indiana",27.70%,± 2%
"Montgomery County, Iowa",20.70%,± 2.9%
"Montgomery County, Kansas",18.30%,± 2.3%
"Montgomery County, Kentucky",29.90%,± 3.5%
"Montgomery County, Maryland",5.60%,± 0.3%
"Montgomery County, Mississippi",20.70%,± 5.6%
"Montgomery County, Missouri",21.90%,± 3%
"Montgomery County, New York",19.60%,± 1.5%
"Montgomery County, North Carolina",20.10%,± 3.3%
"Montgomery County, Ohio",16.80%,± 0.6%
"Montgomery County, Pennsylvania",8.80%,± 0.3%
"Montgomery County, Tennessee",15%,± 1.2%
"Montgomery County, Texas",11.50%,± 0.8%
"Montgomery County, Virginia",9.10%,± 1.5%
"Montmorency County, Michigan",17.60%,± 2.9%
"Montour County, Pennsylvania",13.90%,± 2.2%
"Montrose County, Colorado",13.60%,± 2.2%
"Moody County, South Dakota",12.20%,± 2.3%
"Moore County, North Carolina",10.20%,± 1.3%
"Moore County, Tennessee",25.30%,± 5.8%
"Moore County, Texas",29.30%,± 3.9%
"Mora County, New Mexico",13.60%,± 8%
"Morehouse Parish, Louisiana",19.80%,± 3.8%
"Morgan County, Alabama",20.90%,± 1.4%
"Morgan County, Colorado",22.50%,± 2.8%
"Morgan County, Georgia",20.20%,± 3.1%
"Morgan County, Illinois",20.50%,± 2.5%
"Morgan County, Indiana",20.80%,± 2%
"Morgan County, Kentucky",18%,± 3.9%
"Morgan County, Missouri",21.30%,± 2.8%
"Morgan County, Ohio",25.50%,± 3.5%
"Morgan County, Tennessee",16.40%,± 4%
"Morgan County, Utah",9.10%,± 2.4%
"Morgan County, West Virginia",12.80%,± 2.9%
"Morovis Municipio, Puerto Rico",16.40%,± 3.8%
"Morrill County, Nebraska",13.10%,± 3.2%
"Morris County, Kansas",18.80%,± 3.1%
"Morris County, New Jersey",7.40%,± 0.4%
"Morris County, Texas",21.40%,± 4.3%
"Morrison County, Minnesota",20.10%,± 1.6%
"Morrow County, Ohio",19.50%,± 2.8%
"Morrow County, Oregon",22.40%,± 4%
"Morton County, Kansas",18.20%,± 7.1%
"Morton County, North Dakota",13.10%,± 3%
"Motley County, Texas",7.60%,± 5.5%
"Moultrie County, Illinois",24.80%,± 3.6%
"Mountrail County, North Dakota",13.10%,± 2.6%
"Mower County, Minnesota",27.20%,± 2.1%
"Muhlenberg County, Kentucky",22.80%,± 2.4%
"Multnomah County, Oregon",10.70%,± 0.5%
"Murray County, Georgia",33.10%,± 2.7%
"Murray County, Minnesota",18.80%,± 2.7%
"Murray County, Oklahoma",19.50%,± 3.4%
"Muscatine County, Iowa",28.40%,± 2%
"Muscogee County, Georgia",14.60%,± 1.2%
"Muskegon County, Michigan",24.90%,± 1.1%
"Muskingum County, Ohio",20.70%,± 1.8%
"Muskogee County, Oklahoma",18.30%,± 1.5%
"Musselshell County, Montana",11.50%,± 4.5%
"Nacogdoches County, Texas",14%,± 1.8%
"Naguabo Municipio, Puerto Rico",15%,± 6.1%
"Nance County, Nebraska",11.60%,± 3.5%
"Nantucket County, Massachusetts",8.40%,± 3.3%
"Napa County, California",11.40%,± 0.8%
"Naranjito Municipio, Puerto Rico",12.60%,± 4.2%
"Nash County, North Carolina",19%,± 1.7%
"Nassau County, Florida",12%,± 1.5%
"Nassau County, New York",7.40%,± 0.2%
"Natchitoches Parish, Louisiana",16.40%,± 2.6%
"Natrona County, Wyoming",12.80%,± 1.3%
"Naugatuck Valley Planning Region, Connecticut",13.20%,± 0.6%
"Navajo County, Arizona",11.20%,± 1.3%
"Navarro County, Texas",24.10%,± 2.6%
"Nelson County, Kentucky",25.20%,± 2.4%
"Nelson County, North Dakota",9.60%,± 2.3%
"Nelson County, Virginia",10.30%,± 2.8%
"Nemaha County, Kansas",21%,± 2.5%
"Nemaha County, Nebraska",18.30%,± 3.9%
"Neosho County, Kansas",16.60%,± 2.6%
"Neshoba County, Mississippi",18.90%,± 2.9%
"Ness County, Kansas",14.80%,± 3.2%
"Nevada County, Arkansas",18.80%,± 5.7%
"Nevada County, California",7.20%,± 1%
"New Castle County, Delaware",10.90%,± 0.6%
"New Hanover County, North Carolina",8.70%,± 0.8%
"New Kent County, Virginia",8.10%,± 2.6%
"New Madrid County, Missouri",19%,± 3%
"New York County, New York",4.20%,± 0.2%
"Newaygo County, Michigan",23.50%,± 1.9%
"Newberry County, South Carolina",22.40%,± 2.9%
"Newport County, Rhode Island",6%,± 0.9%
"Newport News city, Virginia",15.50%,± 1.1%
"Newton County, Arkansas",22.80%,± 4.9%
"Newton County, Georgia",18.20%,± 1.9%
"Newton County, Indiana",27.30%,± 4.8%
"Newton County, Mississippi",27.50%,± 3.9%
"Newton County, Missouri",20.50%,± 2%
"Newton County, Texas",18%,± 4.2%
"Nez Perce County, Idaho",16.60%,± 2%
"Niagara County, New York",15.30%,± 0.9%
"Nicholas County, Kentucky",24.90%,± 6.1%
"Nicholas County, West Virginia",14.60%,± 2.7%
"Nicollet County, Minnesota",14.80%,± 1.7%
"Niobrara County, Wyoming",8.10%,± 4.1%
"Noble County, Indiana",35%,± 2.4%
"Noble County, Ohio",17.70%,± 4.5%
"Noble County, Oklahoma",19.20%,± 2.9%
"Nobles County, Minnesota",29.40%,± 3.3%
"Nodaway County, Missouri",17.50%,± 2.3%
"Nolan County, Texas",18.60%,± 3.4%
"Nome Census Area, Alaska",11.20%,± 1.7%
"Norfolk city, Virginia",11.90%,± 0.9%
"Norfolk County, Massachusetts",6%,± 0.3%
"Norman County, Minnesota",15.10%,± 1.8%
"North Slope Borough, Alaska",16.60%,± 3.6%
"Northampton County, North Carolina",19.50%,± 2.9%
"Northampton County, Pennsylvania",15.30%,± 0.7%
"Northampton County, Virginia",10.30%,± 2.7%
"Northeastern Connecticut Planning Region, Connecticut",17%,± 1.6%
"Northumberland County, Pennsylvania",21.50%,± 1.3%
"Northumberland County, Virginia",11.90%,± 5%
"Northwest Arctic Borough, Alaska",14.80%,± 4.1%
"Northwest Hills Planning Region, Connecticut",11%,± 1%
"Norton city, Virginia",5.40%,± 3.9%
"Norton County, Kansas",11%,± 4.4%
"Nottoway County, Virginia",12.80%,± 3.3%
"Nowata County, Oklahoma",18.10%,± 2.7%
"Noxubee County, Mississippi",28.90%,± 5.8%
"Nuckolls County, Nebraska",16.30%,± 3.9%
"Nueces County, Texas",12.20%,± 0.8%
"Nye County, Nevada",13%,± 2.1%
"O'Brien County, Iowa",22.10%,± 4%
"Oakland County, Michigan",9.80%,± 0.3%
"Obion County, Tennessee",26.10%,± 2.5%
"Ocean County, New Jersey",8.80%,± 0.4%
"Oceana County, Michigan",24.20%,± 2%
"Ochiltree County, Texas",18.70%,± 4.9%
"Oconee County, Georgia",9.30%,± 2.2%
"Oconee County, South Carolina",18.20%,± 2%
"Oconto County, Wisconsin",23.40%,± 1.6%
"Ogemaw County, Michigan",16.50%,± 1.7%
"Oglala Lakota County, South Dakota",8.40%,± 3.9%
"Ogle County, Illinois",20.40%,± 1.8%
"Oglethorpe County, Georgia",16.60%,± 3.9%
"Ohio County, Indiana",21.30%,± 4.4%
"Ohio County, Kentucky",23.30%,± 2.9%
"Ohio County, West Virginia",14.60%,± 1.9%
"Okaloosa County, Florida",9.70%,± 0.9%
"Okanogan County, Washington",10.40%,± 2%
"Okeechobee County, Florida",10.90%,± 2.3%
"Okfuskee County, Oklahoma",19%,± 2.7%
"Oklahoma County, Oklahoma",12.10%,± 0.4%
"Okmulgee County, Oklahoma",17.30%,± 1.8%
"Oktibbeha County, Mississippi",14.10%,± 2.3%
"Oldham County, Kentucky",11.60%,± 1.4%
"Oldham County, Texas",12.20%,± 4.7%
"Oliver County, North Dakota",9.90%,± 3.9%
"Olmsted County, Minnesota",9.20%,± 0.9%
"Oneida County, Idaho",20.30%,± 5.3%
"Oneida County, New York",11.20%,± 0.7%
"Oneida County, Wisconsin",18%,± 1.9%
"Onondaga County, New York",10.90%,± 0.6%
"Onslow County, North Carolina",11.80%,± 1.3%
"Ontario County, New York",10.50%,± 1%
"Ontonagon County, Michigan",15.60%,± 3.3%
"Orange County, California",10.10%,± 0.2%
"Orange County, Florida",10.70%,± 0.5%
"Orange County, Indiana",24.30%,± 2.8%
"Orange County, New York",11.20%,± 0.6%
"Orange County, North Carolina",5.60%,± 0.8%
"Orange County, Texas",17.10%,± 1.6%
"Orange County, Vermont",10.90%,± 1.2%
"Orange County, Virginia",10%,± 1.8%
"Orangeburg County, South Carolina",23.50%,± 2.1%
"Oregon County, Missouri",24.80%,± 4.2%
"Orleans County, New York",18.20%,± 1.7%
"Orleans County, Vermont",13%,± 1.5%
"Orleans Parish, Louisiana",7.80%,± 0.5%
"Orocovis Municipio, Puerto Rico",15.80%,± 3.9%
"Osage County, Kansas",19.10%,± 2.2%
"Osage County, Missouri",21.50%,± 3.3%
"Osage County, Oklahoma",15.40%,± 1.5%
"Osborne County, Kansas",11.80%,± 3%
"Osceola County, Florida",14.20%,± 1%
"Osceola County, Iowa",24.60%,± 3.8%
"Osceola County, Michigan",26%,± 1.8%
"Oscoda County, Michigan",20.20%,± 3.8%
"Oswego County, New York",16.80%,± 1.1%
"Otero County, Colorado",18.20%,± 3.6%
"Otero County, New Mexico",10.40%,± 2.3%
"Otoe County, Nebraska",16.40%,± 2.6%
"Otsego County, Michigan",16.20%,± 2.3%
"Otsego County, New York",10.60%,± 1.3%
"Ottawa County, Kansas",18.40%,± 3.6%
"Ottawa County, Michigan",18.30%,± 0.9%
"Ottawa County, Ohio",18.30%,± 2%
"Ottawa County, Oklahoma",17.10%,± 1.2%
"Otter Tail County, Minnesota",16%,± 1%
"Ouachita County, Arkansas",27.20%,± 4%
"Ouachita Parish, Louisiana",12.90%,± 1.1%
"Ouray County, Colorado",5.70%,± 2.9%
"Outagamie County, Wisconsin",19.30%,± 1%
"Overton County, Tennessee",22.20%,± 2.9%
"Owen County, Indiana",25.70%,± 3.3%
"Owen County, Kentucky",22.70%,± 4.4%
"Owsley County, Kentucky",15.80%,± 8.8%
"Owyhee County, Idaho",16.10%,± 3.4%
"Oxford County, Maine",17.70%,± 1.8%
"Ozark County, Missouri",23.70%,± 5%
"Ozaukee County, Wisconsin",12.70%,± 1.1%
"Pacific County, Washington",13.60%,± 2.4%
"Page County, Iowa",27.20%,± 3.3%
"Page County, Virginia",18.10%,± 2.6%
"Palm Beach County, Florida",8.70%,± 0.4%
"Palo Alto County, Iowa",21.80%,± 4.1%
"Palo Pinto County, Texas",17.60%,± 2.3%
"Pamlico County, North Carolina",17.30%,± 4.3%
"Panola County, Mississippi",18.50%,± 3.2%
"Panola County, Texas",21.50%,± 3.7%
"Park County, Colorado",9.30%,± 2.4%
"Park County, Montana",9.10%,± 1.9%
"Park County, Wyoming",10.20%,± 2.2%
"Parke County, Indiana",22%,± 3.8%
"Parker County, Texas",12.20%,± 1%
"Parmer County, Texas",18.70%,± 3.7%
"Pasco County, Florida",8.90%,± 0.5%
"Pasquotank County, North Carolina",15.90%,± 2.4%
"Passaic County, New Jersey",18.20%,± 0.6%
"Patillas Municipio, Puerto Rico",17.90%,± 5.2%
"Patrick County, Virginia",21.90%,± 3.6%
"Paulding County, Georgia",12.60%,± 1.3%
"Paulding County, Ohio",29.60%,± 3.5%
"Pawnee County, Kansas",15.10%,± 4.6%
"Pawnee County, Nebraska",23.40%,± 5.1%
"Pawnee County, Oklahoma",19.40%,± 1.9%
"Payette County, Idaho",21.60%,± 4%
"Payne County, Oklahoma",11.70%,± 1.1%
"Peach County, Georgia",19.70%,± 3.6%
"Pearl River County, Mississippi",18.90%,± 2.7%
"Pecos County, Texas",12.60%,± 3.4%
"Pembina County, North Dakota",17.90%,± 2.4%
"Pemiscot County, Missouri",19.40%,± 2.9%
"Pend Oreille County, Washington",12.10%,± 2.3%
"Pender County, North Carolina",12.80%,± 1.6%
"Pendleton County, Kentucky",21.80%,± 3.9%
"Pendleton County, West Virginia",21%,± 4.4%
"Pennington County, Minnesota",25%,± 2.6%
"Pennington County, South Dakota",12.30%,± 1.2%
"Penobscot County, Maine",10.60%,± 1%
"Peñuelas Municipio, Puerto Rico",15.20%,± 3.8%
"Peoria County, Illinois",12.40%,± 0.7%
"Pepin County, Wisconsin",20.50%,± 2.2%
"Perkins County, Nebraska",9.80%,± 2.8%
"Perkins County, South Dakota",11.10%,± 3.3%
"Perquimans County, North Carolina",15.10%,± 3.9%
"Perry County, Alabama",26.90%,± 7.7%
"Perry County, Arkansas",19.10%,± 4.6%
"Perry County, Illinois",18.80%,± 2.9%
"Perry County, Indiana",30%,± 2.9%
"Perry County, Kentucky",10.90%,± 2.8%
"Perry County, Mississippi",20.40%,± 5.6%
"Perry County, Missouri",26.60%,± 3.6%
"Perry County, Ohio",23.40%,± 2.3%
"Perry County, Pennsylvania",19.90%,± 1.5%
"Perry County, Tennessee",27.50%,± 5.5%
"Pershing County, Nevada",13.60%,± 4.5%
"Person County, North Carolina",17.90%,± 2.4%
"Petersburg Borough, Alaska",20.50%,± 5.1%
"Petersburg city, Virginia",22.80%,± 3%
