Geography,Total—AGE OF OWN CHILDREN—Households with own children of the householder under 18 years—Under 6 years only—Estimate,MoE
"Lincoln County, Oregon",22.70%,± 4.8%
"Lincoln County, South Dakota",22.60%,± 3%
"Lincoln County, Tennessee",24.20%,± 5.5%
"Lincoln County, Washington",16.10%,± 4.9%
"Lincoln County, West Virginia",20%,± 7.8%
"Lincoln County, Wisconsin",15.50%,± 3.5%
"Lincoln County, Wyoming",14.90%,± 4.6%
"Lincoln Parish, Louisiana",20%,± 4.1%
"Linn County, Iowa",23.10%,± 2.4%
"Linn County, Kansas",11%,± 4.6%
"Linn County, Missouri",19.40%,± 4.8%
"Linn County, Oregon",23.20%,± 3.1%
"Lipscomb County, Texas",22.70%,± 9.3%
"Little River County, Arkansas",22.20%,± 8.4%
"Live Oak County, Texas",26.10%,± 12.3%
"Livingston County, Illinois",27.10%,± 4.4%
"Livingston County, Kentucky",21.40%,± 10.7%
"Livingston County, Michigan",22.90%,± 1.8%
"Livingston County, Missouri",17.10%,± 5%
"Livingston County, New York",25%,± 3.6%
"Livingston Parish, Louisiana",21.20%,± 3%
"Llano County, Texas",9.70%,± 5.1%
"Logan County, Arkansas",19.70%,± 5.5%
"Logan County, Colorado",28.30%,± 6.8%
"Logan County, Illinois",17%,± 3.4%
"Logan County, Kansas",32.40%,± 13%
"Logan County, Kentucky",19.40%,± 5.3%
"Logan County, Nebraska",19.60%,± 8.9%
"Logan County, North Dakota",17.80%,± 7.6%
"Logan County, Ohio",17.60%,± 4.3%
"Logan County, Oklahoma",19.70%,± 4.7%
"Logan County, West Virginia",18.90%,± 5.4%
"Loíza Municipio, Puerto Rico",15.70%,± 5.4%
"Long County, Georgia",18.40%,± 7.4%
"Lonoke County, Arkansas",22.30%,± 3.6%
"Lorain County, Ohio",20.70%,± 1.9%
"Los Alamos County, New Mexico",18.40%,± 6.5%
"Los Angeles County, California",19.20%,± 0.3%
"Loudon County, Tennessee",17.30%,± 4.2%
"Loudoun County, Virginia",19.90%,± 1.4%
"Louisa County, Iowa",17.20%,± 4.5%
"Louisa County, Virginia",21.40%,± 6%
"Loup County, Nebraska",24.60%,± 18.4%
"Love County, Oklahoma",23%,± 5%
"Loving County, Texas",100%,± 100%
"Lower Connecticut River Valley Planning Region, Connecticut",22.70%,± 2.9%
"Lowndes County, Alabama",17.60%,± 8.7%
"Lowndes County, Georgia",26.20%,± 2.8%
"Lowndes County, Mississippi",23.40%,± 4.9%
"Lubbock County, Texas",24.10%,± 2.2%
"Lucas County, Iowa",23.80%,± 5.8%
"Lucas County, Ohio",21.70%,± 1.9%
"Luce County, Michigan",16.80%,± 9%
"Lumpkin County, Georgia",27.30%,± 6.3%
"Luna County, New Mexico",13.10%,± 6%
"Lunenburg County, Virginia",16.60%,± 6%
"Luquillo Municipio, Puerto Rico",12.90%,± 5.9%
"Luzerne County, Pennsylvania",21.50%,± 1.7%
"Lycoming County, Pennsylvania",22.50%,± 3%
"Lyman County, South Dakota",31.40%,± 8.4%
"Lynchburg city, Virginia",24%,± 4.3%
"Lynn County, Texas",20.70%,± 5.9%
"Lyon County, Iowa",20.10%,± 4.8%
"Lyon County, Kansas",32.60%,± 5.6%
"Lyon County, Kentucky",9.20%,± 7%
"Lyon County, Minnesota",23.70%,± 4%
"Lyon County, Nevada",13.90%,± 3.8%
"Mackinac County, Michigan",23.80%,± 7%
"Macomb County, Michigan",22.20%,± 1.1%
"Macon County, Alabama",24.60%,± 8.6%
"Macon County, Georgia",14.70%,± 8.1%
"Macon County, Illinois",26.30%,± 3.7%
"Macon County, Missouri",18.30%,± 5.2%
"Macon County, North Carolina",16.30%,± 5.4%
"Macon County, Tennessee",29.40%,± 7%
"Macoupin County, Illinois",18.50%,± 3.4%
"Madera County, California",13.50%,± 2.2%
"Madison County, Alabama",21.10%,± 2%
"Madison County, Arkansas",19.50%,± 6.8%
"Madison County, Florida",27.50%,± 9.8%
"Madison County, Georgia",17.90%,± 5.8%
"Madison County, Idaho",33.10%,± 6%
"Madison County, Illinois",22.60%,± 1.8%
"Madison County, Indiana",22.10%,± 2.6%
"Madison County, Iowa",12.60%,± 3.6%
"Madison County, Kentucky",28.30%,± 3.6%
"Madison County, Mississippi",20.10%,± 3.3%
"Madison County, Missouri",9.70%,± 5.4%
"Madison County, Montana",12%,± 5.5%
"Madison County, Nebraska",28.90%,± 4.5%
"Madison County, New York",22%,± 3.4%
"Madison County, North Carolina",31.10%,± 8.1%
"Madison County, Ohio",20.60%,± 4.4%
"Madison County, Tennessee",28.10%,± 4.7%
"Madison County, Texas",21.10%,± 7.8%
"Madison County, Virginia",24.20%,± 10.1%
"Madison Parish, Louisiana",17.80%,± 8.9%
"Magoffin County, Kentucky",17%,± 12.4%
"Mahaska County, Iowa",18.20%,± 4.7%
"Mahnomen County, Minnesota",21.90%,± 3.8%
"Mahoning County, Ohio",20.10%,± 2.2%
"Major County, Oklahoma",15.90%,± 5.1%
"Malheur County, Oregon",15.60%,± 5.1%
"Manassas city, Virginia",22.30%,± 5.1%
"Manassas Park city, Virginia",8.70%,± 5.3%
"Manatee County, Florida",20.60%,± 1.9%
"Manatí Municipio, Puerto Rico",20.70%,± 5.2%
"Manistee County, Michigan",17.20%,± 3.8%
"Manitowoc County, Wisconsin",18.50%,± 2.7%
"Marathon County, Wisconsin",21.20%,± 2.4%
"Marengo County, Alabama",15.80%,± 7.4%
"Maricao Municipio, Puerto Rico",15.40%,± 12.6%
"Maricopa County, Arizona",20.30%,± 0.5%
"Maries County, Missouri",17.60%,± 11.5%
"Marin County, California",19.70%,± 1.8%
"Marinette County, Wisconsin",21.90%,± 3.9%
"Marion County, Alabama",22.70%,± 5.6%
"Marion County, Arkansas",20%,± 7.2%
"Marion County, Florida",20.50%,± 2.7%
"Marion County, Georgia",29.40%,± 12.5%
"Marion County, Illinois",21.50%,± 3.7%
"Marion County, Indiana",23.40%,± 1.3%
"Marion County, Iowa",22.20%,± 4.5%
"Marion County, Kansas",17.50%,± 4.7%
"Marion County, Kentucky",18.20%,± 5.9%
"Marion County, Mississippi",15.20%,± 8.9%
"Marion County, Missouri",22.50%,± 5%
"Marion County, Ohio",19.80%,± 4.1%
"Marion County, Oregon",19.50%,± 1.8%
"Marion County, South Carolina",5.30%,± 2.6%
"Marion County, Tennessee",25.90%,± 6.5%
"Marion County, Texas",9.40%,± 5.7%
"Marion County, West Virginia",21.30%,± 3.2%
"Mariposa County, California",14.70%,± 8.2%
"Marlboro County, South Carolina",13.60%,± 5.9%
"Marquette County, Michigan",22.50%,± 3.8%
"Marquette County, Wisconsin",16.20%,± 3.3%
"Marshall County, Alabama",20%,± 2.5%
"Marshall County, Illinois",32%,± 5.8%
"Marshall County, Indiana",13.50%,± 2.6%
"Marshall County, Iowa",19.70%,± 3.5%
"Marshall County, Kansas",25.10%,± 7.7%
"Marshall County, Kentucky",19.60%,± 6%
"Marshall County, Minnesota",21.70%,± 3.7%
"Marshall County, Mississippi",21.30%,± 6.3%
"Marshall County, Oklahoma",18.20%,± 4.7%
"Marshall County, South Dakota",27.70%,± 8.9%
"Marshall County, Tennessee",23.60%,± 5.6%
"Marshall County, West Virginia",17.50%,± 6%
"Martin County, Florida",19.80%,± 3.4%
"Martin County, Indiana",26.80%,± 9.1%
"Martin County, Kentucky",11.10%,± 9.2%
"Martin County, Minnesota",18.20%,± 4.4%
"Martin County, North Carolina",10.80%,± 4.9%
"Martin County, Texas",27.40%,± 13%
"Martinsville city, Virginia",23.20%,± 11.8%
"Mason County, Illinois",24.70%,± 6.3%
"Mason County, Kentucky",26.50%,± 7.6%
"Mason County, Michigan",16.60%,± 3.8%
"Mason County, Texas",6.20%,± 8.3%
"Mason County, Washington",18%,± 5.3%
"Mason County, West Virginia",15.70%,± 6.5%
"Massac County, Illinois",9.60%,± 4.4%
"Matagorda County, Texas",20.30%,± 5.9%
"Matanuska-Susitna Borough, Alaska",20.60%,± 2.4%
"Mathews County, Virginia",16.30%,± 11.4%
"Maui County, Hawaii",18.50%,± 2.7%
"Maunabo Municipio, Puerto Rico",4%,± 4.6%
"Maury County, Tennessee",21.50%,± 4%
"Maverick County, Texas",20.60%,± 5.5%
"Mayagüez Municipio, Puerto Rico",24.20%,± 4.2%
"Mayes County, Oklahoma",16.20%,± 2.3%
"McClain County, Oklahoma",15%,± 3.4%
"McCone County, Montana",47.20%,± 16.8%
"McCook County, South Dakota",20%,± 6.3%
"McCormick County, South Carolina",30.70%,± 18%
"McCracken County, Kentucky",22.40%,± 4.9%
"McCreary County, Kentucky",24.10%,± 10.3%
"McCulloch County, Texas",21%,± 13.9%
"McCurtain County, Oklahoma",18.40%,± 3.2%
"McDonald County, Missouri",22.10%,± 5.2%
"McDonough County, Illinois",30.20%,± 6.3%
"McDowell County, North Carolina",20.50%,± 4.8%
"McDowell County, West Virginia",17.20%,± 8.3%
"McDuffie County, Georgia",19.90%,± 8.7%
"McHenry County, Illinois",19%,± 1.5%
"McHenry County, North Dakota",34.70%,± 7.8%
"McIntosh County, Georgia",14.50%,± 9.3%
"McIntosh County, North Dakota",24.70%,± 11%
"McIntosh County, Oklahoma",18.80%,± 5%
"McKean County, Pennsylvania",18.80%,± 3.1%
"McKenzie County, North Dakota",24.40%,± 8%
"McKinley County, New Mexico",11.70%,± 2.6%
"McLean County, Illinois",23.10%,± 2.2%
"McLean County, Kentucky",18.30%,± 6%
"McLean County, North Dakota",30.90%,± 5.2%
"McLennan County, Texas",20.20%,± 2.5%
"McLeod County, Minnesota",21.50%,± 4.4%
"McMinn County, Tennessee",17.80%,± 3.7%
"McMullen County, Texas",34.40%,± 30.7%
"McNairy County, Tennessee",23.80%,± 5.8%
"McPherson County, Kansas",21.40%,± 4%
"McPherson County, Nebraska",15.60%,± 16.1%
"McPherson County, South Dakota",21.40%,± 11.6%
"Meade County, Kansas",27.80%,± 7.5%
"Meade County, Kentucky",17.30%,± 4.5%
"Meade County, South Dakota",22.30%,± 5%
"Meagher County, Montana",6.10%,± 10.9%
"Mecklenburg County, North Carolina",25%,± 1.1%
"Mecklenburg County, Virginia",23%,± 7.3%
"Mecosta County, Michigan",24.80%,± 4.2%
"Medina County, Ohio",20.90%,± 2.3%
"Medina County, Texas",18.20%,± 4.5%
"Meeker County, Minnesota",22.90%,± 3.6%
"Meigs County, Ohio",13.10%,± 4.5%
"Meigs County, Tennessee",23.30%,± 6.9%
"Mellette County, South Dakota",15.30%,± 10.9%
"Menard County, Illinois",25.40%,± 5.8%
"Menard County, Texas",18.10%,± 27%
"Mendocino County, California",16.50%,± 2.8%
"Menifee County, Kentucky",16.10%,± 12.8%
"Menominee County, Michigan",18.50%,± 4.6%
"Menominee County, Wisconsin",12.20%,± 8.9%
"Merced County, California",14.80%,± 1.8%
"Mercer County, Illinois",15.70%,± 4.9%
"Mercer County, Kentucky",17.50%,± 5.5%
"Mercer County, Missouri",13.20%,± 6.5%
"Mercer County, New Jersey",20.80%,± 1.8%
"Mercer County, North Dakota",15.20%,± 7.2%
"Mercer County, Ohio",22%,± 3.3%
"Mercer County, Pennsylvania",23.70%,± 3%
"Mercer County, West Virginia",13.40%,± 4.1%
"Meriwether County, Georgia",15.40%,± 5.3%
"Merrick County, Nebraska",22.30%,± 6.8%
"Merrimack County, New Hampshire",19.30%,± 2.1%
"Mesa County, Colorado",19.20%,± 2.6%
"Metcalfe County, Kentucky",15%,± 7.1%
"Miami County, Indiana",19.70%,± 3.3%
"Miami County, Kansas",20%,± 4.8%
"Miami County, Ohio",23%,± 2.9%
"Miami-Dade County, Florida",20.40%,± 0.6%
"Middlesex County, Massachusetts",24.80%,± 0.9%
"Middlesex County, New Jersey",19.60%,± 1.1%
"Middlesex County, Virginia",20.50%,± 7.9%
"Midland County, Michigan",24.60%,± 3.3%
"Midland County, Texas",26.20%,± 3%
"Mifflin County, Pennsylvania",20.10%,± 3.3%
"Milam County, Texas",18.70%,± 5.7%
"Millard County, Utah",13.80%,± 4.4%
"Mille Lacs County, Minnesota",18.80%,± 3.8%
"Miller County, Arkansas",15.30%,± 3.7%
"Miller County, Georgia",14.70%,± 9.1%
"Miller County, Missouri",17.20%,± 5.1%
"Mills County, Iowa",19.10%,± 6.5%
"Mills County, Texas",2.80%,± 2.9%
"Milwaukee County, Wisconsin",22.70%,± 1.1%
"Miner County, South Dakota",12.40%,± 8.1%
"Mineral County, Colorado",30.20%,± 28.3%
"Mineral County, Montana",26.20%,± 8.2%
"Mineral County, Nevada",19.20%,± 11.6%
"Mineral County, West Virginia",17.70%,± 7%
"Mingo County, West Virginia",17.40%,± 7.4%
"Minidoka County, Idaho",26.40%,± 6.3%
"Minnehaha County, South Dakota",23.90%,± 2.3%
"Missaukee County, Michigan",20.80%,± 3.3%
"Mississippi County, Arkansas",28.20%,± 5.5%
"Mississippi County, Missouri",19.50%,± 6.3%
"Missoula County, Montana",27.80%,± 3.2%
"Mitchell County, Georgia",3.90%,± 2.6%
"Mitchell County, Iowa",24%,± 7.8%
"Mitchell County, Kansas",16.30%,± 10.4%
"Mitchell County, North Carolina",20.50%,± 9.5%
"Mitchell County, Texas",19.80%,± 13.3%
"Mobile County, Alabama",21.20%,± 2%
"Moca Municipio, Puerto Rico",19.30%,± 5.6%
"Modoc County, California",23.40%,± 8.5%
"Moffat County, Colorado",29.40%,± 9.6%
"Mohave County, Arizona",21.50%,± 3.5%
"Moniteau County, Missouri",26.70%,± 5.9%
"Monmouth County, New Jersey",20.50%,± 1.3%
"Mono County, California",19.70%,± 10.1%
"Monona County, Iowa",22.50%,± 5.6%
"Monongalia County, West Virginia",25.50%,± 3.2%
"Monroe County, Alabama",8.10%,± 5%
"Monroe County, Arkansas",10.30%,± 9.1%
"Monroe County, Florida",24.30%,± 4.4%
"Monroe County, Georgia",12%,± 5.5%
"Monroe County, Illinois",23.50%,± 5.1%
"Monroe County, Indiana",22.90%,± 3.2%
"Monroe County, Iowa",30.60%,± 8.5%
"Monroe County, Kentucky",20.60%,± 6%
"Monroe County, Michigan",23.70%,± 2.9%
"Monroe County, Mississippi",24.50%,± 6.3%
"Monroe County, Missouri",18%,± 7.5%
"Monroe County, New York",21.90%,± 1.2%
"Monroe County, Ohio",17.80%,± 5.9%
"Monroe County, Pennsylvania",13.90%,± 2.3%
"Monroe County, Tennessee",19.40%,± 4%
"Monroe County, West Virginia",24.90%,± 13.8%
"Monroe County, Wisconsin",17.50%,± 3.3%
"Montague County, Texas",23.80%,± 7.5%
"Montcalm County, Michigan",17.70%,± 2.8%
"Monterey County, California",17.80%,± 1.4%
"Montezuma County, Colorado",26.40%,± 8.4%
"Montgomery County, Alabama",19.40%,± 2.2%
"Montgomery County, Arkansas",25.60%,± 9.3%
"Montgomery County, Georgia",18.60%,± 8.8%
"Montgomery County, Illinois",15.70%,± 3.6%
"Montgomery County, Indiana",15.60%,± 3.8%
"Montgomery County, Iowa",14.30%,± 5.4%
"Montgomery County, Kansas",17.40%,± 4%
"Montgomery County, Kentucky",22.20%,± 7.5%
"Montgomery County, Maryland",20.50%,± 0.8%
"Montgomery County, Mississippi",18.20%,± 14.8%
"Montgomery County, Missouri",24.90%,± 7.7%
"Montgomery County, New York",20.40%,± 3.5%
"Montgomery County, North Carolina",23.30%,± 9.6%
"Montgomery County, Ohio",23.10%,± 1.4%
"Montgomery County, Pennsylvania",22.50%,± 1%
"Montgomery County, Tennessee",25%,± 2.3%
"Montgomery County, Texas",21.10%,± 1.4%
"Montgomery County, Virginia",23.50%,± 3.7%
"Montmorency County, Michigan",13.80%,± 4.9%
"Montour County, Pennsylvania",24.60%,± 6.2%
"Montrose County, Colorado",22.20%,± 4.3%
"Moody County, South Dakota",24.70%,± 5.2%
"Moore County, North Carolina",21.70%,± 3%
"Moore County, Tennessee",17.20%,± 12.8%
"Moore County, Texas",19.50%,± 6.6%
"Mora County, New Mexico",5.40%,± 6.2%
"Morehouse Parish, Louisiana",16.10%,± 5.9%
"Morgan County, Alabama",16.40%,± 2.6%
"Morgan County, Colorado",23.70%,± 5.7%
"Morgan County, Georgia",24.40%,± 9.7%
"Morgan County, Illinois",22%,± 6.4%
"Morgan County, Indiana",12.60%,± 2.7%
"Morgan County, Kentucky",22.90%,± 5.7%
"Morgan County, Missouri",22.10%,± 5.8%
"Morgan County, Ohio",15.50%,± 5.5%
"Morgan County, Tennessee",23.10%,± 7.2%
"Morgan County, Utah",11%,± 4.1%
"Morgan County, West Virginia",21.70%,± 9.3%
"Morovis Municipio, Puerto Rico",12.90%,± 4.6%
"Morrill County, Nebraska",24.60%,± 8.8%
"Morris County, Kansas",12.30%,± 6.8%
"Morris County, New Jersey",20.40%,± 1.5%
"Morris County, Texas",20.80%,± 6.2%
"Morrison County, Minnesota",16.90%,± 3.1%
"Morrow County, Ohio",18.80%,± 4.7%
"Morrow County, Oregon",14%,± 5.5%
"Morton County, Kansas",15.40%,± 11.4%
"Morton County, North Dakota",26.10%,± 6.1%
"Motley County, Texas",7.50%,± 12.6%
"Moultrie County, Illinois",19.20%,± 5.7%
"Mountrail County, North Dakota",19.20%,± 8.2%
"Mower County, Minnesota",21.70%,± 3.6%
"Muhlenberg County, Kentucky",22.90%,± 4.9%
"Multnomah County, Oregon",23%,± 1.2%
"Murray County, Georgia",19.80%,± 5.9%
"Murray County, Minnesota",22.30%,± 4.4%
"Murray County, Oklahoma",19.40%,± 6.1%
"Muscatine County, Iowa",16.50%,± 4%
"Muscogee County, Georgia",24%,± 2.1%
"Muskegon County, Michigan",21.90%,± 2.5%
"Muskingum County, Ohio",23.10%,± 3.6%
"Muskogee County, Oklahoma",21.70%,± 2.9%
"Musselshell County, Montana",20.80%,± 13.1%
"Nacogdoches County, Texas",20.50%,± 4.6%
"Naguabo Municipio, Puerto Rico",14.90%,± 7.4%
"Nance County, Nebraska",15.40%,± 8.5%
"Nantucket County, Massachusetts",20.90%,± 11.1%
"Napa County, California",19%,± 2.8%
"Naranjito Municipio, Puerto Rico",12.70%,± 8.2%
"Nash County, North Carolina",16.20%,± 3.4%
"Nassau County, Florida",16.10%,± 3.4%
"Nassau County, New York",19.60%,± 0.8%
"Natchitoches Parish, Louisiana",22.10%,± 5.9%
"Natrona County, Wyoming",21.20%,± 3.6%
"Naugatuck Valley Planning Region, Connecticut",19.40%,± 2%
"Navajo County, Arizona",13.60%,± 2.4%
"Navarro County, Texas",13.60%,± 4%
"Nelson County, Kentucky",23.50%,± 4.8%
"Nelson County, North Dakota",25.10%,± 8.6%
"Nelson County, Virginia",18.40%,± 8.4%
"Nemaha County, Kansas",25.80%,± 7.3%
"Nemaha County, Nebraska",19.30%,± 8.2%
"Neosho County, Kansas",16.30%,± 5.7%
"Neshoba County, Mississippi",20.30%,± 6.1%
"Ness County, Kansas",34.70%,± 12.7%
"Nevada County, Arkansas",13.40%,± 8.7%
"Nevada County, California",21.70%,± 2.9%
"New Castle County, Delaware",20.40%,± 1.3%
"New Hanover County, North Carolina",23.40%,± 2.7%
"New Kent County, Virginia",25.40%,± 6.6%
"New Madrid County, Missouri",16.70%,± 5%
"New York County, New York",28.30%,± 1.3%
"Newaygo County, Michigan",19.90%,± 3.9%
"Newberry County, South Carolina",24.10%,± 6.1%
"Newport County, Rhode Island",22.90%,± 3.8%
"Newport News city, Virginia",27.20%,± 3.1%
"Newton County, Arkansas",19.30%,± 9.6%
"Newton County, Georgia",20%,± 4.5%
"Newton County, Indiana",25.70%,± 7.3%
"Newton County, Mississippi",25.70%,± 6.4%
"Newton County, Missouri",24.60%,± 4.1%
"Newton County, Texas",14.50%,± 7%
"Nez Perce County, Idaho",22%,± 5%
"Niagara County, New York",24.50%,± 2.4%
"Nicholas County, Kentucky",27.80%,± 13.4%
"Nicholas County, West Virginia",21.30%,± 7.8%
"Nicollet County, Minnesota",22.50%,± 3.9%
"Niobrara County, Wyoming",27.80%,± 16.9%
"Noble County, Indiana",18.30%,± 3.5%
"Noble County, Ohio",10.40%,± 5.1%
"Noble County, Oklahoma",13.90%,± 4.9%
"Nobles County, Minnesota",14.80%,± 4.2%
"Nodaway County, Missouri",25%,± 5.4%
"Nolan County, Texas",15%,± 6%
"Nome Census Area, Alaska",13.10%,± 4.9%
"Norfolk city, Virginia",29.20%,± 2.7%
"Norfolk County, Massachusetts",23.10%,± 1.2%
"Norman County, Minnesota",19.40%,± 4.4%
"North Slope Borough, Alaska",15.60%,± 7.9%
"Northampton County, North Carolina",18.60%,± 5.3%
"Northampton County, Pennsylvania",18%,± 1.9%
"Northampton County, Virginia",18.20%,± 6.1%
"Northeastern Connecticut Planning Region, Connecticut",26%,± 3.3%
"Northumberland County, Pennsylvania",19.20%,± 2.7%
"Northumberland County, Virginia",8.30%,± 7.2%
"Northwest Arctic Borough, Alaska",10.60%,± 3.4%
"Northwest Hills Planning Region, Connecticut",18.40%,± 2.8%
"Norton city, Virginia",8%,± 12.1%
"Norton County, Kansas",26.40%,± 11.4%
"Nottoway County, Virginia",29.50%,± 10.6%
"Nowata County, Oklahoma",27.60%,± 5.4%
"Noxubee County, Mississippi",26.60%,± 10%
"Nuckolls County, Nebraska",17.90%,± 6.6%
"Nueces County, Texas",21.10%,± 1.7%
"Nye County, Nevada",19.50%,± 7.4%
"O'Brien County, Iowa",29.40%,± 6.6%
"Oakland County, Michigan",22.90%,± 1%
"Obion County, Tennessee",22.30%,± 4.9%
"Ocean County, New Jersey",21.70%,± 1.5%
"Oceana County, Michigan",19.40%,± 3%
"Ochiltree County, Texas",19.30%,± 8.6%
"Oconee County, Georgia",13.40%,± 2.9%
"Oconee County, South Carolina",16.80%,± 3.3%
"Oconto County, Wisconsin",20.50%,± 3.5%
"Ogemaw County, Michigan",21.60%,± 4.5%
"Oglala Lakota County, South Dakota",3.20%,± 4.9%
"Ogle County, Illinois",17.50%,± 3.6%
"Oglethorpe County, Georgia",28.10%,± 8.6%
"Ohio County, Indiana",16.90%,± 7.5%
"Ohio County, Kentucky",21.20%,± 5.9%
"Ohio County, West Virginia",22.10%,± 5.5%
"Okaloosa County, Florida",24.20%,± 2.5%
"Okanogan County, Washington",12.50%,± 3%
"Okeechobee County, Florida",21.60%,± 5.4%
"Okfuskee County, Oklahoma",18.90%,± 4.9%
"Oklahoma County, Oklahoma",22.30%,± 1.1%
"Okmulgee County, Oklahoma",21%,± 3.3%
"Oktibbeha County, Mississippi",22.20%,± 5.1%
"Oldham County, Kentucky",14.10%,± 2.4%
"Oldham County, Texas",19.70%,± 11.9%
"Oliver County, North Dakota",23.70%,± 9.1%
"Olmsted County, Minnesota",26%,± 2.4%
"Oneida County, Idaho",17.50%,± 6.9%
"Oneida County, New York",21.90%,± 2%
"Oneida County, Wisconsin",18.40%,± 3.9%
"Onondaga County, New York",24.20%,± 1.3%
"Onslow County, North Carolina",40.80%,± 3.3%
"Ontario County, New York",23.10%,± 3.1%
"Ontonagon County, Michigan",4.60%,± 2.7%
"Orange County, California",20%,± 0.6%
"Orange County, Florida",21%,± 1.3%
"Orange County, Indiana",18.50%,± 5.5%
"Orange County, New York",19.50%,± 1.5%
"Orange County, North Carolina",17.90%,± 2.4%
"Orange County, Texas",23.30%,± 3.5%
"Orange County, Vermont",19.90%,± 4.5%
"Orange County, Virginia",18.80%,± 7.9%
"Orangeburg County, South Carolina",22.10%,± 4.7%
"Oregon County, Missouri",18.60%,± 8%
"Orleans County, New York",17.50%,± 3.7%
"Orleans County, Vermont",21.80%,± 3.7%
"Orleans Parish, Louisiana",22.60%,± 2%
"Orocovis Municipio, Puerto Rico",9.30%,± 5.2%
"Osage County, Kansas",23.50%,± 4.6%
"Osage County, Missouri",21.60%,± 5%
"Osage County, Oklahoma",17.50%,± 3.3%
"Osborne County, Kansas",27.90%,± 8.1%
"Osceola County, Florida",16.40%,± 2.1%
"Osceola County, Iowa",14.50%,± 5.8%
"Osceola County, Michigan",21.60%,± 4.2%
"Oscoda County, Michigan",21.30%,± 7.1%
"Oswego County, New York",23.80%,± 2.6%
"Otero County, Colorado",19.80%,± 6.3%
"Otero County, New Mexico",30.80%,± 5.6%
"Otoe County, Nebraska",21.60%,± 5.7%
"Otsego County, Michigan",25.40%,± 6%
"Otsego County, New York",24.30%,± 3.6%
"Ottawa County, Kansas",23.20%,± 7%
"Ottawa County, Michigan",20.40%,± 1.8%
"Ottawa County, Ohio",22.80%,± 4.7%
"Ottawa County, Oklahoma",20.70%,± 2%
"Otter Tail County, Minnesota",23.80%,± 2.6%
"Ouachita County, Arkansas",15%,± 5.7%
"Ouachita Parish, Louisiana",20.80%,± 2.6%
"Ouray County, Colorado",15.20%,± 8.5%
"Outagamie County, Wisconsin",22.20%,± 1.8%
"Overton County, Tennessee",17%,± 4.7%
"Owen County, Indiana",19.40%,± 5.6%
"Owen County, Kentucky",13.90%,± 6.6%
"Owsley County, Kentucky",17.10%,± 14.5%
"Owyhee County, Idaho",20.30%,± 6.3%
"Oxford County, Maine",20.70%,± 4%
"Ozark County, Missouri",18.80%,± 10.7%
"Ozaukee County, Wisconsin",19.30%,± 2.3%
"Pacific County, Washington",13.80%,± 5.6%
"Page County, Iowa",20.20%,± 6.2%
"Page County, Virginia",26.30%,± 7%
"Palm Beach County, Florida",18.90%,± 1%
"Palo Alto County, Iowa",16.90%,± 6.7%
"Palo Pinto County, Texas",18.50%,± 4.4%
"Pamlico County, North Carolina",13.40%,± 6%
"Panola County, Mississippi",18.10%,± 6.8%
"Panola County, Texas",24.50%,± 8%
"Park County, Colorado",25.90%,± 11.6%
"Park County, Montana",25.10%,± 8.4%
"Park County, Wyoming",17.80%,± 4.9%
"Parke County, Indiana",20.30%,± 5.6%
"Parker County, Texas",25.80%,± 2.8%
"Parmer County, Texas",13.60%,± 6.6%
"Pasco County, Florida",20%,± 1.4%
"Pasquotank County, North Carolina",23.80%,± 5.9%
"Passaic County, New Jersey",19.50%,± 1.3%
"Patillas Municipio, Puerto Rico",16.20%,± 7.3%
"Patrick County, Virginia",27.20%,± 9.3%
"Paulding County, Georgia",20%,± 2.8%
"Paulding County, Ohio",17.80%,± 4.9%
"Pawnee County, Kansas",21.50%,± 10.6%
"Pawnee County, Nebraska",8.80%,± 3.8%
"Pawnee County, Oklahoma",22.50%,± 4.2%
"Payette County, Idaho",19.60%,± 6.7%
"Payne County, Oklahoma",25.60%,± 4.7%
"Peach County, Georgia",17.80%,± 7.1%
"Pearl River County, Mississippi",19.40%,± 4.4%
"Pecos County, Texas",14.30%,± 8.1%
"Pembina County, North Dakota",22.70%,± 6.3%
"Pemiscot County, Missouri",18.90%,± 5.3%
"Pend Oreille County, Washington",21.80%,± 7.8%
"Pender County, North Carolina",19.90%,± 3.8%
"Pendleton County, Kentucky",21.80%,± 6.4%
"Pendleton County, West Virginia",10.90%,± 7.8%
"Pennington County, Minnesota",21.80%,± 6.2%
"Pennington County, South Dakota",23.30%,± 3.1%
"Penobscot County, Maine",22.90%,± 2.7%
"Peñuelas Municipio, Puerto Rico",12.70%,± 6.7%
"Peoria County, Illinois",23%,± 2.3%
"Pepin County, Wisconsin",23.80%,± 4.4%
"Perkins County, Nebraska",16.30%,± 6.5%
"Perkins County, South Dakota",19.30%,± 8.9%
"Perquimans County, North Carolina",3.60%,± 2.8%
"Perry County, Alabama",27.20%,± 16.9%
"Perry County, Arkansas",11.20%,± 5.6%
"Perry County, Illinois",24.10%,± 7.2%
"Perry County, Indiana",22.50%,± 5.4%
"Perry County, Kentucky",9.20%,± 3.9%
"Perry County, Mississippi",22.40%,± 12.9%
"Perry County, Missouri",29.10%,± 6.4%
"Perry County, Ohio",25.60%,± 4.9%
"Perry County, Pennsylvania",18.30%,± 3.1%
"Perry County, Tennessee",21.30%,± 13.4%
"Pershing County, Nevada",21.10%,± 14.3%
"Person County, North Carolina",19.50%,± 5%
"Petersburg Borough, Alaska",19%,± 8.3%
