Geography,Percent with a disability—Total civilian noninstitutionalized population—Estimate,MoE
"Lincoln County, Washington",21.40%,± 2%
"Lincoln County, West Virginia",26%,± 2.6%
"Lincoln County, Wisconsin",15.50%,± 1.4%
"Lincoln County, Wyoming",12.30%,± 2.2%
"Lincoln Parish, Louisiana",13%,± 1.3%
"Linn County, Iowa",10.70%,± 0.6%
"Linn County, Kansas",17.40%,± 2%
"Linn County, Missouri",14.10%,± 1.9%
"Linn County, Oregon",18.20%,± 0.9%
"Lipscomb County, Texas",15.30%,± 2.5%
"Little River County, Arkansas",18.30%,± 2.5%
"Live Oak County, Texas",16.30%,± 2.6%
"Livingston County, Illinois",14.90%,± 1.1%
"Livingston County, Kentucky",31.20%,± 4.1%
"Livingston County, Michigan",10.90%,± 0.5%
"Livingston County, Missouri",14.50%,± 2%
"Livingston County, New York",13.50%,± 1%
"Livingston Parish, Louisiana",13.50%,± 1%
"Llano County, Texas",21.70%,± 2.2%
"Logan County, Arkansas",22.10%,± 2%
"Logan County, Colorado",14.90%,± 1.9%
"Logan County, Illinois",15.40%,± 1.4%
"Logan County, Kansas",19.30%,± 3.7%
"Logan County, Kentucky",16.50%,± 1.8%
"Logan County, Nebraska",11.20%,± 3.2%
"Logan County, North Dakota",11.90%,± 2.6%
"Logan County, Ohio",13.50%,± 1.2%
"Logan County, Oklahoma",15.60%,± 1.4%
"Logan County, West Virginia",29.20%,± 2.3%
"Loíza Municipio, Puerto Rico",20.70%,± 1.7%
"Long County, Georgia",21.70%,± 3.5%
"Lonoke County, Arkansas",16.20%,± 1.1%
"Lorain County, Ohio",14.10%,± 0.5%
"Los Alamos County, New Mexico",10.70%,± 1.6%
"Los Angeles County, California",10.60%,± 0.1%
"Loudon County, Tennessee",14%,± 1.4%
"Loudoun County, Virginia",6.50%,± 0.3%
"Louisa County, Iowa",14.20%,± 1.4%
"Louisa County, Virginia",16.50%,± 1.4%
"Loup County, Nebraska",16.10%,± 4.4%
"Love County, Oklahoma",22.20%,± 1.6%
"Loving County, Texas",18.80%,± 22.9%
"Lower Connecticut River Valley Planning Region, Connecticut",10.90%,± 0.6%
"Lowndes County, Alabama",22.40%,± 2.5%
"Lowndes County, Georgia",11.50%,± 0.7%
"Lowndes County, Mississippi",11.70%,± 1.2%
"Lubbock County, Texas",12.90%,± 0.5%
"Lucas County, Iowa",17.40%,± 2.1%
"Lucas County, Ohio",15.30%,± 0.4%
"Luce County, Michigan",24.50%,± 3%
"Lumpkin County, Georgia",12.70%,± 1.7%
"Luna County, New Mexico",22.60%,± 2.1%
"Lunenburg County, Virginia",21.20%,± 2.7%
"Luquillo Municipio, Puerto Rico",24.40%,± 2.6%
"Luzerne County, Pennsylvania",15.70%,± 0.5%
"Lycoming County, Pennsylvania",16.30%,± 0.9%
"Lyman County, South Dakota",16.30%,± 2.5%
"Lynchburg city, Virginia",12.80%,± 0.9%
"Lynn County, Texas",19.70%,± 2.2%
"Lyon County, Iowa",12.60%,± 1.8%
"Lyon County, Kansas",14.40%,± 1.4%
"Lyon County, Kentucky",40%,± 6%
"Lyon County, Minnesota",12.20%,± 1.2%
"Lyon County, Nevada",16.60%,± 1.1%
"Mackinac County, Michigan",19%,± 1.7%
"Macomb County, Michigan",14%,± 0.3%
"Macon County, Alabama",18.40%,± 1.9%
"Macon County, Georgia",19.60%,± 2.8%
"Macon County, Illinois",14.20%,± 0.8%
"Macon County, Missouri",16.40%,± 1.4%
"Macon County, North Carolina",16.90%,± 1.6%
"Macon County, Tennessee",17.30%,± 2%
"Macoupin County, Illinois",15.70%,± 1.2%
"Madera County, California",13.90%,± 0.8%
"Madison County, Alabama",13.50%,± 0.5%
"Madison County, Arkansas",19.80%,± 2.9%
"Madison County, Florida",15.70%,± 2%
"Madison County, Georgia",18.10%,± 2.4%
"Madison County, Idaho",6.60%,± 1.1%
"Madison County, Illinois",15.70%,± 0.6%
"Madison County, Indiana",19.70%,± 0.8%
"Madison County, Iowa",9.30%,± 1.3%
"Madison County, Kentucky",15.40%,± 0.9%
"Madison County, Mississippi",10.70%,± 0.8%
"Madison County, Missouri",22.60%,± 2.8%
"Madison County, Montana",14.80%,± 2.8%
"Madison County, Nebraska",11%,± 1.1%
"Madison County, New York",13%,± 0.8%
"Madison County, North Carolina",18.50%,± 1.9%
"Madison County, Ohio",15%,± 1.2%
"Madison County, Tennessee",16.60%,± 1%
"Madison County, Texas",16.50%,± 2.4%
"Madison County, Virginia",15.50%,± 2.6%
"Madison Parish, Louisiana",20.30%,± 2.7%
"Magoffin County, Kentucky",31.40%,± 3.1%
"Mahaska County, Iowa",13.60%,± 1.3%
"Mahnomen County, Minnesota",16.80%,± 1.4%
"Mahoning County, Ohio",16.20%,± 0.6%
"Major County, Oklahoma",17.40%,± 2.2%
"Malheur County, Oregon",16.20%,± 1.3%
"Manassas city, Virginia",8.60%,± 1.3%
"Manassas Park city, Virginia",11.60%,± 2.1%
"Manatee County, Florida",14.60%,± 0.5%
"Manatí Municipio, Puerto Rico",21.20%,± 1.9%
"Manistee County, Michigan",18.90%,± 1.4%
"Manitowoc County, Wisconsin",12.40%,± 0.9%
"Marathon County, Wisconsin",12.20%,± 0.7%
"Marengo County, Alabama",22.60%,± 2.3%
"Maricao Municipio, Puerto Rico",8.20%,± 2.3%
"Maricopa County, Arizona",11.70%,± 0.1%
"Maries County, Missouri",22%,± 2.9%
"Marin County, California",9.60%,± 0.5%
"Marinette County, Wisconsin",15.90%,± 1.1%
"Marion County, Alabama",25.70%,± 2%
"Marion County, Arkansas",25%,± 2.8%
"Marion County, Florida",16.40%,± 0.5%
"Marion County, Georgia",21.10%,± 3.6%
"Marion County, Illinois",18.20%,± 1.1%
"Marion County, Indiana",13.50%,± 0.4%
"Marion County, Iowa",13.50%,± 1.2%
"Marion County, Kansas",14.80%,± 1.2%
"Marion County, Kentucky",21.90%,± 2.2%
"Marion County, Mississippi",21.90%,± 1.8%
"Marion County, Missouri",15.40%,± 1.3%
"Marion County, Ohio",18.30%,± 1.3%
"Marion County, Oregon",15.50%,± 0.6%
"Marion County, South Carolina",16.40%,± 2.1%
"Marion County, Tennessee",21.50%,± 1.8%
"Marion County, Texas",22.30%,± 2.7%
"Marion County, West Virginia",19.20%,± 1.1%
"Mariposa County, California",18.90%,± 2.6%
"Marlboro County, South Carolina",19.50%,± 2.1%
"Marquette County, Michigan",14.60%,± 0.9%
"Marquette County, Wisconsin",18.20%,± 1.7%
"Marshall County, Alabama",14.10%,± 0.8%
"Marshall County, Illinois",14.80%,± 1.5%
"Marshall County, Indiana",12.50%,± 1%
"Marshall County, Iowa",11.50%,± 0.9%
"Marshall County, Kansas",13.90%,± 1.6%
"Marshall County, Kentucky",17.80%,± 2.1%
"Marshall County, Minnesota",12.40%,± 1.1%
"Marshall County, Mississippi",19.60%,± 2.1%
"Marshall County, Oklahoma",23%,± 2.2%
"Marshall County, South Dakota",10.70%,± 2.2%
"Marshall County, Tennessee",12%,± 1.4%
"Marshall County, West Virginia",19.50%,± 2%
"Martin County, Florida",14.20%,± 0.8%
"Martin County, Indiana",16.60%,± 2.4%
"Martin County, Kentucky",32.50%,± 3.5%
"Martin County, Minnesota",16%,± 1.5%
"Martin County, North Carolina",20.90%,± 1.9%
"Martin County, Texas",11.10%,± 3.6%
"Martinsville city, Virginia",21%,± 2.6%
"Mason County, Illinois",17.50%,± 2%
"Mason County, Kentucky",18%,± 1.8%
"Mason County, Michigan",16.50%,± 1.1%
"Mason County, Texas",18.90%,± 3.3%
"Mason County, Washington",19.10%,± 1.3%
"Mason County, West Virginia",19.30%,± 2%
"Massac County, Illinois",20.70%,± 2%
"Matagorda County, Texas",17.40%,± 2.1%
"Matanuska-Susitna Borough, Alaska",13.90%,± 0.7%
"Mathews County, Virginia",21.20%,± 4.5%
"Maui County, Hawaii",10.40%,± 0.6%
"Maunabo Municipio, Puerto Rico",15.30%,± 3.5%
"Maury County, Tennessee",11.60%,± 0.8%
"Maverick County, Texas",12.10%,± 1.7%
"Mayagüez Municipio, Puerto Rico",23.40%,± 1.1%
"Mayes County, Oklahoma",23.90%,± 1.2%
"McClain County, Oklahoma",14.30%,± 1.1%
"McCone County, Montana",13.50%,± 3.7%
"McCook County, South Dakota",11.50%,± 2%
"McCormick County, South Carolina",18.40%,± 2.8%
"McCracken County, Kentucky",15.90%,± 1.2%
"McCreary County, Kentucky",23.10%,± 3.1%
"McCulloch County, Texas",21%,± 3.5%
"McCurtain County, Oklahoma",21.70%,± 1.1%
"McDonald County, Missouri",14.10%,± 1.5%
"McDonough County, Illinois",14.80%,± 1.3%
"McDowell County, North Carolina",19.10%,± 1.7%
"McDowell County, West Virginia",30%,± 2.7%
"McDuffie County, Georgia",12.30%,± 1.8%
"McHenry County, Illinois",9.70%,± 0.4%
"McHenry County, North Dakota",13.40%,± 1.7%
"McIntosh County, Georgia",23.20%,± 3.7%
"McIntosh County, North Dakota",12.40%,± 2%
"McIntosh County, Oklahoma",23.50%,± 2%
"McKean County, Pennsylvania",19.40%,± 1.1%
"McKenzie County, North Dakota",9.80%,± 2.1%
"McKinley County, New Mexico",15.10%,± 0.9%
"McLean County, Illinois",9.50%,± 0.5%
"McLean County, Kentucky",18.60%,± 2.3%
"McLean County, North Dakota",11.30%,± 1.7%
"McLennan County, Texas",13.40%,± 0.6%
"McLeod County, Minnesota",13.90%,± 1.1%
"McMinn County, Tennessee",19.20%,± 1.4%
"McMullen County, Texas",16.10%,± 9.8%
"McNairy County, Tennessee",16.50%,± 1.7%
"McPherson County, Kansas",13.30%,± 1.5%
"McPherson County, Nebraska",8.10%,± 3.4%
"McPherson County, South Dakota",13.10%,± 4.8%
"Meade County, Kansas",9.50%,± 2.4%
"Meade County, Kentucky",19.80%,± 1.7%
"Meade County, South Dakota",14%,± 1.7%
"Meagher County, Montana",15.30%,± 5.6%
"Mecklenburg County, North Carolina",8.10%,± 0.2%
"Mecklenburg County, Virginia",19.70%,± 1.8%
"Mecosta County, Michigan",17.50%,± 1.1%
"Medina County, Ohio",11.60%,± 0.6%
"Medina County, Texas",18.70%,± 1.7%
"Meeker County, Minnesota",12.10%,± 0.8%
"Meigs County, Ohio",22.60%,± 2.2%
"Meigs County, Tennessee",21.90%,± 3%
"Mellette County, South Dakota",10.20%,± 3.2%
"Menard County, Illinois",15.60%,± 2%
"Menard County, Texas",29%,± 6.6%
"Mendocino County, California",18.70%,± 1.4%
"Menifee County, Kentucky",25.50%,± 3.5%
"Menominee County, Michigan",16.40%,± 1.3%
"Menominee County, Wisconsin",15.90%,± 2.1%
"Merced County, California",12.80%,± 0.5%
"Mercer County, Illinois",14.10%,± 1.4%
"Mercer County, Kentucky",15.30%,± 1.9%
"Mercer County, Missouri",16.50%,± 2.8%
"Mercer County, New Jersey",10.30%,± 0.5%
"Mercer County, North Dakota",13.50%,± 2.3%
"Mercer County, Ohio",11%,± 1.1%
"Mercer County, Pennsylvania",18.10%,± 1%
"Mercer County, West Virginia",23.60%,± 1.5%
"Meriwether County, Georgia",20.90%,± 2.2%
"Merrick County, Nebraska",17.80%,± 2.4%
"Merrimack County, New Hampshire",14.30%,± 0.6%
"Mesa County, Colorado",15.30%,± 0.7%
"Metcalfe County, Kentucky",20.20%,± 2.6%
"Miami County, Indiana",15.70%,± 1.3%
"Miami County, Kansas",13%,± 1.4%
"Miami County, Ohio",11.90%,± 0.9%
"Miami-Dade County, Florida",10.20%,± 0.2%
"Middlesex County, Massachusetts",9.70%,± 0.2%
"Middlesex County, New Jersey",9.60%,± 0.3%
"Middlesex County, Virginia",17.10%,± 2.2%
"Midland County, Michigan",13.80%,± 0.9%
"Midland County, Texas",10.80%,± 0.9%
"Mifflin County, Pennsylvania",14.20%,± 1.1%
"Milam County, Texas",15.80%,± 1.5%
"Millard County, Utah",13.50%,± 1.7%
"Mille Lacs County, Minnesota",15.70%,± 1%
"Miller County, Arkansas",19.30%,± 1.4%
"Miller County, Georgia",16.60%,± 3.1%
"Miller County, Missouri",17.30%,± 2%
"Mills County, Iowa",13.60%,± 1.8%
"Mills County, Texas",16.10%,± 2%
"Milwaukee County, Wisconsin",12.40%,± 0.3%
"Miner County, South Dakota",18%,± 3.5%
"Mineral County, Colorado",11.30%,± 4.3%
"Mineral County, Montana",18.50%,± 2.6%
"Mineral County, Nevada",15.70%,± 4.5%
"Mineral County, West Virginia",15.90%,± 2%
"Mingo County, West Virginia",33%,± 3%
"Minidoka County, Idaho",12.30%,± 1.7%
"Minnehaha County, South Dakota",10.40%,± 0.5%
"Missaukee County, Michigan",18.10%,± 1.5%
"Mississippi County, Arkansas",20.80%,± 1.6%
"Mississippi County, Missouri",26.10%,± 3.1%
"Missoula County, Montana",12.30%,± 0.7%
"Mitchell County, Georgia",21.10%,± 3%
"Mitchell County, Iowa",11.40%,± 1.4%
"Mitchell County, Kansas",15.20%,± 2.9%
"Mitchell County, North Carolina",18.60%,± 2.1%
"Mitchell County, Texas",14.70%,± 2.8%
"Mobile County, Alabama",13.80%,± 0.4%
"Moca Municipio, Puerto Rico",21.20%,± 1.7%
"Modoc County, California",17.40%,± 3.3%
"Moffat County, Colorado",15%,± 2.4%
"Mohave County, Arizona",22.30%,± 0.8%
"Moniteau County, Missouri",13%,± 1.5%
"Monmouth County, New Jersey",10.40%,± 0.3%
"Mono County, California",8%,± 1.9%
"Monona County, Iowa",15%,± 1.8%
"Monongalia County, West Virginia",11.90%,± 0.8%
"Monroe County, Alabama",16.40%,± 1.8%
"Monroe County, Arkansas",24.60%,± 3.1%
"Monroe County, Florida",10.80%,± 0.9%
"Monroe County, Georgia",15.40%,± 1.9%
"Monroe County, Illinois",11.10%,± 1.1%
"Monroe County, Indiana",11.10%,± 0.8%
"Monroe County, Iowa",14.50%,± 2.2%
"Monroe County, Kentucky",24.30%,± 3.1%
"Monroe County, Michigan",14.80%,± 0.8%
"Monroe County, Mississippi",14%,± 1.5%
"Monroe County, Missouri",15.30%,± 2.1%
"Monroe County, New York",14.20%,± 0.4%
"Monroe County, Ohio",19.40%,± 1.8%
"Monroe County, Pennsylvania",14%,± 0.8%
"Monroe County, Tennessee",22.50%,± 1.6%
"Monroe County, West Virginia",23.20%,± 3.2%
"Monroe County, Wisconsin",13.60%,± 1%
"Montague County, Texas",19.80%,± 1.9%
"Montcalm County, Michigan",16.50%,± 0.8%
"Monterey County, California",9.20%,± 0.4%
"Montezuma County, Colorado",15%,± 1.9%
"Montgomery County, Alabama",16.40%,± 0.7%
"Montgomery County, Arkansas",26.90%,± 3.4%
"Montgomery County, Georgia",13.80%,± 2.1%
"Montgomery County, Illinois",17.30%,± 1.2%
"Montgomery County, Indiana",15.80%,± 1.5%
"Montgomery County, Iowa",16%,± 1.8%
"Montgomery County, Kansas",21.10%,± 1.8%
"Montgomery County, Kentucky",20.90%,± 2.4%
"Montgomery County, Maryland",8.80%,± 0.2%
"Montgomery County, Mississippi",21.20%,± 3.2%
"Montgomery County, Missouri",19.90%,± 2%
"Montgomery County, New York",16.50%,± 1.2%
"Montgomery County, North Carolina",18%,± 1.8%
"Montgomery County, Ohio",15.10%,± 0.4%
"Montgomery County, Pennsylvania",10.30%,± 0.3%
"Montgomery County, Tennessee",15.50%,± 0.9%
"Montgomery County, Texas",10.10%,± 0.4%
"Montgomery County, Virginia",10.30%,± 0.9%
"Montmorency County, Michigan",24%,± 2%
"Montour County, Pennsylvania",13.80%,± 1.8%
"Montrose County, Colorado",13.30%,± 1.2%
"Moody County, South Dakota",12.90%,± 1.6%
"Moore County, North Carolina",14.30%,± 1%
"Moore County, Tennessee",15.70%,± 2.7%
"Moore County, Texas",10.90%,± 1.9%
"Mora County, New Mexico",34%,± 6.4%
"Morehouse Parish, Louisiana",16.60%,± 2.1%
"Morgan County, Alabama",16.70%,± 0.9%
"Morgan County, Colorado",10.10%,± 1.2%
"Morgan County, Georgia",13.30%,± 1.8%
"Morgan County, Illinois",17.80%,± 1.5%
"Morgan County, Indiana",14.90%,± 0.9%
"Morgan County, Kentucky",26.10%,± 2.2%
"Morgan County, Missouri",21.30%,± 2.2%
"Morgan County, Ohio",21.20%,± 2.2%
"Morgan County, Tennessee",23.20%,± 2.3%
"Morgan County, Utah",6.50%,± 1.2%
"Morgan County, West Virginia",16.30%,± 2.4%
"Morovis Municipio, Puerto Rico",21.30%,± 2.4%
"Morrill County, Nebraska",14.30%,± 2.8%
"Morris County, Kansas",17.90%,± 2.8%
"Morris County, New Jersey",8.90%,± 0.3%
"Morris County, Texas",20.70%,± 2.5%
"Morrison County, Minnesota",12.90%,± 1%
"Morrow County, Ohio",16.40%,± 1.5%
"Morrow County, Oregon",16.70%,± 2%
"Morton County, Kansas",16.90%,± 2.6%
"Morton County, North Dakota",8.10%,± 1.1%
"Motley County, Texas",23.10%,± 6.6%
"Moultrie County, Illinois",13.20%,± 1.4%
"Mountrail County, North Dakota",13.90%,± 2.2%
"Mower County, Minnesota",12%,± 1%
"Muhlenberg County, Kentucky",21.90%,± 1.6%
"Multnomah County, Oregon",13.20%,± 0.4%
"Murray County, Georgia",13.70%,± 1.7%
"Murray County, Minnesota",12.50%,± 1.2%
"Murray County, Oklahoma",23.30%,± 2%
"Muscatine County, Iowa",13%,± 1%
"Muscogee County, Georgia",17.20%,± 0.8%
"Muskegon County, Michigan",14.30%,± 0.5%
"Muskingum County, Ohio",16.10%,± 0.9%
"Muskogee County, Oklahoma",22.10%,± 1%
"Musselshell County, Montana",18%,± 3.9%
"Nacogdoches County, Texas",16.60%,± 1.2%
"Naguabo Municipio, Puerto Rico",7.90%,± 1.7%
"Nance County, Nebraska",16.60%,± 2.2%
"Nantucket County, Massachusetts",10.30%,± 3%
"Napa County, California",12.20%,± 0.7%
"Naranjito Municipio, Puerto Rico",27.10%,± 2.9%
"Nash County, North Carolina",15.10%,± 1.1%
"Nassau County, Florida",17.40%,± 1.4%
"Nassau County, New York",8.80%,± 0.2%
"Natchitoches Parish, Louisiana",16.40%,± 1.3%
"Natrona County, Wyoming",15.20%,± 0.9%
"Naugatuck Valley Planning Region, Connecticut",13.50%,± 0.5%
"Navajo County, Arizona",17.90%,± 1%
"Navarro County, Texas",17.40%,± 1.4%
"Nelson County, Kentucky",15.50%,± 1.8%
"Nelson County, North Dakota",18.40%,± 2.7%
"Nelson County, Virginia",14.30%,± 2.6%
"Nemaha County, Kansas",13.60%,± 1.7%
"Nemaha County, Nebraska",16.70%,± 2.3%
"Neosho County, Kansas",19.70%,± 2.2%
"Neshoba County, Mississippi",18.10%,± 1.9%
"Ness County, Kansas",16.10%,± 2.7%
"Nevada County, Arkansas",22.40%,± 4%
"Nevada County, California",13.70%,± 1%
"New Castle County, Delaware",12.40%,± 0.4%
"New Hanover County, North Carolina",12%,± 0.6%
"New Kent County, Virginia",10.70%,± 1.7%
"New Madrid County, Missouri",21.30%,± 1.8%
"New York County, New York",11.10%,± 0.3%
"Newaygo County, Michigan",18.60%,± 1.1%
"Newberry County, South Carolina",16.40%,± 1.4%
"Newport County, Rhode Island",11.70%,± 0.9%
"Newport News city, Virginia",14.40%,± 0.6%
"Newton County, Arkansas",19.40%,± 3.5%
"Newton County, Georgia",14.30%,± 1.1%
"Newton County, Indiana",17.80%,± 2.4%
"Newton County, Mississippi",20.90%,± 1.9%
"Newton County, Missouri",14.40%,± 1%
"Newton County, Texas",15.40%,± 2.2%
"Nez Perce County, Idaho",17.70%,± 1.8%
"Niagara County, New York",15.30%,± 0.5%
"Nicholas County, Kentucky",22.50%,± 4.8%
"Nicholas County, West Virginia",20.80%,± 2.2%
"Nicollet County, Minnesota",12.10%,± 1.1%
"Niobrara County, Wyoming",16.90%,± 4.7%
"Noble County, Indiana",13.90%,± 1.3%
"Noble County, Ohio",21.80%,± 3%
"Noble County, Oklahoma",18.30%,± 2.3%
"Nobles County, Minnesota",13.10%,± 1.4%
"Nodaway County, Missouri",12.90%,± 1.6%
"Nolan County, Texas",19.60%,± 2.2%
"Nome Census Area, Alaska",9.90%,± 0.8%
"Norfolk city, Virginia",14.80%,± 0.6%
"Norfolk County, Massachusetts",9.60%,± 0.3%
"Norman County, Minnesota",13.70%,± 1.4%
"North Slope Borough, Alaska",11.40%,± 1.4%
"Northampton County, North Carolina",19%,± 2.2%
"Northampton County, Pennsylvania",12.40%,± 0.4%
"Northampton County, Virginia",20.10%,± 2.2%
"Northeastern Connecticut Planning Region, Connecticut",13.20%,± 1%
"Northumberland County, Pennsylvania",16.70%,± 0.8%
"Northumberland County, Virginia",14.90%,± 3.1%
"Northwest Arctic Borough, Alaska",10.30%,± 0.9%
"Northwest Hills Planning Region, Connecticut",11.90%,± 0.7%
"Norton city, Virginia",29.70%,± 7%
"Norton County, Kansas",15.70%,± 4.4%
"Nottoway County, Virginia",18%,± 2.4%
"Nowata County, Oklahoma",18.60%,± 1.8%
"Noxubee County, Mississippi",24.50%,± 3.6%
"Nuckolls County, Nebraska",13.40%,± 2.5%
"Nueces County, Texas",13.10%,± 0.6%
"Nye County, Nevada",23.90%,± 1.9%
"O'Brien County, Iowa",15.40%,± 2.6%
"Oakland County, Michigan",11.40%,± 0.2%
"Obion County, Tennessee",22.70%,± 1.7%
"Ocean County, New Jersey",12.70%,± 0.4%
"Oceana County, Michigan",16.90%,± 1%
"Ochiltree County, Texas",14.30%,± 2.2%
"Oconee County, Georgia",9.40%,± 1.2%
"Oconee County, South Carolina",19.30%,± 1.4%
"Oconto County, Wisconsin",14.30%,± 1%
"Ogemaw County, Michigan",22.40%,± 1.6%
"Oglala Lakota County, South Dakota",10.70%,± 2.4%
"Ogle County, Illinois",14.80%,± 1.2%
"Oglethorpe County, Georgia",13.60%,± 2.4%
"Ohio County, Indiana",17.20%,± 2.9%
"Ohio County, Kentucky",18.30%,± 2.1%
"Ohio County, West Virginia",15.30%,± 1.1%
"Okaloosa County, Florida",15.60%,± 0.7%
"Okanogan County, Washington",16.50%,± 1.4%
"Okeechobee County, Florida",17.90%,± 2%
"Okfuskee County, Oklahoma",21.40%,± 1.7%
"Oklahoma County, Oklahoma",14%,± 0.3%
"Okmulgee County, Oklahoma",22.40%,± 1.3%
"Oktibbeha County, Mississippi",10.80%,± 1.5%
"Oldham County, Kentucky",9.20%,± 0.8%
"Oldham County, Texas",10.60%,± 2.9%
"Oliver County, North Dakota",10.30%,± 2.9%
"Olmsted County, Minnesota",9.50%,± 0.6%
"Oneida County, Idaho",15.20%,± 2.6%
"Oneida County, New York",14.60%,± 0.6%
"Oneida County, Wisconsin",14.80%,± 0.9%
"Onondaga County, New York",13.90%,± 0.4%
"Onslow County, North Carolina",16.30%,± 1%
"Ontario County, New York",14.50%,± 0.7%
"Ontonagon County, Michigan",20.10%,± 1.8%
"Orange County, California",9.10%,± 0.1%
"Orange County, Florida",11.20%,± 0.3%
"Orange County, Indiana",19.80%,± 2.1%
"Orange County, New York",11.60%,± 0.5%
"Orange County, North Carolina",8.30%,± 0.4%
"Orange County, Texas",16.70%,± 1.3%
"Orange County, Vermont",15.50%,± 1.3%
"Orange County, Virginia",15.50%,± 1.7%
"Orangeburg County, South Carolina",13.90%,± 0.9%
"Oregon County, Missouri",22.70%,± 2.7%
"Orleans County, New York",15.50%,± 1.4%
"Orleans County, Vermont",17.40%,± 1.3%
"Orleans Parish, Louisiana",13.90%,± 0.5%
"Orocovis Municipio, Puerto Rico",20.90%,± 2.3%
"Osage County, Kansas",17.40%,± 1.7%
"Osage County, Missouri",12.60%,± 1.6%
"Osage County, Oklahoma",19.70%,± 1.1%
"Osborne County, Kansas",14.30%,± 1.9%
"Osceola County, Florida",13.90%,± 0.6%
"Osceola County, Iowa",11.20%,± 1.6%
"Osceola County, Michigan",19.60%,± 1.1%
"Oscoda County, Michigan",23%,± 2.8%
"Oswego County, New York",15%,± 0.8%
"Otero County, Colorado",20.40%,± 1.9%
"Otero County, New Mexico",20.50%,± 1.6%
"Otoe County, Nebraska",14.60%,± 1.5%
"Otsego County, Michigan",16.70%,± 1.7%
"Otsego County, New York",14.10%,± 0.7%
"Ottawa County, Kansas",14%,± 1.6%
"Ottawa County, Michigan",10.10%,± 0.4%
"Ottawa County, Ohio",15.60%,± 1.1%
"Ottawa County, Oklahoma",20.80%,± 0.7%
"Otter Tail County, Minnesota",14%,± 0.8%
"Ouachita County, Arkansas",26.90%,± 2.6%
"Ouachita Parish, Louisiana",13.90%,± 0.9%
"Ouray County, Colorado",15.10%,± 3%
"Outagamie County, Wisconsin",10.60%,± 0.5%
"Overton County, Tennessee",17.30%,± 2.3%
"Owen County, Indiana",19.80%,± 1.9%
"Owen County, Kentucky",18.70%,± 2.6%
"Owsley County, Kentucky",32.40%,± 6%
"Owyhee County, Idaho",17.40%,± 1.7%
"Oxford County, Maine",17.90%,± 1.1%
"Ozark County, Missouri",26.30%,± 3%
"Ozaukee County, Wisconsin",10%,± 0.8%
"Pacific County, Washington",24.20%,± 1.8%
"Page County, Iowa",15.70%,± 1.8%
"Page County, Virginia",20%,± 2%
"Palm Beach County, Florida",12.40%,± 0.2%
"Palo Alto County, Iowa",14.30%,± 1.7%
"Palo Pinto County, Texas",16.50%,± 1.6%
"Pamlico County, North Carolina",20.90%,± 2.2%
"Panola County, Mississippi",17.70%,± 1.8%
"Panola County, Texas",16.80%,± 2.2%
"Park County, Colorado",11.30%,± 1.7%
"Park County, Montana",11.50%,± 1.5%
"Park County, Wyoming",12.40%,± 1.5%
"Parke County, Indiana",15.70%,± 2.1%
"Parker County, Texas",12.30%,± 0.8%
"Parmer County, Texas",11.60%,± 2.2%
"Pasco County, Florida",16.40%,± 0.4%
"Pasquotank County, North Carolina",15.10%,± 1.2%
"Passaic County, New Jersey",9%,± 0.3%
"Patillas Municipio, Puerto Rico",12.80%,± 1.9%
"Patrick County, Virginia",20.40%,± 2.4%
"Paulding County, Georgia",11.30%,± 1%
"Paulding County, Ohio",16.90%,± 1.9%
"Pawnee County, Kansas",23.70%,± 4.1%
"Pawnee County, Nebraska",17.30%,± 3.2%
"Pawnee County, Oklahoma",17.10%,± 1.2%
"Payette County, Idaho",16.90%,± 2.2%
"Payne County, Oklahoma",13%,± 0.8%
"Peach County, Georgia",17%,± 2.3%
"Pearl River County, Mississippi",20.70%,± 1.8%
"Pecos County, Texas",8.50%,± 1.7%
"Pembina County, North Dakota",12.60%,± 1.6%
"Pemiscot County, Missouri",23.10%,± 2.1%
"Pend Oreille County, Washington",21.50%,± 2.4%
"Pender County, North Carolina",16%,± 1.3%
"Pendleton County, Kentucky",18.10%,± 2.2%
"Pendleton County, West Virginia",19.10%,± 2.4%
"Pennington County, Minnesota",14.70%,± 1.5%
"Pennington County, South Dakota",14.90%,± 1.1%
"Penobscot County, Maine",18.30%,± 0.7%
"Peñuelas Municipio, Puerto Rico",16.70%,± 2.2%
"Peoria County, Illinois",13.10%,± 0.6%
"Pepin County, Wisconsin",12.40%,± 1.5%
"Perkins County, Nebraska",12.20%,± 2.4%
"Perkins County, South Dakota",12.80%,± 2%
"Perquimans County, North Carolina",20.90%,± 2.7%
"Perry County, Alabama",25.20%,± 3.6%
"Perry County, Arkansas",23.50%,± 3.2%
"Perry County, Illinois",21.50%,± 2.2%
"Perry County, Indiana",14.90%,± 1.6%
"Perry County, Kentucky",31.30%,± 2.4%
"Perry County, Mississippi",29.50%,± 3.4%
"Perry County, Missouri",13.90%,± 1.7%
"Perry County, Ohio",18.10%,± 1.6%
"Perry County, Pennsylvania",14%,± 0.8%
"Perry County, Tennessee",18.70%,± 3.2%
"Pershing County, Nevada",17.60%,± 3.9%
"Person County, North Carolina",20.20%,± 2.1%
"Petersburg Borough, Alaska",19%,± 3.3%
"Petersburg city, Virginia",21.40%,± 1.9%
"Petroleum County, Montana",6.50%,± 4.1%
"Pettis County, Missouri",16.50%,± 1.2%
"Phelps County, Missouri",16.50%,± 1.6%
