Geography,Total—Total households—SELECTED HOUSEHOLDS BY TYPE—Households with one or more people under 18 years—Estimate,MoE
"Lincoln County, Oregon",18.20%,± 1.6%
"Lincoln County, South Dakota",38.90%,± 1.9%
"Lincoln County, Tennessee",29.70%,± 2.3%
"Lincoln County, Washington",22.10%,± 2.3%
"Lincoln County, West Virginia",29.50%,± 3.8%
"Lincoln County, Wisconsin",21.10%,± 1.5%
"Lincoln County, Wyoming",32.30%,± 2.6%
"Lincoln Parish, Louisiana",27%,± 2.3%
"Linn County, Iowa",29.60%,± 0.9%
"Linn County, Kansas",25.80%,± 3.1%
"Linn County, Missouri",30.60%,± 2.4%
"Linn County, Oregon",28.20%,± 1.1%
"Lipscomb County, Texas",41.80%,± 6%
"Little River County, Arkansas",26.20%,± 3.5%
"Live Oak County, Texas",23.40%,± 4.5%
"Livingston County, Illinois",29.80%,± 1.9%
"Livingston County, Kentucky",23.90%,± 4%
"Livingston County, Michigan",29.30%,± 0.6%
"Livingston County, Missouri",29%,± 3.4%
"Livingston County, New York",24.60%,± 1.4%
"Livingston Parish, Louisiana",37.10%,± 2%
"Llano County, Texas",16.40%,± 2.2%
"Logan County, Arkansas",33.70%,± 2.5%
"Logan County, Colorado",28.40%,± 2.6%
"Logan County, Illinois",26.50%,± 2.4%
"Logan County, Kansas",29.10%,± 4.3%
"Logan County, Kentucky",31%,± 2.3%
"Logan County, Nebraska",32.20%,± 5.7%
"Logan County, North Dakota",22.30%,± 4.1%
"Logan County, Ohio",31.70%,± 1.8%
"Logan County, Oklahoma",36.20%,± 2.1%
"Logan County, West Virginia",29.60%,± 3.3%
"Loíza Municipio, Puerto Rico",30.60%,± 2.5%
"Long County, Georgia",37%,± 5.7%
"Lonoke County, Arkansas",36.50%,± 1.8%
"Lorain County, Ohio",27.90%,± 0.8%
"Los Alamos County, New Mexico",27.90%,± 2.9%
"Los Angeles County, California",31.50%,± 0.2%
"Loudon County, Tennessee",22.60%,± 1.7%
"Loudoun County, Virginia",46.60%,± 0.9%
"Louisa County, Iowa",31.50%,± 2.7%
"Louisa County, Virginia",27.80%,± 2.4%
"Loup County, Nebraska",23.90%,± 6%
"Love County, Oklahoma",29.10%,± 2.1%
"Loving County, Texas",20%,± 29.5%
"Lower Connecticut River Valley Planning Region, Connecticut",25.40%,± 0.9%
"Lowndes County, Alabama",25.70%,± 3.3%
"Lowndes County, Georgia",31.90%,± 1.6%
"Lowndes County, Mississippi",30.30%,± 1.9%
"Lubbock County, Texas",30.10%,± 1%
"Lucas County, Iowa",28.60%,± 3.2%
"Lucas County, Ohio",28%,± 0.7%
"Luce County, Michigan",16.40%,± 3.9%
"Lumpkin County, Georgia",26.20%,± 2.5%
"Luna County, New Mexico",31.70%,± 2.8%
"Lunenburg County, Virginia",24.90%,± 3.4%
"Luquillo Municipio, Puerto Rico",24.90%,± 3.3%
"Luzerne County, Pennsylvania",26.70%,± 0.7%
"Lycoming County, Pennsylvania",26.20%,± 1.2%
"Lyman County, South Dakota",29.70%,± 4.6%
"Lynchburg city, Virginia",25.70%,± 1.6%
"Lynn County, Texas",34.90%,± 3.3%
"Lyon County, Iowa",34.60%,± 2.3%
"Lyon County, Kansas",27%,± 2.4%
"Lyon County, Kentucky",21.60%,± 4.1%
"Lyon County, Minnesota",31.20%,± 1.4%
"Lyon County, Nevada",30.60%,± 1.7%
"Mackinac County, Michigan",21%,± 2.2%
"Macomb County, Michigan",27.70%,± 0.4%
"Macon County, Alabama",21.50%,± 2.1%
"Macon County, Georgia",24.30%,± 4.1%
"Macon County, Illinois",24.70%,± 1.3%
"Macon County, Missouri",26.50%,± 2.4%
"Macon County, North Carolina",22.40%,± 2.4%
"Macon County, Tennessee",34.60%,± 3.5%
"Macoupin County, Illinois",28%,± 1.6%
"Madera County, California",43.30%,± 1.6%
"Madison County, Alabama",28.50%,± 0.8%
"Madison County, Arkansas",30.80%,± 3.3%
"Madison County, Florida",25.80%,± 3.7%
"Madison County, Georgia",32.90%,± 3.3%
"Madison County, Idaho",34%,± 3.9%
"Madison County, Illinois",30%,± 0.7%
"Madison County, Indiana",29%,± 1.1%
"Madison County, Iowa",32.40%,± 2.3%
"Madison County, Kentucky",29.10%,± 1.6%
"Madison County, Mississippi",33.50%,± 1.8%
"Madison County, Missouri",31.50%,± 4.3%
"Madison County, Montana",16%,± 2.2%
"Madison County, Nebraska",28.20%,± 1.9%
"Madison County, New York",27.90%,± 1.6%
"Madison County, North Carolina",25.10%,± 2.7%
"Madison County, Ohio",30.80%,± 2%
"Madison County, Tennessee",30.60%,± 1.5%
"Madison County, Texas",33.10%,± 4.8%
"Madison County, Virginia",29.10%,± 3.4%
"Madison Parish, Louisiana",32.20%,± 4.4%
"Magoffin County, Kentucky",30.40%,± 4.3%
"Mahaska County, Iowa",30.40%,± 2%
"Mahnomen County, Minnesota",34.80%,± 1.7%
"Mahoning County, Ohio",25.30%,± 0.8%
"Major County, Oklahoma",29%,± 2.7%
"Malheur County, Oregon",32.50%,± 2.4%
"Manassas city, Virginia",35.30%,± 2.4%
"Manassas Park city, Virginia",38.30%,± 5%
"Manatee County, Florida",21.60%,± 0.7%
"Manatí Municipio, Puerto Rico",23.90%,± 2.3%
"Manistee County, Michigan",20.20%,± 1.8%
"Manitowoc County, Wisconsin",25.70%,± 1.1%
"Marathon County, Wisconsin",28.30%,± 0.9%
"Marengo County, Alabama",22.70%,± 3.2%
"Maricao Municipio, Puerto Rico",27.30%,± 6.2%
"Maricopa County, Arizona",31.80%,± 0.3%
"Maries County, Missouri",22.90%,± 3%
"Marin County, California",27.90%,± 0.8%
"Marinette County, Wisconsin",21%,± 1.3%
"Marion County, Alabama",24.80%,± 2.3%
"Marion County, Arkansas",20.10%,± 2.6%
"Marion County, Florida",22.70%,± 0.8%
"Marion County, Georgia",29.30%,± 4.7%
"Marion County, Illinois",29.90%,± 1.6%
"Marion County, Indiana",27.40%,± 0.5%
"Marion County, Iowa",33.80%,± 2%
"Marion County, Kansas",27.40%,± 2%
"Marion County, Kentucky",29.50%,± 2.9%
"Marion County, Mississippi",23.10%,± 3.5%
"Marion County, Missouri",31.70%,± 2.1%
"Marion County, Ohio",27.50%,± 1.5%
"Marion County, Oregon",32.80%,± 0.9%
"Marion County, South Carolina",28%,± 3.4%
"Marion County, Tennessee",32.90%,± 2.8%
"Marion County, Texas",20.20%,± 3%
"Marion County, West Virginia",27.30%,± 1.6%
"Mariposa County, California",21%,± 3.2%
"Marlboro County, South Carolina",22.30%,± 3.1%
"Marquette County, Michigan",22.70%,± 1.1%
"Marquette County, Wisconsin",21.70%,± 1.2%
"Marshall County, Alabama",32.90%,± 1.2%
"Marshall County, Illinois",26.30%,± 2.2%
"Marshall County, Indiana",32.30%,± 1.9%
"Marshall County, Iowa",33.60%,± 2.2%
"Marshall County, Kansas",26.80%,± 2.9%
"Marshall County, Kentucky",27.10%,± 2.2%
"Marshall County, Minnesota",24.50%,± 1.9%
"Marshall County, Mississippi",29.20%,± 3.1%
"Marshall County, Oklahoma",32.40%,± 2.6%
"Marshall County, South Dakota",22.40%,± 3.9%
"Marshall County, Tennessee",33.90%,± 2.2%
"Marshall County, West Virginia",24.50%,± 2.3%
"Martin County, Florida",19.10%,± 1.1%
"Martin County, Indiana",24.30%,± 3%
"Martin County, Kentucky",32.60%,± 4.8%
"Martin County, Minnesota",24.60%,± 2%
"Martin County, North Carolina",25.30%,± 3.1%
"Martin County, Texas",44.50%,± 6.3%
"Martinsville city, Virginia",22.90%,± 3.6%
"Mason County, Illinois",24.40%,± 2.1%
"Mason County, Kentucky",28.40%,± 3.1%
"Mason County, Michigan",24.70%,± 1.4%
"Mason County, Texas",24.40%,± 5.4%
"Mason County, Washington",25.50%,± 1.6%
"Mason County, West Virginia",24.40%,± 2.5%
"Massac County, Illinois",31.10%,± 2.8%
"Matagorda County, Texas",31.50%,± 3.4%
"Matanuska-Susitna Borough, Alaska",36.50%,± 1%
"Mathews County, Virginia",18.90%,± 5.3%
"Maui County, Hawaii",32.70%,± 1.6%
"Maunabo Municipio, Puerto Rico",31.20%,± 4.7%
"Maury County, Tennessee",31.40%,± 1.7%
"Maverick County, Texas",47.80%,± 2.8%
"Mayagüez Municipio, Puerto Rico",21.80%,± 1.5%
"Mayes County, Oklahoma",32.20%,± 1.5%
"McClain County, Oklahoma",37.90%,± 2%
"McCone County, Montana",17.80%,± 5.3%
"McCook County, South Dakota",28.50%,± 2.7%
"McCormick County, South Carolina",11.90%,± 3.5%
"McCracken County, Kentucky",27%,± 1.3%
"McCreary County, Kentucky",32.80%,± 4.9%
"McCulloch County, Texas",25.60%,± 4.7%
"McCurtain County, Oklahoma",33.50%,± 1.7%
"McDonald County, Missouri",33.70%,± 2.8%
"McDonough County, Illinois",22.50%,± 2.2%
"McDowell County, North Carolina",28.60%,± 2.1%
"McDowell County, West Virginia",21.70%,± 3.6%
"McDuffie County, Georgia",30.30%,± 3.1%
"McHenry County, Illinois",34.20%,± 0.7%
"McHenry County, North Dakota",29.50%,± 2.7%
"McIntosh County, Georgia",23.40%,± 4%
"McIntosh County, North Dakota",19.30%,± 3.7%
"McIntosh County, Oklahoma",24.60%,± 2.3%
"McKean County, Pennsylvania",26.20%,± 1.3%
"McKenzie County, North Dakota",34.60%,± 3.9%
"McKinley County, New Mexico",38.10%,± 2.1%
"McLean County, Illinois",27.80%,± 1.1%
"McLean County, Kentucky",32.30%,± 4.4%
"McLean County, North Dakota",27.60%,± 2.5%
"McLennan County, Texas",32.30%,± 1.1%
"McLeod County, Minnesota",25.70%,± 1.9%
"McMinn County, Tennessee",31.20%,± 2%
"McMullen County, Texas",35.60%,± 14.2%
"McNairy County, Tennessee",29.80%,± 2.5%
"McPherson County, Kansas",29.50%,± 1.8%
"McPherson County, Nebraska",19.20%,± 7.6%
"McPherson County, South Dakota",18.60%,± 3.8%
"Meade County, Kansas",34%,± 4.8%
"Meade County, Kentucky",34.10%,± 2.4%
"Meade County, South Dakota",31.50%,± 2.1%
"Meagher County, Montana",13.40%,± 4.5%
"Mecklenburg County, North Carolina",30.50%,± 0.5%
"Mecklenburg County, Virginia",21.80%,± 2.3%
"Mecosta County, Michigan",24.70%,± 1.4%
"Medina County, Ohio",31%,± 0.9%
"Medina County, Texas",34.70%,± 2.7%
"Meeker County, Minnesota",30.10%,± 1.5%
"Meigs County, Ohio",27.70%,± 2.5%
"Meigs County, Tennessee",28.60%,± 4.2%
"Mellette County, South Dakota",32%,± 7.8%
"Menard County, Illinois",31.60%,± 2.5%
"Menard County, Texas",13.90%,± 6.8%
"Mendocino County, California",26.30%,± 1.6%
"Menifee County, Kentucky",24.40%,± 4.3%
"Menominee County, Michigan",21.40%,± 1.4%
"Menominee County, Wisconsin",46.10%,± 5.3%
"Merced County, California",43.20%,± 1.2%
"Mercer County, Illinois",29.40%,± 2.4%
"Mercer County, Kentucky",25.90%,± 3.2%
"Mercer County, Missouri",19.30%,± 3.3%
"Mercer County, New Jersey",30.90%,± 0.9%
"Mercer County, North Dakota",26%,± 3.5%
"Mercer County, Ohio",28.90%,± 1.8%
"Mercer County, Pennsylvania",25.20%,± 1.1%
"Mercer County, West Virginia",26.40%,± 1.6%
"Meriwether County, Georgia",33.50%,± 4.5%
"Merrick County, Nebraska",26.70%,± 2.9%
"Merrimack County, New Hampshire",27.50%,± 1%
"Mesa County, Colorado",27.80%,± 1.1%
"Metcalfe County, Kentucky",32.10%,± 5%
"Miami County, Indiana",29.50%,± 2.1%
"Miami County, Kansas",30.30%,± 2.2%
"Miami County, Ohio",30.80%,± 1.3%
"Miami-Dade County, Florida",31.30%,± 0.4%
"Middlesex County, Massachusetts",29.40%,± 0.4%
"Middlesex County, New Jersey",34.80%,± 0.6%
"Middlesex County, Virginia",19.50%,± 2.9%
"Midland County, Michigan",29.40%,± 1.2%
"Midland County, Texas",40.70%,± 1.9%
"Mifflin County, Pennsylvania",26.80%,± 1.4%
"Milam County, Texas",27.70%,± 2.4%
"Millard County, Utah",40.10%,± 2.7%
"Mille Lacs County, Minnesota",28.10%,± 1.3%
"Miller County, Arkansas",32.20%,± 2.7%
"Miller County, Georgia",29.80%,± 4.4%
"Miller County, Missouri",27.30%,± 2.4%
"Mills County, Iowa",26.70%,± 3.2%
"Mills County, Texas",29.60%,± 5.8%
"Milwaukee County, Wisconsin",27.90%,± 0.5%
"Miner County, South Dakota",26.50%,± 5.3%
"Mineral County, Colorado",12.70%,± 6.3%
"Mineral County, Montana",23.90%,± 3.5%
"Mineral County, Nevada",30.90%,± 8.7%
"Mineral County, West Virginia",25.40%,± 2.9%
"Mingo County, West Virginia",27.10%,± 2.9%
"Minidoka County, Idaho",38.90%,± 3.3%
"Minnehaha County, South Dakota",31.60%,± 1%
"Missaukee County, Michigan",27.40%,± 1.8%
"Mississippi County, Arkansas",31.90%,± 2.5%
"Mississippi County, Missouri",31%,± 4%
"Missoula County, Montana",24.50%,± 1.1%
"Mitchell County, Georgia",34.90%,± 3.5%
"Mitchell County, Iowa",27.80%,± 3.1%
"Mitchell County, Kansas",23.40%,± 4.6%
"Mitchell County, North Carolina",22.40%,± 2.9%
"Mitchell County, Texas",26.20%,± 6.2%
"Mobile County, Alabama",30%,± 0.9%
"Moca Municipio, Puerto Rico",29.30%,± 2.6%
"Modoc County, California",22.10%,± 3.9%
"Moffat County, Colorado",32.20%,± 3.7%
"Mohave County, Arizona",19.90%,± 1%
"Moniteau County, Missouri",30.90%,± 2.6%
"Monmouth County, New Jersey",29.80%,± 0.6%
"Mono County, California",22.10%,± 4.9%
"Monona County, Iowa",24.50%,± 2.2%
"Monongalia County, West Virginia",23.70%,± 1.2%
"Monroe County, Alabama",19.50%,± 3.1%
"Monroe County, Arkansas",19.90%,± 3.2%
"Monroe County, Florida",20.10%,± 1.3%
"Monroe County, Georgia",34.40%,± 3%
"Monroe County, Illinois",32.10%,± 2.2%
"Monroe County, Indiana",21.60%,± 1.2%
"Monroe County, Iowa",28.10%,± 3.6%
"Monroe County, Kentucky",34.30%,± 3.4%
"Monroe County, Michigan",27.20%,± 1%
"Monroe County, Mississippi",29.30%,± 2.3%
"Monroe County, Missouri",23.70%,± 2.7%
"Monroe County, New York",26.80%,± 0.5%
"Monroe County, Ohio",25%,± 1.9%
"Monroe County, Pennsylvania",30.50%,± 1.5%
"Monroe County, Tennessee",27.50%,± 2.6%
"Monroe County, West Virginia",19.80%,± 4%
"Monroe County, Wisconsin",28.70%,± 1.7%
"Montague County, Texas",27.80%,± 2.9%
"Montcalm County, Michigan",28.40%,± 1.4%
"Monterey County, California",38%,± 0.8%
"Montezuma County, Colorado",27.20%,± 3.4%
"Montgomery County, Alabama",31.20%,± 1.1%
"Montgomery County, Arkansas",23.20%,± 3.6%
"Montgomery County, Georgia",29.60%,± 3.6%
"Montgomery County, Illinois",24.20%,± 1.8%
"Montgomery County, Indiana",30.90%,± 2%
"Montgomery County, Iowa",27.70%,± 2.5%
"Montgomery County, Kansas",26.80%,± 2%
"Montgomery County, Kentucky",33%,± 2.8%
"Montgomery County, Maryland",34.30%,± 0.5%
"Montgomery County, Mississippi",22.20%,± 4.7%
"Montgomery County, Missouri",30.40%,± 2.9%
"Montgomery County, New York",26.70%,± 1.5%
"Montgomery County, North Carolina",26.30%,± 2.9%
"Montgomery County, Ohio",27%,± 0.6%
"Montgomery County, Pennsylvania",31.10%,± 0.5%
"Montgomery County, Tennessee",38.60%,± 1.2%
"Montgomery County, Texas",37.50%,± 0.9%
"Montgomery County, Virginia",24.60%,± 1.4%
"Montmorency County, Michigan",17.60%,± 1.9%
"Montour County, Pennsylvania",29.70%,± 2.3%
"Montrose County, Colorado",26.30%,± 2%
"Moody County, South Dakota",30.70%,± 2.5%
"Moore County, North Carolina",26.40%,± 1.4%
"Moore County, Tennessee",26.30%,± 3.7%
"Moore County, Texas",44.50%,± 4.6%
"Mora County, New Mexico",18.50%,± 5.1%
"Morehouse Parish, Louisiana",27.40%,± 3.2%
"Morgan County, Alabama",29%,± 1.5%
"Morgan County, Colorado",38.80%,± 2.2%
"Morgan County, Georgia",32.40%,± 3.2%
"Morgan County, Illinois",24.20%,± 1.5%
"Morgan County, Indiana",31.30%,± 1.8%
"Morgan County, Kentucky",33.90%,± 3.3%
"Morgan County, Missouri",25.80%,± 2.3%
"Morgan County, Ohio",25.20%,± 3.3%
"Morgan County, Tennessee",28.90%,± 3.2%
"Morgan County, Utah",47.80%,± 4.2%
"Morgan County, West Virginia",25.50%,± 2.9%
"Morovis Municipio, Puerto Rico",28.80%,± 3.1%
"Morrill County, Nebraska",27.40%,± 3.7%
"Morris County, Kansas",20.50%,± 2.5%
"Morris County, New Jersey",32.10%,± 0.6%
"Morris County, Texas",31.70%,± 3.9%
"Morrison County, Minnesota",27.60%,± 1.4%
"Morrow County, Ohio",33.20%,± 2.2%
"Morrow County, Oregon",39.10%,± 3.2%
"Morton County, Kansas",33%,± 6.9%
"Morton County, North Dakota",31.90%,± 3.1%
"Motley County, Texas",19.60%,± 7.2%
"Moultrie County, Illinois",31.70%,± 2.6%
"Mountrail County, North Dakota",31.70%,± 3.5%
"Mower County, Minnesota",31.30%,± 2.1%
"Muhlenberg County, Kentucky",28.50%,± 2.9%
"Multnomah County, Oregon",24.30%,± 0.5%
"Murray County, Georgia",34.50%,± 2.7%
"Murray County, Minnesota",23%,± 1.7%
"Murray County, Oklahoma",27.60%,± 3%
"Muscatine County, Iowa",33.30%,± 1.9%
"Muscogee County, Georgia",31.80%,± 1.1%
"Muskegon County, Michigan",31.10%,± 1.1%
"Muskingum County, Ohio",29.20%,± 1.3%
"Muskogee County, Oklahoma",32.30%,± 1.5%
"Musselshell County, Montana",18.90%,± 3.5%
"Nacogdoches County, Texas",32.40%,± 2.1%
"Naguabo Municipio, Puerto Rico",28.40%,± 4%
"Nance County, Nebraska",26%,± 3.4%
"Nantucket County, Massachusetts",31.50%,± 5.9%
"Napa County, California",29.70%,± 1.1%
"Naranjito Municipio, Puerto Rico",24.60%,± 3.9%
"Nash County, North Carolina",29%,± 1.7%
"Nassau County, Florida",28.30%,± 1.7%
"Nassau County, New York",35.30%,± 0.4%
"Natchitoches Parish, Louisiana",24.80%,± 2.1%
"Natrona County, Wyoming",29.60%,± 1.6%
"Naugatuck Valley Planning Region, Connecticut",29.10%,± 0.8%
"Navajo County, Arizona",34.70%,± 1.4%
"Navarro County, Texas",33.40%,± 2.4%
"Nelson County, Kentucky",30.90%,± 2.3%
"Nelson County, North Dakota",19.20%,± 2.7%
"Nelson County, Virginia",19.90%,± 2.4%
"Nemaha County, Kansas",28.40%,± 2.4%
"Nemaha County, Nebraska",25.60%,± 3.8%
"Neosho County, Kansas",31.50%,± 3.4%
"Neshoba County, Mississippi",34%,± 2.7%
"Ness County, Kansas",22%,± 3.9%
"Nevada County, Arkansas",30.20%,± 5.8%
"Nevada County, California",22.80%,± 1.4%
"New Castle County, Delaware",28.20%,± 0.8%
"New Hanover County, North Carolina",22.40%,± 0.9%
"New Kent County, Virginia",33.60%,± 3.2%
"New Madrid County, Missouri",30.20%,± 2.3%
"New York County, New York",17.80%,± 0.4%
"Newaygo County, Michigan",27.60%,± 1.1%
"Newberry County, South Carolina",30.60%,± 2.4%
"Newport County, Rhode Island",22.70%,± 1.6%
"Newport News city, Virginia",28.90%,± 1.2%
"Newton County, Arkansas",18.50%,± 4.2%
"Newton County, Georgia",37.80%,± 2.2%
"Newton County, Indiana",30%,± 3.6%
"Newton County, Mississippi",33.70%,± 3.4%
"Newton County, Missouri",32.10%,± 1.9%
"Newton County, Texas",29.50%,± 3.6%
"Nez Perce County, Idaho",28.50%,± 2%
"Niagara County, New York",26.20%,± 0.8%
"Nicholas County, Kentucky",32.40%,± 4.4%
"Nicholas County, West Virginia",26.50%,± 3.1%
"Nicollet County, Minnesota",30.30%,± 1.8%
"Niobrara County, Wyoming",27%,± 8%
"Noble County, Indiana",33.30%,± 1.9%
"Noble County, Ohio",14.20%,± 3.3%
"Noble County, Oklahoma",29%,± 3.1%
"Nobles County, Minnesota",32%,± 2.8%
"Nodaway County, Missouri",22.90%,± 2.1%
"Nolan County, Texas",32.70%,± 3.4%
"Nome Census Area, Alaska",54.40%,± 2.7%
"Norfolk city, Virginia",27.80%,± 1%
"Norfolk County, Massachusetts",30.90%,± 0.6%
"Norman County, Minnesota",28%,± 2%
"North Slope Borough, Alaska",47.70%,± 6.6%
"Northampton County, North Carolina",23.20%,± 2.6%
"Northampton County, Pennsylvania",28%,± 0.7%
"Northampton County, Virginia",21%,± 2.9%
"Northeastern Connecticut Planning Region, Connecticut",29.20%,± 1.6%
"Northumberland County, Pennsylvania",25.80%,± 1.1%
"Northumberland County, Virginia",14%,± 2.6%
"Northwest Arctic Borough, Alaska",56%,± 4.1%
"Northwest Hills Planning Region, Connecticut",27.20%,± 1.5%
"Norton city, Virginia",26.70%,± 7.6%
"Norton County, Kansas",31.80%,± 6.2%
"Nottoway County, Virginia",30.70%,± 3.8%
"Nowata County, Oklahoma",30.20%,± 2.5%
"Noxubee County, Mississippi",33.10%,± 5.2%
"Nuckolls County, Nebraska",20.80%,± 3.3%
"Nueces County, Texas",33.20%,± 0.9%
"Nye County, Nevada",19.20%,± 2%
"O'Brien County, Iowa",27.20%,± 2.1%
"Oakland County, Michigan",27.40%,± 0.3%
"Obion County, Tennessee",29.70%,± 2.2%
"Ocean County, New Jersey",27.60%,± 0.5%
"Oceana County, Michigan",28.10%,± 1.5%
"Ochiltree County, Texas",42.50%,± 5%
"Oconee County, Georgia",44.10%,± 2.5%
"Oconee County, South Carolina",24.50%,± 1.3%
"Oconto County, Wisconsin",25.50%,± 1.4%
"Ogemaw County, Michigan",21.80%,± 1.4%
"Oglala Lakota County, South Dakota",64%,± 7.4%
"Ogle County, Illinois",27.20%,± 1.5%
"Oglethorpe County, Georgia",31.20%,± 3%
"Ohio County, Indiana",28.80%,± 3.7%
"Ohio County, Kentucky",33.50%,± 3.4%
"Ohio County, West Virginia",25.30%,± 1.8%
"Okaloosa County, Florida",28.90%,± 1.1%
"Okanogan County, Washington",30.90%,± 1.9%
"Okeechobee County, Florida",30%,± 2.9%
"Okfuskee County, Oklahoma",34.80%,± 2.9%
"Oklahoma County, Oklahoma",31.10%,± 0.5%
"Okmulgee County, Oklahoma",30.80%,± 1.5%
"Oktibbeha County, Mississippi",23.80%,± 2.2%
"Oldham County, Kentucky",43.70%,± 1.6%
"Oldham County, Texas",41.40%,± 7.7%
"Oliver County, North Dakota",30.20%,± 5.4%
"Olmsted County, Minnesota",30.40%,± 1.1%
"Oneida County, Idaho",36.20%,± 4.1%
"Oneida County, New York",28.20%,± 0.8%
"Oneida County, Wisconsin",17.80%,± 1.5%
"Onondaga County, New York",26.70%,± 0.6%
"Onslow County, North Carolina",38.10%,± 1.6%
"Ontario County, New York",26.40%,± 1%
"Ontonagon County, Michigan",12.40%,± 1.4%
"Orange County, California",33.10%,± 0.3%
"Orange County, Florida",32.40%,± 0.6%
"Orange County, Indiana",31.40%,± 2.6%
"Orange County, New York",35.80%,± 0.9%
"Orange County, North Carolina",27.40%,± 1.1%
"Orange County, Texas",33.70%,± 1.8%
"Orange County, Vermont",25.80%,± 2%
"Orange County, Virginia",28.90%,± 2.7%
"Orangeburg County, South Carolina",23.90%,± 1.7%
"Oregon County, Missouri",28.30%,± 4.6%
"Orleans County, New York",25.80%,± 1.7%
"Orleans County, Vermont",24.60%,± 1.4%
"Orleans Parish, Louisiana",21.70%,± 0.7%
"Orocovis Municipio, Puerto Rico",27.80%,± 2.9%
"Osage County, Kansas",26.40%,± 2%
"Osage County, Missouri",29.40%,± 2.6%
"Osage County, Oklahoma",27.60%,± 1.4%
"Osborne County, Kansas",28.90%,± 3.6%
"Osceola County, Florida",35.10%,± 1.3%
"Osceola County, Iowa",21.40%,± 2.8%
"Osceola County, Michigan",28.40%,± 1.5%
"Oscoda County, Michigan",20.30%,± 2.1%
"Oswego County, New York",29.60%,± 1.4%
"Otero County, Colorado",28.70%,± 3.4%
"Otero County, New Mexico",28.90%,± 2%
"Otoe County, Nebraska",28.90%,± 2.5%
"Otsego County, Michigan",28.10%,± 1.9%
"Otsego County, New York",22.40%,± 1.5%
"Ottawa County, Kansas",30.30%,± 3.3%
"Ottawa County, Michigan",32.80%,± 0.9%
"Ottawa County, Ohio",22.60%,± 1.5%
"Ottawa County, Oklahoma",31.60%,± 1.2%
"Otter Tail County, Minnesota",24.70%,± 1.1%
"Ouachita County, Arkansas",26.30%,± 2.7%
"Ouachita Parish, Louisiana",31.60%,± 1.3%
"Ouray County, Colorado",14.50%,± 3.4%
"Outagamie County, Wisconsin",29.40%,± 0.8%
"Overton County, Tennessee",30.80%,± 2.7%
"Owen County, Indiana",26.50%,± 2.3%
"Owen County, Kentucky",33.90%,± 3.6%
"Owsley County, Kentucky",26.20%,± 7.1%
"Owyhee County, Idaho",35.70%,± 3.5%
"Oxford County, Maine",22.50%,± 1.4%
"Ozark County, Missouri",19.20%,± 2.9%
"Ozaukee County, Wisconsin",28.10%,± 1.2%
"Pacific County, Washington",21.70%,± 2%
"Page County, Iowa",24.80%,± 2.2%
"Page County, Virginia",24.40%,± 2.6%
"Palm Beach County, Florida",25.10%,± 0.4%
"Palo Alto County, Iowa",26.70%,± 2.2%
"Palo Pinto County, Texas",26.80%,± 2.7%
"Pamlico County, North Carolina",20.10%,± 2.5%
"Panola County, Mississippi",32.30%,± 3.2%
"Panola County, Texas",33.50%,± 2.7%
"Park County, Colorado",18.30%,± 3.4%
"Park County, Montana",20.90%,± 2.4%
"Park County, Wyoming",23.80%,± 2.1%
"Parke County, Indiana",27.70%,± 3.1%
"Parker County, Texas",35.80%,± 1.4%
"Parmer County, Texas",36.10%,± 5.4%
"Pasco County, Florida",27.80%,± 0.6%
"Pasquotank County, North Carolina",29.60%,± 2.9%
"Passaic County, New Jersey",35.30%,± 0.8%
"Patillas Municipio, Puerto Rico",23.60%,± 3.5%
"Patrick County, Virginia",21.20%,± 2.7%
"Paulding County, Georgia",43%,± 2%
"Paulding County, Ohio",29.10%,± 2.2%
"Pawnee County, Kansas",19.20%,± 3.6%
"Pawnee County, Nebraska",24.60%,± 5.1%
"Pawnee County, Oklahoma",31.60%,± 1.9%
"Payette County, Idaho",35%,± 2.8%
"Payne County, Oklahoma",24.60%,± 1.5%
"Peach County, Georgia",33.60%,± 3.3%
"Pearl River County, Mississippi",32.20%,± 2.3%
"Pecos County, Texas",33.80%,± 4.9%
"Pembina County, North Dakota",24.10%,± 2.3%
"Pemiscot County, Missouri",30.60%,± 3%
"Pend Oreille County, Washington",23.10%,± 2.6%
"Pender County, North Carolina",32.30%,± 2.1%
"Pendleton County, Kentucky",33.80%,± 3.8%
"Pendleton County, West Virginia",20.10%,± 3%
"Pennington County, Minnesota",27.50%,± 2.4%
"Pennington County, South Dakota",26.20%,± 1.1%
"Penobscot County, Maine",24.20%,± 1%
"Peñuelas Municipio, Puerto Rico",27.10%,± 3.2%
"Peoria County, Illinois",26.50%,± 0.9%
"Pepin County, Wisconsin",28.30%,± 2.2%
"Perkins County, Nebraska",27.20%,± 3.7%
"Perkins County, South Dakota",27.30%,± 4.1%
"Perquimans County, North Carolina",22.60%,± 3.4%
"Perry County, Alabama",23.60%,± 6.7%
"Perry County, Arkansas",30.70%,± 4.4%
"Perry County, Illinois",30.30%,± 2.7%
"Perry County, Indiana",25.30%,± 2.4%
"Perry County, Kentucky",30%,± 3.2%
"Perry County, Mississippi",28.50%,± 4.6%
"Perry County, Missouri",29.30%,± 2.2%
"Perry County, Ohio",31.70%,± 2.5%
"Perry County, Pennsylvania",28.40%,± 1.2%
"Perry County, Tennessee",23%,± 5.1%
"Pershing County, Nevada",27.10%,± 6.4%
"Person County, North Carolina",26.70%,± 1.9%
