Geography,Percent below poverty level—Population for whom poverty status is determined—Estimate,MoE
"Lincoln County, Washington",11.60%,± 2.7%
"Lincoln County, West Virginia",19.20%,± 3.7%
"Lincoln County, Wisconsin",10.40%,± 1.3%
"Lincoln County, Wyoming",7.10%,± 1.7%
"Lincoln Parish, Louisiana",29.70%,± 3.1%
"Linn County, Iowa",9.50%,± 0.7%
"Linn County, Kansas",11.50%,± 2.5%
"Linn County, Missouri",16.70%,± 3%
"Linn County, Oregon",12%,± 1.1%
"Lipscomb County, Texas",13.80%,± 3.4%
"Little River County, Arkansas",11.80%,± 2.8%
"Live Oak County, Texas",21%,± 4.8%
"Livingston County, Illinois",10.20%,± 1.5%
"Livingston County, Kentucky",16.80%,± 4.3%
"Livingston County, Michigan",4.90%,± 0.6%
"Livingston County, Missouri",10.40%,± 2.1%
"Livingston County, New York",11.70%,± 1.3%
"Livingston Parish, Louisiana",11.60%,± 1.5%
"Llano County, Texas",11.30%,± 1.8%
"Logan County, Arkansas",14.50%,± 2.3%
"Logan County, Colorado",11.70%,± 2.6%
"Logan County, Illinois",11.50%,± 1.7%
"Logan County, Kansas",9.90%,± 4%
"Logan County, Kentucky",15.70%,± 2.9%
"Logan County, Nebraska",9.20%,± 4.6%
"Logan County, North Dakota",8.20%,± 2.8%
"Logan County, Ohio",10.90%,± 1.9%
"Logan County, Oklahoma",13.60%,± 2.4%
"Logan County, West Virginia",23.80%,± 3.1%
"Loíza Municipio, Puerto Rico",45.40%,± 4.1%
"Long County, Georgia",15.80%,± 4.1%
"Lonoke County, Arkansas",11.80%,± 1.6%
"Lorain County, Ohio",13.50%,± 0.7%
"Los Alamos County, New Mexico",3.70%,± 1.4%
"Los Angeles County, California",13.70%,± 0.2%
"Loudon County, Tennessee",11.80%,± 2.7%
"Loudoun County, Virginia",3.80%,± 0.4%
"Louisa County, Iowa",10.10%,± 1.9%
"Louisa County, Virginia",10.90%,± 2.1%
"Loup County, Nebraska",7.90%,± 3.6%
"Love County, Oklahoma",14.20%,± 2.2%
"Loving County, Texas",5.20%,± 7.3%
"Lower Connecticut River Valley Planning Region, Connecticut",6.50%,± 0.7%
"Lowndes County, Alabama",25.50%,± 4.9%
"Lowndes County, Georgia",20.60%,± 1.7%
"Lowndes County, Mississippi",18.10%,± 1.9%
"Lubbock County, Texas",17.20%,± 1%
"Lucas County, Iowa",16.60%,± 3.6%
"Lucas County, Ohio",17.80%,± 0.8%
"Luce County, Michigan",18.30%,± 3.8%
"Lumpkin County, Georgia",14.50%,± 2.7%
"Luna County, New Mexico",23.30%,± 4.1%
"Lunenburg County, Virginia",13%,± 2.9%
"Luquillo Municipio, Puerto Rico",45.30%,± 4.8%
"Luzerne County, Pennsylvania",14.90%,± 0.8%
"Lycoming County, Pennsylvania",12.50%,± 1.1%
"Lyman County, South Dakota",25.10%,± 4.1%
"Lynchburg city, Virginia",17.50%,± 1.6%
"Lynn County, Texas",18.80%,± 4.3%
"Lyon County, Iowa",3.90%,± 0.9%
"Lyon County, Kansas",16.20%,± 2.2%
"Lyon County, Kentucky",10%,± 2.9%
"Lyon County, Minnesota",12.40%,± 1.7%
"Lyon County, Nevada",10.40%,± 1.6%
"Mackinac County, Michigan",15.80%,± 2%
"Macomb County, Michigan",9.80%,± 0.4%
"Macon County, Alabama",25%,± 4.1%
"Macon County, Georgia",26.20%,± 4.1%
"Macon County, Illinois",15.50%,± 1.3%
"Macon County, Missouri",11%,± 2%
"Macon County, North Carolina",15.40%,± 2.9%
"Macon County, Tennessee",16.50%,± 3.4%
"Macoupin County, Illinois",14.70%,± 1.8%
"Madera County, California",20.10%,± 1.9%
"Madison County, Alabama",10.70%,± 0.7%
"Madison County, Arkansas",16.50%,± 3%
"Madison County, Florida",22.40%,± 3.8%
"Madison County, Georgia",20.60%,± 3.5%
"Madison County, Idaho",30.10%,± 3.5%
"Madison County, Illinois",12%,± 0.7%
"Madison County, Indiana",14.10%,± 1.2%
"Madison County, Iowa",6.10%,± 1.4%
"Madison County, Kentucky",16.10%,± 1.5%
"Madison County, Mississippi",9.80%,± 1.6%
"Madison County, Missouri",12.10%,± 3.2%
"Madison County, Montana",6.80%,± 1.5%
"Madison County, Nebraska",12.20%,± 2%
"Madison County, New York",9.50%,± 1.2%
"Madison County, North Carolina",12.50%,± 2.6%
"Madison County, Ohio",10.20%,± 1.5%
"Madison County, Tennessee",18.20%,± 1.8%
"Madison County, Texas",12.50%,± 3%
"Madison County, Virginia",8%,± 2.6%
"Madison Parish, Louisiana",38.10%,± 5.3%
"Magoffin County, Kentucky",30.40%,± 6.1%
"Mahaska County, Iowa",12%,± 2.1%
"Mahnomen County, Minnesota",20.60%,± 1.9%
"Mahoning County, Ohio",17.60%,± 0.8%
"Major County, Oklahoma",11.60%,± 2.4%
"Malheur County, Oregon",18.90%,± 2.9%
"Manassas city, Virginia",4.70%,± 1.4%
"Manassas Park city, Virginia",5.10%,± 2.5%
"Manatee County, Florida",10.20%,± 0.8%
"Manatí Municipio, Puerto Rico",45.50%,± 3.9%
"Manistee County, Michigan",11.30%,± 1.2%
"Manitowoc County, Wisconsin",10%,± 1%
"Marathon County, Wisconsin",8.30%,± 0.7%
"Marengo County, Alabama",21.50%,± 3.7%
"Maricao Municipio, Puerto Rico",52%,± 7.8%
"Maricopa County, Arizona",11.50%,± 0.2%
"Maries County, Missouri",17.40%,± 4.7%
"Marin County, California",7%,± 0.6%
"Marinette County, Wisconsin",9.70%,± 1.4%
"Marion County, Alabama",16.40%,± 2.7%
"Marion County, Arkansas",17.80%,± 3.2%
"Marion County, Florida",14.40%,± 0.9%
"Marion County, Georgia",12.40%,± 4.1%
"Marion County, Illinois",17%,± 1.9%
"Marion County, Indiana",15.40%,± 0.6%
"Marion County, Iowa",7.70%,± 1.6%
"Marion County, Kansas",8.80%,± 1.6%
"Marion County, Kentucky",22.50%,± 4.9%
"Marion County, Mississippi",22.80%,± 4.1%
"Marion County, Missouri",14.20%,± 2.3%
"Marion County, Ohio",16.10%,± 1.8%
"Marion County, Oregon",13%,± 0.9%
"Marion County, South Carolina",27.40%,± 3.7%
"Marion County, Tennessee",16.30%,± 3.3%
"Marion County, Texas",15.70%,± 3.7%
"Marion County, West Virginia",14.90%,± 1.8%
"Mariposa County, California",16%,± 3%
"Marlboro County, South Carolina",27.80%,± 3.6%
"Marquette County, Michigan",13.60%,± 1.3%
"Marquette County, Wisconsin",10.40%,± 1.3%
"Marshall County, Alabama",16.60%,± 1.4%
"Marshall County, Illinois",12.30%,± 2%
"Marshall County, Indiana",10.80%,± 1.7%
"Marshall County, Iowa",11.20%,± 1.7%
"Marshall County, Kansas",10.50%,± 2.5%
"Marshall County, Kentucky",12.10%,± 2%
"Marshall County, Minnesota",7.40%,± 1.7%
"Marshall County, Mississippi",19.50%,± 3.4%
"Marshall County, Oklahoma",18.80%,± 2.7%
"Marshall County, South Dakota",7.50%,± 2.7%
"Marshall County, Tennessee",15.60%,± 3.2%
"Marshall County, West Virginia",14.70%,± 2.7%
"Martin County, Florida",10.50%,± 1.2%
"Martin County, Indiana",14.10%,± 3.8%
"Martin County, Kentucky",23.50%,± 5.7%
"Martin County, Minnesota",11.70%,± 2.1%
"Martin County, North Carolina",20.50%,± 2.6%
"Martin County, Texas",16.90%,± 6.6%
"Martinsville city, Virginia",24.60%,± 4.1%
"Mason County, Illinois",13.70%,± 2.4%
"Mason County, Kentucky",18.70%,± 2.9%
"Mason County, Michigan",13.70%,± 1.8%
"Mason County, Texas",4.90%,± 2.4%
"Mason County, Washington",12.90%,± 1.7%
"Mason County, West Virginia",16.30%,± 3.4%
"Massac County, Illinois",13.80%,± 2.8%
"Matagorda County, Texas",21.80%,± 3.5%
"Matanuska-Susitna Borough, Alaska",10.20%,± 0.8%
"Mathews County, Virginia",6.80%,± 3.2%
"Maui County, Hawaii",9.30%,± 0.8%
"Maunabo Municipio, Puerto Rico",49.90%,± 6.1%
"Maury County, Tennessee",8.90%,± 1%
"Maverick County, Texas",23.40%,± 3.2%
"Mayagüez Municipio, Puerto Rico",53.50%,± 1.8%
"Mayes County, Oklahoma",17.10%,± 1.5%
"McClain County, Oklahoma",7.10%,± 1.2%
"McCone County, Montana",2.40%,± 1.6%
"McCook County, South Dakota",8.40%,± 2.7%
"McCormick County, South Carolina",16.70%,± 3.9%
"McCracken County, Kentucky",15.20%,± 1.4%
"McCreary County, Kentucky",33.70%,± 5.3%
"McCulloch County, Texas",13.50%,± 3.8%
"McCurtain County, Oklahoma",21.10%,± 2.2%
"McDonald County, Missouri",16.90%,± 2.5%
"McDonough County, Illinois",19.80%,± 2.2%
"McDowell County, North Carolina",14.90%,± 1.9%
"McDowell County, West Virginia",33.30%,± 5.4%
"McDuffie County, Georgia",16.10%,± 3.2%
"McHenry County, Illinois",6%,± 0.7%
"McHenry County, North Dakota",10.30%,± 2.2%
"McIntosh County, Georgia",20.30%,± 4.8%
"McIntosh County, North Dakota",13.60%,± 3.6%
"McIntosh County, Oklahoma",22.10%,± 2.8%
"McKean County, Pennsylvania",14.10%,± 1.9%
"McKenzie County, North Dakota",13.40%,± 2.8%
"McKinley County, New Mexico",33.60%,± 2.4%
"McLean County, Illinois",14.20%,± 0.8%
"McLean County, Kentucky",7.90%,± 2.1%
"McLean County, North Dakota",6.90%,± 1.3%
"McLennan County, Texas",17.90%,± 1.2%
"McLeod County, Minnesota",7.10%,± 1.2%
"McMinn County, Tennessee",13.60%,± 2%
"McMullen County, Texas",14.90%,± 11.9%
"McNairy County, Tennessee",16.70%,± 2.8%
"McPherson County, Kansas",10.60%,± 1.8%
"McPherson County, Nebraska",7.70%,± 5.3%
"McPherson County, South Dakota",13.20%,± 3.4%
"Meade County, Kansas",7.10%,± 2.3%
"Meade County, Kentucky",13.30%,± 2.6%
"Meade County, South Dakota",7.40%,± 2%
"Meagher County, Montana",12%,± 5.7%
"Mecklenburg County, North Carolina",10.50%,± 0.4%
"Mecklenburg County, Virginia",18.80%,± 2.6%
"Mecosta County, Michigan",18%,± 1.5%
"Medina County, Ohio",6%,± 0.6%
"Medina County, Texas",10.30%,± 2%
"Meeker County, Minnesota",7.60%,± 1%
"Meigs County, Ohio",19.60%,± 2.9%
"Meigs County, Tennessee",15.40%,± 3.3%
"Mellette County, South Dakota",49.10%,± 7%
"Menard County, Illinois",7.90%,± 2.1%
"Menard County, Texas",22.50%,± 9.7%
"Mendocino County, California",16.20%,± 1.6%
"Menifee County, Kentucky",26.90%,± 5.6%
"Menominee County, Michigan",10.80%,± 1.2%
"Menominee County, Wisconsin",20%,± 6%
"Merced County, California",18.50%,± 1.2%
"Mercer County, Illinois",8%,± 1.5%
"Mercer County, Kentucky",11.20%,± 2.7%
"Mercer County, Missouri",14.90%,± 6.1%
"Mercer County, New Jersey",11.20%,± 0.8%
"Mercer County, North Dakota",9.60%,± 3.3%
"Mercer County, Ohio",6.40%,± 1.2%
"Mercer County, Pennsylvania",13.50%,± 1%
"Mercer County, West Virginia",18.80%,± 2.5%
"Meriwether County, Georgia",22.10%,± 3.3%
"Merrick County, Nebraska",10.20%,± 2.7%
"Merrimack County, New Hampshire",7.20%,± 0.7%
"Mesa County, Colorado",11.50%,± 1.1%
"Metcalfe County, Kentucky",24%,± 4.3%
"Miami County, Indiana",15.70%,± 2.1%
"Miami County, Kansas",7%,± 1.7%
"Miami County, Ohio",8.50%,± 1.4%
"Miami-Dade County, Florida",15.30%,± 0.4%
"Middlesex County, Massachusetts",7.40%,± 0.3%
"Middlesex County, New Jersey",8.40%,± 0.5%
"Middlesex County, Virginia",9.70%,± 2.1%
"Midland County, Michigan",10.10%,± 1.2%
"Midland County, Texas",10.80%,± 1.5%
"Mifflin County, Pennsylvania",16.70%,± 2.4%
"Milam County, Texas",14.30%,± 3.1%
"Millard County, Utah",11.20%,± 3.3%
"Mille Lacs County, Minnesota",11%,± 1.6%
"Miller County, Arkansas",20.50%,± 2.7%
"Miller County, Georgia",24.50%,± 6.2%
"Miller County, Missouri",16%,± 2.8%
"Mills County, Iowa",6.90%,± 1.5%
"Mills County, Texas",6.90%,± 2.2%
"Milwaukee County, Wisconsin",17.80%,± 0.5%
"Miner County, South Dakota",10.50%,± 4.2%
"Mineral County, Colorado",11.20%,± 6.8%
"Mineral County, Montana",14.10%,± 3.8%
"Mineral County, Nevada",18.50%,± 5.1%
"Mineral County, West Virginia",13.90%,± 2.6%
"Mingo County, West Virginia",28.60%,± 3.9%
"Minidoka County, Idaho",15.10%,± 3%
"Minnehaha County, South Dakota",8.70%,± 0.8%
"Missaukee County, Michigan",11.20%,± 1.7%
"Mississippi County, Arkansas",21.90%,± 2.3%
"Mississippi County, Missouri",23.70%,± 4.1%
"Missoula County, Montana",11.90%,± 1%
"Mitchell County, Georgia",28.70%,± 4.6%
"Mitchell County, Iowa",6.70%,± 1.6%
"Mitchell County, Kansas",15%,± 5.1%
"Mitchell County, North Carolina",13.40%,± 3%
"Mitchell County, Texas",14.50%,± 6.3%
"Mobile County, Alabama",17.60%,± 0.9%
"Moca Municipio, Puerto Rico",46.70%,± 4.6%
"Modoc County, California",16.90%,± 4.8%
"Moffat County, Colorado",14.80%,± 3.1%
"Mohave County, Arizona",16%,± 1%
"Moniteau County, Missouri",10.90%,± 2.6%
"Monmouth County, New Jersey",6.40%,± 0.3%
"Mono County, California",11.30%,± 3.2%
"Monona County, Iowa",12.30%,± 2.7%
"Monongalia County, West Virginia",20.60%,± 1.6%
"Monroe County, Alabama",22.90%,± 3.4%
"Monroe County, Arkansas",23.80%,± 5.3%
"Monroe County, Florida",11.70%,± 1.3%
"Monroe County, Georgia",13.70%,± 3.3%
"Monroe County, Illinois",4.30%,± 1%
"Monroe County, Indiana",20.70%,± 1.5%
"Monroe County, Iowa",10.80%,± 3.4%
"Monroe County, Kentucky",20.90%,± 3.5%
"Monroe County, Michigan",10.90%,± 1%
"Monroe County, Mississippi",16.70%,± 2.7%
"Monroe County, Missouri",16.50%,± 3.5%
"Monroe County, New York",13.40%,± 0.5%
"Monroe County, Ohio",13.90%,± 2.7%
"Monroe County, Pennsylvania",11.30%,± 1.3%
"Monroe County, Tennessee",16%,± 2%
"Monroe County, West Virginia",13.20%,± 3.2%
"Monroe County, Wisconsin",11.60%,± 1.4%
"Montague County, Texas",13%,± 2.8%
"Montcalm County, Michigan",12.30%,± 1.2%
"Monterey County, California",12.30%,± 0.9%
"Montezuma County, Colorado",12.50%,± 2.7%
"Montgomery County, Alabama",19.60%,± 1.3%
"Montgomery County, Arkansas",18.20%,± 3.2%
"Montgomery County, Georgia",16.60%,± 3.6%
"Montgomery County, Illinois",14%,± 2.4%
"Montgomery County, Indiana",12.70%,± 1.8%
"Montgomery County, Iowa",14.50%,± 3.9%
"Montgomery County, Kansas",16.90%,± 1.9%
"Montgomery County, Kentucky",16.40%,± 2.8%
"Montgomery County, Maryland",7.20%,± 0.4%
"Montgomery County, Mississippi",24.20%,± 5.8%
"Montgomery County, Missouri",14.80%,± 2.3%
"Montgomery County, New York",15.10%,± 1.6%
"Montgomery County, North Carolina",16.20%,± 3.5%
"Montgomery County, Ohio",15.10%,± 0.6%
"Montgomery County, Pennsylvania",6.30%,± 0.4%
"Montgomery County, Tennessee",11.90%,± 1.1%
"Montgomery County, Texas",8.80%,± 0.7%
"Montgomery County, Virginia",24.90%,± 1.6%
"Montmorency County, Michigan",18.50%,± 2.8%
"Montour County, Pennsylvania",8.70%,± 2.2%
"Montrose County, Colorado",11.60%,± 1.9%
"Moody County, South Dakota",9.60%,± 1.8%
"Moore County, North Carolina",9.50%,± 1.2%
"Moore County, Tennessee",9.90%,± 3.9%
"Moore County, Texas",13.50%,± 3.4%
"Mora County, New Mexico",21.70%,± 7.3%
"Morehouse Parish, Louisiana",28.80%,± 4.1%
"Morgan County, Alabama",13.70%,± 1.4%
"Morgan County, Colorado",12.80%,± 2.5%
"Morgan County, Georgia",8.60%,± 2.6%
"Morgan County, Illinois",12.90%,± 1.8%
"Morgan County, Indiana",8.50%,± 1.2%
"Morgan County, Kentucky",20.40%,± 3.3%
"Morgan County, Missouri",19.70%,± 3.8%
"Morgan County, Ohio",16.60%,± 2.7%
"Morgan County, Tennessee",20.90%,± 4.1%
"Morgan County, Utah",1.70%,± 0.9%
"Morgan County, West Virginia",10.60%,± 2.3%
"Morovis Municipio, Puerto Rico",47.50%,± 3.5%
"Morrill County, Nebraska",9.50%,± 3.1%
"Morris County, Kansas",11%,± 3.5%
"Morris County, New Jersey",5%,± 0.5%
"Morris County, Texas",15.80%,± 3.5%
"Morrison County, Minnesota",10.30%,± 1.5%
"Morrow County, Ohio",10.60%,± 2.2%
"Morrow County, Oregon",16.70%,± 4%
"Morton County, Kansas",13.20%,± 7%
"Morton County, North Dakota",8.10%,± 2.2%
"Motley County, Texas",9.40%,± 5.2%
"Moultrie County, Illinois",9.20%,± 2.1%
"Mountrail County, North Dakota",12.40%,± 2.7%
"Mower County, Minnesota",11.90%,± 1.7%
"Muhlenberg County, Kentucky",16.30%,± 2.7%
"Multnomah County, Oregon",12.20%,± 0.5%
"Murray County, Georgia",13.10%,± 2.2%
"Murray County, Minnesota",7.40%,± 1.1%
"Murray County, Oklahoma",14.60%,± 3.1%
"Muscatine County, Iowa",11.70%,± 1.9%
"Muscogee County, Georgia",18.70%,± 1.2%
"Muskegon County, Michigan",12.90%,± 1%
"Muskingum County, Ohio",15.60%,± 1.4%
"Muskogee County, Oklahoma",18.10%,± 1.8%
"Musselshell County, Montana",11.80%,± 3.4%
"Nacogdoches County, Texas",22.40%,± 1.9%
"Naguabo Municipio, Puerto Rico",47.90%,± 5.8%
"Nance County, Nebraska",13.60%,± 4.4%
"Nantucket County, Massachusetts",4.90%,± 1.8%
"Napa County, California",7.90%,± 0.8%
"Naranjito Municipio, Puerto Rico",48.80%,± 5.6%
"Nash County, North Carolina",14.50%,± 1.6%
"Nassau County, Florida",9.20%,± 1.3%
"Nassau County, New York",5.40%,± 0.3%
"Natchitoches Parish, Louisiana",25.90%,± 2.6%
"Natrona County, Wyoming",9.10%,± 1.2%
"Naugatuck Valley Planning Region, Connecticut",10.20%,± 0.6%
"Navajo County, Arizona",25.50%,± 1.5%
"Navarro County, Texas",16.50%,± 2.4%
"Nelson County, Kentucky",8.80%,± 1.5%
"Nelson County, North Dakota",10.80%,± 3.5%
"Nelson County, Virginia",13.20%,± 3.8%
"Nemaha County, Kansas",8.70%,± 2.2%
"Nemaha County, Nebraska",15.30%,± 4.3%
"Neosho County, Kansas",15%,± 3%
"Neshoba County, Mississippi",28%,± 3.5%
"Ness County, Kansas",10.50%,± 4.2%
"Nevada County, Arkansas",27.80%,± 5.1%
"Nevada County, California",10.40%,± 1.1%
"New Castle County, Delaware",10.50%,± 0.5%
"New Hanover County, North Carolina",12.70%,± 1%
"New Kent County, Virginia",3.90%,± 2%
"New Madrid County, Missouri",17.30%,± 2.6%
"New York County, New York",15.80%,± 0.5%
"Newaygo County, Michigan",15.20%,± 1.9%
"Newberry County, South Carolina",15.50%,± 2.5%
"Newport County, Rhode Island",7.80%,± 1%
"Newport News city, Virginia",14.70%,± 1.2%
"Newton County, Arkansas",11.40%,± 3.3%
"Newton County, Georgia",13.40%,± 1.9%
"Newton County, Indiana",12.60%,± 2.9%
"Newton County, Mississippi",23.50%,± 3.6%
"Newton County, Missouri",14.90%,± 2%
"Newton County, Texas",24.20%,± 4.3%
"Nez Perce County, Idaho",14.10%,± 1.9%
"Niagara County, New York",13%,± 0.8%
"Nicholas County, Kentucky",16.20%,± 4.5%
"Nicholas County, West Virginia",16.70%,± 2.8%
"Nicollet County, Minnesota",10.30%,± 1.4%
"Niobrara County, Wyoming",18.30%,± 9%
"Noble County, Indiana",7.30%,± 1.2%
"Noble County, Ohio",16.60%,± 3.8%
"Noble County, Oklahoma",10.80%,± 2.6%
"Nobles County, Minnesota",12.20%,± 2.5%
"Nodaway County, Missouri",19.40%,± 2.3%
"Nolan County, Texas",15.50%,± 2.8%
"Nome Census Area, Alaska",21.10%,± 2.3%
"Norfolk city, Virginia",16.90%,± 1%
"Norfolk County, Massachusetts",6.50%,± 0.4%
"Norman County, Minnesota",8.90%,± 1.8%
"North Slope Borough, Alaska",7.90%,± 2.3%
"Northampton County, North Carolina",18.70%,± 2.7%
"Northampton County, Pennsylvania",9.20%,± 0.6%
"Northampton County, Virginia",16.70%,± 2.9%
"Northeastern Connecticut Planning Region, Connecticut",8.80%,± 1.3%
"Northumberland County, Pennsylvania",12.40%,± 1.1%
"Northumberland County, Virginia",14.80%,± 3.7%
"Northwest Arctic Borough, Alaska",18.50%,± 2%
"Northwest Hills Planning Region, Connecticut",9.40%,± 1.1%
"Norton city, Virginia",29.10%,± 9.5%
"Norton County, Kansas",9.40%,± 2.9%
"Nottoway County, Virginia",19.10%,± 3.5%
"Nowata County, Oklahoma",16%,± 2.6%
"Noxubee County, Mississippi",23.20%,± 5.1%
"Nuckolls County, Nebraska",6.30%,± 2%
"Nueces County, Texas",17.30%,± 1%
"Nye County, Nevada",15.30%,± 1.9%
"O'Brien County, Iowa",12.10%,± 2.8%
"Oakland County, Michigan",7.70%,± 0.3%
"Obion County, Tennessee",16.10%,± 2.3%
"Ocean County, New Jersey",10.50%,± 0.8%
"Oceana County, Michigan",13.90%,± 1.5%
"Ochiltree County, Texas",12.20%,± 4%
"Oconee County, Georgia",4.50%,± 1.4%
"Oconee County, South Carolina",15.70%,± 1.6%
"Oconto County, Wisconsin",8.30%,± 0.9%
"Ogemaw County, Michigan",17.10%,± 2.1%
"Oglala Lakota County, South Dakota",55.80%,± 7.7%
"Ogle County, Illinois",8.30%,± 1.2%
"Oglethorpe County, Georgia",11.10%,± 2.8%
"Ohio County, Indiana",10%,± 3.1%
"Ohio County, Kentucky",14%,± 3%
"Ohio County, West Virginia",14.70%,± 1.7%
"Okaloosa County, Florida",10.20%,± 1%
"Okanogan County, Washington",18.90%,± 2.4%
"Okeechobee County, Florida",19.20%,± 2.9%
"Okfuskee County, Oklahoma",26.70%,± 3.1%
"Oklahoma County, Oklahoma",15.80%,± 0.5%
"Okmulgee County, Oklahoma",18%,± 1.5%
"Oktibbeha County, Mississippi",28.50%,± 2.8%
"Oldham County, Kentucky",4%,± 0.9%
"Oldham County, Texas",17.20%,± 6%
"Oliver County, North Dakota",11.50%,± 5.2%
"Olmsted County, Minnesota",7.90%,± 0.8%
"Oneida County, Idaho",13.50%,± 4.4%
"Oneida County, New York",14.40%,± 0.9%
"Oneida County, Wisconsin",9.60%,± 1.4%
"Onondaga County, New York",13.90%,± 0.6%
"Onslow County, North Carolina",12.80%,± 1.4%
"Ontario County, New York",9%,± 1%
"Ontonagon County, Michigan",13.70%,± 2.6%
"Orange County, California",9.70%,± 0.2%
"Orange County, Florida",13.50%,± 0.5%
"Orange County, Indiana",14.70%,± 3.1%
"Orange County, New York",13%,± 0.9%
"Orange County, North Carolina",12.30%,± 0.9%
"Orange County, Texas",11.90%,± 1.5%
"Orange County, Vermont",9.20%,± 1.3%
"Orange County, Virginia",13%,± 2.5%
"Orangeburg County, South Carolina",25%,± 1.9%
"Oregon County, Missouri",23%,± 4.5%
"Orleans County, New York",12.60%,± 1.7%
"Orleans County, Vermont",9.80%,± 1.3%
"Orleans Parish, Louisiana",22.90%,± 0.9%
"Orocovis Municipio, Puerto Rico",55.90%,± 3.7%
"Osage County, Kansas",11.10%,± 2.1%
"Osage County, Missouri",7.60%,± 2.4%
"Osage County, Oklahoma",12.50%,± 1.1%
"Osborne County, Kansas",13.40%,± 3.3%
"Osceola County, Florida",13.40%,± 1%
"Osceola County, Iowa",12.60%,± 3.5%
"Osceola County, Michigan",15.70%,± 1.9%
"Oscoda County, Michigan",13.90%,± 2.7%
"Oswego County, New York",17.10%,± 1.3%
"Otero County, Colorado",24%,± 3.9%
"Otero County, New Mexico",19.40%,± 2.5%
"Otoe County, Nebraska",11.40%,± 2.5%
"Otsego County, Michigan",10.70%,± 1.7%
"Otsego County, New York",13%,± 1.4%
"Ottawa County, Kansas",10.40%,± 2.5%
"Ottawa County, Michigan",7.60%,± 0.5%
"Ottawa County, Ohio",8.80%,± 1.2%
"Ottawa County, Oklahoma",20.40%,± 1.1%
"Otter Tail County, Minnesota",8.70%,± 0.9%
"Ouachita County, Arkansas",19.10%,± 3.3%
"Ouachita Parish, Louisiana",23.40%,± 1.4%
"Ouray County, Colorado",4.80%,± 1.6%
"Outagamie County, Wisconsin",6.90%,± 0.6%
"Overton County, Tennessee",17.30%,± 3.6%
"Owen County, Indiana",12.30%,± 2.2%
"Owen County, Kentucky",14.10%,± 3.8%
"Owsley County, Kentucky",28.80%,± 6.7%
"Owyhee County, Idaho",13.10%,± 3.4%
"Oxford County, Maine",14.40%,± 1.6%
"Ozark County, Missouri",22.50%,± 5%
"Ozaukee County, Wisconsin",4.50%,± 0.7%
"Pacific County, Washington",13.20%,± 1.9%
"Page County, Iowa",13.40%,± 2.4%
"Page County, Virginia",10%,± 2%
"Palm Beach County, Florida",11.40%,± 0.4%
"Palo Alto County, Iowa",10.70%,± 3%
"Palo Pinto County, Texas",15.80%,± 2.1%
"Pamlico County, North Carolina",13.80%,± 2.4%
"Panola County, Mississippi",20.40%,± 2.7%
"Panola County, Texas",14%,± 3.1%
"Park County, Colorado",6.80%,± 2.2%
"Park County, Montana",11.50%,± 2.4%
"Park County, Wyoming",9.60%,± 2.1%
"Parke County, Indiana",15.60%,± 3.7%
"Parker County, Texas",7.90%,± 1.2%
"Parmer County, Texas",9.50%,± 2.9%
"Pasco County, Florida",11.80%,± 0.6%
"Pasquotank County, North Carolina",11.60%,± 1.5%
"Passaic County, New Jersey",13.50%,± 0.7%
"Patillas Municipio, Puerto Rico",48.50%,± 4.6%
"Patrick County, Virginia",11.40%,± 2.4%
"Paulding County, Georgia",6.70%,± 1.1%
"Paulding County, Ohio",9.40%,± 2%
"Pawnee County, Kansas",11.90%,± 4.2%
"Pawnee County, Nebraska",13.30%,± 3.5%
"Pawnee County, Oklahoma",15%,± 1.9%
"Payette County, Idaho",10.60%,± 2.4%
"Payne County, Oklahoma",24.30%,± 1.9%
"Peach County, Georgia",20.70%,± 3.8%
"Pearl River County, Mississippi",15.80%,± 2.1%
"Pecos County, Texas",23%,± 6.4%
"Pembina County, North Dakota",9.20%,± 1.7%
"Pemiscot County, Missouri",29.30%,± 3.5%
"Pend Oreille County, Washington",12.90%,± 2.1%
"Pender County, North Carolina",11.70%,± 1.6%
"Pendleton County, Kentucky",17.80%,± 3.3%
"Pendleton County, West Virginia",16.40%,± 4%
"Pennington County, Minnesota",9.60%,± 2.4%
"Pennington County, South Dakota",12.30%,± 1.2%
"Penobscot County, Maine",13.40%,± 1%
"Peñuelas Municipio, Puerto Rico",52.10%,± 4.4%
"Peoria County, Illinois",15.50%,± 1.1%
"Pepin County, Wisconsin",7.80%,± 1.4%
"Perkins County, Nebraska",8.70%,± 3.3%
"Perkins County, South Dakota",11.90%,± 3.6%
"Perquimans County, North Carolina",13.30%,± 3.2%
"Perry County, Alabama",32.80%,± 6.7%
"Perry County, Arkansas",15.30%,± 3.3%
"Perry County, Illinois",17.50%,± 3.1%
"Perry County, Indiana",12.10%,± 1.8%
"Perry County, Kentucky",23.80%,± 3.4%
"Perry County, Mississippi",20.60%,± 4.7%
"Perry County, Missouri",11.30%,± 2.6%
"Perry County, Ohio",15.30%,± 2.5%
"Perry County, Pennsylvania",8.20%,± 1%
"Perry County, Tennessee",14.20%,± 4.2%
"Pershing County, Nevada",9.80%,± 3.3%
"Person County, North Carolina",17.20%,± 2.5%
"Petersburg Borough, Alaska",4.60%,± 1.3%
"Petersburg city, Virginia",22.20%,± 3%
"Petroleum County, Montana",6.30%,± 4.6%
"Pettis County, Missouri",14.80%,± 2%
